Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Phillips County, Arkansas",14.60%,± 3.6%
"Phillips County, Colorado",13.50%,± 4%
"Phillips County, Kansas",16.50%,± 3.5%
"Phillips County, Montana",20.80%,± 5.7%
"Piatt County, Illinois",13.90%,± 2.5%
"Pickaway County, Ohio",15.20%,± 1.6%
"Pickens County, Alabama",15.90%,± 3.6%
"Pickens County, Georgia",15.70%,± 2.3%
"Pickens County, South Carolina",18.50%,± 1.4%
"Pickett County, Tennessee",17.50%,± 7.4%
"Pierce County, Georgia",13.90%,± 3.3%
"Pierce County, Nebraska",13.20%,± 2.8%
"Pierce County, North Dakota",13.70%,± 4.1%
"Pierce County, Washington",17.10%,± 0.5%
"Pierce County, Wisconsin",18.10%,± 1.7%
"Pike County, Alabama",18.20%,± 2.7%
"Pike County, Arkansas",15.90%,± 4.1%
"Pike County, Georgia",13.50%,± 2%
"Pike County, Illinois",18.40%,± 3%
"Pike County, Indiana",16.50%,± 2.6%
"Pike County, Kentucky",16.30%,± 1.9%
"Pike County, Mississippi",17.90%,± 2.8%
"Pike County, Missouri",15.50%,± 3%
"Pike County, Ohio",18.60%,± 2.9%
"Pike County, Pennsylvania",20%,± 1.9%
"Pima County, Arizona",20%,± 0.6%
"Pinal County, Arizona",19.30%,± 0.9%
"Pine County, Minnesota",22.10%,± 1.5%
"Pinellas County, Florida",16.90%,± 0.5%
"Pipestone County, Minnesota",16.70%,± 2.9%
"Piscataquis County, Maine",15.50%,± 2.4%
"Pitkin County, Colorado",19.90%,± 3.7%
"Pitt County, North Carolina",18.80%,± 1.4%
"Pittsburg County, Oklahoma",17.70%,± 1.5%
"Pittsylvania County, Virginia",18.40%,± 1.7%
"Piute County, Utah",11.40%,± 5.4%
"Placer County, California",15.80%,± 0.6%
"Plaquemines Parish, Louisiana",17.60%,± 3.5%
"Platte County, Missouri",13.80%,± 1.1%
"Platte County, Nebraska",12.40%,± 1.8%
"Platte County, Wyoming",15.70%,± 4.8%
"Pleasants County, West Virginia",21.50%,± 4.7%
"Plumas County, California",25%,± 3.6%
"Plymouth County, Iowa",15.10%,± 2%
"Plymouth County, Massachusetts",17.30%,± 0.7%
"Pocahontas County, Iowa",14.40%,± 3%
"Pocahontas County, West Virginia",21.50%,± 5.7%
"Poinsett County, Arkansas",16.60%,± 2.4%
"Pointe Coupee Parish, Louisiana",18.40%,± 3.4%
"Polk County, Arkansas",19.40%,± 3.2%
"Polk County, Florida",19.60%,± 0.7%
"Polk County, Georgia",17.20%,± 2.6%
"Polk County, Iowa",14.90%,± 0.6%
"Polk County, Minnesota",17.20%,± 1.9%
"Polk County, Missouri",17.60%,± 2.7%
"Polk County, Nebraska",12.30%,± 2.5%
"Polk County, North Carolina",17.90%,± 2.9%
"Polk County, Oregon",21.50%,± 2.3%
"Polk County, Tennessee",17.30%,± 2.9%
"Polk County, Texas",16.30%,± 2.2%
"Polk County, Wisconsin",14%,± 0.9%
"Ponce Municipio, Puerto Rico",21.40%,± 2%
"Pondera County, Montana",21%,± 4.2%
"Pontotoc County, Mississippi",14.10%,± 2.6%
"Pontotoc County, Oklahoma",14.10%,± 1.4%
"Pope County, Arkansas",17.10%,± 1.9%
"Pope County, Illinois",21.70%,± 5.4%
"Pope County, Minnesota",14.50%,± 2%
"Poquoson city, Virginia",12.20%,± 3.9%
"Portage County, Ohio",18.30%,± 1.3%
"Portage County, Wisconsin",16.50%,± 1.3%
"Porter County, Indiana",14.50%,± 1%
"Portsmouth city, Virginia",19.30%,± 1.9%
"Posey County, Indiana",13.70%,± 2%
"Pottawatomie County, Kansas",13.50%,± 1.6%
"Pottawatomie County, Oklahoma",17.10%,± 1.1%
"Pottawattamie County, Iowa",17.20%,± 1.2%
"Potter County, Pennsylvania",14.70%,± 1.5%
"Potter County, South Dakota",8.60%,± 4.3%
"Potter County, Texas",23.20%,± 1.9%
"Powder River County, Montana",12.60%,± 4.5%
"Powell County, Kentucky",14.60%,± 4%
"Powell County, Montana",20.60%,± 5.1%
"Power County, Idaho",11.50%,± 4.2%
"Poweshiek County, Iowa",15.10%,± 2.9%
"Powhatan County, Virginia",12.80%,± 2.3%
"Prairie County, Arkansas",16.60%,± 3.8%
"Prairie County, Montana",12%,± 5.4%
"Pratt County, Kansas",17%,± 3.7%
"Preble County, Ohio",15.30%,± 1.6%
"Prentiss County, Mississippi",11.80%,± 2.6%
"Presidio County, Texas",8.60%,± 6.2%
"Presque Isle County, Michigan",15.80%,± 1.9%
"Preston County, West Virginia",19.70%,± 2.7%
"Price County, Wisconsin",13.70%,± 1.5%
"Prince Edward County, Virginia",26.60%,± 4%
"Prince George County, Virginia",17.70%,± 2.9%
"Prince George's County, Maryland",18.90%,± 0.5%
"Prince of Wales-Hyder Census Area, Alaska",17.40%,± 2.9%
"Prince William County, Virginia",16.90%,± 0.7%
"Providence County, Rhode Island",18.70%,± 0.6%
"Prowers County, Colorado",17.90%,± 4.5%
"Pueblo County, Colorado",21.90%,± 1.3%
"Pulaski County, Arkansas",16.10%,± 0.9%
"Pulaski County, Georgia",17.60%,± 5.7%
"Pulaski County, Illinois",24.30%,± 4.9%
"Pulaski County, Indiana",15%,± 3.3%
"Pulaski County, Kentucky",17.20%,± 2%
"Pulaski County, Missouri",22.70%,± 3.1%
"Pulaski County, Virginia",17.70%,± 2.8%
"Pushmataha County, Oklahoma",23.80%,± 3.4%
"Putnam County, Florida",19.80%,± 2.5%
"Putnam County, Georgia",11.90%,± 2.9%
"Putnam County, Illinois",16.40%,± 3.2%
"Putnam County, Indiana",14.90%,± 2.2%
"Putnam County, Missouri",17.70%,± 7.7%
"Putnam County, New York",17.70%,± 1.3%
"Putnam County, Ohio",13.30%,± 1.4%
"Putnam County, Tennessee",17.90%,± 1.9%
"Putnam County, West Virginia",12.40%,± 1.9%
"Quay County, New Mexico",14.90%,± 4.1%
"Quebradillas Municipio, Puerto Rico",25.80%,± 5.3%
"Queen Anne's County, Maryland",16.40%,± 1.7%
"Queens County, New York",23.10%,± 0.4%
"Quitman County, Georgia",39.40%,± 12.5%
"Quitman County, Mississippi",28.60%,± 5.4%
"Rabun County, Georgia",21.10%,± 3.8%
"Racine County, Wisconsin",15.90%,± 1%
"Radford city, Virginia",20.60%,± 3.9%
"Rains County, Texas",13.70%,± 3.3%
"Raleigh County, West Virginia",18.90%,± 2.3%
"Ralls County, Missouri",14.30%,± 3.1%
"Ramsey County, Minnesota",16.30%,± 0.5%
"Ramsey County, North Dakota",22.90%,± 4%
"Randall County, Texas",16.90%,± 1.2%
"Randolph County, Alabama",14.70%,± 3.1%
"Randolph County, Arkansas",17.50%,± 2.7%
"Randolph County, Georgia",27.80%,± 6.3%
"Randolph County, Illinois",21.80%,± 2.3%
"Randolph County, Indiana",20.30%,± 2.6%
"Randolph County, Missouri",17%,± 2.9%
"Randolph County, North Carolina",15.80%,± 1.4%
"Randolph County, West Virginia",17.40%,± 2.5%
"Rankin County, Mississippi",13%,± 1.3%
"Ransom County, North Dakota",13.80%,± 3.4%
"Rapides Parish, Louisiana",20.50%,± 1.5%
"Rappahannock County, Virginia",23.50%,± 6.1%
"Ravalli County, Montana",17.90%,± 1.7%
"Rawlins County, Kansas",14.60%,± 4.5%
"Ray County, Missouri",15.60%,± 2.6%
"Reagan County, Texas",8.90%,± 3.9%
"Real County, Texas",25.40%,± 12.4%
"Red Lake County, Minnesota",13%,± 2.6%
"Red River County, Texas",18.30%,± 4%
"Red River Parish, Louisiana",24.90%,± 6.2%
"Red Willow County, Nebraska",17.70%,± 4.7%
"Redwood County, Minnesota",16.20%,± 1.6%
"Reeves County, Texas",17.80%,± 4.8%
"Refugio County, Texas",26.80%,± 5.2%
"Reno County, Kansas",17.40%,± 1.7%
"Rensselaer County, New York",15.70%,± 1.1%
"Renville County, Minnesota",17.50%,± 1.8%
"Renville County, North Dakota",12.80%,± 3.2%
"Republic County, Kansas",10.40%,± 2.3%
"Reynolds County, Missouri",19%,± 4.5%
"Rhea County, Tennessee",15.60%,± 2.9%
"Rice County, Kansas",16.30%,± 3.6%
"Rice County, Minnesota",18.10%,± 1.5%
"Rich County, Utah",15.20%,± 5.4%
"Richardson County, Nebraska",16.70%,± 2.9%
"Richland County, Illinois",18.60%,± 2.6%
"Richland County, Montana",10.60%,± 2%
"Richland County, North Dakota",18.90%,± 2.1%
"Richland County, Ohio",18.10%,± 1.4%
"Richland County, South Carolina",17.30%,± 0.8%
"Richland County, Wisconsin",14.90%,± 1.8%
"Richland Parish, Louisiana",18.40%,± 3.3%
"Richmond city, Virginia",18.40%,± 1.1%
"Richmond County, Georgia",21%,± 1.7%
"Richmond County, New York",20.70%,± 0.8%
"Richmond County, North Carolina",18.80%,± 2.7%
"Richmond County, Virginia",20.80%,± 5.6%
"Riley County, Kansas",20.10%,± 2%
"Rincón Municipio, Puerto Rico",25.70%,± 5.7%
"Ringgold County, Iowa",13.70%,± 2.7%
"Rio Arriba County, New Mexico",22.50%,± 3.1%
"Rio Blanco County, Colorado",21.70%,± 5%
"Rio Grande County, Colorado",17.60%,± 4.8%
"Río Grande Municipio, Puerto Rico",21.20%,± 2.8%
"Ripley County, Indiana",16%,± 1.6%
"Ripley County, Missouri",20.60%,± 4.3%
"Ritchie County, West Virginia",17.50%,± 5.1%
"Riverside County, California",19.90%,± 0.3%
"Roane County, Tennessee",17.60%,± 2.6%
"Roane County, West Virginia",17.30%,± 3.3%
"Roanoke city, Virginia",19.30%,± 1.5%
"Roanoke County, Virginia",14.60%,± 1.5%
"Roberts County, South Dakota",17.10%,± 2.5%
"Roberts County, Texas",9.50%,± 4.8%
"Robertson County, Kentucky",13.50%,± 5.9%
"Robertson County, Tennessee",13%,± 1.5%
"Robertson County, Texas",25.10%,± 4%
"Robeson County, North Carolina",19.30%,± 1.4%
"Rock County, Minnesota",20.70%,± 2.3%
"Rock County, Nebraska",10.30%,± 3.9%
"Rock County, Wisconsin",15.50%,± 1%
"Rock Island County, Illinois",17.80%,± 1.1%
"Rockbridge County, Virginia",17.20%,± 3.4%
"Rockcastle County, Kentucky",14.40%,± 3.1%
"Rockdale County, Georgia",14.50%,± 1.7%
"Rockingham County, New Hampshire",13.30%,± 0.7%
"Rockingham County, North Carolina",17.60%,± 1.7%
"Rockingham County, Virginia",17.10%,± 1.2%
"Rockland County, New York",17.20%,± 0.8%
"Rockwall County, Texas",12.80%,± 1.4%
"Roger Mills County, Oklahoma",18.80%,± 5.3%
"Rogers County, Oklahoma",15.50%,± 0.9%
"Rolette County, North Dakota",27.40%,± 3.8%
"Rooks County, Kansas",19.50%,± 3.3%
"Roosevelt County, Montana",20.60%,± 3.2%
"Roosevelt County, New Mexico",18.40%,± 4.4%
"Roscommon County, Michigan",21.80%,± 2.9%
"Roseau County, Minnesota",11.90%,± 1.6%
"Rosebud County, Montana",21.30%,± 3.8%
"Ross County, Ohio",19.10%,± 1.9%
"Routt County, Colorado",14.30%,± 2.3%
"Rowan County, Kentucky",18.60%,± 3.1%
"Rowan County, North Carolina",16.60%,± 1.2%
"Runnels County, Texas",17.60%,± 3.6%
"Rush County, Indiana",15.70%,± 2.7%
"Rush County, Kansas",16.30%,± 4%
"Rusk County, Texas",16%,± 1.7%
"Rusk County, Wisconsin",13.50%,± 1.6%
"Russell County, Alabama",15.70%,± 2.1%
"Russell County, Kansas",19.90%,± 4.7%
"Russell County, Kentucky",16.40%,± 3.3%
"Russell County, Virginia",18.60%,± 3.9%
"Rutherford County, North Carolina",20.20%,± 2%
"Rutherford County, Tennessee",14.60%,± 0.8%
"Rutland County, Vermont",19.30%,± 1.6%
"Sabana Grande Municipio, Puerto Rico",26.10%,± 4.9%
"Sabine County, Texas",22.30%,± 5.7%
"Sabine Parish, Louisiana",12.80%,± 2.6%
"Sac County, Iowa",13.50%,± 2.2%
"Sacramento County, California",18.20%,± 0.4%
"Sagadahoc County, Maine",15.90%,± 2.1%
"Saginaw County, Michigan",19.90%,± 1%
"Saguache County, Colorado",7%,± 3%
"Salem city, Virginia",17.20%,± 2.2%
"Salem County, New Jersey",14.20%,± 1.4%
"Salinas Municipio, Puerto Rico",22%,± 3.7%
"Saline County, Arkansas",13.40%,± 1.2%
"Saline County, Illinois",21%,± 3%
"Saline County, Kansas",19%,± 2.2%
"Saline County, Missouri",17.50%,± 3.2%
"Saline County, Nebraska",13.70%,± 2.9%
"Salt Lake County, Utah",13.50%,± 0.4%
"Saluda County, South Carolina",20.40%,± 3.2%
"Sampson County, North Carolina",15.30%,± 1.7%
"San Augustine County, Texas",16.70%,± 5.1%
"San Benito County, California",18.60%,± 1.7%
"San Bernardino County, California",18%,± 0.4%
"San Diego County, California",17.90%,± 0.3%
"San Francisco County, California",13.50%,± 0.4%
"San Germán Municipio, Puerto Rico",21.80%,± 4.2%
"San Jacinto County, Texas",20.30%,± 3.8%
"San Joaquin County, California",17.90%,± 0.6%
"San Juan County, Colorado",24.10%,± 10.7%
"San Juan County, New Mexico",21.40%,± 1.4%
"San Juan County, Utah",17.40%,± 3%
"San Juan County, Washington",19.90%,± 1.8%
"San Juan Municipio, Puerto Rico",19%,± 1%
"San Lorenzo Municipio, Puerto Rico",14.40%,± 3.5%
"San Luis Obispo County, California",19.50%,± 1%
"San Mateo County, California",15.20%,± 0.5%
"San Miguel County, Colorado",17.20%,± 2.5%
"San Miguel County, New Mexico",28.90%,± 4.2%
"San Patricio County, Texas",20.10%,± 2.4%
"San Saba County, Texas",23.40%,± 6.1%
"San Sebastián Municipio, Puerto Rico",20.70%,± 3.5%
"Sanborn County, South Dakota",13.50%,± 3.5%
"Sanders County, Montana",16.30%,± 2.9%
"Sandoval County, New Mexico",16.20%,± 1.1%
"Sandusky County, Ohio",15%,± 1.4%
"Sangamon County, Illinois",17.30%,± 1%
"Sanilac County, Michigan",15.10%,± 1.2%
"Sanpete County, Utah",19.40%,± 2%
"Santa Barbara County, California",20.10%,± 0.9%
"Santa Clara County, California",13.60%,± 0.3%
"Santa Cruz County, Arizona",19.90%,± 2.6%
"Santa Cruz County, California",16.80%,± 1%
"Santa Fe County, New Mexico",20%,± 1.3%
"Santa Isabel Municipio, Puerto Rico",24.80%,± 5.2%
"Santa Rosa County, Florida",17.90%,± 1.5%
"Sarasota County, Florida",19.80%,± 0.7%
"Saratoga County, New York",14.50%,± 0.9%
"Sargent County, North Dakota",12.20%,± 2.4%
"Sarpy County, Nebraska",14.70%,± 0.8%
"Sauk County, Wisconsin",18.50%,± 1.3%
"Saunders County, Nebraska",13.70%,± 1.8%
"Sawyer County, Wisconsin",18.70%,± 2.4%
"Schenectady County, New York",17.50%,± 1%
"Schleicher County, Texas",9.20%,± 5%
"Schley County, Georgia",17.30%,± 5.3%
"Schoharie County, New York",15.90%,± 1.7%
"Schoolcraft County, Michigan",23.40%,± 3.3%
"Schuyler County, Illinois",18.50%,± 3.8%
"Schuyler County, Missouri",16.20%,± 4%
"Schuyler County, New York",21.40%,± 2.9%
"Schuylkill County, Pennsylvania",16.60%,± 1%
"Scioto County, Ohio",19.50%,± 1.8%
"Scotland County, Missouri",11.40%,± 3.6%
"Scotland County, North Carolina",18.60%,± 2%
"Scott County, Arkansas",14.80%,± 4%
"Scott County, Illinois",14.10%,± 2.7%
"Scott County, Indiana",13%,± 3%
"Scott County, Iowa",15%,± 1%
"Scott County, Kansas",21.50%,± 6.7%
"Scott County, Kentucky",13.20%,± 1.2%
"Scott County, Minnesota",14.10%,± 1.1%
"Scott County, Mississippi",14.50%,± 3.5%
"Scott County, Missouri",18.20%,± 2.3%
"Scott County, Tennessee",16.60%,± 3%
"Scott County, Virginia",17.90%,± 3.3%
"Scotts Bluff County, Nebraska",17%,± 2.1%
"Screven County, Georgia",17.10%,± 3.4%
"Scurry County, Texas",20.90%,± 3.2%
"Searcy County, Arkansas",15.90%,± 4.1%
"Sebastian County, Arkansas",16.20%,± 1.1%
"Sedgwick County, Colorado",18.10%,± 5.2%
"Sedgwick County, Kansas",16.20%,± 0.6%
"Seminole County, Florida",15.10%,± 0.7%
"Seminole County, Georgia",17.40%,± 3.6%
"Seminole County, Oklahoma",20.20%,± 2%
"Seneca County, New York",18.90%,± 2%
"Seneca County, Ohio",16.10%,± 1.5%
"Sequatchie County, Tennessee",21.60%,± 3.8%
"Sequoyah County, Oklahoma",20.10%,± 2%
"Sevier County, Arkansas",14.10%,± 2.9%
"Sevier County, Tennessee",22.30%,± 1.9%
"Sevier County, Utah",17.30%,± 2.2%
"Seward County, Kansas",14.30%,± 2.9%
"Seward County, Nebraska",15.10%,± 2.1%
"Shackelford County, Texas",15.30%,± 7%
"Shannon County, Missouri",17%,± 5.8%
"Sharkey County, Mississippi",19%,± 5.3%
"Sharp County, Arkansas",20%,± 3.9%
"Shasta County, California",21.60%,± 1.2%
"Shawano County, Wisconsin",15.60%,± 1.4%
"Shawnee County, Kansas",17%,± 1.1%
"Sheboygan County, Wisconsin",15.80%,± 1.2%
"Shelby County, Alabama",13.30%,± 0.8%
"Shelby County, Illinois",20.40%,± 2.6%
"Shelby County, Indiana",18.50%,± 2%
"Shelby County, Iowa",10.80%,± 2.5%
"Shelby County, Kentucky",14.60%,± 1.7%
"Shelby County, Missouri",20.30%,± 3.3%
"Shelby County, Ohio",13.10%,± 1.3%
"Shelby County, Tennessee",16.40%,± 0.6%
"Shelby County, Texas",18.80%,± 2.8%
"Shenandoah County, Virginia",19.70%,± 2.2%
"Sherburne County, Minnesota",14.90%,± 1.4%
"Sheridan County, Kansas",16.20%,± 4.4%
"Sheridan County, Montana",21.40%,± 4.2%
"Sheridan County, Nebraska",16.90%,± 3.2%
"Sheridan County, North Dakota",11.60%,± 3.6%
"Sheridan County, Wyoming",18.40%,± 2.1%
"Sherman County, Kansas",11.60%,± 3.9%
"Sherman County, Nebraska",20.20%,± 4.6%
"Sherman County, Oregon",16%,± 3.6%
"Sherman County, Texas",13.50%,± 6.1%
"Shiawassee County, Michigan",18.30%,± 1.4%
"Shoshone County, Idaho",21.90%,± 3.5%
"Sibley County, Minnesota",14.40%,± 1.5%
"Sierra County, California",11.70%,± 8.3%
"Sierra County, New Mexico",22.70%,± 5.6%
"Silver Bow County, Montana",20.20%,± 3.2%
"Simpson County, Kentucky",15.40%,± 3.2%
"Simpson County, Mississippi",21.80%,± 3.8%
"Sioux County, Iowa",14.10%,± 1.5%
"Sioux County, Nebraska",11.80%,± 5.1%
"Sioux County, North Dakota",28.90%,± 4.6%
"Siskiyou County, California",24.50%,± 2.4%
"Sitka City and Borough, Alaska",15.90%,± 3.6%
"Skagit County, Washington",17%,± 1.2%
"Skagway Municipality, Alaska",25.90%,± 10.2%
"Skamania County, Washington",16.30%,± 3.2%
"Slope County, North Dakota",8.80%,± 5.3%
"Smith County, Kansas",14.20%,± 3.3%
"Smith County, Mississippi",13.40%,± 3.6%
"Smith County, Tennessee",14.40%,± 2.2%
"Smith County, Texas",17.80%,± 1.3%
"Smyth County, Virginia",17.80%,± 2.4%
"Snohomish County, Washington",15%,± 0.4%
"Snyder County, Pennsylvania",14.40%,± 1.4%
"Socorro County, New Mexico",20%,± 5.3%
"Solano County, California",19.40%,± 0.8%
"Somerset County, Maine",16.90%,± 1.9%
"Somerset County, Maryland",21.60%,± 3.2%
"Somerset County, New Jersey",11.10%,± 0.6%
"Somerset County, Pennsylvania",17.40%,± 1.4%
"Somervell County, Texas",13.40%,± 4.4%
"Sonoma County, California",18.70%,± 0.7%
"South Central Connecticut Planning Region, Connecticut",17.10%,± 0.6%
"Southampton County, Virginia",18.10%,± 2.9%
"Southeast Fairbanks Census Area, Alaska",23.90%,± 5.9%
"Southeastern Connecticut Planning Region, Connecticut",21.40%,± 1%
"Spalding County, Georgia",15%,± 2%
"Spartanburg County, South Carolina",16.30%,± 0.9%
"Spencer County, Indiana",14.10%,± 2.3%
"Spencer County, Kentucky",14.10%,± 2.3%
"Spink County, South Dakota",18%,± 3.2%
"Spokane County, Washington",18.30%,± 0.6%
"Spotsylvania County, Virginia",16.10%,± 1.2%
"St. Bernard Parish, Louisiana",21%,± 2.3%
"St. Charles County, Missouri",12.60%,± 0.6%
"St. Charles Parish, Louisiana",13.10%,± 1.8%
"St. Clair County, Alabama",15.30%,± 1.6%
"St. Clair County, Illinois",18.50%,± 1.1%
"St. Clair County, Michigan",17.90%,± 1%
"St. Clair County, Missouri",19.50%,± 3.9%
"St. Croix County, Wisconsin",14.20%,± 1.1%
"St. Francis County, Arkansas",20.20%,± 3.9%
"St. Francois County, Missouri",22.70%,± 2.6%
"St. Helena Parish, Louisiana",24%,± 6.1%
"St. James Parish, Louisiana",16%,± 2.6%
"St. John the Baptist Parish, Louisiana",21.20%,± 3.4%
"St. Johns County, Florida",14%,± 1%
"St. Joseph County, Indiana",15.50%,± 0.8%
"St. Joseph County, Michigan",13.70%,± 1%
"St. Landry Parish, Louisiana",20.50%,± 2.3%
"St. Lawrence County, New York",23%,± 1.4%
"St. Louis city, Missouri",19.50%,± 0.9%
"St. Louis County, Minnesota",19.60%,± 1%
"St. Louis County, Missouri",14.50%,± 0.5%
"St. Lucie County, Florida",20.30%,± 1.2%
"St. Martin Parish, Louisiana",16.50%,± 2.1%
"St. Mary Parish, Louisiana",17.20%,± 2.4%
"St. Mary's County, Maryland",14.10%,± 1.4%
"St. Tammany Parish, Louisiana",15.90%,± 1.1%
"Stafford County, Kansas",16.30%,± 3.3%
"Stafford County, Virginia",16.80%,± 1.1%
"Stanislaus County, California",18.30%,± 0.7%
"Stanley County, South Dakota",11.40%,± 3.9%
"Stanly County, North Carolina",16.90%,± 1.8%
"Stanton County, Kansas",12.70%,± 8%
"Stanton County, Nebraska",9.30%,± 2.4%
"Stark County, Illinois",14%,± 3.3%
"Stark County, North Dakota",13.50%,± 1.9%
"Stark County, Ohio",17.10%,± 0.7%
"Starke County, Indiana",14.30%,± 2.3%
"Starr County, Texas",27.70%,± 2.6%
"Staunton city, Virginia",22.60%,± 3%
"Ste. Genevieve County, Missouri",19.50%,± 3.8%
"Stearns County, Minnesota",17.20%,± 0.9%
"Steele County, Minnesota",13.60%,± 1.8%
"Steele County, North Dakota",8.30%,± 2.5%
"Stephens County, Georgia",18.40%,± 2.9%
"Stephens County, Oklahoma",14%,± 1.6%
"Stephens County, Texas",18.90%,± 4.6%
"Stephenson County, Illinois",16.40%,± 2.1%
"Sterling County, Texas",8.90%,± 5.6%
"Steuben County, Indiana",15.20%,± 2%
"Steuben County, New York",16.50%,± 1.1%
"Stevens County, Kansas",10.80%,± 4%
"Stevens County, Minnesota",18.80%,± 2.7%
"Stevens County, Washington",19.80%,± 2%
"Stewart County, Georgia",15%,± 6.6%
"Stewart County, Tennessee",18.30%,± 3.3%
"Stillwater County, Montana",15.20%,± 2.9%
"Stoddard County, Missouri",16.80%,± 2.5%
"Stokes County, North Carolina",17.90%,± 2.7%
"Stone County, Arkansas",19.10%,± 4.6%
"Stone County, Mississippi",22.60%,± 3.8%
"Stone County, Missouri",16.60%,± 2.5%
"Stonewall County, Texas",18.90%,± 8.9%
"Storey County, Nevada",16.20%,± 7.5%
"Story County, Iowa",18%,± 1.4%
"Strafford County, New Hampshire",16.40%,± 1.3%
"Stutsman County, North Dakota",20.40%,± 2.3%
"Sublette County, Wyoming",11.10%,± 3.4%
"Suffolk city, Virginia",15.40%,± 1.2%
"Suffolk County, Massachusetts",18.50%,± 0.6%
"Suffolk County, New York",16.60%,± 0.4%
"Sullivan County, Indiana",20.40%,± 3.4%
"Sullivan County, Missouri",15.90%,± 4%
"Sullivan County, New Hampshire",16.30%,± 2.1%
"Sullivan County, New York",24%,± 1.9%
"Sullivan County, Pennsylvania",20.50%,± 3.1%
"Sullivan County, Tennessee",16.30%,± 1.3%
"Sully County, South Dakota",8.30%,± 3.2%
"Summers County, West Virginia",20.10%,± 4.5%
"Summit County, Colorado",22.80%,± 3.5%
"Summit County, Ohio",16.80%,± 0.6%
"Summit County, Utah",16.10%,± 1.8%
"Sumner County, Kansas",17.20%,± 2.7%
"Sumner County, Tennessee",14.30%,± 0.9%
"Sumter County, Alabama",20.10%,± 5.2%
"Sumter County, Florida",17.80%,± 1.9%
"Sumter County, Georgia",17.10%,± 3.2%
"Sumter County, South Carolina",18.20%,± 1.7%
"Sunflower County, Mississippi",22.60%,± 3%
"Surry County, North Carolina",16.20%,± 1.6%
"Surry County, Virginia",22.40%,± 4.6%
"Susquehanna County, Pennsylvania",15.10%,± 1.1%
"Sussex County, Delaware",20.30%,± 1%
"Sussex County, New Jersey",14.10%,± 0.8%
"Sussex County, Virginia",19.60%,± 5.6%
"Sutter County, California",19.80%,± 1.6%
"Sutton County, Texas",15.20%,± 7.5%
"Suwannee County, Florida",21.40%,± 2.8%
"Swain County, North Carolina",32.10%,± 4.2%
"Sweet Grass County, Montana",14.10%,± 3.8%
"Sweetwater County, Wyoming",15.50%,± 1.7%
"Swift County, Minnesota",15.60%,± 2.2%
"Swisher County, Texas",24%,± 7.3%
"Switzerland County, Indiana",22.10%,± 4.3%
"Talbot County, Georgia",19.30%,± 4%
"Talbot County, Maryland",17.60%,± 2.3%
"Taliaferro County, Georgia",27.70%,± 8.5%
"Talladega County, Alabama",15.20%,± 1.8%
"Tallahatchie County, Mississippi",19.20%,± 3.5%
"Tallapoosa County, Alabama",16.40%,± 2.6%
"Tama County, Iowa",16.90%,± 1.8%
"Taney County, Missouri",19.30%,± 1.8%
"Tangipahoa Parish, Louisiana",21.20%,± 1.8%
"Taos County, New Mexico",22.30%,± 3.2%
"Tarrant County, Texas",15%,± 0.4%
"Tate County, Mississippi",15.60%,± 3.2%
"Tattnall County, Georgia",17.60%,± 3.6%
"Taylor County, Florida",22.10%,± 5.5%
"Taylor County, Georgia",14.50%,± 4%
"Taylor County, Iowa",16.80%,± 3%
"Taylor County, Kentucky",14.10%,± 2.9%
"Taylor County, Texas",19.60%,± 1.3%
"Taylor County, West Virginia",17.10%,± 4%
"Taylor County, Wisconsin",13.90%,± 1.6%
"Tazewell County, Illinois",16.90%,± 1.1%
"Tazewell County, Virginia",19.60%,± 2.8%
"Tehama County, California",19.30%,± 2.5%
"Telfair County, Georgia",17.20%,± 6%
"Teller County, Colorado",13.80%,± 2.7%
"Tensas Parish, Louisiana",21.60%,± 5.6%
"Terrebonne Parish, Louisiana",16.90%,± 2%
"Terrell County, Georgia",19.90%,± 5.3%
"Terrell County, Texas",15.40%,± 7.6%
"Terry County, Texas",22.50%,± 5.2%
"Teton County, Idaho",18.30%,± 3.4%
"Teton County, Montana",18.40%,± 4.4%
"Teton County, Wyoming",23.70%,± 3.5%
"Texas County, Missouri",17.40%,± 3.2%
"Texas County, Oklahoma",15.60%,± 4.2%
"Thayer County, Nebraska",15.30%,± 2.7%
"Thomas County, Georgia",16.80%,± 2.1%
"Thomas County, Kansas",16.30%,± 4.1%
"Thomas County, Nebraska",16.20%,± 6.4%
"Throckmorton County, Texas",15.50%,± 5.9%
"Thurston County, Nebraska",19.80%,± 2%
"Thurston County, Washington",16.90%,± 0.9%
"Tift County, Georgia",16.30%,± 2.6%
"Tillamook County, Oregon",23.40%,± 2.8%
"Tillman County, Oklahoma",15.40%,± 4.2%
"Tioga County, New York",15.50%,± 1.7%
"Tioga County, Pennsylvania",18.10%,± 1.6%
"Tippah County, Mississippi",10.30%,± 2.4%
"Tippecanoe County, Indiana",17%,± 1.2%
"Tipton County, Indiana",14.20%,± 3.8%
"Tipton County, Tennessee",14.80%,± 1.8%
"Tishomingo County, Mississippi",12.10%,± 2.9%
"Titus County, Texas",18.30%,± 2.9%
"Toa Alta Municipio, Puerto Rico",19.50%,± 2.2%
"Toa Baja Municipio, Puerto Rico",20.40%,± 1.8%
"Todd County, Kentucky",10.80%,± 2.7%
"Todd County, Minnesota",14.60%,± 1.4%
