Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Petersburg Borough, Alaska",14.50%,± 4.1%
"Petersburg city, Virginia",16.30%,± 2%
"Petroleum County, Montana",14.30%,± 9.6%
"Pettis County, Missouri",11.10%,± 1.2%
"Phelps County, Missouri",11.80%,± 2%
"Phelps County, Nebraska",16.10%,± 2.7%
"Philadelphia County, Pennsylvania",12%,± 0.3%
"Phillips County, Arkansas",15.80%,± 2.8%
"Phillips County, Colorado",13.70%,± 3.5%
"Phillips County, Kansas",17.30%,± 3.4%
"Phillips County, Montana",14.30%,± 4.1%
"Piatt County, Illinois",13.90%,± 2.7%
"Pickaway County, Ohio",12.60%,± 1.7%
"Pickens County, Alabama",13.50%,± 2.3%
"Pickens County, Georgia",11.90%,± 2.4%
"Pickens County, South Carolina",12%,± 1.2%
"Pickett County, Tennessee",17.60%,± 4.3%
"Pierce County, Georgia",10.80%,± 2.7%
"Pierce County, Nebraska",13.30%,± 2.6%
"Pierce County, North Dakota",16.80%,± 4.2%
"Pierce County, Washington",9.20%,± 0.3%
"Pierce County, Wisconsin",10%,± 1.3%
"Pike County, Alabama",12.70%,± 1.8%
"Pike County, Arkansas",15%,± 2.9%
"Pike County, Georgia",11.20%,± 2.4%
"Pike County, Illinois",17.50%,± 1.9%
"Pike County, Indiana",15.50%,± 3.2%
"Pike County, Kentucky",11.50%,± 1.2%
"Pike County, Mississippi",16.20%,± 2.1%
"Pike County, Missouri",13.60%,± 2.6%
"Pike County, Ohio",13.80%,± 2.2%
"Pike County, Pennsylvania",12.30%,± 1.5%
"Pima County, Arizona",13.60%,± 0.4%
"Pinal County, Arizona",11.20%,± 0.8%
"Pine County, Minnesota",15.20%,± 1.2%
"Pinellas County, Florida",17.90%,± 0.4%
"Pipestone County, Minnesota",15.20%,± 2.2%
"Piscataquis County, Maine",16.30%,± 2.4%
"Pitkin County, Colorado",11.80%,± 3.8%
"Pitt County, North Carolina",9.60%,± 0.9%
"Pittsburg County, Oklahoma",13.30%,± 1.4%
"Pittsylvania County, Virginia",15.10%,± 1.6%
"Piute County, Utah",28.80%,± 9.6%
"Placer County, California",12.80%,± 0.6%
"Plaquemines Parish, Louisiana",7.80%,± 1.7%
"Platte County, Missouri",9.10%,± 1%
"Platte County, Nebraska",13.50%,± 1.9%
"Platte County, Wyoming",19.20%,± 4.5%
"Pleasants County, West Virginia",11%,± 2.4%
"Plumas County, California",15.80%,± 2.9%
"Plymouth County, Iowa",13.40%,± 1.7%
"Plymouth County, Massachusetts",12.30%,± 0.5%
"Pocahontas County, Iowa",18.10%,± 2.8%
"Pocahontas County, West Virginia",22%,± 4.2%
"Poinsett County, Arkansas",10.20%,± 1.7%
"Pointe Coupee Parish, Louisiana",15.50%,± 2.9%
"Polk County, Arkansas",16%,± 2.2%
"Polk County, Florida",12.70%,± 0.6%
"Polk County, Georgia",13%,± 2.2%
"Polk County, Iowa",10.10%,± 0.5%
"Polk County, Minnesota",13.40%,± 1.7%
"Polk County, Missouri",13.50%,± 2%
"Polk County, Nebraska",14.80%,± 2.6%
"Polk County, North Carolina",18%,± 2.5%
"Polk County, Oregon",12.10%,± 1.4%
"Polk County, Tennessee",10%,± 2.4%
"Polk County, Texas",13.50%,± 2%
"Polk County, Wisconsin",11.50%,± 1%
"Ponce Municipio, Puerto Rico",17.30%,± 1.1%
"Pondera County, Montana",16.90%,± 2.6%
"Pontotoc County, Mississippi",9.60%,± 2.1%
"Pontotoc County, Oklahoma",11.90%,± 1.6%
"Pope County, Arkansas",12.20%,± 1.4%
"Pope County, Illinois",17.90%,± 4.5%
"Pope County, Minnesota",16.80%,± 1.9%
"Poquoson city, Virginia",8.80%,± 3.5%
"Portage County, Ohio",12.60%,± 1%
"Portage County, Wisconsin",10.90%,± 1.1%
"Porter County, Indiana",11%,± 0.9%
"Portsmouth city, Virginia",12.80%,± 1%
"Posey County, Indiana",8.80%,± 1.5%
"Pottawatomie County, Kansas",13.10%,± 2.3%
"Pottawatomie County, Oklahoma",12.40%,± 1.1%
"Pottawattamie County, Iowa",12.60%,± 0.9%
"Potter County, Pennsylvania",15.30%,± 1.4%
"Potter County, South Dakota",16.80%,± 4.4%
"Potter County, Texas",12.30%,± 1%
"Powder River County, Montana",18.90%,± 5.6%
"Powell County, Kentucky",12.30%,± 3.1%
"Powell County, Montana",13.30%,± 4.1%
"Power County, Idaho",12.60%,± 4.7%
"Poweshiek County, Iowa",17.10%,± 2.1%
"Powhatan County, Virginia",7.40%,± 1.9%
"Prairie County, Arkansas",23.30%,± 4.3%
"Prairie County, Montana",18.10%,± 7%
"Pratt County, Kansas",16.10%,± 3%
"Preble County, Ohio",13.40%,± 1.5%
"Prentiss County, Mississippi",14.20%,± 2.6%
"Presidio County, Texas",36.60%,± 12.1%
"Presque Isle County, Michigan",16.40%,± 1.8%
"Preston County, West Virginia",13.40%,± 1.7%
"Price County, Wisconsin",18.80%,± 1.4%
"Prince Edward County, Virginia",13.50%,± 2.7%
"Prince George County, Virginia",9.80%,± 2.1%
"Prince George's County, Maryland",9.90%,± 0.4%
"Prince of Wales-Hyder Census Area, Alaska",12.60%,± 2.3%
"Prince William County, Virginia",6.20%,± 0.4%
"Providence County, Rhode Island",12.80%,± 0.5%
"Prowers County, Colorado",17.30%,± 3.5%
"Pueblo County, Colorado",14.60%,± 0.9%
"Pulaski County, Arkansas",11.80%,± 0.5%
"Pulaski County, Georgia",15.20%,± 4.9%
"Pulaski County, Illinois",20.30%,± 3.6%
"Pulaski County, Indiana",17.10%,± 2.9%
"Pulaski County, Kentucky",13.50%,± 1.8%
"Pulaski County, Missouri",9.40%,± 2.1%
"Pulaski County, Virginia",16.30%,± 2.2%
"Pushmataha County, Oklahoma",14.50%,± 2.1%
"Putnam County, Florida",16.70%,± 1.7%
"Putnam County, Georgia",15.30%,± 2.8%
"Putnam County, Illinois",12.90%,± 2.6%
"Putnam County, Indiana",10.50%,± 1.9%
"Putnam County, Missouri",23.10%,± 5.7%
"Putnam County, New York",10.80%,± 1.1%
"Putnam County, Ohio",12.90%,± 1.7%
"Putnam County, Tennessee",10.40%,± 1.2%
"Putnam County, West Virginia",9.50%,± 1.4%
"Quay County, New Mexico",25.40%,± 4.3%
"Quebradillas Municipio, Puerto Rico",15%,± 3.1%
"Queen Anne's County, Maryland",11.60%,± 1.5%
"Queens County, New York",10.50%,± 0.3%
"Quitman County, Georgia",22.50%,± 9.8%
"Quitman County, Mississippi",13.20%,± 2.9%
"Rabun County, Georgia",13.70%,± 2.5%
"Racine County, Wisconsin",13%,± 0.9%
"Radford city, Virginia",7.70%,± 2.2%
"Rains County, Texas",11.60%,± 3.6%
"Raleigh County, West Virginia",16.20%,± 1.6%
"Ralls County, Missouri",14%,± 3%
"Ramsey County, Minnesota",12.60%,± 0.4%
"Ramsey County, North Dakota",18.70%,± 3.8%
"Randall County, Texas",10.80%,± 1%
"Randolph County, Alabama",13.80%,± 2.7%
"Randolph County, Arkansas",15.60%,± 2.6%
"Randolph County, Georgia",18.90%,± 5.9%
"Randolph County, Illinois",15.20%,± 1.8%
"Randolph County, Indiana",14.40%,± 2%
"Randolph County, Missouri",13.30%,± 2%
"Randolph County, North Carolina",12.60%,± 1.1%
"Randolph County, West Virginia",16.40%,± 2.8%
"Rankin County, Mississippi",11.10%,± 1.2%
"Ransom County, North Dakota",18.70%,± 3.3%
"Rapides Parish, Louisiana",13.50%,± 1.2%
"Rappahannock County, Virginia",12.20%,± 4.2%
"Ravalli County, Montana",15.30%,± 2%
"Rawlins County, Kansas",13.40%,± 3.5%
"Ray County, Missouri",12.40%,± 2.1%
"Reagan County, Texas",5.10%,± 3.3%
"Real County, Texas",15.30%,± 6.7%
"Red Lake County, Minnesota",16.80%,± 2.7%
"Red River County, Texas",20%,± 4.1%
"Red River Parish, Louisiana",12%,± 3.9%
"Red Willow County, Nebraska",20.50%,± 3.4%
"Redwood County, Minnesota",14.40%,± 1.6%
"Reeves County, Texas",9.70%,± 2.6%
"Refugio County, Texas",17.80%,± 3.9%
"Reno County, Kansas",17.70%,± 1.7%
"Rensselaer County, New York",12.20%,± 0.9%
"Renville County, Minnesota",15.20%,± 1.6%
"Renville County, North Dakota",10%,± 2.6%
"Republic County, Kansas",18.40%,± 2.6%
"Reynolds County, Missouri",20.10%,± 4.1%
"Rhea County, Tennessee",11.60%,± 2.1%
"Rice County, Kansas",14.70%,± 2.5%
"Rice County, Minnesota",13.20%,± 1.2%
"Rich County, Utah",9.20%,± 6.4%
"Richardson County, Nebraska",18.40%,± 3.7%
"Richland County, Illinois",15.50%,± 2.1%
"Richland County, Montana",13.50%,± 3.2%
"Richland County, North Dakota",14.40%,± 1.6%
"Richland County, Ohio",14.90%,± 1%
"Richland County, South Carolina",10.50%,± 0.6%
"Richland County, Wisconsin",16.80%,± 1.9%
"Richland Parish, Louisiana",11.50%,± 2.4%
"Richmond city, Virginia",12.90%,± 0.7%
"Richmond County, Georgia",13%,± 1.1%
"Richmond County, New York",11%,± 0.6%
"Richmond County, North Carolina",15.40%,± 2%
"Richmond County, Virginia",16.50%,± 4%
"Riley County, Kansas",6.70%,± 1.1%
"Rincón Municipio, Puerto Rico",14.20%,± 3.3%
"Ringgold County, Iowa",13.60%,± 2.4%
"Rio Arriba County, New Mexico",15.40%,± 2.3%
"Rio Blanco County, Colorado",13.80%,± 4.1%
"Rio Grande County, Colorado",13.40%,± 3.3%
"Río Grande Municipio, Puerto Rico",14.10%,± 2%
"Ripley County, Indiana",12.60%,± 1.9%
"Ripley County, Missouri",15.90%,± 2.7%
"Ritchie County, West Virginia",14.90%,± 2.9%
"Riverside County, California",9.80%,± 0.3%
"Roane County, Tennessee",16%,± 1.9%
"Roane County, West Virginia",17.30%,± 2.8%
"Roanoke city, Virginia",13.90%,± 1.1%
"Roanoke County, Virginia",16.30%,± 1.3%
"Roberts County, South Dakota",12%,± 1.8%
"Roberts County, Texas",8.40%,± 6.2%
"Robertson County, Kentucky",10.20%,± 4.2%
"Robertson County, Tennessee",9.20%,± 1.2%
"Robertson County, Texas",14.80%,± 3%
"Robeson County, North Carolina",11.90%,± 0.8%
"Rock County, Minnesota",14%,± 2.5%
"Rock County, Nebraska",14%,± 3.6%
"Rock County, Wisconsin",13.10%,± 0.9%
"Rock Island County, Illinois",15.30%,± 1%
"Rockbridge County, Virginia",18.40%,± 3%
"Rockcastle County, Kentucky",14.10%,± 3%
"Rockdale County, Georgia",8.60%,± 1.2%
"Rockingham County, New Hampshire",11.30%,± 0.9%
"Rockingham County, North Carolina",14.20%,± 1.1%
"Rockingham County, Virginia",13.80%,± 1.3%
"Rockland County, New York",12.10%,± 0.9%
"Rockwall County, Texas",6.80%,± 1.1%
"Roger Mills County, Oklahoma",13.90%,± 3.5%
"Rogers County, Oklahoma",10.60%,± 1%
"Rolette County, North Dakota",8.40%,± 2.5%
"Rooks County, Kansas",18.60%,± 3.6%
"Roosevelt County, Montana",13.10%,± 2.2%
"Roosevelt County, New Mexico",12.80%,± 3.1%
"Roscommon County, Michigan",18.70%,± 2%
"Roseau County, Minnesota",12.90%,± 1.6%
"Rosebud County, Montana",14.80%,± 3.5%
"Ross County, Ohio",13.40%,± 1.3%
"Routt County, Colorado",9.20%,± 2.3%
"Rowan County, Kentucky",11.60%,± 2.9%
"Rowan County, North Carolina",12.90%,± 1%
"Runnels County, Texas",14.90%,± 2.5%
"Rush County, Indiana",12.10%,± 2.5%
"Rush County, Kansas",18.50%,± 4.3%
"Rusk County, Texas",12.70%,± 1.9%
"Rusk County, Wisconsin",14.80%,± 1.6%
"Russell County, Alabama",10.80%,± 1.9%
"Russell County, Kansas",19.10%,± 3.6%
"Russell County, Kentucky",14.50%,± 2.4%
"Russell County, Virginia",18%,± 2.7%
"Rutherford County, North Carolina",16%,± 1.8%
"Rutherford County, Tennessee",7.20%,± 0.6%
"Rutland County, Vermont",16.70%,± 1.6%
"Sabana Grande Municipio, Puerto Rico",19.90%,± 3%
"Sabine County, Texas",18.70%,± 4.8%
"Sabine Parish, Louisiana",16.30%,± 2.1%
"Sac County, Iowa",15.40%,± 2.5%
"Sacramento County, California",10.30%,± 0.3%
"Sagadahoc County, Maine",12.70%,± 1.8%
"Saginaw County, Michigan",14.80%,± 0.8%
"Saguache County, Colorado",17%,± 4.3%
"Salem city, Virginia",14.10%,± 2%
"Salem County, New Jersey",13.30%,± 1.3%
"Salinas Municipio, Puerto Rico",15.30%,± 2.7%
"Saline County, Arkansas",9.80%,± 1.1%
"Saline County, Illinois",18.60%,± 2.4%
"Saline County, Kansas",12.70%,± 1.4%
"Saline County, Missouri",16.70%,± 2.1%
"Saline County, Nebraska",10%,± 2.2%
"Salt Lake County, Utah",7.80%,± 0.3%
"Saluda County, South Carolina",12.20%,± 2.5%
"Sampson County, North Carolina",13.40%,± 1.6%
"San Augustine County, Texas",12.90%,± 4.3%
"San Benito County, California",7.60%,± 1.2%
"San Bernardino County, California",7.50%,± 0.3%
"San Diego County, California",9.20%,± 0.2%
"San Francisco County, California",11.40%,± 0.4%
"San Germán Municipio, Puerto Rico",23.10%,± 2.6%
"San Jacinto County, Texas",13.70%,± 2.8%
"San Joaquin County, California",8.90%,± 0.4%
"San Juan County, Colorado",6.80%,± 4.9%
"San Juan County, New Mexico",9.50%,± 0.8%
"San Juan County, Utah",9.60%,± 2.5%
"San Juan County, Washington",16%,± 1.4%
"San Juan Municipio, Puerto Rico",18.70%,± 0.7%
"San Lorenzo Municipio, Puerto Rico",14.50%,± 2.2%
"San Luis Obispo County, California",14%,± 0.8%
"San Mateo County, California",9.90%,± 0.4%
"San Miguel County, Colorado",8.50%,± 2.9%
"San Miguel County, New Mexico",20.60%,± 2.5%
"San Patricio County, Texas",10.40%,± 1.1%
"San Saba County, Texas",21%,± 5%
"San Sebastián Municipio, Puerto Rico",16.90%,± 2.4%
"Sanborn County, South Dakota",16.50%,± 4.5%
"Sanders County, Montana",20.80%,± 3.9%
"Sandoval County, New Mexico",9.90%,± 0.9%
"Sandusky County, Ohio",11.60%,± 1.2%
"Sangamon County, Illinois",14%,± 0.8%
"Sanilac County, Michigan",14.70%,± 1.1%
"Sanpete County, Utah",10.70%,± 1.5%
"Santa Barbara County, California",11.80%,± 0.6%
"Santa Clara County, California",7.80%,± 0.2%
"Santa Cruz County, Arizona",11.70%,± 2%
"Santa Cruz County, California",12.10%,± 0.7%
"Santa Fe County, New Mexico",17.50%,± 1.1%
"Santa Isabel Municipio, Puerto Rico",13.30%,± 2.6%
"Santa Rosa County, Florida",9.50%,± 0.9%
"Sarasota County, Florida",19.50%,± 0.7%
"Saratoga County, New York",12.60%,± 0.8%
"Sargent County, North Dakota",12.40%,± 2.2%
"Sarpy County, Nebraska",8%,± 0.5%
"Sauk County, Wisconsin",11.90%,± 1.2%
"Saunders County, Nebraska",13.80%,± 1.8%
"Sawyer County, Wisconsin",18.10%,± 2%
"Schenectady County, New York",13.60%,± 1%
"Schleicher County, Texas",22.20%,± 8.7%
"Schley County, Georgia",10.30%,± 5.3%
"Schoharie County, New York",16.40%,± 1.7%
"Schoolcraft County, Michigan",16.70%,± 2.5%
"Schuyler County, Illinois",11%,± 2.7%
"Schuyler County, Missouri",17.30%,± 3.7%
"Schuyler County, New York",15.60%,± 2.4%
"Schuylkill County, Pennsylvania",14.10%,± 0.8%
"Scioto County, Ohio",14.20%,± 1.7%
"Scotland County, Missouri",13.50%,± 4.1%
"Scotland County, North Carolina",15.10%,± 1.7%
"Scott County, Arkansas",13.60%,± 3.1%
"Scott County, Illinois",15.80%,± 3%
"Scott County, Indiana",13.20%,± 2.7%
"Scott County, Iowa",12.30%,± 0.7%
"Scott County, Kansas",4%,± 3.3%
"Scott County, Kentucky",8.90%,± 1.1%
"Scott County, Minnesota",7.70%,± 0.8%
"Scott County, Mississippi",10.40%,± 2.3%
"Scott County, Missouri",12.10%,± 1.7%
"Scott County, Tennessee",11.60%,± 2.3%
"Scott County, Virginia",18.40%,± 2.5%
"Scotts Bluff County, Nebraska",15.90%,± 1.7%
"Screven County, Georgia",14.30%,± 2.9%
"Scurry County, Texas",16%,± 3%
"Searcy County, Arkansas",18.30%,± 4%
"Sebastian County, Arkansas",11.70%,± 1.1%
"Sedgwick County, Colorado",16.60%,± 3.2%
"Sedgwick County, Kansas",11.60%,± 0.6%
"Seminole County, Florida",9.40%,± 0.6%
"Seminole County, Georgia",13.50%,± 3.6%
"Seminole County, Oklahoma",14%,± 1.6%
"Seneca County, New York",16.10%,± 1.8%
"Seneca County, Ohio",12.80%,± 1.2%
"Sequatchie County, Tennessee",11.20%,± 2.9%
"Sequoyah County, Oklahoma",14.40%,± 1.5%
"Sevier County, Arkansas",10.60%,± 2.4%
"Sevier County, Tennessee",10.50%,± 1.2%
"Sevier County, Utah",9.60%,± 1.6%
"Seward County, Kansas",10.50%,± 2.5%
"Seward County, Nebraska",12.60%,± 2.3%
"Shackelford County, Texas",13.80%,± 4.7%
"Shannon County, Missouri",12.50%,± 3.6%
"Sharkey County, Mississippi",10.60%,± 4.1%
"Sharp County, Arkansas",15.50%,± 2.5%
"Shasta County, California",13.80%,± 0.9%
"Shawano County, Wisconsin",13.50%,± 1.3%
"Shawnee County, Kansas",13.90%,± 1%
"Sheboygan County, Wisconsin",14.20%,± 1.2%
"Shelby County, Alabama",9.80%,± 0.8%
"Shelby County, Illinois",13.50%,± 2.1%
"Shelby County, Indiana",13.70%,± 1.8%
"Shelby County, Iowa",15.70%,± 3.4%
"Shelby County, Kentucky",10%,± 1.8%
"Shelby County, Missouri",14.50%,± 2.8%
"Shelby County, Ohio",11.60%,± 1.6%
"Shelby County, Tennessee",11.40%,± 0.4%
"Shelby County, Texas",12.70%,± 2.4%
"Shenandoah County, Virginia",15%,± 1.8%
"Sherburne County, Minnesota",8.70%,± 1.1%
"Sheridan County, Kansas",15.40%,± 4%
"Sheridan County, Montana",16.50%,± 3.6%
"Sheridan County, Nebraska",17.80%,± 4%
"Sheridan County, North Dakota",23.10%,± 5.2%
"Sheridan County, Wyoming",14.50%,± 2.2%
"Sherman County, Kansas",11.30%,± 4.2%
"Sherman County, Nebraska",18.10%,± 4.9%
"Sherman County, Oregon",13.80%,± 3.6%
"Sherman County, Texas",12%,± 5.5%
"Shiawassee County, Michigan",13%,± 1.3%
"Shoshone County, Idaho",19.20%,± 3%
"Sibley County, Minnesota",13.60%,± 1.7%
"Sierra County, California",13.30%,± 6.2%
"Sierra County, New Mexico",28.20%,± 4.2%
"Silver Bow County, Montana",16.90%,± 2.2%
"Simpson County, Kentucky",8.30%,± 2%
"Simpson County, Mississippi",13.90%,± 2.7%
"Sioux County, Iowa",12.20%,± 1.7%
"Sioux County, Nebraska",13.10%,± 4.8%
"Sioux County, North Dakota",4.50%,± 1.9%
"Siskiyou County, California",18%,± 1.7%
"Sitka City and Borough, Alaska",9.90%,± 1.7%
"Skagit County, Washington",13%,± 0.7%
"Skagway Municipality, Alaska",20.70%,± 10.1%
"Skamania County, Washington",12.70%,± 2.3%
"Slope County, North Dakota",12.80%,± 4.2%
"Smith County, Kansas",20.10%,± 3.8%
"Smith County, Mississippi",16.10%,± 2.8%
"Smith County, Tennessee",11.60%,± 1.9%
"Smith County, Texas",11.30%,± 0.8%
"Smyth County, Virginia",16.50%,± 2.3%
"Snohomish County, Washington",9.50%,± 0.4%
"Snyder County, Pennsylvania",14.80%,± 1.4%
"Socorro County, New Mexico",14.70%,± 3.7%
"Solano County, California",10%,± 0.6%
"Somerset County, Maine",15.40%,± 1.5%
"Somerset County, Maryland",15.20%,± 2%
"Somerset County, New Jersey",9.70%,± 0.6%
"Somerset County, Pennsylvania",16.10%,± 1.1%
"Somervell County, Texas",10.70%,± 3.7%
"Sonoma County, California",14.30%,± 0.5%
"South Central Connecticut Planning Region, Connecticut",12.60%,± 0.5%
"Southampton County, Virginia",14.90%,± 2.8%
"Southeast Fairbanks Census Area, Alaska",11.10%,± 2.6%
"Southeastern Connecticut Planning Region, Connecticut",12.60%,± 0.8%
"Spalding County, Georgia",12.10%,± 1.6%
"Spartanburg County, South Carolina",11%,± 0.8%
"Spencer County, Indiana",13.20%,± 2%
"Spencer County, Kentucky",6.50%,± 1.8%
"Spink County, South Dakota",15.80%,± 2.4%
"Spokane County, Washington",12.40%,± 0.5%
"Spotsylvania County, Virginia",7.50%,± 0.9%
"St. Bernard Parish, Louisiana",9.90%,± 1.4%
"St. Charles County, Missouri",10.50%,± 0.5%
"St. Charles Parish, Louisiana",8.50%,± 1.6%
"St. Clair County, Alabama",10.80%,± 1.7%
"St. Clair County, Illinois",12.40%,± 0.7%
"St. Clair County, Michigan",12.30%,± 0.8%
"St. Clair County, Missouri",20.20%,± 3.5%
"St. Croix County, Wisconsin",9%,± 0.9%
"St. Francis County, Arkansas",14.20%,± 2.4%
"St. Francois County, Missouri",12.30%,± 1.4%
"St. Helena Parish, Louisiana",19.50%,± 6.1%
"St. James Parish, Louisiana",10.40%,± 2.4%
"St. John the Baptist Parish, Louisiana",9.90%,± 1.9%
"St. Johns County, Florida",10.60%,± 0.7%
"St. Joseph County, Indiana",14.60%,± 0.7%
"St. Joseph County, Michigan",13.40%,± 1.3%
"St. Landry Parish, Louisiana",12.70%,± 1.6%
"St. Lawrence County, New York",15.10%,± 1.1%
"St. Louis city, Missouri",12.30%,± 0.5%
"St. Louis County, Minnesota",14.50%,± 0.7%
"St. Louis County, Missouri",13.30%,± 0.4%
"St. Lucie County, Florida",13.40%,± 0.9%
"St. Martin Parish, Louisiana",11.20%,± 1.8%
"St. Mary Parish, Louisiana",12.50%,± 1.8%
"St. Mary's County, Maryland",8.30%,± 0.9%
"St. Tammany Parish, Louisiana",11.60%,± 0.9%
"Stafford County, Kansas",13.90%,± 3.6%
"Stafford County, Virginia",6.90%,± 0.9%
"Stanislaus County, California",9.10%,± 0.5%
"Stanley County, South Dakota",12.50%,± 5.1%
"Stanly County, North Carolina",13.70%,± 1.5%
"Stanton County, Kansas",11.50%,± 4.6%
"Stanton County, Nebraska",12.70%,± 3.8%
"Stark County, Illinois",16.60%,± 2.6%
"Stark County, North Dakota",10.50%,± 1.6%
"Stark County, Ohio",13.60%,± 0.6%
"Starke County, Indiana",13.60%,± 2%
"Starr County, Texas",11.20%,± 2%
"Staunton city, Virginia",19.40%,± 2.5%
"Ste. Genevieve County, Missouri",12.50%,± 3%
"Stearns County, Minnesota",11.10%,± 1%
"Steele County, Minnesota",13.50%,± 1.5%
"Steele County, North Dakota",17.70%,± 6.3%
"Stephens County, Georgia",13.30%,± 2.6%
"Stephens County, Oklahoma",14.70%,± 1.4%
"Stephens County, Texas",15.50%,± 4.4%
"Stephenson County, Illinois",15.50%,± 1.7%
"Sterling County, Texas",5.90%,± 5.1%
"Steuben County, Indiana",12.70%,± 1.5%
"Steuben County, New York",14.10%,± 1.1%
"Stevens County, Kansas",10%,± 3.1%
"Stevens County, Minnesota",11.90%,± 2.5%
"Stevens County, Washington",13.80%,± 1.8%
"Stewart County, Georgia",11.60%,± 4.5%
"Stewart County, Tennessee",18.10%,± 3.2%
"Stillwater County, Montana",14%,± 2%
"Stoddard County, Missouri",14.80%,± 2%
"Stokes County, North Carolina",15.60%,± 2%
"Stone County, Arkansas",20.20%,± 3.8%
"Stone County, Mississippi",9.70%,± 2.9%
"Stone County, Missouri",16.10%,± 2.1%
"Stonewall County, Texas",18.70%,± 8.2%
"Storey County, Nevada",29.70%,± 9.5%
"Story County, Iowa",10.10%,± 1.3%
"Strafford County, New Hampshire",11.80%,± 1.2%
"Stutsman County, North Dakota",16%,± 2.5%
"Sublette County, Wyoming",14.10%,± 5.4%
"Suffolk city, Virginia",10%,± 0.8%
"Suffolk County, Massachusetts",10.40%,± 0.4%
"Suffolk County, New York",11.80%,± 0.3%
"Sullivan County, Indiana",12.40%,± 2.2%
"Sullivan County, Missouri",17.20%,± 3.7%
"Sullivan County, New Hampshire",14.60%,± 2.1%
"Sullivan County, New York",15.80%,± 1.4%
"Sullivan County, Pennsylvania",17.30%,± 2.5%
"Sullivan County, Tennessee",14.90%,± 0.8%
"Sully County, South Dakota",20%,± 6.8%
"Summers County, West Virginia",23.40%,± 4.9%
"Summit County, Colorado",5.40%,± 2.2%
"Summit County, Ohio",13.50%,± 0.6%
"Summit County, Utah",7.20%,± 1.1%
"Sumner County, Kansas",16.60%,± 2%
"Sumner County, Tennessee",9.30%,± 0.9%
"Sumter County, Alabama",14.20%,± 3.2%
"Sumter County, Florida",24.30%,± 2.3%
"Sumter County, Georgia",12.60%,± 2.3%
"Sumter County, South Carolina",12.90%,± 1.4%
"Sunflower County, Mississippi",14.20%,± 2.3%
"Surry County, North Carolina",14.60%,± 1.3%
"Surry County, Virginia",16.90%,± 4.1%
"Susquehanna County, Pennsylvania",15.20%,± 1.2%
"Sussex County, Delaware",15%,± 0.8%
"Sussex County, New Jersey",10.30%,± 0.9%
"Sussex County, Virginia",15.60%,± 3.8%
"Sutter County, California",10.60%,± 1%
"Sutton County, Texas",9.40%,± 5.1%
"Suwannee County, Florida",12.10%,± 2.3%
"Swain County, North Carolina",12.30%,± 2.6%
"Sweet Grass County, Montana",15.60%,± 4.2%
"Sweetwater County, Wyoming",11.30%,± 1.6%
"Swift County, Minnesota",17.50%,± 2.1%
"Swisher County, Texas",18.50%,± 4.3%
"Switzerland County, Indiana",17.90%,± 3.2%
"Talbot County, Georgia",19.80%,± 3.9%
"Talbot County, Maryland",18.50%,± 2.1%
"Taliaferro County, Georgia",13.40%,± 5%
"Talladega County, Alabama",11.40%,± 1.4%
"Tallahatchie County, Mississippi",12.30%,± 3.6%
"Tallapoosa County, Alabama",16.10%,± 1.8%
"Tama County, Iowa",12.30%,± 1.5%
"Taney County, Missouri",14.20%,± 2.2%
"Tangipahoa Parish, Louisiana",11.80%,± 1.5%
"Taos County, New Mexico",21.70%,± 3.3%
"Tarrant County, Texas",8%,± 0.2%
"Tate County, Mississippi",9.10%,± 2%
"Tattnall County, Georgia",14.20%,± 2.8%
"Taylor County, Florida",14.90%,± 3.5%
"Taylor County, Georgia",13.10%,± 3.5%
"Taylor County, Iowa",16.50%,± 2.8%
"Taylor County, Kentucky",13.40%,± 3.1%
"Taylor County, Texas",9.90%,± 1%
"Taylor County, West Virginia",13.30%,± 3.3%
"Taylor County, Wisconsin",12.10%,± 1.4%
"Tazewell County, Illinois",12.90%,± 1%
"Tazewell County, Virginia",15.90%,± 2.4%
"Tehama County, California",13.10%,± 1.5%
"Telfair County, Georgia",17.90%,± 5.9%
"Teller County, Colorado",13.20%,± 2.5%
"Tensas Parish, Louisiana",21.70%,± 6.5%
"Terrebonne Parish, Louisiana",10.40%,± 1.2%
"Terrell County, Georgia",14.30%,± 3.4%
"Terrell County, Texas",40.10%,± 15.5%
"Terry County, Texas",10.40%,± 3.9%
"Teton County, Idaho",9.80%,± 2.8%
"Teton County, Montana",17.20%,± 3.5%
"Teton County, Wyoming",6.30%,± 2.1%
"Texas County, Missouri",13.90%,± 2.7%
"Texas County, Oklahoma",8.50%,± 2.2%
"Thayer County, Nebraska",16.80%,± 2.1%
"Thomas County, Georgia",11%,± 1.5%
"Thomas County, Kansas",12.40%,± 4.1%
"Thomas County, Nebraska",9.20%,± 6.1%
"Throckmorton County, Texas",21.30%,± 7.5%
"Thurston County, Nebraska",10.60%,± 1.9%
"Thurston County, Washington",11%,± 0.6%
"Tift County, Georgia",13.40%,± 1.8%
"Tillamook County, Oregon",17.60%,± 2.3%
"Tillman County, Oklahoma",19.70%,± 4.1%
"Tioga County, New York",13.80%,± 2%
"Tioga County, Pennsylvania",13.90%,± 1.2%
"Tippah County, Mississippi",12.10%,± 3.1%
"Tippecanoe County, Indiana",8.90%,± 0.8%
