Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Phillips County, Colorado",18.30%,± 3%
"Phillips County, Kansas",24.40%,± 0.4%
"Phillips County, Montana",22.80%,± 0.4%
"Piatt County, Illinois",20.30%,± 0.1%
"Pickaway County, Ohio",15.90%,± 0.2%
"Pickens County, Alabama",19.40%,± 0.2%
"Pickens County, Georgia",22.10%,± 0.2%
"Pickens County, South Carolina",17%,± 0.1%
"Pickett County, Tennessee",27.60%,± 0.6%
"Pierce County, Georgia",17.10%,± 0.4%
"Pierce County, Nebraska",19.30%,± 0.4%
"Pierce County, North Dakota",24.60%,± 1.7%
"Pierce County, Washington",14.20%,*****
"Pierce County, Wisconsin",15.60%,± 0.1%
"Pike County, Alabama",15.30%,± 0.2%
"Pike County, Arkansas",20.50%,± 0.4%
"Pike County, Georgia",15.70%,± 0.2%
"Pike County, Illinois",21.50%,± 0.2%
"Pike County, Indiana",20.90%,± 0.8%
"Pike County, Kentucky",19.20%,± 0.1%
"Pike County, Mississippi",17.20%,± 0.1%
"Pike County, Missouri",18.30%,± 0.3%
"Pike County, Ohio",17.80%,± 0.4%
"Pike County, Pennsylvania",23%,± 0.3%
"Pima County, Arizona",20.40%,± 0.1%
"Pinal County, Arizona",20.80%,± 0.1%
"Pine County, Minnesota",21.30%,± 0.1%
"Pinellas County, Florida",25.60%,± 0.1%
"Pipestone County, Minnesota",20.40%,± 0.2%
"Piscataquis County, Maine",26.80%,± 0.2%
"Pitkin County, Colorado",20.30%,± 0.2%
"Pitt County, North Carolina",14.10%,± 0.1%
"Pittsburg County, Oklahoma",19.90%,± 0.2%
"Pittsylvania County, Virginia",23.50%,± 0.1%
"Piute County, Utah",30.90%,± 4.7%
"Placer County, California",20%,± 0.1%
"Plaquemines Parish, Louisiana",13.30%,± 0.7%
"Platte County, Missouri",15.40%,± 0.1%
"Platte County, Nebraska",17.80%,± 0.4%
"Platte County, Wyoming",26.60%,± 0.9%
"Pleasants County, West Virginia",18.40%,± 0.1%
"Plumas County, California",29.60%,± 0.6%
"Plymouth County, Iowa",18.90%,± 0.3%
"Plymouth County, Massachusetts",18.80%,± 0.1%
"Pocahontas County, Iowa",23.30%,± 0.2%
"Pocahontas County, West Virginia",26.40%,± 0.5%
"Poinsett County, Arkansas",18.30%,± 0.1%
"Pointe Coupee Parish, Louisiana",21.30%,± 0.2%
"Polk County, Arkansas",22.70%,± 0.4%
"Polk County, Florida",19.90%,± 0.1%
"Polk County, Georgia",15.40%,± 0.4%
"Polk County, Iowa",13.50%,*****
"Polk County, Minnesota",18.70%,± 0.3%
"Polk County, Missouri",18.10%,± 0.2%
"Polk County, Nebraska",22.40%,± 0.1%
"Polk County, North Carolina",31.70%,± 0.4%
"Polk County, Oregon",18.50%,± 0.1%
"Polk County, Tennessee",20.90%,± 0.3%
"Polk County, Texas",18.80%,± 0.1%
"Polk County, Wisconsin",21.50%,± 0.1%
"Ponce Municipio, Puerto Rico",23.80%,*****
"Pondera County, Montana",21.20%,± 0.1%
"Pontotoc County, Mississippi",15.10%,± 0.1%
"Pontotoc County, Oklahoma",16.90%,± 0.2%
"Pope County, Arkansas",15.90%,± 0.2%
"Pope County, Illinois",24.90%,± 2.5%
"Pope County, Minnesota",25.10%,± 0.5%
"Poquoson city, Virginia",19.70%,± 0.7%
"Portage County, Ohio",17.30%,± 0.1%
"Portage County, Wisconsin",17.50%,± 0.1%
"Porter County, Indiana",17.20%,± 0.1%
"Portsmouth city, Virginia",15.10%,± 0.1%
"Posey County, Indiana",19.80%,± 0.3%
"Pottawatomie County, Kansas",14.80%,± 0.3%
"Pottawatomie County, Oklahoma",16.30%,± 0.1%
"Pottawattamie County, Iowa",18%,± 0.1%
"Potter County, Pennsylvania",24.90%,± 0.2%
"Potter County, South Dakota",26.70%,± 2.3%
"Potter County, Texas",13.50%,± 0.1%
"Powder River County, Montana",29.10%,± 3.6%
"Powell County, Kentucky",15.90%,± 0.5%
"Powell County, Montana",20.20%,± 0.4%
"Power County, Idaho",15.40%,± 0.8%
"Poweshiek County, Iowa",20.70%,± 0.3%
"Powhatan County, Virginia",19.30%,± 0.3%
"Prairie County, Arkansas",23.60%,± 1%
"Prairie County, Montana",32%,± 6.1%
"Pratt County, Kansas",20.30%,± 0.7%
"Preble County, Ohio",19.60%,± 0.1%
"Prentiss County, Mississippi",17.70%,± 0.1%
"Presidio County, Texas",22.80%,± 4.6%
"Presque Isle County, Michigan",32.30%,± 0.1%
"Preston County, West Virginia",19.90%,± 0.1%
"Price County, Wisconsin",27.20%,± 0.1%
"Prince Edward County, Virginia",16.40%,± 0.2%
"Prince George County, Virginia",12.90%,± 0.2%
"Prince George's County, Maryland",14.10%,± 0.1%
"Prince of Wales-Hyder Census Area, Alaska",19.30%,± 0.5%
"Prince William County, Virginia",10.50%,± 0.1%
"Providence County, Rhode Island",15.70%,± 0.1%
"Prowers County, Colorado",18%,± 0.3%
"Pueblo County, Colorado",18.90%,± 0.1%
"Pulaski County, Arkansas",16.20%,± 0.1%
"Pulaski County, Georgia",22.50%,± 2.6%
"Pulaski County, Illinois",22.60%,± 0.3%
"Pulaski County, Indiana",20.70%,± 0.2%
"Pulaski County, Kentucky",19%,± 0.1%
"Pulaski County, Missouri",9.30%,± 0.2%
"Pulaski County, Virginia",22.50%,± 0.4%
"Pushmataha County, Oklahoma",22.80%,± 0.3%
"Putnam County, Florida",23.50%,± 0.1%
"Putnam County, Georgia",24.90%,± 0.5%
"Putnam County, Illinois",23.50%,± 0.4%
"Putnam County, Indiana",17%,± 0.2%
"Putnam County, Missouri",25.30%,± 1.1%
"Putnam County, New York",18.30%,± 0.1%
"Putnam County, Ohio",17.90%,± 0.1%
"Putnam County, Tennessee",16.30%,± 0.1%
"Putnam County, West Virginia",19.10%,± 0.3%
"Quay County, New Mexico",25%,± 0.2%
"Quebradillas Municipio, Puerto Rico",21.60%,*****
"Queen Anne's County, Maryland",19.70%,± 0.1%
"Queens County, New York",16.50%,± 0.1%
"Quitman County, Georgia",34.80%,± 7.6%
"Quitman County, Mississippi",17.80%,*****
"Rabun County, Georgia",28.30%,± 0.4%
"Racine County, Wisconsin",17.30%,± 0.1%
"Radford city, Virginia",9.30%,± 0.5%
"Rains County, Texas",24%,± 0.8%
"Raleigh County, West Virginia",21.40%,± 0.2%
"Ralls County, Missouri",22.20%,± 0.4%
"Ramsey County, Minnesota",15.10%,± 0.1%
"Ramsey County, North Dakota",21.50%,± 1%
"Randall County, Texas",15.40%,± 0.1%
"Randolph County, Alabama",20.90%,± 0.1%
"Randolph County, Arkansas",19.70%,± 0.5%
"Randolph County, Georgia",20.20%,± 3.4%
"Randolph County, Illinois",20.40%,± 0.3%
"Randolph County, Indiana",20.30%,± 0.1%
"Randolph County, Missouri",16.90%,± 0.3%
"Randolph County, North Carolina",18%,± 0.1%
"Randolph County, West Virginia",22.40%,± 0.4%
"Rankin County, Mississippi",16.10%,± 0.1%
"Ransom County, North Dakota",21.20%,± 0.6%
"Rapides Parish, Louisiana",16.40%,± 0.1%
"Rappahannock County, Virginia",26.50%,± 0.9%
"Ravalli County, Montana",26.20%,± 0.2%
"Rawlins County, Kansas",26.90%,± 0.6%
"Ray County, Missouri",18.60%,± 0.3%
"Reagan County, Texas",8.40%,± 2.4%
"Real County, Texas",34.10%,± 6%
"Red Lake County, Minnesota",21.80%,± 0.1%
"Red River County, Texas",25.90%,± 0.9%
"Red River Parish, Louisiana",19.20%,*****
"Red Willow County, Nebraska",21%,± 0.3%
"Redwood County, Minnesota",21.40%,± 0.4%
"Reeves County, Texas",12.40%,± 0.6%
"Refugio County, Texas",22.30%,± 0.4%
"Reno County, Kansas",20.10%,± 0.1%
"Rensselaer County, New York",17.60%,± 0.1%
"Renville County, Minnesota",21.10%,± 0.2%
"Renville County, North Dakota",19.20%,± 2.8%
"Republic County, Kansas",26.20%,± 0.6%
"Reynolds County, Missouri",23.50%,± 0.3%
"Rhea County, Tennessee",18.90%,± 0.3%
"Rice County, Kansas",19.70%,± 0.7%
"Rice County, Minnesota",16.20%,± 0.2%
"Rich County, Utah",18%,± 2.9%
"Richardson County, Nebraska",24.20%,± 0.3%
"Richland County, Illinois",20.20%,± 0.2%
"Richland County, Montana",16.90%,± 0.9%
"Richland County, North Dakota",19%,± 0.3%
"Richland County, Ohio",19.60%,± 0.1%
"Richland County, South Carolina",13.40%,± 0.1%
"Richland County, Wisconsin",24.10%,± 0.1%
"Richland Parish, Louisiana",17.70%,± 0.1%
"Richmond city, Virginia",13.80%,± 0.1%
"Richmond County, Georgia",14.50%,± 0.1%
"Richmond County, New York",16.60%,± 0.1%
"Richmond County, North Carolina",17.90%,± 0.3%
"Richmond County, Virginia",20%,± 1.8%
"Riley County, Kansas",9.60%,± 0.1%
"Rincón Municipio, Puerto Rico",26.40%,*****
"Ringgold County, Iowa",23%,± 0.5%
"Rio Arriba County, New Mexico",20.20%,± 0.1%
"Rio Blanco County, Colorado",16%,± 0.6%
"Rio Grande County, Colorado",20.90%,± 0.3%
"Río Grande Municipio, Puerto Rico",21.40%,*****
"Ripley County, Indiana",18.40%,± 0.3%
"Ripley County, Missouri",19.80%,± 0.3%
"Ritchie County, West Virginia",22.70%,± 0.4%
"Riverside County, California",14.80%,*****
"Roane County, Tennessee",23%,± 0.3%
"Roane County, West Virginia",22.50%,± 0.3%
"Roanoke city, Virginia",17.60%,± 0.1%
"Roanoke County, Virginia",21.70%,± 0.1%
"Roberts County, South Dakota",19.90%,± 0.1%
"Roberts County, Texas",14.10%,± 5.1%
"Robertson County, Kentucky",17.90%,± 4%
"Robertson County, Tennessee",14.90%,± 0.1%
"Robertson County, Texas",20.30%,± 0.7%
"Robeson County, North Carolina",15.70%,± 0.1%
"Rock County, Minnesota",20%,± 0.2%
"Rock County, Nebraska",25.40%,± 3.3%
"Rock County, Wisconsin",17%,± 0.1%
"Rock Island County, Illinois",19.80%,± 0.1%
"Rockbridge County, Virginia",26.50%,± 0.3%
"Rockcastle County, Kentucky",18.80%,± 0.2%
"Rockdale County, Georgia",15.10%,± 0.3%
"Rockingham County, New Hampshire",18.90%,± 0.1%
"Rockingham County, North Carolina",20.80%,± 0.2%
"Rockingham County, Virginia",19.60%,± 0.2%
"Rockland County, New York",15.60%,± 0.1%
"Rockwall County, Texas",12.40%,± 0.1%
"Roger Mills County, Oklahoma",21.20%,± 0.5%
"Rogers County, Oklahoma",16.70%,± 0.1%
"Rolette County, North Dakota",12.40%,± 0.2%
"Rooks County, Kansas",22.90%,± 0.4%
"Roosevelt County, Montana",11.60%,± 0.2%
"Roosevelt County, New Mexico",14.80%,± 0.3%
"Roscommon County, Michigan",33.10%,± 0.1%
"Roseau County, Minnesota",18.20%,± 0.3%
"Rosebud County, Montana",16.50%,± 0.4%
"Ross County, Ohio",17.20%,± 0.1%
"Routt County, Colorado",16.90%,± 0.3%
"Rowan County, Kentucky",14%,± 0.1%
"Rowan County, North Carolina",17.70%,± 0.1%
"Runnels County, Texas",20.60%,± 0.7%
"Rush County, Indiana",18.60%,± 0.1%
"Rush County, Kansas",24.30%,± 2.4%
"Rusk County, Texas",16.80%,± 0.1%
"Rusk County, Wisconsin",25.10%,± 0.1%
"Russell County, Alabama",14.90%,± 0.3%
"Russell County, Kansas",24.90%,± 0.9%
"Russell County, Kentucky",20.20%,± 0.2%
"Russell County, Virginia",22.60%,± 0.3%
"Rutherford County, North Carolina",21.70%,± 0.1%
"Rutherford County, Tennessee",10.80%,± 0.1%
"Rutland County, Vermont",23.40%,± 0.1%
"Sabana Grande Municipio, Puerto Rico",24.30%,*****
"Sabine County, Texas",30%,± 1.1%
"Sabine Parish, Louisiana",20.70%,± 0.2%
"Sac County, Iowa",23.70%,± 0.3%
"Sacramento County, California",14.60%,*****
"Sagadahoc County, Maine",23.40%,± 0.3%
"Saginaw County, Michigan",19.60%,± 0.1%
"Saguache County, Colorado",25.60%,± 2.2%
"Salem city, Virginia",19.30%,± 0.4%
"Salem County, New Jersey",18.80%,± 0.2%
"Salinas Municipio, Puerto Rico",21.10%,*****
"Saline County, Arkansas",18.30%,± 0.1%
"Saline County, Illinois",20.60%,± 0.3%
"Saline County, Kansas",18.40%,± 0.2%
"Saline County, Missouri",17.50%,± 0.4%
"Saline County, Nebraska",15.90%,± 0.5%
"Salt Lake County, Utah",11.30%,*****
"Saluda County, South Carolina",20%,± 0.2%
"Sampson County, North Carolina",18.10%,± 0.2%
"San Augustine County, Texas",28.20%,± 1.1%
"San Benito County, California",13.20%,± 0.1%
"San Bernardino County, California",11.90%,*****
"San Diego County, California",14.70%,*****
"San Francisco County, California",16.70%,± 0.1%
"San Germán Municipio, Puerto Rico",26.30%,*****
"San Jacinto County, Texas",21.80%,± 0.5%
"San Joaquin County, California",13%,± 0.1%
"San Juan County, Colorado",24.10%,± 8.6%
"San Juan County, New Mexico",15.70%,± 0.1%
"San Juan County, Utah",15.50%,± 0.6%
"San Juan County, Washington",34.60%,± 0.1%
"San Juan Municipio, Puerto Rico",24.10%,*****
"San Lorenzo Municipio, Puerto Rico",20.70%,*****
"San Luis Obispo County, California",21.10%,± 0.1%
"San Mateo County, California",16.90%,*****
"San Miguel County, Colorado",16.50%,± 0.8%
"San Miguel County, New Mexico",22.90%,± 0.3%
"San Patricio County, Texas",15.10%,± 0.2%
"San Saba County, Texas",22.70%,± 1.1%
"San Sebastián Municipio, Puerto Rico",24.80%,*****
"Sanborn County, South Dakota",20.50%,± 2.2%
"Sanders County, Montana",31.90%,± 0.3%
"Sandoval County, New Mexico",18.80%,± 0.1%
"Sandusky County, Ohio",19.40%,± 0.1%
"Sangamon County, Illinois",18.50%,± 0.1%
"Sanilac County, Michigan",22.30%,± 0.1%
"Sanpete County, Utah",14.10%,± 0.3%
"Santa Barbara County, California",15.90%,± 0.1%
"Santa Clara County, California",14.10%,*****
"Santa Cruz County, Arizona",18.50%,± 0.2%
"Santa Cruz County, California",17.70%,± 0.1%
"Santa Fe County, New Mexico",25.90%,± 0.1%
"Santa Isabel Municipio, Puerto Rico",17.20%,*****
"Santa Rosa County, Florida",16.30%,± 0.1%
"Sarasota County, Florida",37.30%,± 0.1%
"Saratoga County, New York",18.90%,± 0.1%
"Sargent County, North Dakota",22.60%,± 0.1%
"Sarpy County, Nebraska",12.20%,± 0.1%
"Sauk County, Wisconsin",19%,± 0.1%
"Saunders County, Nebraska",18.30%,± 0.1%
"Sawyer County, Wisconsin",27%,± 0.1%
"Schenectady County, New York",17.50%,± 0.1%
"Schleicher County, Texas",25.60%,± 3.2%
"Schley County, Georgia",13.30%,± 2.9%
"Schoharie County, New York",23%,± 0.1%
"Schoolcraft County, Michigan",27.50%,± 0.2%
"Schuyler County, Illinois",24.30%,± 1.4%
"Schuyler County, Missouri",19.20%,± 0.1%
"Schuyler County, New York",22.10%,± 0.2%
"Schuylkill County, Pennsylvania",20.70%,± 0.1%
"Scioto County, Ohio",18.30%,± 0.2%
"Scotland County, Missouri",18.50%,± 0.1%
"Scotland County, North Carolina",18%,± 0.1%
"Scott County, Arkansas",20.80%,± 1%
"Scott County, Illinois",20.80%,± 0.9%
"Scott County, Indiana",17.10%,± 0.3%
"Scott County, Iowa",16.70%,± 0.1%
"Scott County, Kansas",20.50%,± 2%
"Scott County, Kentucky",12.70%,± 0.2%
"Scott County, Minnesota",11.80%,± 0.1%
"Scott County, Mississippi",16.10%,± 0.7%
"Scott County, Missouri",18.30%,± 0.1%
"Scott County, Tennessee",16.90%,± 0.1%
"Scott County, Virginia",24.80%,± 0.5%
"Scotts Bluff County, Nebraska",19.90%,± 0.1%
"Screven County, Georgia",19.80%,± 0.2%
"Scurry County, Texas",15%,± 0.6%
"Searcy County, Arkansas",25.30%,± 0.6%
"Sebastian County, Arkansas",16.50%,*****
"Sedgwick County, Colorado",25.10%,± 3.8%
"Sedgwick County, Kansas",15.20%,± 0.1%
"Seminole County, Florida",16%,± 0.1%
"Seminole County, Georgia",23.80%,± 0.6%
"Seminole County, Oklahoma",18.10%,*****
"Seneca County, New York",20.20%,± 0.2%
"Seneca County, Ohio",18.30%,± 0.2%
"Sequatchie County, Tennessee",20.60%,± 0.3%
"Sequoyah County, Oklahoma",18.40%,± 0.1%
"Sevier County, Arkansas",13.70%,± 0.7%
"Sevier County, Tennessee",20%,± 0.1%
"Sevier County, Utah",16.50%,± 0.3%
"Seward County, Kansas",10.10%,± 0.2%
"Seward County, Nebraska",17.50%,± 0.2%
"Shackelford County, Texas",19.70%,± 0.5%
"Shannon County, Missouri",22.60%,± 0.3%
"Sharkey County, Mississippi",17.60%,± 1.8%
"Sharp County, Arkansas",25.30%,± 0.4%
"Shasta County, California",21.10%,± 0.1%
"Shawano County, Wisconsin",21.50%,± 0.2%
"Shawnee County, Kansas",18.60%,± 0.1%
"Sheboygan County, Wisconsin",18.70%,± 0.1%
"Shelby County, Alabama",16.20%,*****
"Shelby County, Illinois",22.90%,± 0.3%
"Shelby County, Indiana",17.60%,± 0.1%
"Shelby County, Iowa",23%,± 0.5%
"Shelby County, Kentucky",16.30%,± 0.3%
"Shelby County, Missouri",21.50%,± 0.5%
"Shelby County, Ohio",17.20%,± 0.2%
"Shelby County, Tennessee",14.20%,± 0.1%
"Shelby County, Texas",17.80%,± 0.4%
"Shenandoah County, Virginia",21.90%,± 0.2%
"Sherburne County, Minnesota",11.70%,± 0.1%
"Sheridan County, Kansas",23.20%,± 0.3%
"Sheridan County, Montana",22.50%,± 2%
"Sheridan County, Nebraska",26%,± 1%
"Sheridan County, North Dakota",33.50%,± 3.1%
"Sheridan County, Wyoming",21.70%,± 0.4%
"Sherman County, Kansas",20.60%,± 1.7%
"Sherman County, Nebraska",27.60%,± 0.9%
"Sherman County, Oregon",23.20%,± 3.2%
"Sherman County, Texas",16.30%,± 2.5%
"Shiawassee County, Michigan",19.10%,± 0.1%
"Shoshone County, Idaho",23%,± 0.4%
"Sibley County, Minnesota",18.70%,± 0.2%
"Sierra County, California",31.20%,± 3.1%
"Sierra County, New Mexico",35.90%,± 1.1%
"Silver Bow County, Montana",19.50%,± 0.2%
"Simpson County, Kentucky",15.70%,± 0.7%
"Simpson County, Mississippi",18.20%,± 0.1%
"Sioux County, Iowa",16.10%,± 0.2%
"Sioux County, Nebraska",22.80%,± 4.8%
"Sioux County, North Dakota",8.10%,*****
"Siskiyou County, California",26.40%,± 0.2%
"Sitka City and Borough, Alaska",16.20%,± 0.4%
"Skagit County, Washington",21.50%,± 0.1%
"Skagway Municipality, Alaska",13.80%,± 4%
"Skamania County, Washington",21.60%,± 0.5%
"Slope County, North Dakota",27%,± 5.1%
"Smith County, Kansas",28.60%,± 0.4%
"Smith County, Mississippi",20.30%,*****
"Smith County, Tennessee",16.40%,± 0.2%
"Smith County, Texas",17%,± 0.1%
"Smyth County, Virginia",22.40%,± 0.3%
"Snohomish County, Washington",14.10%,± 0.1%
"Snyder County, Pennsylvania",19.80%,± 0.1%
"Socorro County, New Mexico",20%,± 0.6%
"Solano County, California",16.50%,*****
"Somerset County, Maine",22.20%,± 0.1%
"Somerset County, Maryland",17.20%,± 0.2%
"Somerset County, New Jersey",16.30%,± 0.1%
"Somerset County, Pennsylvania",23.10%,± 0.1%
"Somervell County, Texas",18.40%,± 0.9%
"Sonoma County, California",20.60%,± 0.1%
"South Central Connecticut Planning Region, Connecticut",17.50%,± 0.1%
"Southampton County, Virginia",20.80%,± 0.1%
"Southeast Fairbanks Census Area, Alaska",14.20%,± 0.1%
"Southeastern Connecticut Planning Region, Connecticut",18.90%,*****
"Spalding County, Georgia",18.40%,± 0.2%
"Spartanburg County, South Carolina",16.30%,± 0.1%
"Spencer County, Indiana",20.10%,± 0.2%
"Spencer County, Kentucky",14.40%,± 0.2%
"Spink County, South Dakota",22.90%,± 0.2%
"Spokane County, Washington",16.80%,± 0.1%
"Spotsylvania County, Virginia",14.60%,± 0.1%
"St. Bernard Parish, Louisiana",12.30%,± 0.1%
"St. Charles County, Missouri",16%,± 0.1%
"St. Charles Parish, Louisiana",14.40%,± 0.2%
"St. Clair County, Alabama",17.40%,± 0.1%
"St. Clair County, Illinois",16.40%,± 0.1%
"St. Clair County, Michigan",19.40%,± 0.1%
"St. Clair County, Missouri",26.10%,± 0.3%
"St. Croix County, Wisconsin",14.90%,± 0.1%
"St. Francis County, Arkansas",17.40%,± 0.7%
"St. Francois County, Missouri",16.90%,± 0.2%
"St. Helena Parish, Louisiana",20.40%,± 0.1%
"St. James Parish, Louisiana",18.40%,± 0.2%
"St. John the Baptist Parish, Louisiana",14.70%,± 0.2%
"St. Johns County, Florida",20.70%,± 0.1%
"St. Joseph County, Indiana",16.30%,± 0.1%
"St. Joseph County, Michigan",18.20%,± 0.1%
"St. Landry Parish, Louisiana",16.30%,± 0.1%
"St. Lawrence County, New York",18%,± 0.1%
"St. Louis city, Missouri",14.50%,± 0.1%
"St. Louis County, Minnesota",20.30%,± 0.1%
"St. Louis County, Missouri",18.40%,± 0.1%
"St. Lucie County, Florida",24.40%,± 0.1%
"St. Martin Parish, Louisiana",16.20%,± 0.1%
"St. Mary Parish, Louisiana",17.60%,± 0.3%
"St. Mary's County, Maryland",13.30%,± 0.1%
"St. Tammany Parish, Louisiana",17.70%,*****
"Stafford County, Kansas",21.60%,± 0.5%
"Stafford County, Virginia",11%,± 0.1%
"Stanislaus County, California",13.30%,*****
"Stanley County, South Dakota",22%,± 3.2%
"Stanly County, North Carolina",18.90%,± 0.2%
"Stanton County, Kansas",15.90%,± 5.1%
"Stanton County, Nebraska",19.80%,± 0.4%
"Stark County, Illinois",22.70%,± 0.3%
"Stark County, North Dakota",13.30%,± 0.1%
"Stark County, Ohio",19.90%,*****
"Starke County, Indiana",18.80%,± 0.1%
"Starr County, Texas",11.50%,± 0.2%
"Staunton city, Virginia",21.10%,± 0.3%
"Ste. Genevieve County, Missouri",20.60%,± 0.4%
"Stearns County, Minnesota",15.50%,± 0.1%
"Steele County, Minnesota",18.40%,± 0.2%
"Steele County, North Dakota",26.40%,± 2.9%
"Stephens County, Georgia",20.90%,± 0.8%
"Stephens County, Oklahoma",20.40%,± 0.3%
"Stephens County, Texas",19.60%,± 0.8%
"Stephenson County, Illinois",23.70%,± 0.2%
"Sterling County, Texas",13.10%,± 4.6%
"Steuben County, Indiana",21%,± 0.2%
"Steuben County, New York",20%,± 0.1%
"Stevens County, Kansas",17%,± 1.2%
"Stevens County, Minnesota",17.30%,± 0.2%
"Stevens County, Washington",24.30%,± 0.2%
"Stewart County, Georgia",14.50%,*****
"Stewart County, Tennessee",20.50%,± 0.6%
"Stillwater County, Montana",24.40%,± 0.3%
"Stoddard County, Missouri",20.10%,± 0.1%
"Stokes County, North Carolina",21.90%,± 0.3%
"Stone County, Arkansas",27.30%,± 0.3%
"Stone County, Mississippi",17.90%,± 0.7%
"Stone County, Missouri",31.20%,± 0.3%
"Stonewall County, Texas",20.30%,± 5%
"Storey County, Nevada",37.30%,± 7.2%
"Story County, Iowa",12.60%,± 0.1%
"Strafford County, New Hampshire",16%,± 0.1%
"Stutsman County, North Dakota",19.90%,± 0.4%
"Sublette County, Wyoming",22.30%,± 1.2%
"Suffolk city, Virginia",14.80%,± 0.1%
"Suffolk County, Massachusetts",12.60%,± 0.1%
"Suffolk County, New York",17.30%,± 0.1%
"Sullivan County, Indiana",18.20%,± 0.2%
"Sullivan County, Missouri",20.10%,± 0.7%
"Sullivan County, New Hampshire",22.70%,± 0.3%
"Sullivan County, New York",18.90%,± 0.1%
"Sullivan County, Pennsylvania",29.30%,± 0.2%
"Sullivan County, Tennessee",22%,± 0.1%
"Sully County, South Dakota",25%,± 4.1%
"Summers County, West Virginia",26.30%,± 0.6%
"Summit County, Colorado",14.90%,± 0.6%
"Summit County, Ohio",18.60%,± 0.1%
"Summit County, Utah",13.80%,± 0.2%
"Sumner County, Kansas",19.30%,± 0.4%
"Sumner County, Tennessee",16.30%,± 0.1%
"Sumter County, Alabama",18.60%,*****
"Sumter County, Florida",57.90%,± 0.1%
"Sumter County, Georgia",16.90%,± 0.2%
"Sumter County, South Carolina",17%,± 0.1%
"Sunflower County, Mississippi",14.40%,± 0.1%
"Surry County, North Carolina",20.60%,± 0.3%
"Surry County, Virginia",24%,± 0.5%
"Susquehanna County, Pennsylvania",24.20%,± 0.1%
"Sussex County, Delaware",29.20%,*****
"Sussex County, New Jersey",18.10%,± 0.1%
"Sussex County, Virginia",18.40%,± 0.1%
"Sutter County, California",15.70%,± 0.1%
"Sutton County, Texas",13.20%,± 4.7%
"Suwannee County, Florida",21.20%,± 0.6%
"Swain County, North Carolina",19.20%,± 0.3%
"Sweet Grass County, Montana",24.60%,± 2.8%
"Sweetwater County, Wyoming",13.60%,± 0.2%
"Swift County, Minnesota",23.10%,± 0.3%
"Swisher County, Texas",17.30%,± 1.4%
"Switzerland County, Indiana",18%,± 0.3%
"Talbot County, Georgia",25.90%,*****
"Talbot County, Maryland",29.70%,± 0.1%
"Taliaferro County, Georgia",28%,± 6.7%
"Talladega County, Alabama",18.60%,± 0.1%
"Tallahatchie County, Mississippi",16.50%,*****
"Tallapoosa County, Alabama",22.30%,± 0.1%
"Tama County, Iowa",19.80%,± 0.2%
"Taney County, Missouri",22.30%,± 0.2%
"Tangipahoa Parish, Louisiana",14.90%,± 0.1%
"Taos County, New Mexico",27.80%,± 0.1%
"Tarrant County, Texas",11.70%,± 0.1%
"Tate County, Mississippi",16.40%,± 0.1%
"Tattnall County, Georgia",14.30%,± 0.3%
"Taylor County, Florida",20.40%,± 0.7%
"Taylor County, Georgia",20.90%,*****
"Taylor County, Iowa",22.50%,± 0.4%
"Taylor County, Kentucky",18.20%,± 0.5%
"Taylor County, Texas",14.60%,± 0.1%
"Taylor County, West Virginia",20.50%,± 0.2%
"Taylor County, Wisconsin",20.10%,± 0.2%
"Tazewell County, Illinois",19.30%,± 0.1%
"Tazewell County, Virginia",22.90%,± 0.2%
"Tehama County, California",19.90%,± 0.1%
"Telfair County, Georgia",17.60%,± 0.2%
"Teller County, Colorado",23.70%,± 0.6%
"Tensas Parish, Louisiana",26.10%,*****
"Terrebonne Parish, Louisiana",15.10%,± 0.1%
"Terrell County, Georgia",19.80%,± 0.5%
"Terrell County, Texas",34.20%,± 10.7%
"Terry County, Texas",14.80%,± 0.3%
"Teton County, Idaho",12.80%,± 0.3%
"Teton County, Montana",22.90%,± 0.5%
"Teton County, Wyoming",16.60%,± 0.7%
"Texas County, Missouri",20.90%,± 0.3%
"Texas County, Oklahoma",11.80%,± 0.4%
"Thayer County, Nebraska",25.30%,± 0.4%
"Thomas County, Georgia",18.30%,± 0.2%
"Thomas County, Kansas",17.50%,± 0.1%
"Thomas County, Nebraska",34.50%,± 6.3%
"Throckmorton County, Texas",25.50%,± 4.3%
"Thurston County, Nebraska",12.30%,± 0.3%
"Thurston County, Washington",17.90%,± 0.1%
"Tift County, Georgia",15.30%,± 0.2%
"Tillamook County, Oregon",26.80%,± 0.3%
"Tillman County, Oklahoma",20.20%,± 0.8%
"Tioga County, New York",20.90%,± 0.1%
"Tioga County, Pennsylvania",22.60%,± 0.1%
"Tippah County, Mississippi",16.80%,± 0.1%
"Tippecanoe County, Indiana",11.80%,± 0.1%
"Tipton County, Indiana",21.40%,± 0.5%
"Tipton County, Tennessee",15%,± 0.1%
"Tishomingo County, Mississippi",20.90%,± 0.3%
"Titus County, Texas",14.50%,± 0.2%
"Toa Alta Municipio, Puerto Rico",16%,*****
"Toa Baja Municipio, Puerto Rico",21%,*****
"Todd County, Kentucky",16.60%,± 0.9%
"Todd County, Minnesota",22.10%,± 0.1%
"Todd County, South Dakota",7.30%,± 0.4%
"Tom Green County, Texas",15.90%,± 0.1%
"Tompkins County, New York",15.70%,± 0.1%
