Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Phillips County, Montana",5.50%,± 0.2%
"Piatt County, Illinois",5.60%,± 0.4%
"Pickaway County, Ohio",5.30%,± 0.2%
"Pickens County, Alabama",5%,± 0.2%
"Pickens County, Georgia",4.80%,± 0.3%
"Pickens County, South Carolina",4.70%,± 0.1%
"Pickett County, Tennessee",3.80%,± 0.8%
"Pierce County, Georgia",6.40%,± 0.6%
"Pierce County, Nebraska",7.20%,± 0.5%
"Pierce County, North Dakota",4.40%,± 1.2%
"Pierce County, Washington",6.30%,*****
"Pierce County, Wisconsin",4.80%,± 0.1%
"Pike County, Alabama",5.10%,± 0.1%
"Pike County, Arkansas",4.90%,± 0.3%
"Pike County, Georgia",5.10%,± 0.2%
"Pike County, Illinois",6%,± 0.1%
"Pike County, Indiana",5.50%,± 0.1%
"Pike County, Kentucky",5.10%,± 0.1%
"Pike County, Mississippi",6.50%,± 0.2%
"Pike County, Missouri",5.60%,± 0.2%
"Pike County, Ohio",6.40%,± 0.3%
"Pike County, Pennsylvania",3.60%,± 0.1%
"Pima County, Arizona",5.10%,± 0.1%
"Pinal County, Arizona",5.40%,± 0.1%
"Pine County, Minnesota",4.60%,± 0.1%
"Pinellas County, Florida",4%,*****
"Pipestone County, Minnesota",7.10%,± 0.3%
"Piscataquis County, Maine",4.70%,± 0.3%
"Pitkin County, Colorado",4.70%,± 1.3%
"Pitt County, North Carolina",5.60%,± 0.1%
"Pittsburg County, Oklahoma",5.80%,± 0.1%
"Pittsylvania County, Virginia",4.10%,± 0.1%
"Piute County, Utah",2.80%,± 1.5%
"Placer County, California",5.10%,± 0.1%
"Plaquemines Parish, Louisiana",5.90%,± 0.5%
"Platte County, Missouri",5.80%,± 0.1%
"Platte County, Nebraska",6.90%,± 0.1%
"Platte County, Wyoming",4.40%,± 0.3%
"Pleasants County, West Virginia",4.80%,± 0.1%
"Plumas County, California",4.50%,± 0.3%
"Plymouth County, Iowa",5.80%,± 0.1%
"Plymouth County, Massachusetts",5.10%,± 0.1%
"Pocahontas County, Iowa",5.80%,± 0.5%
"Pocahontas County, West Virginia",4.40%,± 0.5%
"Poinsett County, Arkansas",6.50%,± 0.2%
"Pointe Coupee Parish, Louisiana",5.50%,± 1%
"Polk County, Arkansas",5.70%,± 0.3%
"Polk County, Florida",5.60%,± 0.1%
"Polk County, Georgia",6.50%,± 0.1%
"Polk County, Iowa",6.70%,*****
"Polk County, Minnesota",6.50%,± 0.3%
"Polk County, Missouri",6.20%,± 0.5%
"Polk County, Nebraska",5.50%,± 0.3%
"Polk County, North Carolina",4%,± 0.4%
"Polk County, Oregon",5.40%,± 0.1%
"Polk County, Tennessee",4.60%,± 0.1%
"Polk County, Texas",5%,± 0.1%
"Polk County, Wisconsin",4.60%,± 0.1%
"Ponce Municipio, Puerto Rico",3.80%,*****
"Pondera County, Montana",6.60%,± 0.6%
"Pontotoc County, Mississippi",6.80%,± 0.1%
"Pontotoc County, Oklahoma",6.70%,± 0.1%
"Pope County, Arkansas",6.10%,± 0.1%
"Pope County, Illinois",5.10%,± 1.5%
"Pope County, Minnesota",5.20%,± 0.1%
"Poquoson city, Virginia",4.60%,± 0.4%
"Portage County, Ohio",4.40%,± 0.1%
"Portage County, Wisconsin",4.60%,± 0.1%
"Porter County, Indiana",5.10%,± 0.1%
"Portsmouth city, Virginia",7.10%,± 0.2%
"Posey County, Indiana",5.20%,± 0.2%
"Pottawatomie County, Kansas",7.50%,± 0.2%
"Pottawatomie County, Oklahoma",5.80%,± 0.1%
"Pottawattamie County, Iowa",5.70%,± 0.2%
"Potter County, Pennsylvania",4.90%,± 0.1%
"Potter County, South Dakota",5.60%,± 1.6%
"Potter County, Texas",7%,± 0.1%
"Powder River County, Montana",6.10%,± 1.4%
"Powell County, Kentucky",6.30%,± 0.2%
"Powell County, Montana",3.60%,± 0.3%
"Power County, Idaho",7.20%,± 0.1%
"Poweshiek County, Iowa",4.60%,± 0.1%
"Powhatan County, Virginia",4.30%,± 0.5%
"Prairie County, Arkansas",4.90%,± 0.4%
"Prairie County, Montana",3.80%,± 2.4%
"Pratt County, Kansas",6.60%,± 0.8%
"Preble County, Ohio",5.20%,± 0.1%
"Prentiss County, Mississippi",6%,± 0.1%
"Presidio County, Texas",8.20%,± 4.4%
"Presque Isle County, Michigan",4.20%,± 0.2%
"Preston County, West Virginia",4.60%,± 0.1%
"Price County, Wisconsin",4.10%,± 0.2%
"Prince Edward County, Virginia",4.20%,± 0.1%
"Prince George County, Virginia",4.90%,± 0.1%
"Prince George's County, Maryland",6.30%,± 0.1%
"Prince of Wales-Hyder Census Area, Alaska",4.90%,± 0.2%
"Prince William County, Virginia",6.90%,± 0.1%
"Providence County, Rhode Island",5.50%,± 0.1%
"Prowers County, Colorado",6.60%,± 0.1%
"Pueblo County, Colorado",5.50%,± 0.1%
"Pulaski County, Arkansas",6.30%,± 0.1%
"Pulaski County, Georgia",7.20%,± 2%
"Pulaski County, Illinois",5.20%,± 0.5%
"Pulaski County, Indiana",5.20%,± 0.3%
"Pulaski County, Kentucky",5.70%,± 0.1%
"Pulaski County, Missouri",6.90%,± 0.3%
"Pulaski County, Virginia",4.60%,± 0.2%
"Pushmataha County, Oklahoma",5.40%,± 0.2%
"Putnam County, Florida",5.60%,± 0.1%
"Putnam County, Georgia",4.40%,± 1.1%
"Putnam County, Illinois",5.30%,± 0.6%
"Putnam County, Indiana",4.60%,± 0.1%
"Putnam County, Missouri",5.90%,± 0.7%
"Putnam County, New York",4.50%,± 0.1%
"Putnam County, Ohio",6.40%,± 0.1%
"Putnam County, Tennessee",5.50%,± 0.2%
"Putnam County, West Virginia",4.70%,± 0.2%
"Quay County, New Mexico",3.30%,± 1.5%
"Quebradillas Municipio, Puerto Rico",3.40%,*****
"Queen Anne's County, Maryland",5%,± 0.1%
"Queens County, New York",5.80%,± 0.1%
"Quitman County, Georgia",3.30%,± 2.1%
"Quitman County, Mississippi",6.10%,*****
"Rabun County, Georgia",4.30%,± 0.5%
"Racine County, Wisconsin",5.80%,± 0.1%
"Radford city, Virginia",3.70%,± 0.6%
"Rains County, Texas",4.40%,± 0.7%
"Raleigh County, West Virginia",5.10%,± 0.2%
"Ralls County, Missouri",5.20%,± 0.5%
"Ramsey County, Minnesota",6.50%,± 0.1%
"Ramsey County, North Dakota",5.90%,± 0.6%
"Randall County, Texas",6%,± 0.1%
"Randolph County, Alabama",5.60%,± 0.1%
"Randolph County, Arkansas",6.10%,± 0.4%
"Randolph County, Georgia",5.70%,± 2.4%
"Randolph County, Illinois",5%,± 0.3%
"Randolph County, Indiana",6.10%,± 0.5%
"Randolph County, Missouri",6.10%,± 0.6%
"Randolph County, North Carolina",5.60%,± 0.1%
"Randolph County, West Virginia",5%,± 0.3%
"Rankin County, Mississippi",5.50%,± 0.1%
"Ransom County, North Dakota",4.90%,± 0.1%
"Rapides Parish, Louisiana",6.50%,± 0.1%
"Rappahannock County, Virginia",4%,± 0.8%
"Ravalli County, Montana",4.40%,± 0.4%
"Rawlins County, Kansas",6.80%,± 0.4%
"Ray County, Missouri",5.50%,± 0.1%
"Reagan County, Texas",9%,± 1.9%
"Real County, Texas",5.70%,± 1.7%
"Red Lake County, Minnesota",5.70%,± 0.3%
"Red River County, Texas",6%,± 0.9%
"Red River Parish, Louisiana",6.10%,*****
"Red Willow County, Nebraska",5.80%,± 0.4%
"Redwood County, Minnesota",6.40%,± 0.1%
"Reeves County, Texas",6%,± 0.7%
"Refugio County, Texas",5.60%,± 1%
"Reno County, Kansas",5.50%,± 0.1%
"Rensselaer County, New York",4.90%,± 0.1%
"Renville County, Minnesota",5.70%,± 0.1%
"Renville County, North Dakota",5.70%,± 1.3%
"Republic County, Kansas",6%,± 0.7%
"Reynolds County, Missouri",4.70%,± 0.4%
"Rhea County, Tennessee",5.70%,± 0.6%
"Rice County, Kansas",5.30%,± 0.5%
"Rice County, Minnesota",5.50%,± 0.1%
"Rich County, Utah",8.70%,± 1.8%
"Richardson County, Nebraska",5.30%,± 0.3%
"Richland County, Illinois",5.70%,± 0.3%
"Richland County, Montana",6.30%,± 0.6%
"Richland County, North Dakota",5.90%,± 0.3%
"Richland County, Ohio",5.70%,± 0.1%
"Richland County, South Carolina",5.60%,± 0.1%
"Richland County, Wisconsin",4.80%,± 0.2%
"Richland Parish, Louisiana",6.30%,± 0.2%
"Richmond city, Virginia",5.70%,± 0.1%
"Richmond County, Georgia",6.50%,± 0.1%
"Richmond County, New York",5.50%,± 0.1%
"Richmond County, North Carolina",6%,± 0.2%
"Richmond County, Virginia",5.60%,± 1%
"Riley County, Kansas",5%,± 0.1%
"Rincón Municipio, Puerto Rico",2.80%,*****
"Ringgold County, Iowa",6.10%,± 0.6%
"Rio Arriba County, New Mexico",5.30%,± 0.1%
"Rio Blanco County, Colorado",6.40%,± 1.2%
"Rio Grande County, Colorado",5.10%,± 0.1%
"Río Grande Municipio, Puerto Rico",3.30%,*****
"Ripley County, Indiana",6%,± 0.2%
"Ripley County, Missouri",6.30%,± 0.6%
"Ritchie County, West Virginia",4.70%,± 0.4%
"Riverside County, California",6%,*****
"Roane County, Tennessee",4.20%,± 0.2%
"Roane County, West Virginia",4.70%,± 0.2%
"Roanoke city, Virginia",6.40%,± 0.1%
"Roanoke County, Virginia",4.60%,± 0.1%
"Roberts County, South Dakota",8%,± 0.1%
"Roberts County, Texas",2.50%,± 2.6%
"Robertson County, Kentucky",4.30%,± 2%
"Robertson County, Tennessee",6.10%,± 0.1%
"Robertson County, Texas",6.30%,± 0.1%
"Robeson County, North Carolina",6.60%,± 0.1%
"Rock County, Minnesota",5.60%,± 0.4%
"Rock County, Nebraska",6.60%,± 1.6%
"Rock County, Wisconsin",5.80%,*****
"Rock Island County, Illinois",5.90%,± 0.1%
"Rockbridge County, Virginia",4%,± 0.2%
"Rockcastle County, Kentucky",5.50%,± 0.2%
"Rockdale County, Georgia",5.50%,± 0.1%
"Rockingham County, New Hampshire",4.50%,± 0.1%
"Rockingham County, North Carolina",5%,± 0.1%
"Rockingham County, Virginia",5.60%,± 0.1%
"Rockland County, New York",8.30%,± 0.1%
"Rockwall County, Texas",6%,± 0.1%
"Roger Mills County, Oklahoma",5.10%,± 0.4%
"Rogers County, Oklahoma",5.70%,± 0.1%
"Rolette County, North Dakota",8.20%,± 0.4%
"Rooks County, Kansas",5.40%,± 0.2%
"Roosevelt County, Montana",9.10%,± 0.4%
"Roosevelt County, New Mexico",6.30%,± 0.1%
"Roscommon County, Michigan",3.60%,± 0.3%
"Roseau County, Minnesota",5.50%,± 0.2%
"Rosebud County, Montana",8%,± 0.2%
"Ross County, Ohio",5.40%,± 0.1%
"Routt County, Colorado",4.10%,± 0.4%
"Rowan County, Kentucky",5.40%,± 0.4%
"Rowan County, North Carolina",5.60%,± 0.1%
"Runnels County, Texas",5.60%,± 0.1%
"Rush County, Indiana",5.50%,± 0.2%
"Rush County, Kansas",6.10%,± 1.1%
"Rusk County, Texas",5.50%,± 0.1%
"Rusk County, Wisconsin",5.40%,± 0.2%
"Russell County, Alabama",6.70%,± 0.1%
"Russell County, Kansas",5.70%,± 0.7%
"Russell County, Kentucky",5.80%,± 0.3%
"Russell County, Virginia",4.60%,± 0.2%
"Rutherford County, North Carolina",4.90%,± 0.1%
"Rutherford County, Tennessee",6.20%,± 0.1%
"Rutland County, Vermont",4.20%,± 0.1%
"Sabana Grande Municipio, Puerto Rico",3.60%,*****
"Sabine County, Texas",4.60%,± 0.7%
"Sabine Parish, Louisiana",5.80%,± 0.2%
"Sac County, Iowa",5.90%,± 0.3%
"Sacramento County, California",6.10%,*****
"Sagadahoc County, Maine",4.70%,± 0.3%
"Saginaw County, Michigan",5.70%,± 0.1%
"Saguache County, Colorado",4.70%,± 0.5%
"Salem city, Virginia",4%,± 0.3%
"Salem County, New Jersey",5.30%,± 0.1%
"Salinas Municipio, Puerto Rico",3.60%,*****
"Saline County, Arkansas",5.70%,± 0.1%
"Saline County, Illinois",6.10%,± 0.2%
"Saline County, Kansas",5.90%,± 0.2%
"Saline County, Missouri",5.30%,± 0.5%
"Saline County, Nebraska",6.70%,± 0.2%
"Salt Lake County, Utah",6.80%,*****
"Saluda County, South Carolina",5.80%,*****
"Sampson County, North Carolina",6.40%,± 0.1%
"San Augustine County, Texas",3.60%,± 0.9%
"San Benito County, California",6.20%,± 0.2%
"San Bernardino County, California",6.60%,*****
"San Diego County, California",5.80%,*****
"San Francisco County, California",4.30%,± 0.1%
"San Germán Municipio, Puerto Rico",3.40%,*****
"San Jacinto County, Texas",4.90%,± 0.4%
"San Joaquin County, California",6.70%,*****
"San Juan County, Colorado",2.30%,± 2.2%
"San Juan County, New Mexico",6%,± 0.1%
"San Juan County, Utah",6%,± 0.4%
"San Juan County, Washington",2.80%,± 0.1%
"San Juan Municipio, Puerto Rico",3.60%,*****
"San Lorenzo Municipio, Puerto Rico",3.30%,*****
"San Luis Obispo County, California",4.40%,± 0.1%
"San Mateo County, California",5.30%,± 0.1%
"San Miguel County, Colorado",2.80%,± 0.3%
"San Miguel County, New Mexico",4.10%,± 0.3%
"San Patricio County, Texas",6.70%,± 0.1%
"San Saba County, Texas",4.20%,± 0.8%
"San Sebastián Municipio, Puerto Rico",3.30%,*****
"Sanborn County, South Dakota",8.80%,± 1.8%
"Sanders County, Montana",4%,± 0.2%
"Sandoval County, New Mexico",5%,± 0.1%
"Sandusky County, Ohio",5.40%,± 0.1%
"Sangamon County, Illinois",5.60%,± 0.1%
"Sanilac County, Michigan",4.90%,± 0.1%
"Sanpete County, Utah",5.90%,± 0.1%
"Santa Barbara County, California",6%,± 0.1%
"Santa Clara County, California",5.50%,± 0.1%
"Santa Cruz County, Arizona",6.50%,± 0.1%
"Santa Cruz County, California",4.60%,± 0.1%
"Santa Fe County, New Mexico",3.90%,± 0.1%
"Santa Isabel Municipio, Puerto Rico",3.80%,*****
"Santa Rosa County, Florida",5.40%,± 0.1%
"Sarasota County, Florida",3.30%,± 0.1%
"Saratoga County, New York",4.70%,± 0.1%
"Sargent County, North Dakota",5.60%,± 0.4%
"Sarpy County, Nebraska",6.70%,± 0.1%
"Sauk County, Wisconsin",5.70%,± 0.1%
"Saunders County, Nebraska",6.20%,± 0.1%
"Sawyer County, Wisconsin",4.30%,± 0.2%
"Schenectady County, New York",5.80%,± 0.1%
"Schleicher County, Texas",8.40%,± 3.6%
"Schley County, Georgia",5.90%,± 1.8%
"Schoharie County, New York",4.20%,± 0.1%
"Schoolcraft County, Michigan",4.30%,± 0.1%
"Schuyler County, Illinois",3.90%,± 0.4%
"Schuyler County, Missouri",7.90%,± 0.4%
"Schuyler County, New York",4.80%,± 0.2%
"Schuylkill County, Pennsylvania",4.80%,± 0.1%
"Scioto County, Ohio",5.40%,± 0.1%
"Scotland County, Missouri",7.90%,± 0.7%
"Scotland County, North Carolina",6.50%,± 0.4%
"Scott County, Arkansas",5.10%,± 0.5%
"Scott County, Illinois",4.60%,± 0.7%
"Scott County, Indiana",5.50%,± 0.2%
"Scott County, Iowa",6%,*****
"Scott County, Kansas",5.20%,± 0.8%
"Scott County, Kentucky",6.20%,± 0.1%
"Scott County, Minnesota",6.20%,*****
"Scott County, Mississippi",8.20%,± 0.2%
"Scott County, Missouri",6.40%,± 0.1%
"Scott County, Tennessee",6%,± 0.2%
"Scott County, Virginia",3.80%,± 0.2%
"Scotts Bluff County, Nebraska",6.10%,± 0.1%
"Screven County, Georgia",5.40%,± 0.1%
"Scurry County, Texas",6.30%,± 0.2%
"Searcy County, Arkansas",4.80%,± 0.5%
"Sebastian County, Arkansas",6.30%,*****
"Sedgwick County, Colorado",7.90%,± 3.3%
"Sedgwick County, Kansas",6.50%,± 0.1%
"Seminole County, Florida",5%,± 0.1%
"Seminole County, Georgia",4.30%,± 0.8%
"Seminole County, Oklahoma",6.10%,*****
"Seneca County, New York",5.40%,± 0.2%
"Seneca County, Ohio",5.40%,± 0.1%
"Sequatchie County, Tennessee",5.20%,± 0.4%
"Sequoyah County, Oklahoma",6.20%,± 0.1%
"Sevier County, Arkansas",7.30%,± 0.4%
"Sevier County, Tennessee",5.30%,± 0.2%
"Sevier County, Utah",6.70%,± 0.1%
"Seward County, Kansas",8.50%,± 0.7%
"Seward County, Nebraska",5.50%,± 0.2%
"Shackelford County, Texas",4.60%,± 0.1%
"Shannon County, Missouri",5.50%,± 0.7%
"Sharkey County, Mississippi",6.20%,± 0.9%
"Sharp County, Arkansas",5.10%,± 0.1%
"Shasta County, California",5.60%,± 0.1%
"Shawano County, Wisconsin",5.30%,± 0.1%
"Shawnee County, Kansas",5.90%,± 0.1%
"Sheboygan County, Wisconsin",5.30%,*****
"Shelby County, Alabama",5.30%,± 0.1%
"Shelby County, Illinois",5.40%,± 0.2%
"Shelby County, Indiana",5.90%,± 0.3%
"Shelby County, Iowa",5.30%,± 0.5%
"Shelby County, Kentucky",5.90%,± 0.1%
"Shelby County, Missouri",6.20%,± 0.4%
"Shelby County, Ohio",6.30%,± 0.1%
"Shelby County, Tennessee",6.80%,± 0.1%
"Shelby County, Texas",6.90%,*****
"Shenandoah County, Virginia",5.70%,± 0.2%
"Sherburne County, Minnesota",6.50%,± 0.1%
"Sheridan County, Kansas",5.80%,± 0.9%
"Sheridan County, Montana",6.40%,± 0.9%
"Sheridan County, Nebraska",6.70%,± 0.9%
"Sheridan County, North Dakota",3.80%,± 1.3%
"Sheridan County, Wyoming",4.60%,± 0.3%
"Sherman County, Kansas",6.80%,± 0.8%
"Sherman County, Nebraska",5.40%,± 0.3%
"Sherman County, Oregon",5.40%,± 1.5%
"Sherman County, Texas",5.80%,± 1.1%
"Shiawassee County, Michigan",5.20%,± 0.1%
"Shoshone County, Idaho",6.20%,± 0.3%
"Sibley County, Minnesota",5.80%,± 0.3%
"Sierra County, California",0%,± 1.4%
"Sierra County, New Mexico",4.20%,± 0.1%
"Silver Bow County, Montana",5.70%,± 0.4%
"Simpson County, Kentucky",5.80%,± 0.5%
"Simpson County, Mississippi",5.90%,± 0.5%
"Sioux County, Iowa",7.10%,± 0.1%
"Sioux County, Nebraska",9.10%,± 3%
"Sioux County, North Dakota",8.90%,± 0.2%
"Siskiyou County, California",4.90%,± 0.2%
"Sitka City and Borough, Alaska",4.70%,± 0.3%
"Skagit County, Washington",5.50%,± 0.1%
"Skagway Municipality, Alaska",6.10%,± 1.9%
"Skamania County, Washington",4.20%,± 0.5%
"Slope County, North Dakota",1.60%,± 1.1%
"Smith County, Kansas",4.90%,± 0.4%
"Smith County, Mississippi",6.10%,*****
"Smith County, Tennessee",5.80%,± 0.4%
"Smith County, Texas",6.40%,± 0.1%
"Smyth County, Virginia",4.50%,± 0.2%
"Snohomish County, Washington",6.10%,*****
"Snyder County, Pennsylvania",5.20%,± 0.1%
"Socorro County, New Mexico",4.90%,± 0.5%
"Solano County, California",5.80%,*****
"Somerset County, Maine",4.80%,± 0.2%
"Somerset County, Maryland",4.40%,± 0.3%
"Somerset County, New Jersey",4.90%,± 0.1%
"Somerset County, Pennsylvania",4.60%,± 0.1%
"Somervell County, Texas",3.90%,± 0.3%
"Sonoma County, California",4.70%,± 0.1%
"South Central Connecticut Planning Region, Connecticut",5%,± 0.1%
"Southampton County, Virginia",4.80%,± 0.5%
"Southeast Fairbanks Census Area, Alaska",7%,± 0.4%
"Southeastern Connecticut Planning Region, Connecticut",4.80%,*****
"Spalding County, Georgia",6.20%,± 0.1%
"Spartanburg County, South Carolina",6%,*****
"Spencer County, Indiana",5.20%,± 0.2%
"Spencer County, Kentucky",5.30%,± 0.2%
"Spink County, South Dakota",6.10%,± 0.2%
"Spokane County, Washington",5.70%,*****
"Spotsylvania County, Virginia",5.90%,*****
"St. Bernard Parish, Louisiana",6.60%,± 0.2%
"St. Charles County, Missouri",5.60%,± 0.1%
"St. Charles Parish, Louisiana",5.40%,± 0.1%
"St. Clair County, Alabama",5.40%,± 0.1%
"St. Clair County, Illinois",6%,*****
"St. Clair County, Michigan",4.90%,± 0.1%
"St. Clair County, Missouri",5.40%,± 0.2%
"St. Croix County, Wisconsin",5.70%,± 0.1%
"St. Francis County, Arkansas",6.10%,± 0.1%
"St. Francois County, Missouri",5.30%,± 0.2%
"St. Helena Parish, Louisiana",5.40%,± 0.1%
"St. James Parish, Louisiana",5.80%,± 0.1%
"St. John the Baptist Parish, Louisiana",5.90%,± 0.2%
"St. Johns County, Florida",4.70%,± 0.1%
"St. Joseph County, Indiana",6.20%,± 0.1%
"St. Joseph County, Michigan",6.30%,± 0.1%
"St. Landry Parish, Louisiana",7.10%,± 0.1%
"St. Lawrence County, New York",4.90%,± 0.1%
"St. Louis city, Missouri",5.90%,± 0.1%
"St. Louis County, Minnesota",4.80%,± 0.1%
"St. Louis County, Missouri",5.70%,± 0.1%
"St. Lucie County, Florida",4.90%,± 0.1%
"St. Martin Parish, Louisiana",6.30%,± 0.1%
"St. Mary Parish, Louisiana",6.50%,± 0.1%
"St. Mary's County, Maryland",6.10%,± 0.1%
"St. Tammany Parish, Louisiana",5.70%,*****
"Stafford County, Kansas",5.80%,± 0.5%
"Stafford County, Virginia",6.20%,± 0.1%
"Stanislaus County, California",6.90%,*****
"Stanley County, South Dakota",4.30%,± 1.6%
"Stanly County, North Carolina",5.60%,± 0.1%
"Stanton County, Kansas",5.70%,± 1.9%
"Stanton County, Nebraska",5.50%,± 0.3%
"Stark County, Illinois",5.30%,± 0.2%
"Stark County, North Dakota",8.30%,± 0.2%
"Stark County, Ohio",5.50%,*****
"Starke County, Indiana",5.70%,± 0.1%
"Starr County, Texas",9.30%,± 0.4%
"Staunton city, Virginia",5.90%,± 0.4%
"Ste. Genevieve County, Missouri",5.50%,± 0.3%
"Stearns County, Minnesota",6.40%,± 0.1%
"Steele County, Minnesota",5.80%,± 0.1%
"Steele County, North Dakota",5.90%,± 1.5%
"Stephens County, Georgia",6.20%,± 0.6%
"Stephens County, Oklahoma",5.60%,± 0.1%
"Stephens County, Texas",5.80%,± 1.5%
"Stephenson County, Illinois",5.50%,± 0.1%
"Sterling County, Texas",9.10%,± 3.2%
"Steuben County, Indiana",5%,± 0.2%
"Steuben County, New York",5.40%,± 0.1%
"Stevens County, Kansas",7.10%,± 0.8%
"Stevens County, Minnesota",6%,± 0.2%
"Stevens County, Washington",5%,± 0.2%
"Stewart County, Georgia",1.60%,± 0.9%
"Stewart County, Tennessee",6%,± 1.2%
"Stillwater County, Montana",4.10%,± 0.1%
"Stoddard County, Missouri",5.70%,± 0.2%
"Stokes County, North Carolina",4.20%,± 0.2%
"Stone County, Arkansas",5.10%,± 0.3%
"Stone County, Mississippi",6%,± 0.8%
"Stone County, Missouri",3.80%,± 0.2%
"Stonewall County, Texas",10.60%,± 3.6%
"Storey County, Nevada",4%,± 1.9%
"Story County, Iowa",4.20%,± 0.1%
"Strafford County, New Hampshire",4.50%,± 0.1%
"Stutsman County, North Dakota",5.60%,± 0.4%
"Sublette County, Wyoming",5.10%,± 0.5%
"Suffolk city, Virginia",6.30%,± 0.1%
"Suffolk County, Massachusetts",5%,± 0.1%
"Suffolk County, New York",5.20%,± 0.1%
"Sullivan County, Indiana",5.30%,± 0.7%
"Sullivan County, Missouri",6.30%,± 0.3%
"Sullivan County, New Hampshire",4.40%,± 0.2%
"Sullivan County, New York",5.70%,± 0.1%
"Sullivan County, Pennsylvania",2.90%,± 0.3%
"Sullivan County, Tennessee",4.70%,± 0.1%
"Sully County, South Dakota",4.40%,± 2.2%
"Summers County, West Virginia",3.80%,± 0.3%
"Summit County, Colorado",3.30%,± 0.4%
"Summit County, Ohio",5.40%,± 0.1%
"Summit County, Utah",5.10%,± 0.2%
"Sumner County, Kansas",5.90%,± 0.3%
"Sumner County, Tennessee",5.80%,± 0.1%
"Sumter County, Alabama",5.40%,± 0.6%
"Sumter County, Florida",1.80%,± 0.1%
"Sumter County, Georgia",5.90%,± 0.4%
"Sumter County, South Carolina",6.60%,± 0.1%
"Sunflower County, Mississippi",5.40%,± 0.2%
"Surry County, North Carolina",5.20%,± 0.1%
"Surry County, Virginia",4.90%,± 0.2%
"Susquehanna County, Pennsylvania",4.70%,± 0.1%
"Sussex County, Delaware",4.80%,± 0.1%
"Sussex County, New Jersey",4.60%,± 0.1%
"Sussex County, Virginia",4.10%,± 0.4%
"Sutter County, California",6.40%,± 0.1%
"Sutton County, Texas",5.50%,± 2.2%
"Suwannee County, Florida",5.10%,± 0.4%
"Swain County, North Carolina",5%,± 0.3%
"Sweet Grass County, Montana",5.70%,± 1.1%
"Sweetwater County, Wyoming",5.90%,± 0.1%
"Swift County, Minnesota",5.80%,± 0.5%
"Swisher County, Texas",5.90%,± 1.8%
"Switzerland County, Indiana",5.50%,± 0.4%
"Talbot County, Georgia",3.80%,± 0.6%
"Talbot County, Maryland",4.20%,± 0.2%
"Taliaferro County, Georgia",4.10%,± 3.2%
"Talladega County, Alabama",5.30%,± 0.1%
"Tallahatchie County, Mississippi",5.80%,*****
"Tallapoosa County, Alabama",5.40%,± 0.2%
"Tama County, Iowa",6%,± 0.1%
"Taney County, Missouri",5.10%,± 0.1%
"Tangipahoa Parish, Louisiana",6.80%,± 0.1%
"Taos County, New Mexico",3.60%,± 0.3%
"Tarrant County, Texas",6.50%,± 0.1%
"Tate County, Mississippi",5.90%,± 0.2%
"Tattnall County, Georgia",4.50%,± 0.4%
"Taylor County, Florida",4.30%,± 0.5%
"Taylor County, Georgia",5%,*****
"Taylor County, Iowa",5.20%,± 0.3%
"Taylor County, Kentucky",5.70%,± 0.4%
"Taylor County, Texas",6.90%,± 0.1%
"Taylor County, West Virginia",4.80%,± 0.3%
"Taylor County, Wisconsin",5.50%,± 0.1%
"Tazewell County, Illinois",5.30%,± 0.1%
"Tazewell County, Virginia",4.80%,± 0.2%
"Tehama County, California",5.80%,± 0.2%
"Telfair County, Georgia",4.10%,± 1.3%
"Teller County, Colorado",3.80%,± 0.5%
"Tensas Parish, Louisiana",5.10%,± 0.7%
"Terrebonne Parish, Louisiana",6.60%,± 0.1%
"Terrell County, Georgia",5.50%,± 0.2%
"Terrell County, Texas",1.30%,± 1.2%
"Terry County, Texas",7.20%,± 0.1%
"Teton County, Idaho",6.70%,± 1.1%
"Teton County, Montana",6.90%,± 0.3%
"Teton County, Wyoming",4.10%,± 0.5%
"Texas County, Missouri",5.60%,± 0.2%
"Texas County, Oklahoma",7.80%,± 0.4%
"Thayer County, Nebraska",5.60%,± 0.4%
"Thomas County, Georgia",6%,± 0.2%
"Thomas County, Kansas",6.70%,± 0.7%
"Thomas County, Nebraska",3.40%,± 1.5%
"Throckmorton County, Texas",8.10%,± 3.2%
"Thurston County, Nebraska",9.40%,± 0.6%
"Thurston County, Washington",5.50%,*****
"Tift County, Georgia",6.70%,± 0.1%
"Tillamook County, Oregon",4.20%,± 0.1%
"Tillman County, Oklahoma",5.80%,± 0.5%
"Tioga County, New York",5.10%,± 0.1%
"Tioga County, Pennsylvania",5%,± 0.1%
"Tippah County, Mississippi",5.20%,± 0.4%
"Tippecanoe County, Indiana",5.50%,± 0.1%
"Tipton County, Indiana",6.10%,± 0.5%
"Tipton County, Tennessee",5.60%,± 0.1%
"Tishomingo County, Mississippi",5.30%,± 0.3%
"Titus County, Texas",7.30%,± 0.3%
"Toa Alta Municipio, Puerto Rico",3.20%,*****
"Toa Baja Municipio, Puerto Rico",3.40%,*****
"Todd County, Kentucky",6.90%,± 0.5%
"Todd County, Minnesota",6.60%,± 0.2%
"Todd County, South Dakota",11.40%,± 0.9%
"Tom Green County, Texas",6.40%,± 0.1%
"Tompkins County, New York",3.60%,± 0.1%
"Tooele County, Utah",7.60%,± 0.2%
"Toole County, Montana",5.90%,± 0.6%
"Toombs County, Georgia",6.90%,± 0.1%
