Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Phelps County, Missouri",6.60%,± 1.7%
"Phelps County, Nebraska",5.80%,± 2.5%
"Philadelphia County, Pennsylvania",28.20%,± 0.5%
"Phillips County, Arkansas",13.90%,± 3%
"Phillips County, Colorado",5.30%,± 4.4%
"Phillips County, Kansas",2.50%,± 1.8%
"Phillips County, Montana",2.10%,± 1.4%
"Piatt County, Illinois",2.40%,± 1.1%
"Pickaway County, Ohio",6%,± 1.7%
"Pickens County, Alabama",7.80%,± 1.9%
"Pickens County, Georgia",3.10%,± 1.1%
"Pickens County, South Carolina",6.80%,± 1.5%
"Pickett County, Tennessee",8.20%,± 4.2%
"Pierce County, Georgia",3.30%,± 1.6%
"Pierce County, Nebraska",3.40%,± 1.4%
"Pierce County, North Dakota",3.20%,± 1.9%
"Pierce County, Washington",5%,± 0.3%
"Pierce County, Wisconsin",3.50%,± 0.9%
"Pike County, Alabama",6.70%,± 1.7%
"Pike County, Arkansas",4.90%,± 1.6%
"Pike County, Georgia",2.50%,± 1.1%
"Pike County, Illinois",4.20%,± 1.2%
"Pike County, Indiana",3.50%,± 1.7%
"Pike County, Kentucky",8.90%,± 1.5%
"Pike County, Mississippi",6.80%,± 1.9%
"Pike County, Missouri",7.80%,± 2.5%
"Pike County, Ohio",6.10%,± 1.7%
"Pike County, Pennsylvania",5.40%,± 1.3%
"Pima County, Arizona",7.20%,± 0.3%
"Pinal County, Arizona",3.50%,± 0.4%
"Pine County, Minnesota",6.20%,± 1.1%
"Pinellas County, Florida",6.90%,± 0.3%
"Pipestone County, Minnesota",5.60%,± 1.6%
"Piscataquis County, Maine",6.10%,± 2%
"Pitkin County, Colorado",2.40%,± 1.4%
"Pitt County, North Carolina",9.20%,± 1.1%
"Pittsburg County, Oklahoma",7.10%,± 1.1%
"Pittsylvania County, Virginia",5.20%,± 1%
"Piute County, Utah",4.90%,± 5.9%
"Placer County, California",3.80%,± 0.4%
"Plaquemines Parish, Louisiana",5.30%,± 1.7%
"Platte County, Missouri",4%,± 0.8%
"Platte County, Nebraska",5.80%,± 1.6%
"Platte County, Wyoming",3.40%,± 2.4%
"Pleasants County, West Virginia",4.40%,± 2%
"Plumas County, California",4.50%,± 1.9%
"Plymouth County, Iowa",3.90%,± 1.2%
"Plymouth County, Massachusetts",6.30%,± 0.5%
"Pocahontas County, Iowa",4%,± 1.4%
"Pocahontas County, West Virginia",7.20%,± 2.6%
"Poinsett County, Arkansas",8.70%,± 1.8%
"Pointe Coupee Parish, Louisiana",5.60%,± 2.3%
"Polk County, Arkansas",5.30%,± 1.7%
"Polk County, Florida",5.20%,± 0.4%
"Polk County, Georgia",5.80%,± 1.6%
"Polk County, Iowa",5.70%,± 0.5%
"Polk County, Minnesota",6.50%,± 1.2%
"Polk County, Missouri",5.60%,± 1.2%
"Polk County, Nebraska",2.40%,± 1.3%
"Polk County, North Carolina",3.70%,± 1.2%
"Polk County, Oregon",5.10%,± 1%
"Polk County, Tennessee",5.70%,± 2.2%
"Polk County, Texas",3.60%,± 1.1%
"Polk County, Wisconsin",3.20%,± 0.6%
"Ponce Municipio, Puerto Rico",16.80%,± 1%
"Pondera County, Montana",5.80%,± 1.5%
"Pontotoc County, Mississippi",3.30%,± 1.4%
"Pontotoc County, Oklahoma",6.40%,± 1.1%
"Pope County, Arkansas",4.50%,± 1%
"Pope County, Illinois",5.90%,± 2.8%
"Pope County, Minnesota",4.60%,± 1.3%
"Poquoson city, Virginia",1.70%,± 1.5%
"Portage County, Ohio",7.10%,± 0.9%
"Portage County, Wisconsin",4.70%,± 0.7%
"Porter County, Indiana",3.70%,± 0.5%
"Portsmouth city, Virginia",11.40%,± 1.1%
"Posey County, Indiana",4.10%,± 1.4%
"Pottawatomie County, Kansas",1.70%,± 0.8%
"Pottawatomie County, Oklahoma",4.80%,± 0.6%
"Pottawattamie County, Iowa",6.40%,± 0.7%
"Potter County, Pennsylvania",6.90%,± 1.5%
"Potter County, South Dakota",1.50%,± 1.1%
"Potter County, Texas",8.60%,± 1%
"Powder River County, Montana",5.10%,± 3.6%
"Powell County, Kentucky",8.50%,± 2.5%
"Powell County, Montana",3.60%,± 3.1%
"Power County, Idaho",3.90%,± 4.3%
"Poweshiek County, Iowa",8.60%,± 3.1%
"Powhatan County, Virginia",1.60%,± 1%
"Prairie County, Arkansas",4.60%,± 2%
"Prairie County, Montana",5.20%,± 5.3%
"Pratt County, Kansas",3.90%,± 1.8%
"Preble County, Ohio",4.10%,± 0.9%
"Prentiss County, Mississippi",5.90%,± 1.9%
"Presidio County, Texas",13.90%,± 8.1%
"Presque Isle County, Michigan",5.70%,± 1.4%
"Preston County, West Virginia",6.40%,± 1.4%
"Price County, Wisconsin",5.60%,± 1.2%
"Prince Edward County, Virginia",8.40%,± 2.4%
"Prince George County, Virginia",3%,± 1.2%
"Prince George's County, Maryland",9.30%,± 0.5%
"Prince of Wales-Hyder Census Area, Alaska",8.30%,± 1.3%
"Prince William County, Virginia",2.30%,± 0.3%
"Providence County, Rhode Island",11.30%,± 0.6%
"Prowers County, Colorado",6.60%,± 2.6%
"Pueblo County, Colorado",7.90%,± 0.7%
"Pulaski County, Arkansas",7.40%,± 0.6%
"Pulaski County, Georgia",6.70%,± 4.6%
"Pulaski County, Illinois",8.60%,± 2.9%
"Pulaski County, Indiana",7%,± 2.9%
"Pulaski County, Kentucky",6.10%,± 1.1%
"Pulaski County, Missouri",5.10%,± 1.8%
"Pulaski County, Virginia",4.70%,± 1.3%
"Pushmataha County, Oklahoma",8.80%,± 2.1%
"Putnam County, Florida",7.50%,± 1.3%
"Putnam County, Georgia",3.20%,± 1.6%
"Putnam County, Illinois",3.40%,± 1.5%
"Putnam County, Indiana",3.90%,± 1.3%
"Putnam County, Missouri",6.80%,± 2.3%
"Putnam County, New York",4.10%,± 0.7%
"Putnam County, Ohio",2.60%,± 0.7%
"Putnam County, Tennessee",4.10%,± 0.8%
"Putnam County, West Virginia",4.90%,± 1.2%
"Quay County, New Mexico",8%,± 3.3%
"Quebradillas Municipio, Puerto Rico",12.10%,± 3.2%
"Queen Anne's County, Maryland",3.10%,± 0.8%
"Queens County, New York",36.70%,± 0.4%
"Quitman County, Georgia",14.30%,± 8.1%
"Quitman County, Mississippi",14.60%,± 4.1%
"Rabun County, Georgia",4.30%,± 1.6%
"Racine County, Wisconsin",5.90%,± 0.7%
"Radford city, Virginia",4.60%,± 1.7%
"Rains County, Texas",4.10%,± 2.6%
"Raleigh County, West Virginia",9.30%,± 1.3%
"Ralls County, Missouri",2.90%,± 1.4%
"Ramsey County, Minnesota",10.30%,± 0.5%
"Ramsey County, North Dakota",8%,± 3.1%
"Randall County, Texas",2.80%,± 0.6%
"Randolph County, Alabama",5.30%,± 2%
"Randolph County, Arkansas",6%,± 2.1%
"Randolph County, Georgia",18.70%,± 7.8%
"Randolph County, Illinois",7.10%,± 1.4%
"Randolph County, Indiana",5.50%,± 1.6%
"Randolph County, Missouri",5.40%,± 1.6%
"Randolph County, North Carolina",3.70%,± 0.7%
"Randolph County, West Virginia",10.90%,± 2%
"Rankin County, Mississippi",2.40%,± 0.7%
"Ransom County, North Dakota",4.10%,± 1.8%
"Rapides Parish, Louisiana",9.60%,± 0.9%
"Rappahannock County, Virginia",1.60%,± 1.8%
"Ravalli County, Montana",4%,± 1.5%
"Rawlins County, Kansas",5.50%,± 2.8%
"Ray County, Missouri",2.20%,± 1%
"Reagan County, Texas",0.70%,± 1%
"Real County, Texas",3.70%,± 4.3%
"Red Lake County, Minnesota",4.50%,± 1.3%
"Red River County, Texas",3.40%,± 2%
"Red River Parish, Louisiana",4.80%,± 2.1%
"Red Willow County, Nebraska",8.20%,± 2.8%
"Redwood County, Minnesota",4.20%,± 0.9%
"Reeves County, Texas",5%,± 2.7%
"Refugio County, Texas",9.50%,± 3.5%
"Reno County, Kansas",4.60%,± 0.7%
"Rensselaer County, New York",10.30%,± 0.8%
"Renville County, Minnesota",6.30%,± 0.9%
"Renville County, North Dakota",3.40%,± 1.7%
"Republic County, Kansas",4%,± 1.7%
"Reynolds County, Missouri",6.10%,± 2%
"Rhea County, Tennessee",6.60%,± 1.8%
"Rice County, Kansas",2.40%,± 1.3%
"Rice County, Minnesota",5%,± 0.9%
"Rich County, Utah",0%,± 4.5%
"Richardson County, Nebraska",6.60%,± 2.8%
"Richland County, Illinois",7.40%,± 2.3%
"Richland County, Montana",7.40%,± 2.8%
"Richland County, North Dakota",7.20%,± 2%
"Richland County, Ohio",7.60%,± 0.8%
"Richland County, South Carolina",6.70%,± 0.6%
"Richland County, Wisconsin",7.40%,± 1.6%
"Richland Parish, Louisiana",6.20%,± 1.7%
"Richmond city, Virginia",14.20%,± 1%
"Richmond County, Georgia",10%,± 1.1%
"Richmond County, New York",15.20%,± 0.7%
"Richmond County, North Carolina",10.70%,± 2.1%
"Richmond County, Virginia",6.30%,± 2.4%
"Riley County, Kansas",5.40%,± 1.1%
"Rincón Municipio, Puerto Rico",9.50%,± 2.7%
"Ringgold County, Iowa",5.60%,± 1.8%
"Rio Arriba County, New Mexico",3.80%,± 0.9%
"Rio Blanco County, Colorado",2.10%,± 1.3%
"Rio Grande County, Colorado",6.90%,± 2.7%
"Río Grande Municipio, Puerto Rico",12.10%,± 1.8%
"Ripley County, Indiana",4.80%,± 1%
"Ripley County, Missouri",4.90%,± 1.6%
"Ritchie County, West Virginia",4.60%,± 1.6%
"Riverside County, California",4%,± 0.2%
"Roane County, Tennessee",5.40%,± 1.4%
"Roane County, West Virginia",10%,± 2.8%
"Roanoke city, Virginia",11.20%,± 1%
"Roanoke County, Virginia",4.50%,± 1%
"Roberts County, South Dakota",4.20%,± 1.5%
"Roberts County, Texas",7.80%,± 6.6%
"Robertson County, Kentucky",2.50%,± 2.4%
"Robertson County, Tennessee",3%,± 0.8%
"Robertson County, Texas",7.90%,± 2.5%
"Robeson County, North Carolina",8%,± 0.8%
"Rock County, Minnesota",6.10%,± 1.8%
"Rock County, Nebraska",3.60%,± 3%
"Rock County, Wisconsin",5.50%,± 0.8%
"Rock Island County, Illinois",8.70%,± 0.8%
"Rockbridge County, Virginia",4.40%,± 1.2%
"Rockcastle County, Kentucky",9.10%,± 2.2%
"Rockdale County, Georgia",3.60%,± 1%
"Rockingham County, New Hampshire",3%,± 0.4%
"Rockingham County, North Carolina",7%,± 1.1%
"Rockingham County, Virginia",4.50%,± 0.8%
"Rockland County, New York",9.90%,± 0.8%
"Rockwall County, Texas",1.80%,± 0.5%
"Roger Mills County, Oklahoma",0.90%,± 0.6%
"Rogers County, Oklahoma",2.70%,± 0.4%
"Rolette County, North Dakota",8.50%,± 2%
"Rooks County, Kansas",7%,± 2.4%
"Roosevelt County, Montana",10.60%,± 2.5%
"Roosevelt County, New Mexico",6.20%,± 2.4%
"Roscommon County, Michigan",7.90%,± 2.1%
"Roseau County, Minnesota",5.40%,± 1.3%
"Rosebud County, Montana",7.10%,± 2.3%
"Ross County, Ohio",6.50%,± 1.4%
"Routt County, Colorado",2%,± 0.9%
"Rowan County, Kentucky",8.80%,± 2.6%
"Rowan County, North Carolina",5.90%,± 0.9%
"Runnels County, Texas",2.40%,± 1.3%
"Rush County, Indiana",4.20%,± 1.8%
"Rush County, Kansas",2.80%,± 1.7%
"Rusk County, Texas",3.90%,± 1.1%
"Rusk County, Wisconsin",3.90%,± 0.8%
"Russell County, Alabama",8.80%,± 1.7%
"Russell County, Kansas",3.60%,± 2.4%
"Russell County, Kentucky",3.90%,± 1%
"Russell County, Virginia",6.60%,± 2%
"Rutherford County, North Carolina",6%,± 1.2%
"Rutherford County, Tennessee",2.50%,± 0.5%
"Rutland County, Vermont",7.10%,± 1.3%
"Sabana Grande Municipio, Puerto Rico",10.30%,± 2.4%
"Sabine County, Texas",4.50%,± 1.6%
"Sabine Parish, Louisiana",8.50%,± 1.7%
"Sac County, Iowa",4.20%,± 1.1%
"Sacramento County, California",6.20%,± 0.3%
"Sagadahoc County, Maine",5.80%,± 1.3%
"Saginaw County, Michigan",8%,± 0.7%
"Saguache County, Colorado",1.50%,± 1%
"Salem city, Virginia",5.80%,± 1.8%
"Salem County, New Jersey",9.50%,± 1.2%
"Salinas Municipio, Puerto Rico",14.50%,± 2.4%
"Saline County, Arkansas",3.70%,± 0.8%
"Saline County, Illinois",9.20%,± 1.8%
"Saline County, Kansas",8.10%,± 1.9%
"Saline County, Missouri",5.50%,± 1.7%
"Saline County, Nebraska",2%,± 1.2%
"Salt Lake County, Utah",5.20%,± 0.3%
"Saluda County, South Carolina",5.10%,± 1.8%
"Sampson County, North Carolina",5.10%,± 1.1%
"San Augustine County, Texas",11.70%,± 4.3%
"San Benito County, California",3.20%,± 1%
"San Bernardino County, California",4.50%,± 0.2%
"San Diego County, California",5.40%,± 0.2%
"San Francisco County, California",29.90%,± 0.7%
"San Germán Municipio, Puerto Rico",17%,± 2.9%
"San Jacinto County, Texas",3.20%,± 1.4%
"San Joaquin County, California",5.20%,± 0.3%
"San Juan County, Colorado",3.90%,± 4.3%
"San Juan County, New Mexico",6.10%,± 0.9%
"San Juan County, Utah",8.80%,± 2.2%
"San Juan County, Washington",4.60%,± 0.9%
"San Juan Municipio, Puerto Rico",22.60%,± 0.8%
"San Lorenzo Municipio, Puerto Rico",16.90%,± 2.5%
"San Luis Obispo County, California",3.80%,± 0.5%
"San Mateo County, California",5.60%,± 0.4%
"San Miguel County, Colorado",6.30%,± 2.1%
"San Miguel County, New Mexico",7.30%,± 1.9%
"San Patricio County, Texas",6.70%,± 1.3%
"San Saba County, Texas",2%,± 1.5%
"San Sebastián Municipio, Puerto Rico",11.70%,± 2%
"Sanborn County, South Dakota",7.70%,± 3.3%
"Sanders County, Montana",5.70%,± 2.2%
"Sandoval County, New Mexico",3%,± 0.5%
"Sandusky County, Ohio",4.60%,± 1%
"Sangamon County, Illinois",7.40%,± 0.8%
"Sanilac County, Michigan",6%,± 0.7%
"Sanpete County, Utah",2.80%,± 1%
"Santa Barbara County, California",6.30%,± 0.5%
"Santa Clara County, California",5.80%,± 0.2%
"Santa Cruz County, Arizona",6%,± 1.4%
"Santa Cruz County, California",5.20%,± 0.5%
"Santa Fe County, New Mexico",4.20%,± 0.6%
"Santa Isabel Municipio, Puerto Rico",11.20%,± 2.3%
"Santa Rosa County, Florida",3.50%,± 0.7%
"Sarasota County, Florida",4.40%,± 0.4%
"Saratoga County, New York",4.80%,± 0.6%
"Sargent County, North Dakota",2.50%,± 1%
"Sarpy County, Nebraska",3%,± 0.4%
"Sauk County, Wisconsin",5.20%,± 0.8%
"Saunders County, Nebraska",3.50%,± 1%
"Sawyer County, Wisconsin",4.30%,± 0.9%
"Schenectady County, New York",12.20%,± 1.2%
"Schleicher County, Texas",4.10%,± 3.1%
"Schley County, Georgia",5.30%,± 2.8%
"Schoharie County, New York",6.30%,± 1.3%
"Schoolcraft County, Michigan",7.40%,± 2.5%
"Schuyler County, Illinois",3.40%,± 2.3%
"Schuyler County, Missouri",7.20%,± 3%
"Schuyler County, New York",5.90%,± 1.8%
"Schuylkill County, Pennsylvania",8.20%,± 0.8%
"Scioto County, Ohio",7.20%,± 1.1%
"Scotland County, Missouri",4.60%,± 2.7%
"Scotland County, North Carolina",11.50%,± 1.5%
"Scott County, Arkansas",9.30%,± 3%
"Scott County, Illinois",4.60%,± 2.1%
"Scott County, Indiana",4.40%,± 1.9%
"Scott County, Iowa",6.50%,± 0.7%
"Scott County, Kansas",1.30%,± 1.8%
"Scott County, Kentucky",3.40%,± 0.9%
"Scott County, Minnesota",3%,± 0.5%
"Scott County, Mississippi",8.10%,± 2.7%
"Scott County, Missouri",7.40%,± 1.5%
"Scott County, Tennessee",4.20%,± 1.2%
"Scott County, Virginia",8.50%,± 1.6%
"Scotts Bluff County, Nebraska",6%,± 1.3%
"Screven County, Georgia",5.40%,± 1.5%
"Scurry County, Texas",0.90%,± 0.7%
"Searcy County, Arkansas",7.70%,± 2.7%
"Sebastian County, Arkansas",6.30%,± 1%
"Sedgwick County, Colorado",6.50%,± 2.6%
"Sedgwick County, Kansas",6%,± 0.5%
"Seminole County, Florida",3.90%,± 0.4%
"Seminole County, Georgia",10.70%,± 3.8%
"Seminole County, Oklahoma",7%,± 1.2%
"Seneca County, New York",8.70%,± 1.8%
"Seneca County, Ohio",5.70%,± 1.1%
"Sequatchie County, Tennessee",3.70%,± 1.6%
"Sequoyah County, Oklahoma",4.70%,± 0.9%
"Sevier County, Arkansas",4.70%,± 1.8%
"Sevier County, Tennessee",3.60%,± 0.7%
"Sevier County, Utah",4.10%,± 1.2%
"Seward County, Kansas",6.80%,± 2.5%
"Seward County, Nebraska",4.60%,± 1.2%
"Shackelford County, Texas",5.60%,± 3.9%
"Shannon County, Missouri",5.50%,± 1.8%
"Sharkey County, Mississippi",15.10%,± 5.3%
"Sharp County, Arkansas",4.80%,± 1.7%
"Shasta County, California",6.10%,± 0.6%
"Shawano County, Wisconsin",5%,± 0.8%
"Shawnee County, Kansas",7%,± 0.7%
"Sheboygan County, Wisconsin",4.90%,± 0.9%
"Shelby County, Alabama",2.60%,± 0.4%
"Shelby County, Illinois",5.10%,± 1.7%
"Shelby County, Indiana",5.40%,± 1.5%
"Shelby County, Iowa",2.70%,± 1%
"Shelby County, Kentucky",2.30%,± 0.7%
"Shelby County, Missouri",5.60%,± 1.9%
"Shelby County, Ohio",4%,± 1.1%
"Shelby County, Tennessee",8.40%,± 0.4%
"Shelby County, Texas",6.30%,± 1.7%
"Shenandoah County, Virginia",5%,± 1.1%
"Sherburne County, Minnesota",4.10%,± 0.9%
"Sheridan County, Kansas",5.80%,± 3.2%
"Sheridan County, Montana",3.10%,± 1.8%
"Sheridan County, Nebraska",4.50%,± 1.9%
"Sheridan County, North Dakota",2.20%,± 1.7%
"Sheridan County, Wyoming",4%,± 1.6%
"Sherman County, Kansas",3.30%,± 2.5%
"Sherman County, Nebraska",5%,± 2.1%
"Sherman County, Oregon",7.40%,± 3%
"Sherman County, Texas",1.10%,± 1.6%
"Shiawassee County, Michigan",5.80%,± 0.8%
"Shoshone County, Idaho",4.70%,± 1.2%
"Sibley County, Minnesota",5%,± 1.4%
"Sierra County, California",3%,± 3.7%
"Sierra County, New Mexico",7.40%,± 3%
"Silver Bow County, Montana",6.80%,± 1.7%
"Simpson County, Kentucky",3%,± 1.6%
"Simpson County, Mississippi",4.40%,± 1.6%
"Sioux County, Iowa",3.80%,± 1.1%
"Sioux County, Nebraska",5.30%,± 3.5%
"Sioux County, North Dakota",13.40%,± 3.5%
"Siskiyou County, California",5.60%,± 1.2%
"Sitka City and Borough, Alaska",10.50%,± 2%
"Skagit County, Washington",3.90%,± 0.5%
"Skagway Municipality, Alaska",6.30%,± 2.7%
"Skamania County, Washington",4.60%,± 1.5%
"Slope County, North Dakota",1.10%,± 1%
"Smith County, Kansas",2.70%,± 1.2%
"Smith County, Mississippi",6.80%,± 2.8%
"Smith County, Tennessee",5.30%,± 1.7%
"Smith County, Texas",4.30%,± 0.6%
"Smyth County, Virginia",8%,± 1.4%
"Snohomish County, Washington",4.60%,± 0.3%
"Snyder County, Pennsylvania",6.50%,± 1.2%
"Socorro County, New Mexico",4.90%,± 2.3%
"Solano County, California",4.60%,± 0.5%
"Somerset County, Maine",6.20%,± 1.1%
"Somerset County, Maryland",7.50%,± 2.5%
"Somerset County, New Jersey",4.50%,± 0.4%
"Somerset County, Pennsylvania",6.80%,± 1%
"Somervell County, Texas",2.90%,± 2.3%
"Sonoma County, California",4.80%,± 0.4%
"South Central Connecticut Planning Region, Connecticut",11.10%,± 0.5%
"Southampton County, Virginia",5%,± 1.9%
"Southeast Fairbanks Census Area, Alaska",5.70%,± 1.6%
"Southeastern Connecticut Planning Region, Connecticut",7.30%,± 0.6%
"Spalding County, Georgia",7.30%,± 1.4%
"Spartanburg County, South Carolina",4.50%,± 0.4%
"Spencer County, Indiana",3.80%,± 1.1%
"Spencer County, Kentucky",2.70%,± 1.2%
"Spink County, South Dakota",4.20%,± 1.3%
"Spokane County, Washington",7.30%,± 0.4%
"Spotsylvania County, Virginia",3.10%,± 0.7%
"St. Bernard Parish, Louisiana",7.20%,± 1.5%
"St. Charles County, Missouri",3.30%,± 0.3%
"St. Charles Parish, Louisiana",3.30%,± 1%
"St. Clair County, Alabama",3.30%,± 0.8%
"St. Clair County, Illinois",7.30%,± 0.6%
"St. Clair County, Michigan",5.60%,± 0.6%
"St. Clair County, Missouri",5.10%,± 1.7%
"St. Croix County, Wisconsin",2.90%,± 0.7%
"St. Francis County, Arkansas",12.90%,± 2.6%
"St. Francois County, Missouri",6.80%,± 1.3%
"St. Helena Parish, Louisiana",10.80%,± 6%
"St. James Parish, Louisiana",8.40%,± 2.5%
"St. John the Baptist Parish, Louisiana",4.10%,± 1.5%
"St. Johns County, Florida",2.40%,± 0.5%
"St. Joseph County, Indiana",6.80%,± 0.5%
"St. Joseph County, Michigan",8.20%,± 1.4%
"St. Landry Parish, Louisiana",9.70%,± 1.3%
"St. Lawrence County, New York",10.40%,± 1.2%
"St. Louis city, Missouri",18.50%,± 0.8%
"St. Louis County, Minnesota",8.50%,± 0.7%
"St. Louis County, Missouri",6.40%,± 0.4%
"St. Lucie County, Florida",4.50%,± 0.7%
"St. Martin Parish, Louisiana",7.90%,± 1.8%
"St. Mary Parish, Louisiana",11.10%,± 1.9%
"St. Mary's County, Maryland",4.50%,± 0.9%
"St. Tammany Parish, Louisiana",3.80%,± 0.6%
"Stafford County, Kansas",2.40%,± 1.5%
"Stafford County, Virginia",1.90%,± 0.4%
"Stanislaus County, California",5.40%,± 0.4%
"Stanley County, South Dakota",2.90%,± 2.3%
"Stanly County, North Carolina",5.40%,± 1.4%
"Stanton County, Kansas",1.60%,± 1.8%
"Stanton County, Nebraska",2%,± 1.5%
"Stark County, Illinois",4.40%,± 1.5%
"Stark County, North Dakota",5.20%,± 1.7%
"Stark County, Ohio",6.80%,± 0.5%
"Starke County, Indiana",5.40%,± 1.5%
"Starr County, Texas",10.70%,± 2.1%
"Staunton city, Virginia",8.80%,± 1.6%
"Ste. Genevieve County, Missouri",3.20%,± 1.8%
"Stearns County, Minnesota",5.60%,± 0.9%
"Steele County, Minnesota",7.40%,± 1.5%
"Steele County, North Dakota",0.70%,± 0.9%
"Stephens County, Georgia",4.80%,± 1.6%
"Stephens County, Oklahoma",6.70%,± 1.3%
"Stephens County, Texas",9.30%,± 4.1%
"Stephenson County, Illinois",8.60%,± 1.6%
"Sterling County, Texas",0%,± 12%
"Steuben County, Indiana",5.10%,± 1.5%
"Steuben County, New York",9.40%,± 0.7%
"Stevens County, Kansas",5.50%,± 2.7%
"Stevens County, Minnesota",4.30%,± 1.7%
"Stevens County, Washington",3.80%,± 0.7%
"Stewart County, Georgia",12.40%,± 5.8%
"Stewart County, Tennessee",5.60%,± 2.2%
"Stillwater County, Montana",3.30%,± 1.8%
"Stoddard County, Missouri",4.70%,± 1.4%
"Stokes County, North Carolina",2.80%,± 0.9%
"Stone County, Arkansas",7.60%,± 2.6%
"Stone County, Mississippi",6.90%,± 2.7%
"Stone County, Missouri",3.10%,± 1.1%
"Stonewall County, Texas",2.40%,± 2.8%
"Storey County, Nevada",2.10%,± 2%
"Story County, Iowa",6.60%,± 0.9%
"Strafford County, New Hampshire",5.10%,± 0.9%
"Stutsman County, North Dakota",5.20%,± 2.1%
"Sublette County, Wyoming",0.80%,± 0.8%
"Suffolk city, Virginia",6%,± 0.8%
"Suffolk County, Massachusetts",31.80%,± 0.7%
"Suffolk County, New York",5.20%,± 0.3%
"Sullivan County, Indiana",4.70%,± 1.8%
"Sullivan County, Missouri",5.80%,± 2.3%
"Sullivan County, New Hampshire",5.30%,± 1.2%
"Sullivan County, New York",9.90%,± 1.3%
"Sullivan County, Pennsylvania",5.30%,± 1.4%
"Sullivan County, Tennessee",4.90%,± 0.7%
"Sully County, South Dakota",0.80%,± 0.9%
"Summers County, West Virginia",8.90%,± 2.5%
"Summit County, Colorado",3%,± 1.5%
"Summit County, Ohio",7.80%,± 0.5%
"Summit County, Utah",1.80%,± 0.7%
"Sumner County, Kansas",4.90%,± 1.7%
"Sumner County, Tennessee",3.30%,± 0.5%
"Sumter County, Alabama",7.70%,± 3.1%
"Sumter County, Florida",3.50%,± 0.7%
"Sumter County, Georgia",10.60%,± 2.7%
"Sumter County, South Carolina",8%,± 1.2%
"Sunflower County, Mississippi",9.30%,± 1.9%
"Surry County, North Carolina",5.10%,± 0.9%
"Surry County, Virginia",5.20%,± 2.7%
"Susquehanna County, Pennsylvania",5.20%,± 0.7%
"Sussex County, Delaware",3.60%,± 0.4%
"Sussex County, New Jersey",3.20%,± 0.6%
"Sussex County, Virginia",10.30%,± 3.4%
"Sutter County, California",5.40%,± 0.9%
"Sutton County, Texas",2.50%,± 3.3%
"Suwannee County, Florida",5.90%,± 1.9%
"Swain County, North Carolina",8.90%,± 2.7%
"Sweet Grass County, Montana",3.50%,± 2.1%
"Sweetwater County, Wyoming",2%,± 0.7%
"Swift County, Minnesota",4.60%,± 1.3%
"Swisher County, Texas",8.10%,± 3.3%
"Switzerland County, Indiana",6.90%,± 2.4%
"Talbot County, Georgia",11.60%,± 3.3%
"Talbot County, Maryland",7.20%,± 1.8%
"Taliaferro County, Georgia",8.60%,± 3.9%
"Talladega County, Alabama",7.70%,± 1.3%
"Tallahatchie County, Mississippi",10.80%,± 2.7%
"Tallapoosa County, Alabama",6.90%,± 1.7%
"Tama County, Iowa",3.10%,± 0.8%
"Taney County, Missouri",4.90%,± 1.2%
"Tangipahoa Parish, Louisiana",5.90%,± 1%
"Taos County, New Mexico",4.50%,± 1.3%
"Tarrant County, Texas",4.40%,± 0.2%
"Tate County, Mississippi",4%,± 1.9%
"Tattnall County, Georgia",6.20%,± 2.7%
"Taylor County, Florida",5.50%,± 2.2%
"Taylor County, Georgia",10.10%,± 3.4%
"Taylor County, Iowa",4.20%,± 1.6%
"Taylor County, Kentucky",6.70%,± 2.1%
"Taylor County, Texas",4.60%,± 0.7%
"Taylor County, West Virginia",7.10%,± 2.4%
"Taylor County, Wisconsin",5.30%,± 1.5%
"Tazewell County, Illinois",5.80%,± 0.8%
"Tazewell County, Virginia",7.60%,± 1.8%
"Tehama County, California",6.20%,± 1.3%
"Telfair County, Georgia",11.10%,± 4%
"Teller County, Colorado",1.10%,± 0.6%
"Tensas Parish, Louisiana",8.70%,± 3.2%
"Terrebonne Parish, Louisiana",7.90%,± 1.4%
"Terrell County, Georgia",11.80%,± 3.6%
"Terrell County, Texas",3.20%,± 4.5%
"Terry County, Texas",7.90%,± 4%
"Teton County, Idaho",1.30%,± 1.2%
"Teton County, Montana",6.40%,± 2.6%
"Teton County, Wyoming",1.90%,± 1.2%
"Texas County, Missouri",8.20%,± 1.9%
"Texas County, Oklahoma",3.70%,± 2%
"Thayer County, Nebraska",4.10%,± 1.3%
"Thomas County, Georgia",4.40%,± 1.3%
"Thomas County, Kansas",3.20%,± 2.2%
"Thomas County, Nebraska",2.60%,± 3.7%
"Throckmorton County, Texas",2.50%,± 2.1%
"Thurston County, Nebraska",8.60%,± 1.9%
"Thurston County, Washington",4.60%,± 0.6%
"Tift County, Georgia",8.20%,± 1.9%
"Tillamook County, Oregon",4.90%,± 1.1%
"Tillman County, Oklahoma",7.90%,± 3.3%
"Tioga County, New York",6.50%,± 1.3%
"Tioga County, Pennsylvania",6.20%,± 1%
"Tippah County, Mississippi",3.70%,± 1.6%
"Tippecanoe County, Indiana",8.60%,± 0.8%
"Tipton County, Indiana",1.20%,± 0.7%
"Tipton County, Tennessee",4.30%,± 1.1%
"Tishomingo County, Mississippi",5%,± 1.8%
"Titus County, Texas",4.70%,± 1.3%
