Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Petroleum County, Montana",14.30%,± 21.5%
"Pettis County, Missouri",27%,± 4.3%
"Phelps County, Missouri",16.20%,± 4.1%
"Phelps County, Nebraska",23.70%,± 6.7%
"Philadelphia County, Pennsylvania",22.60%,± 1.2%
"Phillips County, Arkansas",23.50%,± 8.6%
"Phillips County, Colorado",34.90%,± 15.6%
"Phillips County, Kansas",24%,± 7.8%
"Phillips County, Montana",27.30%,± 12.2%
"Piatt County, Illinois",20.90%,± 5.7%
"Pickaway County, Ohio",20.20%,± 4.6%
"Pickens County, Alabama",20.50%,± 7.1%
"Pickens County, Georgia",21%,± 6%
"Pickens County, South Carolina",17.90%,± 3.1%
"Pickett County, Tennessee",22.30%,± 17.1%
"Pierce County, Georgia",18.80%,± 8.7%
"Pierce County, Nebraska",29.70%,± 7.2%
"Pierce County, North Dakota",22.20%,± 9.3%
"Pierce County, Washington",20.90%,± 1.1%
"Pierce County, Wisconsin",17.60%,± 3.7%
"Pike County, Alabama",18.90%,± 5%
"Pike County, Arkansas",32.60%,± 9.8%
"Pike County, Georgia",21.80%,± 6.4%
"Pike County, Illinois",22.60%,± 6.2%
"Pike County, Indiana",19.30%,± 7%
"Pike County, Kentucky",17.30%,± 3.4%
"Pike County, Mississippi",17.90%,± 5.5%
"Pike County, Missouri",18.40%,± 5.5%
"Pike County, Ohio",24.90%,± 6.5%
"Pike County, Pennsylvania",13%,± 3.5%
"Pima County, Arizona",21.10%,± 1.4%
"Pinal County, Arizona",27.40%,± 1.7%
"Pine County, Minnesota",22.80%,± 3%
"Pinellas County, Florida",16.20%,± 1.2%
"Pipestone County, Minnesota",19.90%,± 5.4%
"Piscataquis County, Maine",26.80%,± 6.8%
"Pitkin County, Colorado",2.70%,± 2.8%
"Pitt County, North Carolina",22.30%,± 2.7%
"Pittsburg County, Oklahoma",19.70%,± 3.4%
"Pittsylvania County, Virginia",12.70%,± 3.2%
"Piute County, Utah",15.20%,± 10.9%
"Placer County, California",17.80%,± 1.4%
"Plaquemines Parish, Louisiana",24.10%,± 7.6%
"Platte County, Missouri",20.20%,± 2.8%
"Platte County, Nebraska",22.40%,± 4.8%
"Platte County, Wyoming",10.40%,± 8.7%
"Pleasants County, West Virginia",10.10%,± 6.7%
"Plumas County, California",29%,± 9.2%
"Plymouth County, Iowa",28.80%,± 4.9%
"Plymouth County, Massachusetts",17.90%,± 1.2%
"Pocahontas County, Iowa",25%,± 8.2%
"Pocahontas County, West Virginia",7.60%,± 4.4%
"Poinsett County, Arkansas",22.90%,± 5.3%
"Pointe Coupee Parish, Louisiana",19.40%,± 8%
"Polk County, Arkansas",31.30%,± 7.5%
"Polk County, Florida",21.80%,± 1.5%
"Polk County, Georgia",20.60%,± 6.1%
"Polk County, Iowa",22.70%,± 1.7%
"Polk County, Minnesota",21.40%,± 4.1%
"Polk County, Missouri",24.30%,± 5.1%
"Polk County, Nebraska",18%,± 6.3%
"Polk County, North Carolina",18.90%,± 6.9%
"Polk County, Oregon",18.40%,± 3.1%
"Polk County, Tennessee",21.10%,± 8.1%
"Polk County, Texas",24.20%,± 6.2%
"Polk County, Wisconsin",18.10%,± 2.2%
"Ponce Municipio, Puerto Rico",17.70%,± 3%
"Pondera County, Montana",24.60%,± 7.9%
"Pontotoc County, Mississippi",25.20%,± 5.2%
"Pontotoc County, Oklahoma",23.60%,± 3.3%
"Pope County, Arkansas",17.20%,± 4%
"Pope County, Illinois",14.80%,± 7.8%
"Pope County, Minnesota",22%,± 4.6%
"Poquoson city, Virginia",16.90%,± 5.8%
"Portage County, Ohio",19.20%,± 3.2%
"Portage County, Wisconsin",17.70%,± 3%
"Porter County, Indiana",18.70%,± 2.3%
"Portsmouth city, Virginia",21.90%,± 4.1%
"Posey County, Indiana",20.20%,± 5.5%
"Pottawatomie County, Kansas",29.40%,± 4.9%
"Pottawatomie County, Oklahoma",22.60%,± 2.6%
"Pottawattamie County, Iowa",24.50%,± 3.3%
"Potter County, Pennsylvania",17.30%,± 3.2%
"Potter County, South Dakota",17.70%,± 8.8%
"Potter County, Texas",25.10%,± 3.1%
"Powder River County, Montana",17.40%,± 17.3%
"Powell County, Kentucky",20.90%,± 8.6%
"Powell County, Montana",14.80%,± 10.3%
"Power County, Idaho",36.70%,± 10.6%
"Poweshiek County, Iowa",26.60%,± 7.9%
"Powhatan County, Virginia",13.40%,± 5.8%
"Prairie County, Arkansas",15.80%,± 8.1%
"Prairie County, Montana",33.90%,± 22.2%
"Pratt County, Kansas",14.60%,± 6.6%
"Preble County, Ohio",20.90%,± 4.1%
"Prentiss County, Mississippi",25.30%,± 7.5%
"Presidio County, Texas",37.30%,± 23.7%
"Presque Isle County, Michigan",19.50%,± 4.5%
"Preston County, West Virginia",21.80%,± 4.9%
"Price County, Wisconsin",22.60%,± 3.9%
"Prince Edward County, Virginia",28.10%,± 9.6%
"Prince George County, Virginia",22.40%,± 5.8%
"Prince George's County, Maryland",21%,± 1.2%
"Prince of Wales-Hyder Census Area, Alaska",23.90%,± 6%
"Prince William County, Virginia",21%,± 1.2%
"Providence County, Rhode Island",19.30%,± 1.7%
"Prowers County, Colorado",30.10%,± 8.5%
"Pueblo County, Colorado",21.40%,± 2.7%
"Pulaski County, Arkansas",22.40%,± 1.7%
"Pulaski County, Georgia",34.90%,± 15.6%
"Pulaski County, Illinois",21%,± 9.4%
"Pulaski County, Indiana",13.60%,± 4.4%
"Pulaski County, Kentucky",15.50%,± 2.9%
"Pulaski County, Missouri",20.30%,± 4.2%
"Pulaski County, Virginia",17.70%,± 5.6%
"Pushmataha County, Oklahoma",26.50%,± 6%
"Putnam County, Florida",28.10%,± 6%
"Putnam County, Georgia",22.40%,± 9.7%
"Putnam County, Illinois",14.20%,± 6%
"Putnam County, Indiana",25.50%,± 5.1%
"Putnam County, Missouri",39.40%,± 21.3%
"Putnam County, New York",17.60%,± 2.9%
"Putnam County, Ohio",19.90%,± 3%
"Putnam County, Tennessee",19.40%,± 3.3%
"Putnam County, West Virginia",17.30%,± 3.7%
"Quay County, New Mexico",25.70%,± 13.1%
"Quebradillas Municipio, Puerto Rico",9.80%,± 6.1%
"Queen Anne's County, Maryland",23.20%,± 3.5%
"Queens County, New York",17.10%,± 0.7%
"Quitman County, Georgia",12.10%,± 28.7%
"Quitman County, Mississippi",30.90%,± 9.5%
"Rabun County, Georgia",11.10%,± 5.6%
"Racine County, Wisconsin",21.90%,± 2.3%
"Radford city, Virginia",23.30%,± 9.3%
"Rains County, Texas",14.10%,± 7.2%
"Raleigh County, West Virginia",15.90%,± 2.9%
"Ralls County, Missouri",17.40%,± 5.6%
"Ramsey County, Minnesota",24.40%,± 1.4%
"Ramsey County, North Dakota",29.80%,± 7.9%
"Randall County, Texas",20.80%,± 2.6%
"Randolph County, Alabama",16.40%,± 7%
"Randolph County, Arkansas",21.10%,± 7.3%
"Randolph County, Georgia",17.30%,± 13.4%
"Randolph County, Illinois",21.10%,± 4.4%
"Randolph County, Indiana",20.20%,± 5.3%
"Randolph County, Missouri",15.70%,± 4.5%
"Randolph County, North Carolina",23.50%,± 3.1%
"Randolph County, West Virginia",12%,± 5.6%
"Rankin County, Mississippi",19.10%,± 2.6%
"Ransom County, North Dakota",31.60%,± 8.4%
"Rapides Parish, Louisiana",20.80%,± 2.9%
"Rappahannock County, Virginia",8.80%,± 7.7%
"Ravalli County, Montana",14.10%,± 3.6%
"Rawlins County, Kansas",18.80%,± 10.5%
"Ray County, Missouri",26.20%,± 5.6%
"Reagan County, Texas",32.50%,± 13.3%
"Real County, Texas",10.60%,± 12.1%
"Red Lake County, Minnesota",22.70%,± 5.3%
"Red River County, Texas",25.70%,± 7.7%
"Red River Parish, Louisiana",14.30%,± 6.8%
"Red Willow County, Nebraska",12.50%,± 6%
"Redwood County, Minnesota",28.20%,± 4.2%
"Reeves County, Texas",18.60%,± 14.2%
"Refugio County, Texas",14.90%,± 13.4%
"Reno County, Kansas",16.60%,± 2.7%
"Rensselaer County, New York",18%,± 2.4%
"Renville County, Minnesota",25.90%,± 4.1%
"Renville County, North Dakota",34.70%,± 9.9%
"Republic County, Kansas",24.50%,± 8.2%
"Reynolds County, Missouri",25.30%,± 8.3%
"Rhea County, Tennessee",17.70%,± 5.3%
"Rice County, Kansas",24.40%,± 7%
"Rice County, Minnesota",25.30%,± 3.3%
"Rich County, Utah",29.10%,± 13%
"Richardson County, Nebraska",16.60%,± 8.4%
"Richland County, Illinois",17.30%,± 4.6%
"Richland County, Montana",18%,± 7.4%
"Richland County, North Dakota",24.30%,± 4.8%
"Richland County, Ohio",19.40%,± 2.4%
"Richland County, South Carolina",22.10%,± 1.8%
"Richland County, Wisconsin",25.20%,± 4.6%
"Richland Parish, Louisiana",24.90%,± 8%
"Richmond city, Virginia",21.10%,± 2.5%
"Richmond County, Georgia",23.20%,± 3.4%
"Richmond County, New York",18.60%,± 1.5%
"Richmond County, North Carolina",18%,± 4.9%
"Richmond County, Virginia",12.20%,± 9.7%
"Riley County, Kansas",17.90%,± 4.3%
"Rincón Municipio, Puerto Rico",7.90%,± 6.1%
"Ringgold County, Iowa",28.80%,± 8.8%
"Rio Arriba County, New Mexico",14.10%,± 5%
"Rio Blanco County, Colorado",17.40%,± 9.2%
"Rio Grande County, Colorado",21.80%,± 8.1%
"Río Grande Municipio, Puerto Rico",18.30%,± 5.2%
"Ripley County, Indiana",18.60%,± 4%
"Ripley County, Missouri",30%,± 8.4%
"Ritchie County, West Virginia",9%,± 5.3%
"Riverside County, California",22.70%,± 0.7%
"Roane County, Tennessee",21.20%,± 5.6%
"Roane County, West Virginia",26.60%,± 9.6%
"Roanoke city, Virginia",21.30%,± 3.4%
"Roanoke County, Virginia",14.80%,± 2.7%
"Roberts County, South Dakota",35.40%,± 6.1%
"Roberts County, Texas",16%,± 19.6%
"Robertson County, Kentucky",29.60%,± 16.2%
"Robertson County, Tennessee",24.60%,± 3.8%
"Robertson County, Texas",29.60%,± 8.3%
"Robeson County, North Carolina",25.10%,± 2.1%
"Rock County, Minnesota",21.90%,± 5%
"Rock County, Nebraska",27.30%,± 13.2%
"Rock County, Wisconsin",20.90%,± 2.1%
"Rock Island County, Illinois",25.90%,± 2.6%
"Rockbridge County, Virginia",15.80%,± 5.4%
"Rockcastle County, Kentucky",29%,± 8.2%
"Rockdale County, Georgia",24.70%,± 5%
"Rockingham County, New Hampshire",16.90%,± 1.9%
"Rockingham County, North Carolina",19.30%,± 3.8%
"Rockingham County, Virginia",17.60%,± 3%
"Rockland County, New York",30.70%,± 1.9%
"Rockwall County, Texas",17.70%,± 2.8%
"Roger Mills County, Oklahoma",21.70%,± 8.1%
"Rogers County, Oklahoma",20.30%,± 2.1%
"Rolette County, North Dakota",27.90%,± 7.7%
"Rooks County, Kansas",22.40%,± 7%
"Roosevelt County, Montana",26.90%,± 7.2%
"Roosevelt County, New Mexico",31.20%,± 7.4%
"Roscommon County, Michigan",25.30%,± 5.7%
"Roseau County, Minnesota",20.30%,± 4.3%
"Rosebud County, Montana",26.30%,± 9.2%
"Ross County, Ohio",19.60%,± 3.5%
"Routt County, Colorado",18.10%,± 5.1%
"Rowan County, Kentucky",12.60%,± 5.4%
"Rowan County, North Carolina",22.90%,± 3.6%
"Runnels County, Texas",32.30%,± 8.7%
"Rush County, Indiana",20.80%,± 6.4%
"Rush County, Kansas",24.70%,± 10%
"Rusk County, Texas",22.40%,± 4.4%
"Rusk County, Wisconsin",21.70%,± 3.9%
"Russell County, Alabama",19.90%,± 5.2%
"Russell County, Kansas",27.40%,± 9%
"Russell County, Kentucky",23.60%,± 7.5%
"Russell County, Virginia",18.90%,± 5.4%
"Rutherford County, North Carolina",22.20%,± 4.2%
"Rutherford County, Tennessee",20.50%,± 2%
"Rutland County, Vermont",18.20%,± 3.9%
"Sabana Grande Municipio, Puerto Rico",9%,± 6.8%
"Sabine County, Texas",23.60%,± 7.8%
"Sabine Parish, Louisiana",17.90%,± 4.9%
"Sac County, Iowa",20.90%,± 4.9%
"Sacramento County, California",22.50%,± 0.9%
"Sagadahoc County, Maine",10%,± 4.1%
"Saginaw County, Michigan",20.40%,± 2.6%
"Saguache County, Colorado",26.50%,± 14.6%
"Salem city, Virginia",24.10%,± 6.9%
"Salem County, New Jersey",17.80%,± 3.4%
"Salinas Municipio, Puerto Rico",11.40%,± 5.3%
"Saline County, Arkansas",20%,± 2.7%
"Saline County, Illinois",24.50%,± 6.7%
"Saline County, Kansas",21.90%,± 4.4%
"Saline County, Missouri",21.20%,± 5.9%
"Saline County, Nebraska",11.70%,± 4.5%
"Salt Lake County, Utah",22.80%,± 1.1%
"Saluda County, South Carolina",27.90%,± 6.8%
"Sampson County, North Carolina",25.60%,± 4.3%
"San Augustine County, Texas",12.20%,± 8.3%
"San Benito County, California",18.20%,± 3.6%
"San Bernardino County, California",22.10%,± 0.8%
"San Diego County, California",18.70%,± 0.5%
"San Francisco County, California",13.30%,± 1.3%
"San Germán Municipio, Puerto Rico",15.50%,± 6.4%
"San Jacinto County, Texas",15.10%,± 6.2%
"San Joaquin County, California",23.50%,± 1.3%
"San Juan County, Colorado",4.50%,± 5.2%
"San Juan County, New Mexico",22.10%,± 3.3%
"San Juan County, Utah",34.10%,± 7%
"San Juan County, Washington",17.20%,± 3.1%
"San Juan Municipio, Puerto Rico",14%,± 1.8%
"San Lorenzo Municipio, Puerto Rico",11.80%,± 5.8%
"San Luis Obispo County, California",17.10%,± 2%
"San Mateo County, California",15%,± 0.9%
"San Miguel County, Colorado",16.20%,± 7.2%
"San Miguel County, New Mexico",11.90%,± 6.5%
"San Patricio County, Texas",28.30%,± 4.3%
"San Saba County, Texas",29.40%,± 16.7%
"San Sebastián Municipio, Puerto Rico",16.70%,± 6.4%
"Sanborn County, South Dakota",40.80%,± 10.1%
"Sanders County, Montana",16.10%,± 5.6%
"Sandoval County, New Mexico",16.80%,± 2.8%
"Sandusky County, Ohio",17.90%,± 3.7%
"Sangamon County, Illinois",20.80%,± 2.5%
"Sanilac County, Michigan",18.50%,± 2.7%
"Sanpete County, Utah",29.80%,± 5.2%
"Santa Barbara County, California",22.30%,± 1.8%
"Santa Clara County, California",16.10%,± 0.5%
"Santa Cruz County, Arizona",19.60%,± 4.7%
"Santa Cruz County, California",16.70%,± 2%
"Santa Fe County, New Mexico",18.50%,± 2.4%
"Santa Isabel Municipio, Puerto Rico",13.50%,± 6.7%
"Santa Rosa County, Florida",21.40%,± 3.3%
"Sarasota County, Florida",13.60%,± 2.1%
"Saratoga County, New York",15%,± 1.8%
"Sargent County, North Dakota",22.90%,± 7.3%
"Sarpy County, Nebraska",23.10%,± 1.9%
"Sauk County, Wisconsin",20.30%,± 2.5%
"Saunders County, Nebraska",25.80%,± 4.9%
"Sawyer County, Wisconsin",16.90%,± 4.2%
"Schenectady County, New York",15.40%,± 2.4%
"Schleicher County, Texas",32.50%,± 21%
"Schley County, Georgia",15.90%,± 8.2%
"Schoharie County, New York",16.20%,± 3.5%
"Schoolcraft County, Michigan",22%,± 5.5%
"Schuyler County, Illinois",26.20%,± 9.7%
"Schuyler County, Missouri",45.80%,± 11.1%
"Schuyler County, New York",18.10%,± 4.7%
"Schuylkill County, Pennsylvania",19.50%,± 2.4%
"Scioto County, Ohio",18.30%,± 3.8%
"Scotland County, Missouri",25.80%,± 8%
"Scotland County, North Carolina",27.20%,± 4.6%
"Scott County, Arkansas",19.40%,± 10.8%
"Scott County, Illinois",24.10%,± 12.2%
"Scott County, Indiana",12.60%,± 5.2%
"Scott County, Iowa",20.20%,± 2.2%
"Scott County, Kansas",11.70%,± 9.3%
"Scott County, Kentucky",18.70%,± 3.6%
"Scott County, Minnesota",17.40%,± 2.1%
"Scott County, Mississippi",22.60%,± 5.7%
"Scott County, Missouri",23.80%,± 4.6%
"Scott County, Tennessee",16.50%,± 6.8%
"Scott County, Virginia",23.80%,± 5%
"Scotts Bluff County, Nebraska",24%,± 3.9%
"Screven County, Georgia",17.20%,± 6.8%
"Scurry County, Texas",27.40%,± 7.9%
"Searcy County, Arkansas",14.90%,± 7.9%
"Sebastian County, Arkansas",21.20%,± 3%
"Sedgwick County, Colorado",26.20%,± 16.5%
"Sedgwick County, Kansas",22.40%,± 1.2%
"Seminole County, Florida",15.90%,± 1.4%
"Seminole County, Georgia",28.70%,± 10%
"Seminole County, Oklahoma",24.70%,± 3.8%
"Seneca County, New York",22.10%,± 4.8%
"Seneca County, Ohio",19%,± 3%
"Sequatchie County, Tennessee",23.40%,± 8.6%
"Sequoyah County, Oklahoma",18.50%,± 3.4%
"Sevier County, Arkansas",31.20%,± 8.3%
"Sevier County, Tennessee",20.40%,± 4.5%
"Sevier County, Utah",27.40%,± 4.9%
"Seward County, Kansas",23.40%,± 6%
"Seward County, Nebraska",20.80%,± 4.7%
"Shackelford County, Texas",25.40%,± 12.9%
"Shannon County, Missouri",34.90%,± 19.1%
"Sharkey County, Mississippi",22%,± 12.1%
"Sharp County, Arkansas",23.20%,± 7.3%
"Shasta County, California",21.70%,± 2.8%
"Shawano County, Wisconsin",17.90%,± 2.6%
"Shawnee County, Kansas",22.30%,± 2.2%
"Sheboygan County, Wisconsin",24.70%,± 2.7%
"Shelby County, Alabama",16.50%,± 1.8%
"Shelby County, Illinois",23.50%,± 6.1%
"Shelby County, Indiana",26.40%,± 5%
"Shelby County, Iowa",17.30%,± 4.8%
"Shelby County, Kentucky",20.40%,± 4.3%
"Shelby County, Missouri",18.20%,± 6%
"Shelby County, Ohio",23.70%,± 4.3%
"Shelby County, Tennessee",20.30%,± 1.1%
"Shelby County, Texas",30.10%,± 6.5%
"Shenandoah County, Virginia",23.80%,± 5.1%
"Sherburne County, Minnesota",25.20%,± 3.7%
"Sheridan County, Kansas",13.10%,± 8.8%
"Sheridan County, Montana",26.10%,± 10.5%
"Sheridan County, Nebraska",25.70%,± 7.3%
"Sheridan County, North Dakota",28.90%,± 13.2%
"Sheridan County, Wyoming",15.80%,± 4.5%
"Sherman County, Kansas",17.10%,± 9.5%
"Sherman County, Nebraska",19.40%,± 7.3%
"Sherman County, Oregon",26.40%,± 11.3%
"Sherman County, Texas",16.50%,± 12.9%
"Shiawassee County, Michigan",19.30%,± 3%
"Shoshone County, Idaho",27.90%,± 8.7%
"Sibley County, Minnesota",24.50%,± 3.5%
"Sierra County, California",0%,± 26.5%
"Sierra County, New Mexico",13.70%,± 11%
"Silver Bow County, Montana",18%,± 4.9%
"Simpson County, Kentucky",27.20%,± 9.5%
"Simpson County, Mississippi",20.20%,± 7.5%
"Sioux County, Iowa",23.30%,± 4.3%
"Sioux County, Nebraska",34.10%,± 20.4%
"Sioux County, North Dakota",25.60%,± 8.1%
"Siskiyou County, California",17.70%,± 3.8%
"Sitka City and Borough, Alaska",12.90%,± 3.8%
"Skagit County, Washington",21.30%,± 2.7%
"Skagway Municipality, Alaska",13.60%,± 10.2%
"Skamania County, Washington",17.50%,± 6.8%
"Slope County, North Dakota",7.20%,± 6.8%
"Smith County, Kansas",26.70%,± 8.9%
"Smith County, Mississippi",25%,± 8.4%
"Smith County, Tennessee",16.90%,± 4.9%
"Smith County, Texas",22.70%,± 2.7%
"Smyth County, Virginia",24.20%,± 5.4%
"Snohomish County, Washington",20.20%,± 1%
"Snyder County, Pennsylvania",19.10%,± 3.2%
"Socorro County, New Mexico",32%,± 13.1%
"Solano County, California",22.30%,± 1.7%
"Somerset County, Maine",22.40%,± 4.5%
"Somerset County, Maryland",28.90%,± 6.6%
"Somerset County, New Jersey",15.70%,± 1.5%
"Somerset County, Pennsylvania",20.70%,± 2.4%
"Somervell County, Texas",12.10%,± 7.2%
"Sonoma County, California",19.60%,± 1.6%
"South Central Connecticut Planning Region, Connecticut",17.10%,± 1.3%
"Southampton County, Virginia",11.80%,± 5.5%
"Southeast Fairbanks Census Area, Alaska",26.20%,± 7.6%
"Southeastern Connecticut Planning Region, Connecticut",16.10%,± 1.7%
"Spalding County, Georgia",25.10%,± 5.2%
"Spartanburg County, South Carolina",19.90%,± 2%
"Spencer County, Indiana",20.50%,± 4.7%
"Spencer County, Kentucky",12.80%,± 5%
"Spink County, South Dakota",22.70%,± 6.6%
"Spokane County, Washington",21%,± 1.5%
"Spotsylvania County, Virginia",21.20%,± 2.2%
"St. Bernard Parish, Louisiana",21.90%,± 4.5%
"St. Charles County, Missouri",19.20%,± 1.3%
"St. Charles Parish, Louisiana",19.80%,± 4.9%
"St. Clair County, Alabama",21.30%,± 3.6%
"St. Clair County, Illinois",22.50%,± 2.2%
"St. Clair County, Michigan",16.80%,± 1.9%
"St. Clair County, Missouri",18.50%,± 6.9%
"St. Croix County, Wisconsin",16.80%,± 2.6%
"St. Francis County, Arkansas",26.70%,± 7.9%
"St. Francois County, Missouri",18.50%,± 4.9%
"St. Helena Parish, Louisiana",21%,± 10.1%
"St. James Parish, Louisiana",15.80%,± 7.1%
"St. John the Baptist Parish, Louisiana",17.70%,± 5.8%
"St. Johns County, Florida",16.70%,± 2.1%
"St. Joseph County, Indiana",22%,± 2%
"St. Joseph County, Michigan",22.70%,± 3.1%
"St. Landry Parish, Louisiana",22.10%,± 3.8%
"St. Lawrence County, New York",22.90%,± 3%
"St. Louis city, Missouri",18%,± 2.2%
"St. Louis County, Minnesota",20.10%,± 1.9%
"St. Louis County, Missouri",18.60%,± 1%
"St. Lucie County, Florida",19.70%,± 2.5%
"St. Martin Parish, Louisiana",16.10%,± 4.2%
"St. Mary Parish, Louisiana",20.60%,± 4.1%
"St. Mary's County, Maryland",25%,± 2.8%
"St. Tammany Parish, Louisiana",19.40%,± 1.8%
"Stafford County, Kansas",23.90%,± 7.3%
"Stafford County, Virginia",20.50%,± 2.5%
"Stanislaus County, California",22.80%,± 1.3%
"Stanley County, South Dakota",27.20%,± 17.5%
"Stanly County, North Carolina",18%,± 3.2%
"Stanton County, Kansas",49.40%,± 25.5%
"Stanton County, Nebraska",21.50%,± 9%
"Stark County, Illinois",29.70%,± 8.3%
"Stark County, North Dakota",27%,± 5.3%
"Stark County, Ohio",19.70%,± 1.5%
"Starke County, Indiana",23.60%,± 4.9%
"Starr County, Texas",26.20%,± 4.1%
"Staunton city, Virginia",17.70%,± 6.5%
"Ste. Genevieve County, Missouri",17.50%,± 6.6%
"Stearns County, Minnesota",24.30%,± 2.6%
"Steele County, Minnesota",20.30%,± 3.7%
"Steele County, North Dakota",23.60%,± 9.6%
"Stephens County, Georgia",21.10%,± 6.4%
"Stephens County, Oklahoma",21.70%,± 3.8%
"Stephens County, Texas",21%,± 13.2%
"Stephenson County, Illinois",22.80%,± 4.6%
"Sterling County, Texas",35.70%,± 18.7%
"Steuben County, Indiana",27.50%,± 4.6%
"Steuben County, New York",16%,± 2.3%
"Stevens County, Kansas",30.90%,± 14.4%
"Stevens County, Minnesota",19.20%,± 5.1%
"Stevens County, Washington",23%,± 4.1%
"Stewart County, Georgia",21.50%,± 18%
"Stewart County, Tennessee",23.80%,± 9.6%
"Stillwater County, Montana",30.60%,± 8.7%
"Stoddard County, Missouri",26.40%,± 4.5%
"Stokes County, North Carolina",25.90%,± 6.4%
"Stone County, Arkansas",21.80%,± 7%
"Stone County, Mississippi",22.20%,± 9.7%
"Stone County, Missouri",20.60%,± 7%
"Stonewall County, Texas",24.60%,± 16.1%
"Storey County, Nevada",24%,± 14.8%
"Story County, Iowa",22.20%,± 3.7%
"Strafford County, New Hampshire",11.70%,± 2%
"Stutsman County, North Dakota",18.70%,± 5%
"Sublette County, Wyoming",13%,± 7%
"Suffolk city, Virginia",24.30%,± 3%
"Suffolk County, Massachusetts",16.40%,± 1.4%
"Suffolk County, New York",16.80%,± 0.8%
"Sullivan County, Indiana",23.50%,± 7.6%
"Sullivan County, Missouri",17.20%,± 7.5%
"Sullivan County, New Hampshire",15.70%,± 5.4%
"Sullivan County, New York",20.90%,± 3.2%
"Sullivan County, Pennsylvania",21.20%,± 7%
"Sullivan County, Tennessee",16.30%,± 2.3%
"Sully County, South Dakota",32.90%,± 14.7%
"Summers County, West Virginia",24.50%,± 11.1%
"Summit County, Colorado",13.80%,± 6.8%
"Summit County, Ohio",17.80%,± 1.3%
"Summit County, Utah",16.10%,± 3.3%
"Sumner County, Kansas",21%,± 4.6%
"Sumner County, Tennessee",17.70%,± 2.2%
"Sumter County, Alabama",20.70%,± 9.2%
"Sumter County, Florida",26.40%,± 5.5%
"Sumter County, Georgia",12.80%,± 6%
"Sumter County, South Carolina",16.60%,± 3.3%
"Sunflower County, Mississippi",24.70%,± 5.7%
"Surry County, North Carolina",16.60%,± 3.1%
"Surry County, Virginia",19.90%,± 9.7%
"Susquehanna County, Pennsylvania",20.30%,± 2.8%
"Sussex County, Delaware",21.20%,± 2.3%
"Sussex County, New Jersey",17.50%,± 2.2%
"Sussex County, Virginia",21.30%,± 8.9%
"Sutter County, California",20.70%,± 3.6%
"Sutton County, Texas",37.10%,± 17.9%
"Suwannee County, Florida",25.60%,± 7.4%
"Swain County, North Carolina",17.80%,± 8.1%
"Sweet Grass County, Montana",12.80%,± 7.6%
"Sweetwater County, Wyoming",19.40%,± 4.3%
"Swift County, Minnesota",19%,± 5.1%
"Swisher County, Texas",26.90%,± 14.1%
"Switzerland County, Indiana",17.80%,± 7.5%
"Talbot County, Georgia",9.80%,± 8.2%
"Talbot County, Maryland",20.60%,± 4.8%
"Taliaferro County, Georgia",0%,± 31.5%
"Talladega County, Alabama",17.90%,± 3.2%
"Tallahatchie County, Mississippi",14.50%,± 8.7%
"Tallapoosa County, Alabama",19.40%,± 5%
"Tama County, Iowa",31.60%,± 4.8%
"Taney County, Missouri",26.80%,± 5.2%
"Tangipahoa Parish, Louisiana",21.80%,± 3.9%
"Taos County, New Mexico",13.90%,± 6.9%
"Tarrant County, Texas",21%,± 0.8%
"Tate County, Mississippi",28.70%,± 8.2%
"Tattnall County, Georgia",17.20%,± 6.2%
"Taylor County, Florida",16.60%,± 7.9%
"Taylor County, Georgia",21.10%,± 8.9%
"Taylor County, Iowa",20.80%,± 6.6%
"Taylor County, Kentucky",14.90%,± 5.7%
"Taylor County, Texas",23.60%,± 2.9%
"Taylor County, West Virginia",21.80%,± 9.9%
"Taylor County, Wisconsin",16.30%,± 2.7%
"Tazewell County, Illinois",20.10%,± 2.4%
"Tazewell County, Virginia",20.30%,± 6%
"Tehama County, California",25.40%,± 5.3%
"Telfair County, Georgia",12.30%,± 6.6%
"Teller County, Colorado",14.80%,± 5%
"Tensas Parish, Louisiana",32.30%,± 18%
"Terrebonne Parish, Louisiana",23.40%,± 3.8%
"Terrell County, Georgia",20.40%,± 7.5%
"Terrell County, Texas",18.50%,± 12.3%
"Terry County, Texas",19.10%,± 11.5%
"Teton County, Idaho",23.40%,± 8.5%
"Teton County, Montana",35.80%,± 8.4%
"Teton County, Wyoming",12.40%,± 7.8%
"Texas County, Missouri",22.60%,± 7%
"Texas County, Oklahoma",21.20%,± 6.7%
"Thayer County, Nebraska",26.60%,± 6.6%
"Thomas County, Georgia",17.80%,± 5.2%
"Thomas County, Kansas",33.80%,± 11.9%
"Thomas County, Nebraska",11.80%,± 12.4%
"Throckmorton County, Texas",16.50%,± 20.9%
"Thurston County, Nebraska",21.20%,± 4.8%
"Thurston County, Washington",18%,± 2%
"Tift County, Georgia",17.80%,± 6.6%
"Tillamook County, Oregon",20.60%,± 5.2%
"Tillman County, Oklahoma",18.90%,± 7.4%
"Tioga County, New York",17.80%,± 4%
"Tioga County, Pennsylvania",24.60%,± 3.4%
"Tippah County, Mississippi",24.50%,± 8%
"Tippecanoe County, Indiana",21%,± 2.6%
"Tipton County, Indiana",10.10%,± 4.2%
"Tipton County, Tennessee",25.40%,± 4.6%
