Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Pettis County, Missouri",11.10%,± 1.4%
"Phelps County, Missouri",6.10%,± 1.3%
"Phelps County, Nebraska",16.70%,± 3.1%
"Philadelphia County, Pennsylvania",5.20%,± 0.3%
"Phillips County, Arkansas",8.80%,± 2.3%
"Phillips County, Colorado",21.10%,± 5.5%
"Phillips County, Kansas",14.40%,± 3.7%
"Phillips County, Montana",20.90%,± 4.7%
"Piatt County, Illinois",10.80%,± 1.8%
"Pickaway County, Ohio",12.20%,± 1.6%
"Pickens County, Alabama",12.40%,± 2.3%
"Pickens County, Georgia",11.30%,± 2.6%
"Pickens County, South Carolina",10.20%,± 1.1%
"Pickett County, Tennessee",12.10%,± 5%
"Pierce County, Georgia",13.80%,± 3.2%
"Pierce County, Nebraska",14.30%,± 2.3%
"Pierce County, North Dakota",12.20%,± 3.4%
"Pierce County, Washington",10.40%,± 0.4%
"Pierce County, Wisconsin",11.50%,± 1.4%
"Pike County, Alabama",7.80%,± 1.5%
"Pike County, Arkansas",12.70%,± 3.3%
"Pike County, Georgia",14.10%,± 3%
"Pike County, Illinois",12.30%,± 1.8%
"Pike County, Indiana",13.10%,± 2.6%
"Pike County, Kentucky",10.60%,± 1.7%
"Pike County, Mississippi",8.40%,± 1.9%
"Pike County, Missouri",18.20%,± 3.1%
"Pike County, Ohio",9.70%,± 2%
"Pike County, Pennsylvania",10.10%,± 1.7%
"Pima County, Arizona",8.50%,± 0.4%
"Pinal County, Arizona",11.40%,± 0.8%
"Pine County, Minnesota",14.20%,± 1.4%
"Pinellas County, Florida",6.50%,± 0.3%
"Pipestone County, Minnesota",15.30%,± 2.1%
"Piscataquis County, Maine",12.60%,± 2.2%
"Pitkin County, Colorado",8.10%,± 3%
"Pitt County, North Carolina",6.70%,± 0.8%
"Pittsburg County, Oklahoma",11.10%,± 1.2%
"Pittsylvania County, Virginia",11.90%,± 1.3%
"Piute County, Utah",27.50%,± 7.6%
"Placer County, California",6.10%,± 0.5%
"Plaquemines Parish, Louisiana",15.10%,± 3.6%
"Platte County, Missouri",6%,± 0.7%
"Platte County, Nebraska",11.30%,± 1.3%
"Platte County, Wyoming",14.30%,± 5%
"Pleasants County, West Virginia",10.40%,± 2.7%
"Plumas County, California",10.40%,± 3%
"Plymouth County, Iowa",11.90%,± 1.9%
"Plymouth County, Massachusetts",8.90%,± 0.4%
"Pocahontas County, Iowa",13.40%,± 2.1%
"Pocahontas County, West Virginia",12.30%,± 3.8%
"Poinsett County, Arkansas",11%,± 2%
"Pointe Coupee Parish, Louisiana",12.90%,± 2.8%
"Polk County, Arkansas",14.70%,± 3.2%
"Polk County, Florida",10.80%,± 0.6%
"Polk County, Georgia",12.80%,± 2.3%
"Polk County, Iowa",7.30%,± 0.5%
"Polk County, Minnesota",13.60%,± 1.7%
"Polk County, Missouri",9.40%,± 1.7%
"Polk County, Nebraska",14.10%,± 2.6%
"Polk County, North Carolina",12.70%,± 2.7%
"Polk County, Oregon",9.10%,± 1.5%
"Polk County, Tennessee",17.60%,± 2.8%
"Polk County, Texas",17.30%,± 2.5%
"Polk County, Wisconsin",12.80%,± 0.9%
"Ponce Municipio, Puerto Rico",8.20%,± 1.2%
"Pondera County, Montana",12.10%,± 3.6%
"Pontotoc County, Mississippi",9.70%,± 2.1%
"Pontotoc County, Oklahoma",13%,± 1.6%
"Pope County, Arkansas",9.60%,± 1.6%
"Pope County, Illinois",10%,± 3.6%
"Pope County, Minnesota",11.80%,± 1.7%
"Poquoson city, Virginia",6.80%,± 2.5%
"Portage County, Ohio",9%,± 0.9%
"Portage County, Wisconsin",9.50%,± 0.9%
"Porter County, Indiana",11.80%,± 1%
"Portsmouth city, Virginia",10.50%,± 1.1%
"Posey County, Indiana",10.80%,± 2.3%
"Pottawatomie County, Kansas",9.40%,± 1.9%
"Pottawatomie County, Oklahoma",12.60%,± 0.9%
"Pottawattamie County, Iowa",10.40%,± 1%
"Potter County, Pennsylvania",13.20%,± 1.5%
"Potter County, South Dakota",16.40%,± 4.4%
"Potter County, Texas",13.30%,± 1.3%
"Powder River County, Montana",24.80%,± 9%
"Powell County, Kentucky",10.70%,± 3.3%
"Powell County, Montana",7.30%,± 3.1%
"Power County, Idaho",26.20%,± 5.4%
"Poweshiek County, Iowa",11.10%,± 1.6%
"Powhatan County, Virginia",10.70%,± 1.9%
"Prairie County, Arkansas",10.90%,± 3.2%
"Prairie County, Montana",19.80%,± 7%
"Pratt County, Kansas",10.40%,± 2.4%
"Preble County, Ohio",12.30%,± 1.3%
"Prentiss County, Mississippi",9.10%,± 2.2%
"Presidio County, Texas",26.50%,± 10.4%
"Presque Isle County, Michigan",15.90%,± 1.8%
"Preston County, West Virginia",15.70%,± 2.3%
"Price County, Wisconsin",11.10%,± 1%
"Prince Edward County, Virginia",5.80%,± 1.6%
"Prince George County, Virginia",11.60%,± 2.4%
"Prince George's County, Maryland",10.60%,± 0.3%
"Prince of Wales-Hyder Census Area, Alaska",13.10%,± 2.3%
"Prince William County, Virginia",8.80%,± 0.5%
"Providence County, Rhode Island",7.10%,± 0.4%
"Prowers County, Colorado",15.30%,± 3.6%
"Pueblo County, Colorado",9.70%,± 0.8%
"Pulaski County, Arkansas",6.40%,± 0.5%
"Pulaski County, Georgia",11.20%,± 4.4%
"Pulaski County, Illinois",12.50%,± 4.4%
"Pulaski County, Indiana",11%,± 2.2%
"Pulaski County, Kentucky",9.80%,± 1.5%
"Pulaski County, Missouri",10.70%,± 3.3%
"Pulaski County, Virginia",10.10%,± 1.7%
"Pushmataha County, Oklahoma",15.20%,± 3.2%
"Putnam County, Florida",17.60%,± 2.1%
"Putnam County, Georgia",11%,± 2.3%
"Putnam County, Illinois",15.10%,± 3.3%
"Putnam County, Indiana",10.90%,± 1.7%
"Putnam County, Missouri",12.10%,± 5.5%
"Putnam County, New York",8.80%,± 0.9%
"Putnam County, Ohio",10.20%,± 1.3%
"Putnam County, Tennessee",8.40%,± 1.3%
"Putnam County, West Virginia",11.10%,± 1.8%
"Quay County, New Mexico",6.90%,± 3.2%
"Quebradillas Municipio, Puerto Rico",18.40%,± 4.5%
"Queen Anne's County, Maryland",10.70%,± 1.4%
"Queens County, New York",8.30%,± 0.2%
"Quitman County, Georgia",6.70%,± 4.1%
"Quitman County, Mississippi",10.40%,± 3%
"Rabun County, Georgia",13.40%,± 2.8%
"Racine County, Wisconsin",9.90%,± 0.9%
"Radford city, Virginia",4%,± 1.7%
"Rains County, Texas",12.50%,± 3.5%
"Raleigh County, West Virginia",11%,± 2%
"Ralls County, Missouri",11%,± 2.4%
"Ramsey County, Minnesota",5.50%,± 0.4%
"Ramsey County, North Dakota",12.70%,± 3.1%
"Randall County, Texas",9.30%,± 1.1%
"Randolph County, Alabama",9.10%,± 2%
"Randolph County, Arkansas",14.40%,± 3.2%
"Randolph County, Georgia",10.20%,± 5.1%
"Randolph County, Illinois",11.50%,± 1.5%
"Randolph County, Indiana",11.20%,± 1.9%
"Randolph County, Missouri",6.40%,± 1.3%
"Randolph County, North Carolina",9.70%,± 0.8%
"Randolph County, West Virginia",13.40%,± 2.6%
"Rankin County, Mississippi",10.40%,± 1%
"Ransom County, North Dakota",12.50%,± 2.2%
"Rapides Parish, Louisiana",10.70%,± 1.2%
"Rappahannock County, Virginia",14.40%,± 4.1%
"Ravalli County, Montana",13.70%,± 2%
"Rawlins County, Kansas",16.60%,± 4.2%
"Ray County, Missouri",12%,± 1.8%
"Reagan County, Texas",24.20%,± 6.5%
"Real County, Texas",11.50%,± 7%
"Red Lake County, Minnesota",13.20%,± 2.7%
"Red River County, Texas",18.70%,± 4.2%
"Red River Parish, Louisiana",18.60%,± 4.6%
"Red Willow County, Nebraska",11.10%,± 3.5%
"Redwood County, Minnesota",16.20%,± 1.8%
"Reeves County, Texas",29%,± 6.9%
"Refugio County, Texas",14.40%,± 3.3%
"Reno County, Kansas",9.70%,± 1.3%
"Rensselaer County, New York",8.10%,± 0.7%
"Renville County, Minnesota",13.10%,± 1.4%
"Renville County, North Dakota",19.20%,± 4%
"Republic County, Kansas",11.80%,± 2.5%
"Reynolds County, Missouri",16.10%,± 3.8%
"Rhea County, Tennessee",12.20%,± 2.9%
"Rice County, Kansas",11%,± 2.7%
"Rice County, Minnesota",11.20%,± 1.2%
"Rich County, Utah",16.40%,± 6.3%
"Richardson County, Nebraska",19.20%,± 3.5%
"Richland County, Illinois",8.30%,± 1.9%
"Richland County, Montana",19%,± 3%
"Richland County, North Dakota",12.10%,± 2.1%
"Richland County, Ohio",8.40%,± 0.9%
"Richland County, South Carolina",5.70%,± 0.5%
"Richland County, Wisconsin",11.20%,± 1.6%
"Richland Parish, Louisiana",18%,± 3.3%
"Richmond city, Virginia",5.70%,± 0.5%
"Richmond County, Georgia",7.40%,± 0.8%
"Richmond County, New York",8%,± 0.6%
"Richmond County, North Carolina",13.20%,± 2.4%
"Richmond County, Virginia",13.90%,± 4%
"Riley County, Kansas",7%,± 1.4%
"Rincón Municipio, Puerto Rico",7.70%,± 3.4%
"Ringgold County, Iowa",14.90%,± 3.1%
"Rio Arriba County, New Mexico",12.30%,± 2.3%
"Rio Blanco County, Colorado",16.50%,± 5.3%
"Rio Grande County, Colorado",16.10%,± 4.3%
"Río Grande Municipio, Puerto Rico",9.30%,± 1.9%
"Ripley County, Indiana",13.10%,± 1.5%
"Ripley County, Missouri",11.90%,± 2.9%
"Ritchie County, West Virginia",15.50%,± 3.8%
"Riverside County, California",11.20%,± 0.3%
"Roane County, Tennessee",10%,± 1.6%
"Roane County, West Virginia",13.60%,± 3.3%
"Roanoke city, Virginia",7.20%,± 1.1%
"Roanoke County, Virginia",5.70%,± 0.8%
"Roberts County, South Dakota",12.10%,± 2.2%
"Roberts County, Texas",10.80%,± 6.4%
"Robertson County, Kentucky",15.30%,± 8.2%
"Robertson County, Tennessee",13.20%,± 1.5%
"Robertson County, Texas",14.20%,± 2.7%
"Robeson County, North Carolina",14.90%,± 1.1%
"Rock County, Minnesota",8.60%,± 1.7%
"Rock County, Nebraska",19.60%,± 5.6%
"Rock County, Wisconsin",10.60%,± 0.7%
"Rock Island County, Illinois",8%,± 0.8%
"Rockbridge County, Virginia",11.20%,± 2.9%
"Rockcastle County, Kentucky",11.80%,± 2.6%
"Rockdale County, Georgia",8.40%,± 1.5%
"Rockingham County, New Hampshire",8.70%,± 0.6%
"Rockingham County, North Carolina",12.90%,± 1.4%
"Rockingham County, Virginia",10.80%,± 1%
"Rockland County, New York",6%,± 0.5%
"Rockwall County, Texas",6%,± 0.8%
"Roger Mills County, Oklahoma",16%,± 3.9%
"Rogers County, Oklahoma",12.20%,± 0.9%
"Rolette County, North Dakota",9.40%,± 2.2%
"Rooks County, Kansas",16.90%,± 3.2%
"Roosevelt County, Montana",11.80%,± 2.4%
"Roosevelt County, New Mexico",14.30%,± 2.4%
"Roscommon County, Michigan",10.70%,± 2%
"Roseau County, Minnesota",9.40%,± 1.2%
"Rosebud County, Montana",19.60%,± 3.3%
"Ross County, Ohio",10.90%,± 1.5%
"Routt County, Colorado",12.50%,± 1.8%
"Rowan County, Kentucky",6.60%,± 2.4%
"Rowan County, North Carolina",13.10%,± 1%
"Runnels County, Texas",14.70%,± 3.4%
"Rush County, Indiana",11.20%,± 2.1%
"Rush County, Kansas",15.10%,± 3.9%
"Rusk County, Texas",13.90%,± 1.9%
"Rusk County, Wisconsin",15.40%,± 1.9%
"Russell County, Alabama",10.70%,± 2%
"Russell County, Kansas",6.10%,± 2.4%
"Russell County, Kentucky",11.60%,± 2.6%
"Russell County, Virginia",13.80%,± 2.9%
"Rutherford County, North Carolina",11.50%,± 1.7%
"Rutherford County, Tennessee",8.50%,± 0.8%
"Rutland County, Vermont",11.90%,± 1.1%
"Sabana Grande Municipio, Puerto Rico",8.30%,± 3.1%
"Sabine County, Texas",14.20%,± 4%
"Sabine Parish, Louisiana",18.50%,± 2.8%
"Sac County, Iowa",12.30%,± 1.9%
"Sacramento County, California",7.60%,± 0.3%
"Sagadahoc County, Maine",11.90%,± 1.9%
"Saginaw County, Michigan",7.50%,± 0.6%
"Saguache County, Colorado",19.90%,± 4.3%
"Salem city, Virginia",6.90%,± 1.6%
"Salem County, New Jersey",9.70%,± 1%
"Salinas Municipio, Puerto Rico",16.20%,± 4%
"Saline County, Arkansas",9.80%,± 1.1%
"Saline County, Illinois",12.60%,± 2.4%
"Saline County, Kansas",8.50%,± 1.4%
"Saline County, Missouri",8.40%,± 1.8%
"Saline County, Nebraska",14.10%,± 3%
"Salt Lake County, Utah",8.50%,± 0.4%
"Saluda County, South Carolina",13.20%,± 2.4%
"Sampson County, North Carolina",17.40%,± 1.8%
"San Augustine County, Texas",13.80%,± 4.4%
"San Benito County, California",15.70%,± 1.3%
"San Bernardino County, California",10.10%,± 0.3%
"San Diego County, California",7.20%,± 0.2%
"San Francisco County, California",2.80%,± 0.2%
"San Germán Municipio, Puerto Rico",11.10%,± 3.1%
"San Jacinto County, Texas",14.60%,± 2.7%
"San Joaquin County, California",13.80%,± 0.6%
"San Juan County, Colorado",10%,± 6.6%
"San Juan County, New Mexico",14.80%,± 1.3%
"San Juan County, Utah",16.30%,± 3%
"San Juan County, Washington",14.30%,± 1.4%
"San Juan Municipio, Puerto Rico",7%,± 0.6%
"San Lorenzo Municipio, Puerto Rico",12.70%,± 2.4%
"San Luis Obispo County, California",9.70%,± 0.8%
"San Mateo County, California",5.90%,± 0.4%
"San Miguel County, Colorado",9.60%,± 2.1%
"San Miguel County, New Mexico",10.30%,± 3.2%
"San Patricio County, Texas",12.40%,± 1.4%
"San Saba County, Texas",12.50%,± 4.8%
"San Sebastián Municipio, Puerto Rico",17.40%,± 3.7%
"Sanborn County, South Dakota",14.50%,± 4.1%
"Sanders County, Montana",13.20%,± 3.2%
"Sandoval County, New Mexico",9.90%,± 1%
"Sandusky County, Ohio",9.40%,± 1%
"Sangamon County, Illinois",6.20%,± 0.5%
"Sanilac County, Michigan",15.60%,± 1.2%
"Sanpete County, Utah",13.20%,± 2.2%
"Santa Barbara County, California",13.30%,± 0.7%
"Santa Clara County, California",5.60%,± 0.2%
"Santa Cruz County, Arizona",9.90%,± 2.3%
"Santa Cruz County, California",9.70%,± 0.7%
"Santa Fe County, New Mexico",9.50%,± 0.8%
"Santa Isabel Municipio, Puerto Rico",14.30%,± 4.3%
"Santa Rosa County, Florida",11.10%,± 1.2%
"Sarasota County, Florida",8.70%,± 0.6%
"Saratoga County, New York",6.60%,± 0.6%
"Sargent County, North Dakota",11.60%,± 2.2%
"Sarpy County, Nebraska",8.70%,± 0.7%
"Sauk County, Wisconsin",10.80%,± 0.9%
"Saunders County, Nebraska",11.80%,± 1.4%
"Sawyer County, Wisconsin",10.30%,± 1.8%
"Schenectady County, New York",7.40%,± 0.7%
"Schleicher County, Texas",21.50%,± 5.5%
"Schley County, Georgia",13.80%,± 4.5%
"Schoharie County, New York",14.20%,± 1.6%
"Schoolcraft County, Michigan",11.40%,± 2.3%
"Schuyler County, Illinois",9.90%,± 2.8%
"Schuyler County, Missouri",15.60%,± 3.9%
"Schuyler County, New York",8.90%,± 1.5%
"Schuylkill County, Pennsylvania",11.60%,± 0.8%
"Scioto County, Ohio",9.20%,± 1.3%
"Scotland County, Missouri",18%,± 5.3%
"Scotland County, North Carolina",8.90%,± 1.8%
"Scott County, Arkansas",12.10%,± 3.3%
"Scott County, Illinois",12.60%,± 2.7%
"Scott County, Indiana",8.80%,± 2.1%
"Scott County, Iowa",8.60%,± 0.9%
"Scott County, Kansas",15.30%,± 5.2%
"Scott County, Kentucky",7.20%,± 0.9%
"Scott County, Minnesota",7.40%,± 0.8%
"Scott County, Mississippi",14.10%,± 3%
"Scott County, Missouri",10.40%,± 1.7%
"Scott County, Tennessee",9.80%,± 3%
"Scott County, Virginia",14.80%,± 2.6%
"Scotts Bluff County, Nebraska",11.90%,± 1.8%
"Screven County, Georgia",13.70%,± 3.3%
"Scurry County, Texas",18.50%,± 4.4%
"Searcy County, Arkansas",9.60%,± 3%
"Sebastian County, Arkansas",7.90%,± 0.8%
"Sedgwick County, Colorado",15.90%,± 4.5%
"Sedgwick County, Kansas",10%,± 0.5%
"Seminole County, Florida",7%,± 0.5%
"Seminole County, Georgia",15%,± 3.9%
"Seminole County, Oklahoma",14.60%,± 1.5%
"Seneca County, New York",14.40%,± 1.8%
"Seneca County, Ohio",9.70%,± 1.2%
"Sequatchie County, Tennessee",15.60%,± 3.9%
"Sequoyah County, Oklahoma",11.70%,± 1.4%
"Sevier County, Arkansas",18.60%,± 3.4%
"Sevier County, Tennessee",10.30%,± 1.3%
"Sevier County, Utah",13.60%,± 1.9%
"Seward County, Kansas",18.40%,± 4.7%
"Seward County, Nebraska",12.90%,± 2%
"Shackelford County, Texas",14.70%,± 6.2%
"Shannon County, Missouri",22.20%,± 6%
"Sharkey County, Mississippi",14.40%,± 5.2%
"Sharp County, Arkansas",13.10%,± 2.9%
"Shasta County, California",9.90%,± 0.8%
"Shawano County, Wisconsin",14.70%,± 1.1%
"Shawnee County, Kansas",9.10%,± 0.6%
"Sheboygan County, Wisconsin",8.90%,± 0.6%
"Shelby County, Alabama",7.80%,± 0.7%
"Shelby County, Illinois",10.70%,± 2.1%
"Shelby County, Indiana",9.70%,± 1.5%
"Shelby County, Iowa",10.20%,± 2.1%
"Shelby County, Kentucky",9.20%,± 1.7%
"Shelby County, Missouri",15.20%,± 2.6%
"Shelby County, Ohio",9.60%,± 1.2%
"Shelby County, Tennessee",6%,± 0.3%
"Shelby County, Texas",13.60%,± 2.5%
"Shenandoah County, Virginia",12%,± 1.8%
"Sherburne County, Minnesota",11.80%,± 1.2%
"Sheridan County, Kansas",15.20%,± 3%
"Sheridan County, Montana",17.40%,± 3.1%
"Sheridan County, Nebraska",15%,± 3.2%
"Sheridan County, North Dakota",18.90%,± 3.7%
"Sheridan County, Wyoming",14.40%,± 2%
"Sherman County, Kansas",13.10%,± 6%
"Sherman County, Nebraska",14.60%,± 3.8%
"Sherman County, Oregon",18.90%,± 5%
"Sherman County, Texas",22.90%,± 9%
"Shiawassee County, Michigan",11.60%,± 1.4%
"Shoshone County, Idaho",17.40%,± 2.9%
"Sibley County, Minnesota",15.30%,± 1.5%
"Sierra County, California",10.50%,± 5.1%
"Sierra County, New Mexico",10.80%,± 5.6%
"Silver Bow County, Montana",11.20%,± 1.8%
"Simpson County, Kentucky",9.50%,± 2.6%
"Simpson County, Mississippi",14.20%,± 3%
"Sioux County, Iowa",12.70%,± 1.5%
"Sioux County, Nebraska",18.10%,± 5.8%
"Sioux County, North Dakota",11.20%,± 3%
"Siskiyou County, California",12.70%,± 1.6%
"Sitka City and Borough, Alaska",11%,± 2.8%
"Skagit County, Washington",13.60%,± 1.1%
"Skagway Municipality, Alaska",8.10%,± 4.7%
"Skamania County, Washington",11.80%,± 2.4%
"Slope County, North Dakota",17.10%,± 5.8%
"Smith County, Kansas",12.10%,± 3.5%
"Smith County, Mississippi",9.90%,± 2.7%
"Smith County, Tennessee",13%,± 2.3%
"Smith County, Texas",9.60%,± 0.8%
"Smyth County, Virginia",8.70%,± 1.7%
"Snohomish County, Washington",10.50%,± 0.4%
"Snyder County, Pennsylvania",11.90%,± 1.1%
"Socorro County, New Mexico",10.40%,± 3.6%
"Solano County, California",10.50%,± 0.5%
"Somerset County, Maine",14.60%,± 1.8%
"Somerset County, Maryland",12.90%,± 2.5%
"Somerset County, New Jersey",5.20%,± 0.4%
"Somerset County, Pennsylvania",13.30%,± 1.2%
"Somervell County, Texas",15.30%,± 4.5%
"Sonoma County, California",10.20%,± 0.5%
"South Central Connecticut Planning Region, Connecticut",7.10%,± 0.5%
"Southampton County, Virginia",9.80%,± 2.3%
"Southeast Fairbanks Census Area, Alaska",18.90%,± 5.3%
"Southeastern Connecticut Planning Region, Connecticut",7.50%,± 0.6%
"Spalding County, Georgia",12.60%,± 2%
"Spartanburg County, South Carolina",9.60%,± 0.7%
"Spencer County, Indiana",12.70%,± 2%
"Spencer County, Kentucky",12.50%,± 2.5%
"Spink County, South Dakota",14.60%,± 2.6%
"Spokane County, Washington",8.20%,± 0.5%
"Spotsylvania County, Virginia",9.10%,± 0.9%
"St. Bernard Parish, Louisiana",12.70%,± 1.7%
"St. Charles County, Missouri",7.70%,± 0.5%
"St. Charles Parish, Louisiana",11.50%,± 1.7%
"St. Clair County, Alabama",11.90%,± 1.7%
"St. Clair County, Illinois",7.60%,± 0.7%
"St. Clair County, Michigan",12.30%,± 0.9%
"St. Clair County, Missouri",12.90%,± 3%
"St. Croix County, Wisconsin",9%,± 0.8%
"St. Francis County, Arkansas",14.30%,± 2.9%
"St. Francois County, Missouri",10.80%,± 1.5%
"St. Helena Parish, Louisiana",19%,± 5.4%
"St. James Parish, Louisiana",10.60%,± 2.2%
"St. John the Baptist Parish, Louisiana",12.40%,± 2.5%
"St. Johns County, Florida",6.50%,± 0.8%
"St. Joseph County, Indiana",7.30%,± 0.5%
"St. Joseph County, Michigan",10.70%,± 1%
"St. Landry Parish, Louisiana",15.10%,± 1.7%
"St. Lawrence County, New York",9.50%,± 1%
"St. Louis city, Missouri",4.80%,± 0.5%
"St. Louis County, Minnesota",10.50%,± 0.6%
"St. Louis County, Missouri",5%,± 0.3%
"St. Lucie County, Florida",10.70%,± 0.9%
"St. Martin Parish, Louisiana",15.80%,± 2.1%
"St. Mary Parish, Louisiana",12.50%,± 2.1%
"St. Mary's County, Maryland",10.30%,± 1.2%
"St. Tammany Parish, Louisiana",9.60%,± 0.8%
"Stafford County, Kansas",13.70%,± 3.1%
"Stafford County, Virginia",8.30%,± 0.9%
"Stanislaus County, California",14%,± 0.7%
"Stanley County, South Dakota",11.40%,± 4.3%
"Stanly County, North Carolina",14.30%,± 1.5%
"Stanton County, Kansas",30.40%,± 9.7%
"Stanton County, Nebraska",13%,± 2.6%
"Stark County, Illinois",16.30%,± 3.6%
"Stark County, North Dakota",15.90%,± 2.3%
"Stark County, Ohio",7.80%,± 0.5%
"Starke County, Indiana",12.20%,± 2.2%
"Starr County, Texas",15.90%,± 2.1%
"Staunton city, Virginia",7%,± 1.7%
"Ste. Genevieve County, Missouri",16.10%,± 3.4%
"Stearns County, Minnesota",9.30%,± 0.6%
"Steele County, Minnesota",10.20%,± 1.6%
"Steele County, North Dakota",12.80%,± 3.4%
"Stephens County, Georgia",7.90%,± 2.1%
"Stephens County, Oklahoma",13.60%,± 1.5%
"Stephens County, Texas",10.90%,± 4%
"Stephenson County, Illinois",9.40%,± 1.2%
"Sterling County, Texas",11.30%,± 6.6%
"Steuben County, Indiana",9.10%,± 1.5%
"Steuben County, New York",11%,± 0.8%
"Stevens County, Kansas",26.10%,± 6.6%
"Stevens County, Minnesota",13.70%,± 2.8%
"Stevens County, Washington",14%,± 1.7%
"Stewart County, Georgia",9.50%,± 7.6%
"Stewart County, Tennessee",14.20%,± 3%
"Stillwater County, Montana",25.20%,± 3.4%
"Stoddard County, Missouri",14.30%,± 2.2%
"Stokes County, North Carolina",12.80%,± 2.2%
"Stone County, Arkansas",19.50%,± 5.4%
"Stone County, Mississippi",13.30%,± 4.7%
"Stone County, Missouri",11.90%,± 1.9%
"Stonewall County, Texas",14.10%,± 6.3%
"Storey County, Nevada",9.60%,± 8%
"Story County, Iowa",6.70%,± 0.7%
"Strafford County, New Hampshire",7.50%,± 0.8%
"Stutsman County, North Dakota",8.70%,± 1.9%
"Sublette County, Wyoming",15.80%,± 3.6%
"Suffolk city, Virginia",8.20%,± 1%
"Suffolk County, Massachusetts",4.40%,± 0.3%
"Suffolk County, New York",8.80%,± 0.3%
"Sullivan County, Indiana",11.20%,± 2.4%
"Sullivan County, Missouri",11.70%,± 3%
"Sullivan County, New Hampshire",8.30%,± 1.6%
"Sullivan County, New York",9.50%,± 1%
"Sullivan County, Pennsylvania",18.70%,± 3.8%
"Sullivan County, Tennessee",9%,± 0.9%
"Sully County, South Dakota",16.80%,± 6.3%
"Summers County, West Virginia",12.60%,± 4.1%
"Summit County, Colorado",11.80%,± 2.2%
"Summit County, Ohio",6.60%,± 0.4%
"Summit County, Utah",6.30%,± 1%
"Sumner County, Kansas",10.90%,± 1.8%
"Sumner County, Tennessee",8.30%,± 0.7%
"Sumter County, Alabama",11.60%,± 3.6%
"Sumter County, Florida",11.40%,± 1.9%
"Sumter County, Georgia",8.20%,± 1.9%
"Sumter County, South Carolina",9.90%,± 1.3%
"Sunflower County, Mississippi",9.90%,± 2.2%
"Surry County, North Carolina",11.60%,± 1.3%
"Surry County, Virginia",12.80%,± 3.6%
"Susquehanna County, Pennsylvania",13.70%,± 1.1%
"Sussex County, Delaware",11.30%,± 0.8%
"Sussex County, New Jersey",10.30%,± 0.7%
"Sussex County, Virginia",13.80%,± 3.4%
"Sutter County, California",15.90%,± 1.3%
"Sutton County, Texas",15.70%,± 6.4%
"Suwannee County, Florida",12.90%,± 2.8%
"Swain County, North Carolina",14%,± 3.4%
"Sweet Grass County, Montana",26.10%,± 5.6%
"Sweetwater County, Wyoming",20.30%,± 2.5%
"Swift County, Minnesota",12.40%,± 1.6%
"Swisher County, Texas",15.10%,± 4.8%
"Switzerland County, Indiana",13.10%,± 3.1%
"Talbot County, Georgia",9.50%,± 2.4%
"Talbot County, Maryland",10.40%,± 1.7%
"Taliaferro County, Georgia",6.90%,± 3.4%
"Talladega County, Alabama",11.40%,± 1.7%
"Tallahatchie County, Mississippi",11%,± 3.9%
"Tallapoosa County, Alabama",12.60%,± 2.5%
"Tama County, Iowa",12.70%,± 1.6%
"Taney County, Missouri",8.10%,± 1.1%
"Tangipahoa Parish, Louisiana",9.90%,± 1.8%
"Taos County, New Mexico",14.90%,± 3.2%
"Tarrant County, Texas",8.80%,± 0.3%
"Tate County, Mississippi",12.70%,± 2.1%
"Tattnall County, Georgia",15.20%,± 3.2%
"Taylor County, Florida",11.80%,± 3.5%
"Taylor County, Georgia",16.20%,± 4.8%
"Taylor County, Iowa",15.20%,± 3.4%
"Taylor County, Kentucky",10.60%,± 2.6%
"Taylor County, Texas",10.60%,± 1.1%
"Taylor County, West Virginia",15.60%,± 3.5%
"Taylor County, Wisconsin",12%,± 1.1%
"Tazewell County, Illinois",8.90%,± 0.9%
"Tazewell County, Virginia",9.70%,± 2.1%
"Tehama County, California",15.40%,± 2.3%
"Telfair County, Georgia",15.80%,± 5.1%
"Teller County, Colorado",8.90%,± 2%
"Tensas Parish, Louisiana",14.50%,± 4.4%
"Terrebonne Parish, Louisiana",12.30%,± 1.5%
"Terrell County, Georgia",12%,± 3.1%
"Terrell County, Texas",14.60%,± 8.2%
"Terry County, Texas",19.90%,± 4.4%
"Teton County, Idaho",14.10%,± 3.2%
"Teton County, Montana",16.40%,± 3.6%
"Teton County, Wyoming",5.80%,± 1.7%
"Texas County, Missouri",12.60%,± 3%
"Texas County, Oklahoma",21.90%,± 4.5%
"Thayer County, Nebraska",19.80%,± 2.9%
"Thomas County, Georgia",12.10%,± 1.9%
"Thomas County, Kansas",10.60%,± 3%
"Thomas County, Nebraska",20.70%,± 7.8%
"Throckmorton County, Texas",14.70%,± 6.1%
"Thurston County, Nebraska",7.70%,± 1.4%
"Thurston County, Washington",8.40%,± 0.7%
"Tift County, Georgia",11.80%,± 1.7%
"Tillamook County, Oregon",12.20%,± 1.7%
"Tillman County, Oklahoma",14.70%,± 3.1%
"Tioga County, New York",11.20%,± 1.3%
"Tioga County, Pennsylvania",11.50%,± 1%
"Tippah County, Mississippi",11.50%,± 2.5%
"Tippecanoe County, Indiana",6.20%,± 0.6%
"Tipton County, Indiana",10.50%,± 2.5%
"Tipton County, Tennessee",14.60%,± 1.7%
"Tishomingo County, Mississippi",12%,± 3.2%
