Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Ontario County, New York","4,300",± 495,"55,310"
"Ontonagon County, Michigan",110,± 41,"2,020"
"Orange County, California","89,160","± 2,692","1,598,126"
"Orange County, Florida","36,401","± 2,076","729,283"
"Orange County, Indiana",460,± 114,"9,369"
"Orange County, New York","14,536",± 916,"183,933"
"Orange County, North Carolina","9,645",± 760,"72,303"
"Orange County, Texas","2,465",± 517,"38,240"
"Orange County, Vermont","1,359",± 260,"16,063"
"Orange County, Virginia",733,± 205,"17,572"
"Orangeburg County, South Carolina","1,884",± 360,"32,571"
"Oregon County, Missouri",202,± 95,"3,235"
"Orleans County, New York",888,± 184,"17,816"
"Orleans County, Vermont","1,123",± 183,"13,347"
"Orleans Parish, Louisiana","13,886",± 849,"174,333"
"Orocovis Municipio, Puerto Rico",513,± 189,"5,349"
"Osage County, Kansas",465,± 99,"7,496"
"Osage County, Missouri",361,± 97,"6,716"
"Osage County, Oklahoma","1,167",± 182,"19,172"
"Osborne County, Kansas",139,± 41,"1,833"
"Osceola County, Florida","9,408","± 1,050","191,317"
"Osceola County, Iowa",135,± 46,"3,099"
"Osceola County, Michigan",414,± 73,"9,014"
"Oscoda County, Michigan",110,± 52,"2,768"
"Oswego County, New York","3,490",± 390,"54,486"
"Otero County, Colorado",540,± 169,"7,169"
"Otero County, New Mexico","1,497",± 320,"23,086"
"Otoe County, Nebraska",569,± 141,"8,154"
"Otsego County, Michigan",666,± 171,"11,847"
"Otsego County, New York","2,638",± 354,"27,331"
"Ottawa County, Kansas",150,± 48,"2,909"
"Ottawa County, Michigan","8,788",± 830,"153,468"
"Ottawa County, Ohio","1,091",± 214,"19,043"
"Ottawa County, Oklahoma",814,± 89,"12,364"
"Otter Tail County, Minnesota","1,570",± 173,"28,208"
"Ouachita County, Arkansas",435,± 147,"8,497"
"Ouachita Parish, Louisiana","4,786",± 670,"68,429"
"Ouray County, Colorado",96,± 50,"2,193"
"Outagamie County, Wisconsin","6,152",± 552,"102,297"
"Overton County, Tennessee",516,± 174,"10,201"
"Owen County, Indiana",460,± 150,"9,977"
"Owen County, Kentucky",215,± 83,"4,952"
"Owsley County, Kentucky",49,± 40,"1,098"
"Owyhee County, Idaho",245,± 72,"5,334"
"Oxford County, Maine","1,964",± 312,"26,106"
"Ozark County, Missouri",131,± 81,"2,974"
"Ozaukee County, Wisconsin","3,221",± 441,"48,779"
"Pacific County, Washington",507,± 158,"8,848"
"Page County, Iowa",472,± 106,"6,832"
"Page County, Virginia",737,± 205,"10,954"
"Palm Beach County, Florida","33,660","± 1,588","699,009"
"Palo Alto County, Iowa",230,± 86,"4,493"
"Palo Pinto County, Texas",762,± 183,"12,246"
"Pamlico County, North Carolina",294,± 145,"4,494"
"Panola County, Mississippi",609,± 220,"11,828"
"Panola County, Texas",636,± 170,"9,616"
"Park County, Colorado",403,± 162,"8,651"
"Park County, Montana",313,± 129,"9,098"
"Park County, Wyoming",768,± 198,"14,579"
"Parke County, Indiana",374,± 107,"6,376"
"Parker County, Texas","4,233",± 577,"72,909"
"Parmer County, Texas",480,± 153,"4,712"
"Pasco County, Florida","13,513","± 1,169","246,451"
"Pasquotank County, North Carolina",989,± 252,"17,817"
"Passaic County, New Jersey","15,911","± 1,053","251,821"
"Patillas Municipio, Puerto Rico",353,± 149,"4,314"
"Patrick County, Virginia",209,± 83,"7,340"
"Paulding County, Georgia","5,784",± 822,"84,122"
"Paulding County, Ohio",433,± 138,"8,524"
"Pawnee County, Kansas",119,± 82,"2,766"
"Pawnee County, Nebraska",88,± 36,"1,119"
"Pawnee County, Oklahoma",395,± 89,"6,547"
"Payette County, Idaho",772,± 210,"10,781"
"Payne County, Oklahoma","4,503",± 522,"37,038"
"Peach County, Georgia",712,± 248,"11,891"
"Pearl River County, Mississippi","1,203",± 313,"23,210"
"Pecos County, Texas",368,± 138,"6,031"
"Pembina County, North Dakota",252,± 64,"3,195"
"Pemiscot County, Missouri",330,± 90,"5,572"
"Pend Oreille County, Washington",334,± 83,"4,932"
"Pender County, North Carolina","1,292",± 227,"27,737"
"Pendleton County, Kentucky",370,± 127,"6,688"
"Pendleton County, West Virginia",146,± 89,"2,471"
"Pennington County, Minnesota",320,± 78,"7,487"
"Pennington County, South Dakota","3,322",± 450,"54,310"
"Penobscot County, Maine","5,876",± 692,"73,912"
"Peñuelas Municipio, Puerto Rico",290,± 119,"5,707"
"Peoria County, Illinois","5,134",± 414,"81,915"
"Pepin County, Wisconsin",181,± 40,"3,621"
"Perkins County, Nebraska",98,± 37,"1,448"
"Perkins County, South Dakota",52,± 27,"1,579"
"Perquimans County, North Carolina",223,± 93,"5,120"
"Perry County, Alabama",321,± 135,"2,301"
"Perry County, Arkansas",225,± 93,"3,840"
"Perry County, Illinois",338,± 128,"8,018"
"Perry County, Indiana",409,± 109,"8,455"
"Perry County, Kentucky",535,± 190,"10,104"
"Perry County, Mississippi",154,± 98,"4,019"
"Perry County, Missouri",329,± 104,"9,063"
"Perry County, Ohio",628,± 165,"15,105"
"Perry County, Pennsylvania",993,± 140,"22,346"
"Perry County, Tennessee",121,± 61,"3,096"
"Pershing County, Nevada",64,± 50,"2,035"
"Person County, North Carolina",994,± 266,"18,735"
"Petersburg Borough, Alaska",75,± 26,"1,670"
"Petersburg city, Virginia",687,± 245,"14,367"
"Petroleum County, Montana",12,± 11,237
"Pettis County, Missouri","1,300",± 208,"20,167"
"Phelps County, Missouri","2,014",± 323,"19,103"
"Phelps County, Nebraska",353,± 96,"4,522"
"Philadelphia County, Pennsylvania","46,584","± 1,919","736,737"
"Phillips County, Arkansas",561,± 188,"5,654"
"Phillips County, Colorado",105,± 48,"2,076"
"Phillips County, Kansas",241,± 98,"2,320"
"Phillips County, Montana",106,± 54,"1,931"
"Piatt County, Illinois",779,± 164,"8,263"
"Pickaway County, Ohio","1,223",± 251,"25,909"
"Pickens County, Alabama",417,± 136,"6,945"
"Pickens County, Georgia",708,± 180,"15,344"
"Pickens County, South Carolina","5,531",± 550,"60,097"
"Pickett County, Tennessee",91,± 62,"1,714"
"Pierce County, Georgia",559,± 174,"8,474"
"Pierce County, Nebraska",272,± 67,"3,782"
"Pierce County, North Dakota",226,± 76,"1,859"
"Pierce County, Washington","25,536","± 1,215","438,855"
"Pierce County, Wisconsin","1,510",± 174,"22,937"
"Pike County, Alabama",996,± 302,"13,783"
"Pike County, Arkansas",337,± 108,"4,238"
"Pike County, Georgia",412,± 123,"8,685"
"Pike County, Illinois",442,± 106,"6,430"
"Pike County, Indiana",289,± 126,"5,571"
"Pike County, Kentucky","1,574",± 416,"19,273"
"Pike County, Mississippi",959,± 237,"14,883"
"Pike County, Missouri",431,± 145,"6,653"
"Pike County, Ohio",564,± 146,"10,313"
"Pike County, Pennsylvania","1,583",± 313,"26,380"
"Pima County, Arizona","30,700","± 1,577","462,957"
"Pinal County, Arizona","8,175",± 861,"170,772"
"Pine County, Minnesota",728,± 112,"12,919"
"Pinellas County, Florida","23,447","± 1,259","460,773"
"Pipestone County, Minnesota",299,± 78,"4,503"
"Piscataquis County, Maine",326,± 79,"7,145"
"Pitkin County, Colorado",589,± 214,"10,499"
"Pitt County, North Carolina","6,263",± 673,"80,853"
"Pittsburg County, Oklahoma","1,108",± 173,"17,248"
"Pittsylvania County, Virginia","1,086",± 194,"25,730"
"Piute County, Utah",62,± 30,578
"Placer County, California","11,469",± 791,"190,093"
"Plaquemines Parish, Louisiana",546,± 175,"10,570"
"Platte County, Missouri","3,064",± 387,"56,698"
"Platte County, Nebraska","1,157",± 215,"17,805"
"Platte County, Wyoming",243,± 117,"3,662"
"Pleasants County, West Virginia",161,± 89,"3,074"
"Plumas County, California",396,± 152,"7,654"
"Plymouth County, Iowa",781,± 162,"13,579"
"Plymouth County, Massachusetts","17,832","± 1,225","274,636"
"Pocahontas County, Iowa",190,± 70,"3,316"
"Pocahontas County, West Virginia",113,± 56,"2,571"
"Poinsett County, Arkansas",562,± 145,"9,419"
"Pointe Coupee Parish, Louisiana",697,± 190,"8,211"
"Polk County, Arkansas",572,± 191,"7,664"
"Polk County, Florida","15,289","± 1,024","320,223"
"Polk County, Georgia",612,± 213,"18,253"
"Polk County, Iowa","15,777","± 1,174","261,682"
"Polk County, Minnesota",923,± 196,"15,268"
"Polk County, Missouri",818,± 225,"13,983"
"Polk County, Nebraska",150,± 35,"2,740"
"Polk County, North Carolina",463,± 139,"8,553"
"Polk County, Oregon","2,491",± 328,"40,471"
"Polk County, Tennessee",426,± 138,"7,328"
"Polk County, Texas",943,± 229,"18,317"
"Polk County, Wisconsin","1,153",± 141,"22,277"
"Ponce Municipio, Puerto Rico","3,534",± 447,"37,700"
"Pondera County, Montana",197,± 53,"2,641"
"Pontotoc County, Mississippi",817,± 224,"13,660"
"Pontotoc County, Oklahoma","1,374",± 232,"17,121"
"Pope County, Arkansas","2,460",± 377,"27,158"
"Pope County, Illinois",125,± 56,"1,284"
"Pope County, Minnesota",326,± 63,"5,795"
"Poquoson city, Virginia",408,± 141,"6,241"
"Portage County, Ohio","5,775",± 577,"83,452"
"Portage County, Wisconsin","2,433",± 327,"37,680"
"Porter County, Indiana","5,319",± 550,"83,577"
"Portsmouth city, Virginia","2,322",± 388,"41,764"
"Posey County, Indiana",624,± 153,"12,311"
"Pottawatomie County, Kansas",939,± 163,"12,356"
"Pottawatomie County, Oklahoma","1,948",± 231,"29,721"
"Pottawattamie County, Iowa","2,272",± 278,"45,815"
"Potter County, Pennsylvania",347,± 58,"6,827"
"Potter County, South Dakota",52,± 34,"1,229"
"Potter County, Texas","2,668",± 404,"49,953"
"Powder River County, Montana",84,± 47,910
"Powell County, Kentucky",192,± 106,"4,832"
"Powell County, Montana",155,± 61,"2,535"
"Power County, Idaho",274,± 120,"3,613"
"Poweshiek County, Iowa",939,± 182,"9,220"
"Powhatan County, Virginia",925,± 248,"15,352"
"Prairie County, Arkansas",235,± 92,"3,561"
"Prairie County, Montana",5,± 8,560
"Pratt County, Kansas",365,± 107,"4,283"
"Preble County, Ohio",891,± 180,"19,938"
"Prentiss County, Mississippi",776,± 255,"10,477"
"Presidio County, Texas",347,± 201,"2,449"
"Presque Isle County, Michigan",207,± 60,"4,725"
"Preston County, West Virginia",791,± 158,"13,408"
"Price County, Wisconsin",235,± 49,"6,172"
"Prince Edward County, Virginia",652,± 168,"8,588"
"Prince George County, Virginia","1,206",± 349,"16,431"
"Prince George's County, Maryland","30,449","± 1,311","500,565"
"Prince of Wales-Hyder Census Area, Alaska",252,± 59,"2,745"
"Prince William County, Virginia","14,886",± 970,"247,709"
"Providence County, Rhode Island","22,320","± 1,281","329,536"
"Prowers County, Colorado",382,± 128,"5,379"
"Pueblo County, Colorado","3,968",± 547,"70,427"
"Pulaski County, Arkansas","10,693","± 1,005","186,621"
"Pulaski County, Georgia",345,± 171,"3,787"
"Pulaski County, Illinois",68,± 43,"1,778"
"Pulaski County, Indiana",220,± 88,"5,988"
"Pulaski County, Kentucky","1,610",± 336,"27,268"
"Pulaski County, Missouri","1,262",± 322,"18,477"
"Pulaski County, Virginia",832,± 217,"15,112"
"Pushmataha County, Oklahoma",269,± 80,"3,655"
"Putnam County, Florida","1,325",± 371,"25,898"
"Putnam County, Georgia",480,± 168,"9,259"
"Putnam County, Illinois",112,± 40,"2,684"
"Putnam County, Indiana","1,035",± 269,"16,728"
"Putnam County, Missouri",119,± 61,"2,069"
"Putnam County, New York","5,284",± 550,"50,210"
"Putnam County, Ohio","1,026",± 179,"17,247"
"Putnam County, Tennessee","2,514",± 428,"38,060"
"Putnam County, West Virginia","1,555",± 266,"25,765"
"Quay County, New Mexico",360,± 135,"3,482"
"Quebradillas Municipio, Puerto Rico",360,± 131,"7,442"
"Queen Anne's County, Maryland","1,542",± 281,"26,180"
"Queens County, New York","67,660","± 2,199","1,149,568"
"Quitman County, Georgia",0,± 14,525
"Quitman County, Mississippi",79,± 39,"2,187"
"Rabun County, Georgia",360,± 135,"6,849"
"Racine County, Wisconsin","5,379",± 541,"96,247"
"Radford city, Virginia",874,± 201,"7,936"
"Rains County, Texas",390,± 134,"5,144"
"Raleigh County, West Virginia","1,726",± 478,"26,785"
"Ralls County, Missouri",108,± 51,"4,637"
"Ramsey County, Minnesota","19,313","± 1,043","283,076"
"Ramsey County, North Dakota",419,± 131,"5,851"
"Randall County, Texas","5,271",± 706,"73,113"
"Randolph County, Alabama",423,± 136,"8,613"
"Randolph County, Arkansas",401,± 158,"7,144"
"Randolph County, Georgia",196,± 118,"2,452"
"Randolph County, Illinois",680,± 144,"12,570"
"Randolph County, Indiana",438,± 137,"11,075"
"Randolph County, Missouri",835,± 180,"10,649"
"Randolph County, North Carolina","3,348",± 625,"67,217"
"Randolph County, West Virginia",506,± 160,"10,621"
"Rankin County, Mississippi","5,683",± 632,"77,270"
"Ransom County, North Dakota",99,± 44,"2,679"
"Rapides Parish, Louisiana","3,856",± 597,"55,565"
"Rappahannock County, Virginia",189,± 105,"3,573"
"Ravalli County, Montana","1,080",± 207,"20,195"
"Rawlins County, Kansas",80,± 43,"1,344"
"Ray County, Missouri",430,± 102,"11,026"
"Reagan County, Texas",125,± 59,"1,569"
"Real County, Texas",32,± 36,759
"Red Lake County, Minnesota",99,± 26,"1,967"
"Red River County, Texas",171,± 71,"4,350"
"Red River Parish, Louisiana",110,± 74,"2,915"
"Red Willow County, Nebraska",174,± 86,"5,377"
"Redwood County, Minnesota",503,± 81,"7,354"
"Reeves County, Texas",331,± 166,"6,331"
"Refugio County, Texas",145,± 58,"2,613"
"Reno County, Kansas","2,044",± 336,"29,360"
"Rensselaer County, New York","5,825",± 626,"81,004"
"Renville County, Minnesota",331,± 51,"7,099"
"Renville County, North Dakota",53,± 19,"1,122"
"Republic County, Kansas",196,± 49,"2,204"
"Reynolds County, Missouri",162,± 67,"2,451"
"Rhea County, Tennessee",541,± 188,"13,057"
"Rice County, Kansas",376,± 89,"4,388"
"Rice County, Minnesota","2,563",± 291,"33,026"
"Rich County, Utah",84,± 46,981
"Richardson County, Nebraska",267,± 105,"3,768"
"Richland County, Illinois",303,± 98,"7,585"
"Richland County, Montana",360,± 124,"5,625"
"Richland County, North Dakota",439,± 99,"8,509"
"Richland County, Ohio","3,007",± 413,"54,564"
"Richland County, South Carolina","15,280","± 1,077","196,460"
"Richland County, Wisconsin",331,± 67,"8,037"
"Richland Parish, Louisiana",446,± 129,"7,566"
"Richmond city, Virginia","8,675",± 729,"121,796"
"Richmond County, Georgia","4,725",± 586,"86,632"
"Richmond County, New York","19,421","± 1,129","226,190"
"Richmond County, North Carolina","1,567",± 352,"17,862"
"Richmond County, Virginia",226,± 114,"3,238"
"Riley County, Kansas","4,730",± 557,"35,149"
"Rincón Municipio, Puerto Rico",339,± 179,"5,207"
"Ringgold County, Iowa",115,± 42,"2,276"
"Rio Arriba County, New Mexico","1,082",± 276,"15,542"
"Rio Blanco County, Colorado",251,± 111,"2,900"
"Rio Grande County, Colorado",485,± 183,"5,301"
"Río Grande Municipio, Puerto Rico",859,± 229,"17,327"
"Ripley County, Indiana",775,± 182,"14,628"
"Ripley County, Missouri",288,± 92,"4,257"
"Ritchie County, West Virginia",124,± 59,"2,886"
"Riverside County, California","55,255","± 2,070","1,073,342"
"Roane County, Tennessee","1,223",± 228,"23,668"
"Roane County, West Virginia",241,± 120,"4,169"
"Roanoke city, Virginia","2,123",± 375,"46,998"
"Roanoke County, Virginia","3,121",± 459,"47,051"
"Roberts County, South Dakota",349,± 72,"4,346"
"Roberts County, Texas",30,± 21,398
"Robertson County, Kentucky",36,± 36,832
"Robertson County, Tennessee","1,904",± 335,"35,880"
"Robertson County, Texas",382,± 149,"6,690"
"Robeson County, North Carolina","2,669",± 268,"43,618"
"Rock County, Minnesota",321,± 107,"4,997"
"Rock County, Nebraska",48,± 20,659
"Rock County, Wisconsin","4,495",± 474,"82,453"
"Rock Island County, Illinois","4,008",± 426,"66,895"
"Rockbridge County, Virginia",728,± 196,"10,181"
"Rockcastle County, Kentucky",476,± 154,"6,066"
"Rockdale County, Georgia","2,777",± 366,"43,301"
"Rockingham County, New Hampshire","10,580",± 776,"174,668"
"Rockingham County, North Carolina","1,933",± 339,"39,418"
"Rockingham County, Virginia","2,994",± 395,"41,862"
"Rockland County, New York","16,541","± 1,047","148,349"
"Rockwall County, Texas","3,501",± 473,"57,189"
"Roger Mills County, Oklahoma",55,± 28,"1,480"
"Rogers County, Oklahoma","2,640",± 253,"46,422"
"Rolette County, North Dakota",500,± 124,"4,504"
"Rooks County, Kansas",218,± 73,"2,463"
"Roosevelt County, Montana",372,± 82,"3,675"
"Roosevelt County, New Mexico",621,± 182,"8,526"
"Roscommon County, Michigan",314,± 97,"8,120"
"Roseau County, Minnesota",377,± 81,"7,875"
"Rosebud County, Montana",263,± 73,"3,271"
"Ross County, Ohio","1,978",± 332,"31,793"
"Routt County, Colorado",745,± 210,"13,819"
"Rowan County, Kentucky","1,295",± 301,"10,932"
"Rowan County, North Carolina","3,363",± 404,"66,742"
"Runnels County, Texas",356,± 114,"4,455"
"Rush County, Indiana",256,± 106,"7,593"
"Rush County, Kansas",89,± 45,"1,482"
"Rusk County, Texas","1,249",± 286,"21,454"
"Rusk County, Wisconsin",343,± 92,"6,370"
"Russell County, Alabama",947,± 226,"22,595"
"Russell County, Kansas",116,± 46,"3,213"
"Russell County, Kentucky",495,± 189,"7,414"
"Russell County, Virginia",679,± 184,"8,781"
"Rutherford County, North Carolina","1,651",± 359,"26,708"
"Rutherford County, Tennessee","11,454","± 1,106","184,020"
"Rutland County, Vermont","1,977",± 271,"29,244"
"Sabana Grande Municipio, Puerto Rico",543,± 212,"6,399"
"Sabine County, Texas",221,± 115,"3,193"
"Sabine Parish, Louisiana",341,± 99,"7,309"
"Sac County, Iowa",264,± 66,"4,955"
"Sacramento County, California","39,352","± 1,752","745,145"
"Sagadahoc County, Maine","1,565",± 285,"19,067"
"Saginaw County, Michigan","3,904",± 398,"81,523"
"Saguache County, Colorado",245,± 149,"2,691"
"Salem city, Virginia",986,± 230,"12,483"
"Salem County, New Jersey","2,525",± 377,"29,292"
"Salinas Municipio, Puerto Rico",432,± 152,"7,846"
"Saline County, Arkansas","3,334",± 564,"59,136"
"Saline County, Illinois",775,± 159,"10,167"
"Saline County, Kansas","2,331",± 457,"27,649"
"Saline County, Missouri",924,± 222,"10,467"
"Saline County, Nebraska",460,± 108,"7,196"
"Salt Lake County, Utah","34,439","± 1,400","629,317"
"Saluda County, South Carolina",327,± 140,"8,043"
"Sampson County, North Carolina","1,536",± 279,"24,799"
"San Augustine County, Texas",97,± 45,"2,599"
"San Benito County, California","1,775",± 279,"31,928"
"San Bernardino County, California","51,202","± 2,198","955,659"
"San Diego County, California","87,565","± 2,928","1,574,825"
"San Francisco County, California","25,451","± 1,262","497,881"
"San Germán Municipio, Puerto Rico",764,± 205,"7,798"
"San Jacinto County, Texas",644,± 211,"10,810"
"San Joaquin County, California","17,292","± 1,311","338,625"
"San Juan County, Colorado",47,± 25,381
"San Juan County, New Mexico","3,342",± 588,"45,652"
"San Juan County, Utah",534,± 146,"5,224"
"San Juan County, Washington",541,± 73,"8,230"
"San Juan Municipio, Puerto Rico","8,036",± 749,"128,713"
"San Lorenzo Municipio, Puerto Rico",687,± 200,"11,723"
"San Luis Obispo County, California","8,003",± 780,"131,506"
"San Mateo County, California","20,113","± 1,000","402,467"
"San Miguel County, Colorado",375,± 112,"4,939"
"San Miguel County, New Mexico",954,± 306,"10,959"
"San Patricio County, Texas","2,098",± 353,"28,685"
"San Saba County, Texas",101,± 38,"2,325"
"San Sebastián Municipio, Puerto Rico",668,± 252,"10,895"
"Sanborn County, South Dakota",57,± 26,"1,255"
"Sanders County, Montana",337,± 114,"4,119"
"Sandoval County, New Mexico","4,347",± 657,"66,950"
"Sandusky County, Ohio","1,429",± 250,"27,732"
"Sangamon County, Illinois","5,439",± 614,"92,721"
"Sanilac County, Michigan",572,± 88,"17,349"
"Sanpete County, Utah","1,327",± 222,"12,239"
"Santa Barbara County, California","14,470","± 1,014","208,588"
"Santa Clara County, California","55,107","± 1,860","1,002,047"
"Santa Cruz County, Arizona","1,145",± 279,"18,990"
"Santa Cruz County, California","9,828",± 771,"134,104"
"Santa Fe County, New Mexico","4,879",± 451,"71,477"
"Santa Isabel Municipio, Puerto Rico",490,± 198,"7,287"
"Santa Rosa County, Florida","4,206",± 638,"80,950"
"Sarasota County, Florida","8,864","± 1,080","182,485"
"Saratoga County, New York","9,663",± 783,"124,959"
"Sargent County, North Dakota",89,± 27,"2,081"
"Sarpy County, Nebraska","6,747",± 533,"100,375"
"Sauk County, Wisconsin","1,754",± 226,"34,221"
"Saunders County, Nebraska",770,± 143,"11,791"
"Sawyer County, Wisconsin",485,± 89,"7,819"
"Schenectady County, New York","5,246",± 528,"76,367"
"Schleicher County, Texas",39,± 29,"1,032"
"Schley County, Georgia",140,± 57,"1,880"
"Schoharie County, New York",997,± 146,"13,925"
"Schoolcraft County, Michigan",159,± 58,"3,186"
"Schuyler County, Illinois",245,± 76,"2,985"
"Schuyler County, Missouri",93,± 44,"1,606"
"Schuyler County, New York",624,± 138,"8,190"
"Schuylkill County, Pennsylvania","3,368",± 366,"64,570"
"Scioto County, Ohio","1,695",± 290,"26,689"
"Scotland County, Missouri",174,± 86,"1,936"
"Scotland County, North Carolina",858,± 168,"12,673"
"Scott County, Arkansas",182,± 89,"4,079"
"Scott County, Illinois",220,± 67,"2,249"
"Scott County, Indiana",468,± 169,"10,866"
"Scott County, Iowa","5,645",± 546,"87,296"
"Scott County, Kansas",115,± 95,"2,743"
"Scott County, Kentucky","1,710",± 275,"29,395"
"Scott County, Minnesota","4,651",± 585,"84,503"
"Scott County, Mississippi",499,± 179,"11,341"
"Scott County, Missouri",972,± 259,"17,367"
"Scott County, Tennessee",551,± 159,"7,930"
"Scott County, Virginia",464,± 130,"7,886"
"Scotts Bluff County, Nebraska","1,099",± 227,"17,418"
"Screven County, Georgia",183,± 108,"5,894"
"Scurry County, Texas",288,± 150,"6,913"
"Searcy County, Arkansas",318,± 132,"2,906"
"Sebastian County, Arkansas","3,707",± 591,"57,689"
"Sedgwick County, Colorado",44,± 24,"1,075"
"Sedgwick County, Kansas","16,085",± 906,"251,132"
"Seminole County, Florida","14,921","± 1,212","247,988"
"Seminole County, Georgia",176,± 67,"3,304"
"Seminole County, Oklahoma",450,± 86,"8,503"
"Seneca County, New York","1,108",± 202,"14,920"
"Seneca County, Ohio","1,226",± 230,"26,878"
"Sequatchie County, Tennessee",394,± 151,"6,391"
"Sequoyah County, Oklahoma","1,019",± 161,"15,183"
"Sevier County, Arkansas",242,± 97,"6,865"
"Sevier County, Tennessee","1,981",± 411,"46,821"
"Sevier County, Utah",534,± 97,"9,356"
"Seward County, Kansas",614,± 203,"10,717"
"Seward County, Nebraska",905,± 173,"9,342"
"Shackelford County, Texas",77,± 40,"1,501"
"Shannon County, Missouri",149,± 69,"2,689"
"Sharkey County, Mississippi",65,± 33,"1,523"
"Sharp County, Arkansas",404,± 142,"6,268"
"Shasta County, California","4,213",± 468,"76,314"
"Shawano County, Wisconsin","1,033",± 123,"19,861"
"Shawnee County, Kansas","5,318",± 570,"84,663"
"Sheboygan County, Wisconsin","2,750",± 386,"61,062"
"Shelby County, Alabama","7,416",± 631,"113,542"
"Shelby County, Illinois",419,± 136,"10,199"
"Shelby County, Indiana",939,± 218,"22,045"
"Shelby County, Iowa",303,± 115,"5,964"
"Shelby County, Kentucky","1,181",± 264,"24,238"
"Shelby County, Missouri",174,± 53,"2,725"
"Shelby County, Ohio","1,241",± 206,"24,054"
"Shelby County, Tennessee","24,693","± 1,378","429,064"
"Shelby County, Texas",542,± 191,"10,110"
"Shenandoah County, Virginia",983,± 214,"20,670"
"Sherburne County, Minnesota","2,967",± 432,"53,627"
"Sheridan County, Kansas",88,± 36,"1,367"
"Sheridan County, Montana",80,± 28,"1,786"
"Sheridan County, Nebraska",241,± 65,"2,403"
"Sheridan County, North Dakota",33,± 22,629
"Sheridan County, Wyoming","1,017",± 285,"15,579"
"Sherman County, Kansas",239,± 134,"3,053"
"Sherman County, Nebraska",77,± 32,"1,488"
"Sherman County, Oregon",26,± 16,811
"Sherman County, Texas",68,± 38,"1,161"
"Shiawassee County, Michigan","1,193",± 216,"31,932"
"Shoshone County, Idaho",177,± 59,"5,588"
"Sibley County, Minnesota",377,± 62,"7,870"
"Sierra County, California",77,± 76,"1,243"
"Sierra County, New Mexico",333,± 196,"3,554"
"Silver Bow County, Montana",627,± 175,"16,448"
"Simpson County, Kentucky",502,± 192,"8,926"
"Simpson County, Mississippi",472,± 171,"10,289"
"Sioux County, Iowa","1,530",± 226,"19,081"
"Sioux County, Nebraska",28,± 16,515
"Sioux County, North Dakota",59,± 25,"1,065"
"Siskiyou County, California","1,096",± 211,"16,623"
"Sitka City and Borough, Alaska",195,± 55,"4,387"
"Skagit County, Washington","3,117",± 372,"57,758"
"Skagway Municipality, Alaska",20,± 10,777
"Skamania County, Washington",247,± 64,"5,639"
"Slope County, North Dakota",22,± 11,420
"Smith County, Kansas",128,± 31,"1,735"
"Smith County, Mississippi",245,± 107,"5,342"
"Smith County, Tennessee",417,± 122,"9,192"
"Smith County, Texas","6,686",± 769,"109,280"
"Smyth County, Virginia",563,± 132,"11,921"
"Snohomish County, Washington","21,540","± 1,126","425,167"
"Snyder County, Pennsylvania","1,596",± 265,"19,430"
"Socorro County, New Mexico",695,± 224,"5,119"
"Solano County, California","9,218",± 803,"212,158"
"Somerset County, Maine","1,477",± 333,"22,575"
"Somerset County, Maryland",665,± 180,"9,661"
"Somerset County, New Jersey","12,833",± 852,"184,886"
"Somerset County, Pennsylvania","1,366",± 219,"32,749"
"Somervell County, Texas",217,± 121,"4,565"
"Sonoma County, California","14,501",± 989,"247,915"
"South Central Connecticut Planning Region, Connecticut","25,776","± 1,545","288,553"
"Southampton County, Virginia",606,± 165,"7,838"
"Southeast Fairbanks Census Area, Alaska",198,± 80,"2,756"
"Southeastern Connecticut Planning Region, Connecticut","9,906",± 865,"136,582"
"Spalding County, Georgia","1,894",± 384,"28,392"
"Spartanburg County, South Carolina","9,139",± 929,"154,712"
"Spencer County, Indiana",445,± 136,"9,762"
"Spencer County, Kentucky",374,± 136,"9,917"
"Spink County, South Dakota",191,± 61,"2,997"
"Spokane County, Washington","15,187","± 1,024","249,238"
"Spotsylvania County, Virginia","4,136",± 428,"70,327"
"St. Bernard Parish, Louisiana","1,105",± 170,"18,853"
"St. Charles County, Missouri","13,889",± 842,"217,856"
"St. Charles Parish, Louisiana","1,722",± 321,"24,399"
"St. Clair County, Alabama","2,456",± 505,"41,814"
"St. Clair County, Illinois","6,988",± 526,"120,199"
"St. Clair County, Michigan","3,344",± 365,"73,964"
"St. Clair County, Missouri",202,± 62,"3,776"
"St. Croix County, Wisconsin","2,888",± 391,"51,067"
"St. Francis County, Arkansas",472,± 135,"7,948"
"St. Francois County, Missouri","1,473",± 325,"26,816"
"St. Helena Parish, Louisiana",220,± 158,"3,886"
"St. James Parish, Louisiana",523,± 170,"9,015"
"St. John the Baptist Parish, Louisiana",814,± 274,"18,090"
"St. Johns County, Florida","6,294",± 775,"129,898"
"St. Joseph County, Indiana","10,969",± 839,"131,170"
"St. Joseph County, Michigan",935,± 193,"27,936"
"St. Landry Parish, Louisiana","1,563",± 322,"30,717"
"St. Lawrence County, New York","4,669",± 452,"44,742"
"St. Louis city, Missouri","10,506",± 793,"154,689"
"St. Louis County, Minnesota","6,224",± 532,"96,728"
"St. Louis County, Missouri","31,473","± 1,321","499,992"
