Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Ontonagon County, Michigan",113,± 31,"2,020"
"Orange County, California","89,866","± 2,232","1,598,126"
"Orange County, Florida","43,952","± 2,226","729,283"
"Orange County, Indiana",416,± 106,"9,369"
"Orange County, New York","11,270",± 816,"183,933"
"Orange County, North Carolina","7,364",± 647,"72,303"
"Orange County, Texas","2,000",± 361,"38,240"
"Orange County, Vermont","1,113",± 203,"16,063"
"Orange County, Virginia",795,± 224,"17,572"
"Orangeburg County, South Carolina","2,114",± 461,"32,571"
"Oregon County, Missouri",127,± 53,"3,235"
"Orleans County, New York",751,± 178,"17,816"
"Orleans County, Vermont",788,± 137,"13,347"
"Orleans Parish, Louisiana","12,250",± 823,"174,333"
"Orocovis Municipio, Puerto Rico",338,± 145,"5,349"
"Osage County, Kansas",415,± 100,"7,496"
"Osage County, Missouri",348,± 80,"6,716"
"Osage County, Oklahoma",904,± 177,"19,172"
"Osborne County, Kansas",147,± 43,"1,833"
"Osceola County, Florida","8,754","± 1,007","191,317"
"Osceola County, Iowa",161,± 57,"3,099"
"Osceola County, Michigan",475,± 82,"9,014"
"Oscoda County, Michigan",92,± 52,"2,768"
"Oswego County, New York","3,567",± 424,"54,486"
"Otero County, Colorado",377,± 123,"7,169"
"Otero County, New Mexico",940,± 246,"23,086"
"Otoe County, Nebraska",457,± 102,"8,154"
"Otsego County, Michigan",808,± 200,"11,847"
"Otsego County, New York","2,092",± 265,"27,331"
"Ottawa County, Kansas",257,± 48,"2,909"
"Ottawa County, Michigan","9,711",± 855,"153,468"
"Ottawa County, Ohio","1,343",± 171,"19,043"
"Ottawa County, Oklahoma",808,± 87,"12,364"
"Otter Tail County, Minnesota","2,275",± 254,"28,208"
"Ouachita County, Arkansas",586,± 179,"8,497"
"Ouachita Parish, Louisiana","5,651",± 680,"68,429"
"Ouray County, Colorado",130,± 52,"2,193"
"Outagamie County, Wisconsin","6,318",± 455,"102,297"
"Overton County, Tennessee",581,± 154,"10,201"
"Owen County, Indiana",404,± 114,"9,977"
"Owen County, Kentucky",320,± 116,"4,952"
"Owsley County, Kentucky",65,± 39,"1,098"
"Owyhee County, Idaho",63,± 39,"5,334"
"Oxford County, Maine","1,313",± 264,"26,106"
"Ozark County, Missouri",213,± 79,"2,974"
"Ozaukee County, Wisconsin","3,765",± 452,"48,779"
"Pacific County, Washington",422,± 132,"8,848"
"Page County, Iowa",466,± 136,"6,832"
"Page County, Virginia",344,± 122,"10,954"
"Palm Beach County, Florida","45,501","± 1,652","699,009"
"Palo Alto County, Iowa",259,± 91,"4,493"
"Palo Pinto County, Texas",726,± 171,"12,246"
"Pamlico County, North Carolina",262,± 89,"4,494"
"Panola County, Mississippi",761,± 264,"11,828"
"Panola County, Texas",579,± 235,"9,616"
"Park County, Colorado",328,± 155,"8,651"
"Park County, Montana",359,± 121,"9,098"
"Park County, Wyoming","1,200",± 333,"14,579"
"Parke County, Indiana",256,± 92,"6,376"
"Parker County, Texas","4,728",± 644,"72,909"
"Parmer County, Texas",133,± 61,"4,712"
"Pasco County, Florida","19,021","± 1,178","246,451"
"Pasquotank County, North Carolina","1,231",± 366,"17,817"
"Passaic County, New Jersey","11,834",± 896,"251,821"
"Patillas Municipio, Puerto Rico",233,± 126,"4,314"
"Patrick County, Virginia",558,± 132,"7,340"
"Paulding County, Georgia","4,569",± 707,"84,122"
"Paulding County, Ohio",550,± 136,"8,524"
"Pawnee County, Kansas",156,± 70,"2,766"
"Pawnee County, Nebraska",46,± 24,"1,119"
"Pawnee County, Oklahoma",258,± 61,"6,547"
"Payette County, Idaho",569,± 211,"10,781"
"Payne County, Oklahoma","2,025",± 382,"37,038"
"Peach County, Georgia",663,± 247,"11,891"
"Pearl River County, Mississippi","1,576",± 340,"23,210"
"Pecos County, Texas",327,± 170,"6,031"
"Pembina County, North Dakota",133,± 41,"3,195"
"Pemiscot County, Missouri",134,± 64,"5,572"
"Pend Oreille County, Washington",188,± 83,"4,932"
"Pender County, North Carolina","1,780",± 355,"27,737"
"Pendleton County, Kentucky",351,± 150,"6,688"
"Pendleton County, West Virginia",61,± 50,"2,471"
"Pennington County, Minnesota",271,± 71,"7,487"
"Pennington County, South Dakota","4,918",± 526,"54,310"
"Penobscot County, Maine","6,093",± 577,"73,912"
"Peñuelas Municipio, Puerto Rico",427,± 177,"5,707"
"Peoria County, Illinois","7,414",± 702,"81,915"
"Pepin County, Wisconsin",174,± 48,"3,621"
"Perkins County, Nebraska",88,± 36,"1,448"
"Perkins County, South Dakota",47,± 21,"1,579"
"Perquimans County, North Carolina",250,± 167,"5,120"
"Perry County, Alabama",62,± 65,"2,301"
"Perry County, Arkansas",317,± 99,"3,840"
"Perry County, Illinois",601,± 154,"8,018"
"Perry County, Indiana",481,± 178,"8,455"
"Perry County, Kentucky","1,301",± 309,"10,104"
"Perry County, Mississippi",140,± 68,"4,019"
"Perry County, Missouri",483,± 128,"9,063"
"Perry County, Ohio",919,± 190,"15,105"
"Perry County, Pennsylvania","1,030",± 157,"22,346"
"Perry County, Tennessee",274,± 146,"3,096"
"Pershing County, Nevada",29,± 26,"2,035"
"Person County, North Carolina","1,132",± 219,"18,735"
"Petersburg Borough, Alaska",57,± 28,"1,670"
"Petersburg city, Virginia",769,± 208,"14,367"
"Petroleum County, Montana",8,± 10,237
"Pettis County, Missouri","1,059",± 224,"20,167"
"Phelps County, Missouri","1,047",± 248,"19,103"
"Phelps County, Nebraska",196,± 58,"4,522"
"Philadelphia County, Pennsylvania","54,422","± 2,211","736,737"
"Phillips County, Arkansas",213,± 91,"5,654"
"Phillips County, Colorado",110,± 60,"2,076"
"Phillips County, Kansas",270,± 74,"2,320"
"Phillips County, Montana",149,± 84,"1,931"
"Piatt County, Illinois",641,± 143,"8,263"
"Pickaway County, Ohio","1,744",± 248,"25,909"
"Pickens County, Alabama",492,± 127,"6,945"
"Pickens County, Georgia",987,± 297,"15,344"
"Pickens County, South Carolina","4,059",± 666,"60,097"
"Pickett County, Tennessee",196,± 102,"1,714"
"Pierce County, Georgia",514,± 190,"8,474"
"Pierce County, Nebraska",282,± 77,"3,782"
"Pierce County, North Dakota",110,± 48,"1,859"
"Pierce County, Washington","26,805","± 1,319","438,855"
"Pierce County, Wisconsin","1,091",± 172,"22,937"
"Pike County, Alabama",646,± 155,"13,783"
"Pike County, Arkansas",270,± 89,"4,238"
"Pike County, Georgia",695,± 186,"8,685"
"Pike County, Illinois",375,± 92,"6,430"
"Pike County, Indiana",251,± 70,"5,571"
"Pike County, Kentucky","1,976",± 320,"19,273"
"Pike County, Mississippi","1,447",± 282,"14,883"
"Pike County, Missouri",404,± 136,"6,653"
"Pike County, Ohio",946,± 308,"10,313"
"Pike County, Pennsylvania","1,481",± 282,"26,380"
"Pima County, Arizona","30,285","± 1,262","462,957"
"Pinal County, Arizona","7,708",± 816,"170,772"
"Pine County, Minnesota",816,± 122,"12,919"
"Pinellas County, Florida","34,851","± 1,701","460,773"
"Pipestone County, Minnesota",359,± 90,"4,503"
"Piscataquis County, Maine",504,± 130,"7,145"
"Pitkin County, Colorado",606,± 230,"10,499"
"Pitt County, North Carolina","8,184",± 799,"80,853"
"Pittsburg County, Oklahoma","1,054",± 146,"17,248"
"Pittsylvania County, Virginia","2,068",± 369,"25,730"
"Piute County, Utah",7,± 9,578
"Placer County, California","14,634",± 933,"190,093"
"Plaquemines Parish, Louisiana",609,± 193,"10,570"
"Platte County, Missouri","4,408",± 654,"56,698"
"Platte County, Nebraska",863,± 219,"17,805"
"Platte County, Wyoming",91,± 57,"3,662"
"Pleasants County, West Virginia",110,± 45,"3,074"
"Plumas County, California",318,± 144,"7,654"
"Plymouth County, Iowa",823,± 155,"13,579"
"Plymouth County, Massachusetts","19,857","± 1,271","274,636"
"Pocahontas County, Iowa",248,± 58,"3,316"
"Pocahontas County, West Virginia",137,± 66,"2,571"
"Poinsett County, Arkansas",530,± 138,"9,419"
"Pointe Coupee Parish, Louisiana",390,± 120,"8,211"
"Polk County, Arkansas",538,± 147,"7,664"
"Polk County, Florida","16,576","± 1,076","320,223"
"Polk County, Georgia","1,130",± 286,"18,253"
"Polk County, Iowa","14,674",± 999,"261,682"
"Polk County, Minnesota",918,± 160,"15,268"
"Polk County, Missouri","1,021",± 227,"13,983"
"Polk County, Nebraska",195,± 44,"2,740"
"Polk County, North Carolina",646,± 138,"8,553"
"Polk County, Oregon","2,620",± 527,"40,471"
"Polk County, Tennessee",504,± 175,"7,328"
"Polk County, Texas",933,± 286,"18,317"
"Polk County, Wisconsin","1,096",± 132,"22,277"
"Ponce Municipio, Puerto Rico","3,176",± 443,"37,700"
"Pondera County, Montana",140,± 60,"2,641"
"Pontotoc County, Mississippi",856,± 201,"13,660"
"Pontotoc County, Oklahoma","1,441",± 215,"17,121"
"Pope County, Arkansas","1,607",± 353,"27,158"
"Pope County, Illinois",142,± 61,"1,284"
"Pope County, Minnesota",328,± 61,"5,795"
"Poquoson city, Virginia",532,± 158,"6,241"
"Portage County, Ohio","4,649",± 569,"83,452"
"Portage County, Wisconsin","2,182",± 295,"37,680"
"Porter County, Indiana","6,069",± 713,"83,577"
"Portsmouth city, Virginia","1,916",± 368,"41,764"
"Posey County, Indiana",891,± 205,"12,311"
"Pottawatomie County, Kansas","1,007",± 249,"12,356"
"Pottawatomie County, Oklahoma","1,705",± 222,"29,721"
"Pottawattamie County, Iowa","2,715",± 400,"45,815"
"Potter County, Pennsylvania",428,± 82,"6,827"
"Potter County, South Dakota",63,± 25,"1,229"
"Potter County, Texas","2,725",± 408,"49,953"
"Powder River County, Montana",34,± 24,910
"Powell County, Kentucky",257,± 109,"4,832"
"Powell County, Montana",141,± 69,"2,535"
"Power County, Idaho",118,± 64,"3,613"
"Poweshiek County, Iowa",345,± 94,"9,220"
"Powhatan County, Virginia","1,074",± 263,"15,352"
"Prairie County, Arkansas",238,± 77,"3,561"
"Prairie County, Montana",3,± 5,560
"Pratt County, Kansas",541,± 122,"4,283"
"Preble County, Ohio","1,460",± 223,"19,938"
"Prentiss County, Mississippi",750,± 224,"10,477"
"Presidio County, Texas",55,± 97,"2,449"
"Presque Isle County, Michigan",382,± 98,"4,725"
"Preston County, West Virginia",656,± 149,"13,408"
"Price County, Wisconsin",258,± 55,"6,172"
"Prince Edward County, Virginia",510,± 171,"8,588"
"Prince George County, Virginia","1,177",± 258,"16,431"
"Prince George's County, Maryland","24,954","± 1,636","500,565"
"Prince of Wales-Hyder Census Area, Alaska",82,± 38,"2,745"
"Prince William County, Virginia","11,398",± 924,"247,709"
"Providence County, Rhode Island","20,523","± 1,194","329,536"
"Prowers County, Colorado",322,± 125,"5,379"
"Pueblo County, Colorado","5,391",± 647,"70,427"
"Pulaski County, Arkansas","17,389","± 1,336","186,621"
"Pulaski County, Georgia",449,± 193,"3,787"
"Pulaski County, Illinois",139,± 60,"1,778"
"Pulaski County, Indiana",371,± 120,"5,988"
"Pulaski County, Kentucky","2,010",± 417,"27,268"
"Pulaski County, Missouri","1,372",± 422,"18,477"
"Pulaski County, Virginia",792,± 200,"15,112"
"Pushmataha County, Oklahoma",145,± 50,"3,655"
"Putnam County, Florida","1,161",± 261,"25,898"
"Putnam County, Georgia",477,± 174,"9,259"
"Putnam County, Illinois",236,± 74,"2,684"
"Putnam County, Indiana",947,± 220,"16,728"
"Putnam County, Missouri",190,± 90,"2,069"
"Putnam County, New York","3,036",± 429,"50,210"
"Putnam County, Ohio","1,651",± 222,"17,247"
"Putnam County, Tennessee","2,676",± 441,"38,060"
"Putnam County, West Virginia","2,461",± 419,"25,765"
"Quay County, New Mexico",30,± 27,"3,482"
"Quebradillas Municipio, Puerto Rico",352,± 156,"7,442"
"Queen Anne's County, Maryland","1,846",± 313,"26,180"
"Queens County, New York","67,902","± 2,720","1,149,568"
"Quitman County, Georgia",20,± 21,525
"Quitman County, Mississippi",141,± 50,"2,187"
"Rabun County, Georgia",277,± 100,"6,849"
"Racine County, Wisconsin","5,631",± 490,"96,247"
"Radford city, Virginia",412,± 167,"7,936"
"Rains County, Texas",491,± 155,"5,144"
"Raleigh County, West Virginia","2,700",± 400,"26,785"
"Ralls County, Missouri",406,± 142,"4,637"
"Ramsey County, Minnesota","17,301",± 976,"283,076"
"Ramsey County, North Dakota",444,± 188,"5,851"
"Randall County, Texas","5,918",± 732,"73,113"
"Randolph County, Alabama",638,± 217,"8,613"
"Randolph County, Arkansas",634,± 183,"7,144"
"Randolph County, Georgia",225,± 154,"2,452"
"Randolph County, Illinois",867,± 158,"12,570"
"Randolph County, Indiana",881,± 194,"11,075"
"Randolph County, Missouri",491,± 150,"10,649"
"Randolph County, North Carolina","3,042",± 413,"67,217"
"Randolph County, West Virginia","1,028",± 295,"10,621"
"Rankin County, Mississippi","7,690",± 837,"77,270"
"Ransom County, North Dakota",130,± 34,"2,679"
"Rapides Parish, Louisiana","4,819",± 726,"55,565"
"Rappahannock County, Virginia",88,± 70,"3,573"
"Ravalli County, Montana","1,022",± 249,"20,195"
"Rawlins County, Kansas",93,± 50,"1,344"
"Ray County, Missouri",653,± 172,"11,026"
"Reagan County, Texas",66,± 46,"1,569"
"Real County, Texas",9,± 12,759
"Red Lake County, Minnesota",79,± 30,"1,967"
"Red River County, Texas",247,± 96,"4,350"
"Red River Parish, Louisiana",239,± 96,"2,915"
"Red Willow County, Nebraska",565,± 167,"5,377"
"Redwood County, Minnesota",388,± 76,"7,354"
"Reeves County, Texas",68,± 53,"6,331"
"Refugio County, Texas",97,± 68,"2,613"
"Reno County, Kansas","1,503",± 249,"29,360"
"Rensselaer County, New York","5,647",± 639,"81,004"
"Renville County, Minnesota",339,± 54,"7,099"
"Renville County, North Dakota",34,± 22,"1,122"
"Republic County, Kansas",215,± 70,"2,204"
"Reynolds County, Missouri",65,± 32,"2,451"
"Rhea County, Tennessee",561,± 173,"13,057"
"Rice County, Kansas",208,± 93,"4,388"
"Rice County, Minnesota","1,602",± 245,"33,026"
"Rich County, Utah",25,± 17,981
"Richardson County, Nebraska",284,± 86,"3,768"
"Richland County, Illinois",483,± 148,"7,585"
"Richland County, Montana",220,± 94,"5,625"
"Richland County, North Dakota",480,± 93,"8,509"
"Richland County, Ohio","3,631",± 464,"54,564"
"Richland County, South Carolina","13,962","± 1,075","196,460"
"Richland County, Wisconsin",477,± 104,"8,037"
"Richland Parish, Louisiana",461,± 157,"7,566"
"Richmond city, Virginia","7,154",± 659,"121,796"
"Richmond County, Georgia","6,146",± 756,"86,632"
"Richmond County, New York","19,055","± 1,146","226,190"
"Richmond County, North Carolina",814,± 256,"17,862"
"Richmond County, Virginia",168,± 90,"3,238"
"Riley County, Kansas","1,541",± 319,"35,149"
"Rincón Municipio, Puerto Rico",448,± 205,"5,207"
"Ringgold County, Iowa",213,± 58,"2,276"
"Rio Arriba County, New Mexico",494,± 155,"15,542"
"Rio Blanco County, Colorado",106,± 55,"2,900"
"Rio Grande County, Colorado",356,± 105,"5,301"
"Río Grande Municipio, Puerto Rico",975,± 350,"17,327"
"Ripley County, Indiana",917,± 196,"14,628"
"Ripley County, Missouri",219,± 87,"4,257"
"Ritchie County, West Virginia",96,± 56,"2,886"
"Riverside County, California","56,258","± 2,419","1,073,342"
"Roane County, Tennessee","1,798",± 369,"23,668"
"Roane County, West Virginia",419,± 207,"4,169"
"Roanoke city, Virginia","3,701",± 521,"46,998"
"Roanoke County, Virginia","4,343",± 554,"47,051"
"Roberts County, South Dakota",217,± 55,"4,346"
"Roberts County, Texas",23,± 15,398
"Robertson County, Kentucky",49,± 33,832
"Robertson County, Tennessee","2,637",± 425,"35,880"
"Robertson County, Texas",258,± 122,"6,690"
"Robeson County, North Carolina","2,926",± 329,"43,618"
"Rock County, Minnesota",471,± 84,"4,997"
"Rock County, Nebraska",36,± 27,659
"Rock County, Wisconsin","4,697",± 515,"82,453"
"Rock Island County, Illinois","3,352",± 462,"66,895"
"Rockbridge County, Virginia",676,± 207,"10,181"
"Rockcastle County, Kentucky",358,± 124,"6,066"
"Rockdale County, Georgia","2,352",± 490,"43,301"
"Rockingham County, New Hampshire","12,185",± 885,"174,668"
"Rockingham County, North Carolina","2,405",± 468,"39,418"
"Rockingham County, Virginia","2,255",± 322,"41,862"
"Rockland County, New York","11,020",± 879,"148,349"
"Rockwall County, Texas","4,328",± 765,"57,189"
"Roger Mills County, Oklahoma",70,± 25,"1,480"
"Rogers County, Oklahoma","2,732",± 276,"46,422"
"Rolette County, North Dakota",183,± 74,"4,504"
"Rooks County, Kansas",204,± 58,"2,463"
"Roosevelt County, Montana",134,± 41,"3,675"
"Roosevelt County, New Mexico",318,± 154,"8,526"
"Roscommon County, Michigan",589,± 141,"8,120"
"Roseau County, Minnesota",331,± 69,"7,875"
"Rosebud County, Montana",117,± 46,"3,271"
"Ross County, Ohio","2,262",± 373,"31,793"
"Routt County, Colorado",732,± 196,"13,819"
"Rowan County, Kentucky","1,015",± 241,"10,932"
"Rowan County, North Carolina","3,667",± 555,"66,742"
"Runnels County, Texas",272,± 103,"4,455"
"Rush County, Indiana",337,± 114,"7,593"
"Rush County, Kansas",57,± 26,"1,482"
"Rusk County, Texas","1,238",± 259,"21,454"
"Rusk County, Wisconsin",259,± 74,"6,370"
"Russell County, Alabama","1,238",± 391,"22,595"
"Russell County, Kansas",226,± 91,"3,213"
"Russell County, Kentucky",652,± 186,"7,414"
"Russell County, Virginia",705,± 194,"8,781"
"Rutherford County, North Carolina","1,520",± 242,"26,708"
"Rutherford County, Tennessee","11,168","± 1,097","184,020"
"Rutland County, Vermont","2,244",± 313,"29,244"
"Sabana Grande Municipio, Puerto Rico",255,± 144,"6,399"
"Sabine County, Texas",240,± 95,"3,193"
"Sabine Parish, Louisiana",460,± 136,"7,309"
"Sac County, Iowa",287,± 64,"4,955"
"Sacramento County, California","42,954","± 1,653","745,145"
"Sagadahoc County, Maine","1,104",± 253,"19,067"
"Saginaw County, Michigan","5,883",± 470,"81,523"
"Saguache County, Colorado",29,± 32,"2,691"
"Salem city, Virginia","1,007",± 245,"12,483"
"Salem County, New Jersey","1,783",± 287,"29,292"
"Salinas Municipio, Puerto Rico",552,± 162,"7,846"
"Saline County, Arkansas","6,252",± 680,"59,136"
"Saline County, Illinois",860,± 162,"10,167"
"Saline County, Kansas","1,835",± 357,"27,649"
"Saline County, Missouri",695,± 162,"10,467"
"Saline County, Nebraska",219,± 58,"7,196"
"Salt Lake County, Utah","34,669","± 1,745","629,317"
"Saluda County, South Carolina",469,± 149,"8,043"
"Sampson County, North Carolina","1,525",± 284,"24,799"
"San Augustine County, Texas",100,± 62,"2,599"
"San Benito County, California","1,278",± 285,"31,928"
"San Bernardino County, California","54,240","± 1,768","955,659"
"San Diego County, California","91,075","± 3,027","1,574,825"
"San Francisco County, California","27,953","± 1,619","497,881"
"San Germán Municipio, Puerto Rico",391,± 153,"7,798"
"San Jacinto County, Texas",434,± 283,"10,810"
"San Joaquin County, California","17,305","± 1,084","338,625"
"San Juan County, Colorado",18,± 19,381
"San Juan County, New Mexico","2,166",± 277,"45,652"
"San Juan County, Utah",333,± 107,"5,224"
"San Juan County, Washington",292,± 59,"8,230"
"San Juan Municipio, Puerto Rico","9,599",± 741,"128,713"
"San Lorenzo Municipio, Puerto Rico",979,± 329,"11,723"
"San Luis Obispo County, California","7,720",± 740,"131,506"
"San Mateo County, California","23,961","± 1,153","402,467"
"San Miguel County, Colorado",153,± 65,"4,939"
"San Miguel County, New Mexico",592,± 209,"10,959"
"San Patricio County, Texas","1,366",± 267,"28,685"
"San Saba County, Texas",112,± 68,"2,325"
"San Sebastián Municipio, Puerto Rico",790,± 270,"10,895"
"Sanborn County, South Dakota",82,± 34,"1,255"
"Sanders County, Montana",187,± 82,"4,119"
"Sandoval County, New Mexico","4,570",± 513,"66,950"
"Sandusky County, Ohio","1,552",± 237,"27,732"
"Sangamon County, Illinois","8,551",± 724,"92,721"
"Sanilac County, Michigan",868,± 117,"17,349"
"Sanpete County, Utah",719,± 183,"12,239"
"Santa Barbara County, California","9,414",± 883,"208,588"
"Santa Clara County, California","44,375","± 1,369","1,002,047"
"Santa Cruz County, Arizona",642,± 176,"18,990"
"Santa Cruz County, California","6,917",± 634,"134,104"
"Santa Fe County, New Mexico","3,771",± 464,"71,477"
"Santa Isabel Municipio, Puerto Rico",336,± 174,"7,287"
"Santa Rosa County, Florida","7,126",± 741,"80,950"
"Sarasota County, Florida","13,789","± 1,010","182,485"
"Saratoga County, New York","8,125",± 758,"124,959"
"Sargent County, North Dakota",68,± 22,"2,081"
"Sarpy County, Nebraska","6,536",± 555,"100,375"
"Sauk County, Wisconsin","2,342",± 278,"34,221"
"Saunders County, Nebraska",654,± 146,"11,791"
"Sawyer County, Wisconsin",316,± 75,"7,819"
"Schenectady County, New York","5,434",± 588,"76,367"
"Schleicher County, Texas",39,± 38,"1,032"
"Schley County, Georgia",138,± 50,"1,880"
"Schoharie County, New York",809,± 134,"13,925"
"Schoolcraft County, Michigan",233,± 52,"3,186"
"Schuyler County, Illinois",205,± 76,"2,985"
"Schuyler County, Missouri",167,± 57,"1,606"
"Schuyler County, New York",476,± 103,"8,190"
"Schuylkill County, Pennsylvania","4,671",± 416,"64,570"
"Scioto County, Ohio","2,767",± 404,"26,689"
"Scotland County, Missouri",191,± 89,"1,936"
"Scotland County, North Carolina",525,± 120,"12,673"
"Scott County, Arkansas",342,± 117,"4,079"
"Scott County, Illinois",135,± 47,"2,249"
"Scott County, Indiana",349,± 117,"10,866"
"Scott County, Iowa","5,641",± 517,"87,296"
"Scott County, Kansas",85,± 62,"2,743"
"Scott County, Kentucky","1,866",± 303,"29,395"
"Scott County, Minnesota","5,491",± 575,"84,503"
"Scott County, Mississippi",363,± 148,"11,341"
"Scott County, Missouri","1,441",± 238,"17,367"
"Scott County, Tennessee",684,± 182,"7,930"
"Scott County, Virginia",538,± 128,"7,886"
"Scotts Bluff County, Nebraska","1,060",± 183,"17,418"
"Screven County, Georgia",361,± 156,"5,894"
"Scurry County, Texas",210,± 101,"6,913"
"Searcy County, Arkansas",136,± 70,"2,906"
"Sebastian County, Arkansas","3,558",± 429,"57,689"
"Sedgwick County, Colorado",52,± 27,"1,075"
"Sedgwick County, Kansas","16,849","± 1,030","251,132"
"Seminole County, Florida","15,852","± 1,193","247,988"
"Seminole County, Georgia",356,± 104,"3,304"
"Seminole County, Oklahoma",435,± 83,"8,503"
"Seneca County, New York",643,± 125,"14,920"
"Seneca County, Ohio","1,486",± 207,"26,878"
"Sequatchie County, Tennessee",332,± 149,"6,391"
"Sequoyah County, Oklahoma",804,± 144,"15,183"
"Sevier County, Arkansas",386,± 142,"6,865"
"Sevier County, Tennessee","2,222",± 418,"46,821"
"Sevier County, Utah",407,± 110,"9,356"
"Seward County, Kansas",257,± 111,"10,717"
"Seward County, Nebraska",450,± 90,"9,342"
"Shackelford County, Texas",22,± 17,"1,501"
"Shannon County, Missouri",113,± 42,"2,689"
"Sharkey County, Mississippi",55,± 35,"1,523"
"Sharp County, Arkansas",349,± 124,"6,268"
"Shasta County, California","5,495",± 584,"76,314"
"Shawano County, Wisconsin",934,± 142,"19,861"
"Shawnee County, Kansas","6,506",± 588,"84,663"
"Sheboygan County, Wisconsin","3,187",± 293,"61,062"
"Shelby County, Alabama","8,178",± 650,"113,542"
"Shelby County, Illinois",613,± 137,"10,199"
"Shelby County, Indiana","1,162",± 218,"22,045"
"Shelby County, Iowa",585,± 163,"5,964"
"Shelby County, Kentucky","1,499",± 289,"24,238"
"Shelby County, Missouri",149,± 48,"2,725"
"Shelby County, Ohio","1,198",± 207,"24,054"
"Shelby County, Tennessee","27,794","± 1,451","429,064"
"Shelby County, Texas",533,± 164,"10,110"
"Shenandoah County, Virginia","1,128",± 215,"20,670"
"Sherburne County, Minnesota","2,937",± 337,"53,627"
"Sheridan County, Kansas",106,± 30,"1,367"
"Sheridan County, Montana",82,± 38,"1,786"
"Sheridan County, Nebraska",139,± 48,"2,403"
"Sheridan County, North Dakota",28,± 17,629
"Sheridan County, Wyoming","1,073",± 218,"15,579"
"Sherman County, Kansas",207,± 167,"3,053"
"Sherman County, Nebraska",76,± 28,"1,488"
"Sherman County, Oregon",32,± 17,811
"Sherman County, Texas",3,± 5,"1,161"
"Shiawassee County, Michigan","2,091",± 278,"31,932"
"Shoshone County, Idaho",276,± 99,"5,588"
"Sibley County, Minnesota",449,± 72,"7,870"
"Sierra County, California",15,± 20,"1,243"
"Sierra County, New Mexico",160,± 105,"3,554"
"Silver Bow County, Montana","1,352",± 268,"16,448"
"Simpson County, Kentucky",363,± 165,"8,926"
"Simpson County, Mississippi",691,± 206,"10,289"
"Sioux County, Iowa","1,186",± 233,"19,081"
"Sioux County, Nebraska",11,± 8,515
"Sioux County, North Dakota",24,± 14,"1,065"
"Siskiyou County, California","1,158",± 241,"16,623"
"Sitka City and Borough, Alaska",319,± 95,"4,387"
"Skagit County, Washington","2,860",± 339,"57,758"
"Skagway Municipality, Alaska",8,± 7,777
"Skamania County, Washington",463,± 147,"5,639"
"Slope County, North Dakota",19,± 10,420
"Smith County, Kansas",131,± 36,"1,735"
"Smith County, Mississippi",365,± 124,"5,342"
"Smith County, Tennessee",562,± 194,"9,192"
"Smith County, Texas","9,204",± 820,"109,280"
"Smyth County, Virginia",871,± 164,"11,921"
"Snohomish County, Washington","21,502","± 1,216","425,167"
"Snyder County, Pennsylvania","1,180",± 216,"19,430"
"Socorro County, New Mexico",235,± 126,"5,119"
"Solano County, California","14,084",± 918,"212,158"
"Somerset County, Maine","1,156",± 228,"22,575"
"Somerset County, Maryland",764,± 256,"9,661"
"Somerset County, New Jersey","11,698",± 877,"184,886"
"Somerset County, Pennsylvania","2,859",± 290,"32,749"
"Somervell County, Texas",305,± 141,"4,565"
"Sonoma County, California","13,638",± 934,"247,915"
"South Central Connecticut Planning Region, Connecticut","23,166","± 1,390","288,553"
"Southampton County, Virginia",510,± 146,"7,838"
"Southeast Fairbanks Census Area, Alaska",29,± 24,"2,756"
"Southeastern Connecticut Planning Region, Connecticut","7,772",± 741,"136,582"
"Spalding County, Georgia","1,742",± 424,"28,392"
"Spartanburg County, South Carolina","9,312",± 826,"154,712"
"Spencer County, Indiana",704,± 144,"9,762"
"Spencer County, Kentucky",826,± 173,"9,917"
"Spink County, South Dakota",164,± 68,"2,997"
"Spokane County, Washington","17,709","± 1,147","249,238"
"Spotsylvania County, Virginia","3,624",± 511,"70,327"
"St. Bernard Parish, Louisiana","1,204",± 176,"18,853"
"St. Charles County, Missouri","15,380",± 984,"217,856"
"St. Charles Parish, Louisiana","1,987",± 346,"24,399"
"St. Clair County, Alabama","2,722",± 457,"41,814"
"St. Clair County, Illinois","7,437",± 648,"120,199"
"St. Clair County, Michigan","5,144",± 523,"73,964"
"St. Clair County, Missouri",265,± 95,"3,776"
"St. Croix County, Wisconsin","3,007",± 427,"51,067"
"St. Francis County, Arkansas",361,± 119,"7,948"
"St. Francois County, Missouri","2,518",± 413,"26,816"
"St. Helena Parish, Louisiana",242,± 100,"3,886"
"St. James Parish, Louisiana",785,± 210,"9,015"
"St. John the Baptist Parish, Louisiana","1,382",± 404,"18,090"
"St. Johns County, Florida","9,964","± 1,269","129,898"
"St. Joseph County, Indiana","8,384",± 743,"131,170"
"St. Joseph County, Michigan","1,277",± 216,"27,936"
"St. Landry Parish, Louisiana","1,733",± 342,"30,717"
"St. Lawrence County, New York","2,766",± 339,"44,742"
"St. Louis city, Missouri","13,000",± 922,"154,689"
"St. Louis County, Minnesota","8,384",± 652,"96,728"
"St. Louis County, Missouri","38,693","± 1,370","499,992"
"St. Lucie County, Florida","9,982",± 936,"145,080"
