Geography,Households—Median income (dollars)—Estimate,MoE
"Pontotoc County, Oklahoma","59,457","± 3,645"
"Pope County, Arkansas","51,678","± 2,387"
"Pope County, Illinois","57,582","± 11,811"
"Pope County, Minnesota","71,212","± 2,051"
"Poquoson city, Virginia","114,503","± 8,375"
"Portage County, Ohio","69,796","± 2,200"
"Portage County, Wisconsin","71,301","± 2,422"
"Porter County, Indiana","82,915","± 2,191"
"Portsmouth city, Virginia","57,154","± 2,467"
"Posey County, Indiana","75,594","± 5,126"
"Pottawatomie County, Kansas","85,241","± 4,211"
"Pottawatomie County, Oklahoma","58,270","± 1,744"
"Pottawattamie County, Iowa","68,718","± 1,923"
"Potter County, Pennsylvania","56,491","± 2,495"
"Potter County, South Dakota","71,786","± 13,214"
"Potter County, Texas","47,974","± 1,897"
"Powder River County, Montana","60,313","± 7,901"
"Powell County, Kentucky","38,415","± 6,910"
"Powell County, Montana","60,994","± 6,579"
"Power County, Idaho","56,671","± 9,484"
"Poweshiek County, Iowa","61,192","± 3,392"
"Powhatan County, Virginia","108,089","± 4,924"
"Prairie County, Arkansas","47,045","± 6,739"
"Prairie County, Montana","44,107","± 9,319"
"Pratt County, Kansas","61,685","± 3,235"
"Preble County, Ohio","66,355","± 3,909"
"Prentiss County, Mississippi","51,578","± 6,321"
"Presidio County, Texas","29,012","± 6,957"
"Presque Isle County, Michigan","55,986","± 3,568"
"Preston County, West Virginia","60,136","± 3,189"
"Price County, Wisconsin","55,822","± 1,537"
"Prince Edward County, Virginia","57,304","± 3,789"
"Prince George County, Virginia","80,318","± 5,072"
"Prince George's County, Maryland","97,935","± 1,296"
"Prince of Wales-Hyder Census Area, Alaska","61,779","± 3,488"
"Prince William County, Virginia","123,193","± 2,696"
"Providence County, Rhode Island","72,579","± 1,884"
"Prowers County, Colorado","49,422","± 4,375"
"Pueblo County, Colorado","59,436","± 1,906"
"Pulaski County, Arkansas","58,326","± 1,739"
"Pulaski County, Georgia","42,545","± 10,364"
"Pulaski County, Illinois","41,038","± 4,450"
"Pulaski County, Indiana","56,823","± 2,098"
"Pulaski County, Kentucky","48,768","± 2,292"
"Pulaski County, Missouri","62,541","± 4,332"
"Pulaski County, Virginia","59,740","± 3,839"
"Pushmataha County, Oklahoma","42,274","± 3,104"
"Putnam County, Florida","44,852","± 2,826"
"Putnam County, Georgia","60,825","± 7,500"
"Putnam County, Illinois","75,726","± 7,538"
"Putnam County, Indiana","70,609","± 4,404"
"Putnam County, Missouri","50,950","± 6,992"
"Putnam County, New York","120,970","± 4,873"
"Putnam County, Ohio","79,453","± 3,164"
"Putnam County, Tennessee","54,371","± 2,200"
"Putnam County, West Virginia","75,725","± 6,839"
"Quay County, New Mexico","38,998","± 5,776"
"Quebradillas Municipio, Puerto Rico","20,209","± 3,059"
"Queen Anne's County, Maryland","108,332","± 4,986"
"Queens County, New York","82,431",± 873
"Quitman County, Georgia","38,889","± 9,557"
"Quitman County, Mississippi","31,192","± 3,891"
"Rabun County, Georgia","57,261","± 5,040"
"Racine County, Wisconsin","72,658","± 2,080"
"Radford city, Virginia","51,039","± 7,281"
"Rains County, Texas","60,291","± 6,501"
"Raleigh County, West Virginia","47,975","± 4,663"
"Ralls County, Missouri","62,615","± 4,994"
"Ramsey County, Minnesota","78,108","± 1,249"
"Ramsey County, North Dakota","61,490","± 6,958"
"Randall County, Texas","78,038","± 2,693"
"Randolph County, Alabama","49,879","± 8,209"
"Randolph County, Arkansas","45,993","± 4,649"
"Randolph County, Georgia","24,638","± 4,833"
"Randolph County, Illinois","63,860","± 3,316"
"Randolph County, Indiana","59,674","± 3,436"
"Randolph County, Missouri","51,480","± 5,742"
"Randolph County, North Carolina","56,423","± 1,881"
"Randolph County, West Virginia","51,186","± 4,366"
"Rankin County, Mississippi","76,460","± 3,062"
"Ransom County, North Dakota","71,462","± 4,103"
"Rapides Parish, Louisiana","55,407","± 2,017"
"Rappahannock County, Virginia","98,663","± 11,140"
"Ravalli County, Montana","67,424","± 3,161"
"Rawlins County, Kansas","61,827","± 11,846"
"Ray County, Missouri","69,779","± 4,528"
"Reagan County, Texas","70,319","± 9,014"
"Real County, Texas","46,842","± 15,437"
"Red Lake County, Minnesota","73,889","± 6,742"
"Red River County, Texas","44,583","± 4,339"
"Red River Parish, Louisiana","43,821","± 8,891"
"Red Willow County, Nebraska","58,344","± 4,815"
"Redwood County, Minnesota","65,617","± 3,497"
"Reeves County, Texas","57,487","± 12,679"
"Refugio County, Texas","54,304","± 2,650"
"Reno County, Kansas","57,390","± 2,192"
"Rensselaer County, New York","83,734","± 1,899"
"Renville County, Minnesota","66,313","± 2,339"
"Renville County, North Dakota","77,067","± 6,966"
"Republic County, Kansas","54,531","± 5,810"
"Reynolds County, Missouri","43,856","± 6,333"
"Rhea County, Tennessee","55,568","± 2,205"
"Rice County, Kansas","58,523","± 6,277"
"Rice County, Minnesota","78,214","± 3,088"
"Rich County, Utah","69,250","± 8,598"
"Richardson County, Nebraska","50,321","± 6,898"
"Richland County, Illinois","61,607","± 6,034"
"Richland County, Montana","67,515","± 6,993"
"Richland County, North Dakota","67,089","± 5,657"
"Richland County, Ohio","56,557","± 1,991"
"Richland County, South Carolina","59,850","± 1,532"
"Richland County, Wisconsin","61,985","± 3,967"
"Richland Parish, Louisiana","48,125","± 4,550"
"Richmond city, Virginia","59,606","± 2,362"
"Richmond County, Georgia","50,605","± 2,478"
"Richmond County, New York","96,185","± 2,504"
"Richmond County, North Carolina","42,354","± 4,774"
"Richmond County, Virginia","62,708","± 11,642"
"Riley County, Kansas","56,327","± 1,958"
"Rincón Municipio, Puerto Rico","26,771","± 2,859"
"Ringgold County, Iowa","67,898","± 7,360"
"Rio Arriba County, New Mexico","52,031","± 4,182"
"Rio Blanco County, Colorado","69,882","± 7,536"
"Rio Grande County, Colorado","57,591","± 5,289"
"Río Grande Municipio, Puerto Rico","25,963","± 1,735"
"Ripley County, Indiana","70,285","± 4,105"
"Ripley County, Missouri","42,541","± 6,081"
"Ritchie County, West Virginia","48,973","± 3,698"
"Riverside County, California","84,505","± 1,061"
"Roane County, Tennessee","66,460","± 4,354"
"Roane County, West Virginia","41,299","± 3,315"
"Roanoke city, Virginia","51,523","± 2,303"
"Roanoke County, Virginia","80,872","± 1,889"
"Roberts County, South Dakota","59,022","± 2,107"
"Roberts County, Texas","62,667","± 8,912"
"Robertson County, Kentucky","53,798","± 9,430"
"Robertson County, Tennessee","74,440","± 3,433"
"Robertson County, Texas","59,410","± 10,515"
"Robeson County, North Carolina","39,393","± 1,287"
"Rock County, Minnesota","75,060","± 6,625"
"Rock County, Nebraska","57,566","± 8,243"
"Rock County, Wisconsin","70,630","± 1,649"
"Rock Island County, Illinois","64,435","± 1,977"
"Rockbridge County, Virginia","61,903","± 3,537"
"Rockcastle County, Kentucky","45,693","± 3,648"
"Rockdale County, Georgia","68,999","± 2,772"
"Rockingham County, New Hampshire","110,225","± 2,848"
"Rockingham County, North Carolina","50,737","± 2,244"
"Rockingham County, Virginia","73,232","± 2,332"
"Rockland County, New York","106,173","± 3,057"
"Rockwall County, Texas","121,303","± 4,580"
"Roger Mills County, Oklahoma","57,574","± 7,007"
"Rogers County, Oklahoma","75,312","± 1,788"
"Rolette County, North Dakota","53,806","± 7,066"
"Rooks County, Kansas","60,821","± 5,005"
"Roosevelt County, Montana","51,038","± 4,160"
"Roosevelt County, New Mexico","52,644","± 6,336"
"Roscommon County, Michigan","49,898","± 3,122"
"Roseau County, Minnesota","70,122","± 2,699"
"Rosebud County, Montana","57,656","± 8,074"
"Ross County, Ohio","58,048","± 2,381"
"Routt County, Colorado","95,144","± 5,677"
"Rowan County, Kentucky","50,038","± 3,852"
"Rowan County, North Carolina","59,717","± 2,292"
"Runnels County, Texas","55,424","± 3,308"
"Rush County, Indiana","62,386","± 3,768"
"Rush County, Kansas","53,523","± 10,087"
"Rusk County, Texas","61,661","± 6,072"
"Rusk County, Wisconsin","57,473","± 2,141"
"Russell County, Alabama","47,420","± 2,828"
"Russell County, Kansas","49,929","± 5,821"
"Russell County, Kentucky","48,220","± 5,563"
"Russell County, Virginia","44,088","± 3,911"
"Rutherford County, North Carolina","50,512","± 3,085"
"Rutherford County, Tennessee","78,291","± 1,782"
"Rutland County, Vermont","62,641","± 2,613"
"Sabana Grande Municipio, Puerto Rico","20,464","± 1,742"
"Sabine County, Texas","47,061","± 7,955"
"Sabine Parish, Louisiana","40,777","± 4,130"
"Sac County, Iowa","68,778","± 4,041"
"Sacramento County, California","84,010",± 816
"Sagadahoc County, Maine","77,591","± 4,130"
"Saginaw County, Michigan","56,579","± 1,405"
"Saguache County, Colorado","51,946","± 5,979"
"Salem city, Virginia","68,402","± 4,772"
"Salem County, New Jersey","73,378","± 3,047"
"Salinas Municipio, Puerto Rico","20,123","± 1,942"
"Saline County, Arkansas","73,236","± 3,192"
"Saline County, Illinois","51,710","± 2,597"
"Saline County, Kansas","59,887","± 3,281"
"Saline County, Missouri","55,396","± 4,866"
"Saline County, Nebraska","71,104","± 6,421"
"Salt Lake County, Utah","90,011","± 1,055"
"Saluda County, South Carolina","51,041","± 5,430"
"Sampson County, North Carolina","49,963","± 3,603"
"San Augustine County, Texas","45,888","± 4,446"
"San Benito County, California","104,451","± 5,461"
"San Bernardino County, California","77,423",± 806
"San Diego County, California","96,974",± 993
"San Francisco County, California","136,689","± 1,954"
"San Germán Municipio, Puerto Rico","17,862","± 1,352"
"San Jacinto County, Texas","54,839","± 7,110"
"San Joaquin County, California","82,837","± 1,448"
"San Juan County, Colorado","67,344","± 14,111"
"San Juan County, New Mexico","50,734","± 2,213"
"San Juan County, Utah","52,108","± 5,388"
"San Juan County, Washington","76,745","± 3,390"
"San Juan Municipio, Puerto Rico","26,111",± 806
"San Lorenzo Municipio, Puerto Rico","19,629","± 1,591"
"San Luis Obispo County, California","90,158","± 2,311"
"San Mateo County, California","149,907","± 2,621"
"San Miguel County, Colorado","72,829","± 6,124"
"San Miguel County, New Mexico","43,490","± 5,801"
"San Patricio County, Texas","63,842","± 4,393"
"San Saba County, Texas","54,087","± 8,857"
"San Sebastián Municipio, Puerto Rico","17,557","± 1,437"
"Sanborn County, South Dakota","65,806","± 5,772"
"Sanders County, Montana","47,110","± 4,919"
"Sandoval County, New Mexico","76,424","± 2,918"
"Sandusky County, Ohio","60,814","± 3,063"
"Sangamon County, Illinois","71,653","± 1,845"
"Sanilac County, Michigan","55,740","± 2,197"
"Sanpete County, Utah","64,356","± 3,406"
"Santa Barbara County, California","92,332","± 1,889"
"Santa Clara County, California","153,792","± 1,545"
"Santa Cruz County, Arizona","51,885","± 3,210"
"Santa Cruz County, California","104,409","± 3,173"
"Santa Fe County, New Mexico","70,522","± 2,573"
"Santa Isabel Municipio, Puerto Rico","22,680","± 1,860"
"Santa Rosa County, Florida","84,715","± 2,928"
"Sarasota County, Florida","77,213","± 1,558"
"Saratoga County, New York","97,038","± 2,189"
"Sargent County, North Dakota","75,648","± 7,928"
"Sarpy County, Nebraska","95,911","± 1,955"
"Sauk County, Wisconsin","72,930","± 2,091"
"Saunders County, Nebraska","84,474","± 4,859"
"Sawyer County, Wisconsin","57,519","± 2,977"
"Schenectady County, New York","75,056","± 2,274"
"Schleicher County, Texas","53,774","± 8,147"
"Schley County, Georgia","53,274","± 8,452"
"Schoharie County, New York","71,479","± 2,832"
"Schoolcraft County, Michigan","55,071","± 6,328"
"Schuyler County, Illinois","63,737","± 6,745"
"Schuyler County, Missouri","53,728","± 2,324"
"Schuyler County, New York","61,316","± 5,818"
"Schuylkill County, Pennsylvania","63,574","± 1,527"
"Scioto County, Ohio","46,360","± 1,684"
"Scotland County, Missouri","58,656","± 7,539"
"Scotland County, North Carolina","41,948","± 2,917"
"Scott County, Arkansas","45,340","± 5,707"
"Scott County, Illinois","70,500","± 6,880"
"Scott County, Indiana","49,343","± 2,719"
"Scott County, Iowa","72,792","± 1,910"
"Scott County, Kansas","53,365","± 11,107"
"Scott County, Kentucky","80,782","± 2,774"
"Scott County, Minnesota","118,268","± 3,544"
"Scott County, Mississippi","44,968","± 6,989"
"Scott County, Missouri","54,621","± 3,245"
"Scott County, Tennessee","39,744","± 4,724"
"Scott County, Virginia","44,535","± 2,841"
"Scotts Bluff County, Nebraska","60,137","± 4,055"
"Screven County, Georgia","49,941","± 6,792"
"Scurry County, Texas","58,932","± 12,603"
"Searcy County, Arkansas","42,063","± 5,502"
"Sebastian County, Arkansas","54,047","± 2,341"
"Sedgwick County, Colorado","45,855","± 8,133"
"Sedgwick County, Kansas","65,372","± 1,125"
"Seminole County, Florida","79,490","± 1,995"
"Seminole County, Georgia","46,063","± 6,089"
"Seminole County, Oklahoma","43,239","± 1,879"
"Seneca County, New York","64,050","± 3,355"
"Seneca County, Ohio","62,476","± 2,411"
"Sequatchie County, Tennessee","53,038","± 6,510"
"Sequoyah County, Oklahoma","47,494","± 2,645"
"Sevier County, Arkansas","53,567","± 2,723"
"Sevier County, Tennessee","60,103","± 2,743"
"Sevier County, Utah","66,972","± 4,729"
"Seward County, Kansas","57,131","± 4,351"
"Seward County, Nebraska","79,677","± 3,632"
"Shackelford County, Texas","60,924","± 8,556"
"Shannon County, Missouri","46,767","± 9,920"
"Sharkey County, Mississippi","41,000","± 10,196"
"Sharp County, Arkansas","43,332","± 2,537"
"Shasta County, California","68,347","± 2,480"
"Shawano County, Wisconsin","65,493","± 2,954"
"Shawnee County, Kansas","63,463","± 2,635"
"Sheboygan County, Wisconsin","68,969","± 2,040"
"Shelby County, Alabama","90,618","± 3,328"
"Shelby County, Illinois","65,585","± 3,146"
"Shelby County, Indiana","66,449","± 3,018"
"Shelby County, Iowa","70,295","± 10,749"
"Shelby County, Kentucky","81,012","± 4,075"
"Shelby County, Missouri","50,387","± 3,722"
"Shelby County, Ohio","73,502","± 3,349"
"Shelby County, Tennessee","59,621","± 1,066"
"Shelby County, Texas","49,231","± 4,903"
"Shenandoah County, Virginia","62,149","± 4,154"
"Sherburne County, Minnesota","99,431","± 4,078"
"Sheridan County, Kansas","66,719","± 13,594"
"Sheridan County, Montana","67,457","± 6,061"
"Sheridan County, Nebraska","53,609","± 3,317"
"Sheridan County, North Dakota","68,684","± 12,852"
"Sheridan County, Wyoming","68,898","± 6,798"
"Sherman County, Kansas","61,404","± 9,323"
"Sherman County, Nebraska","60,194","± 4,195"
"Sherman County, Oregon","57,171","± 4,752"
"Sherman County, Texas","66,169","± 18,481"
"Shiawassee County, Michigan","62,498","± 2,822"
"Shoshone County, Idaho","44,807","± 2,646"
"Sibley County, Minnesota","74,781","± 3,529"
"Sierra County, California","61,108","± 9,237"
"Sierra County, New Mexico","35,256","± 8,832"
"Silver Bow County, Montana","56,297","± 2,474"
"Simpson County, Kentucky","55,907","± 5,966"
"Simpson County, Mississippi","50,867","± 3,344"
"Sioux County, Iowa","81,914","± 3,176"
"Sioux County, Nebraska","50,833","± 3,100"
"Sioux County, North Dakota","41,201","± 4,170"
"Siskiyou County, California","53,898","± 2,640"
"Sitka City and Borough, Alaska","95,261","± 5,498"
"Skagit County, Washington","82,029","± 2,066"
"Skagway Municipality, Alaska","79,583","± 10,798"
"Skamania County, Washington","84,500","± 4,947"
"Slope County, North Dakota","70,625","± 7,390"
"Smith County, Kansas","50,943","± 3,118"
"Smith County, Mississippi","51,983","± 10,876"
"Smith County, Tennessee","57,677","± 4,224"
"Smith County, Texas","69,053","± 2,201"
"Smyth County, Virginia","45,061","± 3,249"
"Snohomish County, Washington","104,083","± 1,334"
"Snyder County, Pennsylvania","65,914","± 3,666"
"Socorro County, New Mexico","40,699","± 8,298"
"Solano County, California","97,037","± 1,724"
"Somerset County, Maine","53,527","± 2,736"
"Somerset County, Maryland","52,149","± 6,616"
"Somerset County, New Jersey","131,948","± 3,280"
"Somerset County, Pennsylvania","57,357","± 1,592"
"Somervell County, Texas","87,899","± 29,647"
"Sonoma County, California","99,266","± 1,988"
"South Central Connecticut Planning Region, Connecticut","83,617","± 1,663"
"Southampton County, Virginia","67,813","± 7,247"
"Southeast Fairbanks Census Area, Alaska","75,378","± 7,772"
"Southeastern Connecticut Planning Region, Connecticut","80,330","± 1,765"
"Spalding County, Georgia","57,367","± 3,966"
"Spartanburg County, South Carolina","61,955","± 1,496"
"Spencer County, Indiana","66,168","± 4,490"
"Spencer County, Kentucky","101,118","± 9,083"
"Spink County, South Dakota","65,795","± 8,811"
"Spokane County, Washington","70,394","± 1,091"
"Spotsylvania County, Virginia","105,068","± 4,750"
"St. Bernard Parish, Louisiana","55,857","± 3,072"
"St. Charles County, Missouri","99,596","± 1,457"
"St. Charles Parish, Louisiana","79,191","± 6,237"
"St. Clair County, Alabama","73,218","± 4,451"
"St. Clair County, Illinois","68,915","± 1,832"
"St. Clair County, Michigan","66,887","± 1,727"
"St. Clair County, Missouri","43,483","± 2,443"
"St. Croix County, Wisconsin","97,950","± 4,499"
"St. Francis County, Arkansas","39,822","± 3,288"
"St. Francois County, Missouri","53,083","± 3,501"
"St. Helena Parish, Louisiana","46,402","± 7,065"
"St. James Parish, Louisiana","62,946","± 9,793"
"St. John the Baptist Parish, Louisiana","65,114","± 5,713"
"St. Johns County, Florida","100,020","± 3,732"
"St. Joseph County, Indiana","61,877","± 1,554"
"St. Joseph County, Michigan","62,281","± 1,641"
"St. Landry Parish, Louisiana","44,478","± 2,152"
"St. Lawrence County, New York","58,339","± 2,025"
"St. Louis city, Missouri","52,941","± 1,545"
"St. Louis County, Minnesota","66,491","± 1,525"
"St. Louis County, Missouri","78,067","± 1,284"
"St. Lucie County, Florida","66,154","± 1,598"
"St. Martin Parish, Louisiana","50,806","± 2,405"
"St. Mary Parish, Louisiana","47,322","± 2,292"
"St. Mary's County, Maryland","113,668","± 4,210"
"St. Tammany Parish, Louisiana","76,914","± 2,541"
"Stafford County, Kansas","60,000","± 6,554"
"Stafford County, Virginia","128,036","± 4,073"
"Stanislaus County, California","74,872","± 1,371"
"Stanley County, South Dakota","82,298","± 10,120"
"Stanly County, North Carolina","60,634","± 2,906"
"Stanton County, Kansas","66,000","± 3,833"
"Stanton County, Nebraska","76,035","± 4,880"
"Stark County, Illinois","58,125","± 5,401"
"Stark County, North Dakota","78,734","± 3,419"
"Stark County, Ohio","63,130","± 1,165"
"Starke County, Indiana","59,916","± 3,847"
"Starr County, Texas","35,979","± 3,029"
"Staunton city, Virginia","59,731","± 5,343"
"Ste. Genevieve County, Missouri","61,215","± 4,737"
"Stearns County, Minnesota","73,105","± 1,731"
"Steele County, Minnesota","79,722","± 3,847"
"Steele County, North Dakota","85,750","± 10,864"
"Stephens County, Georgia","52,901","± 3,887"
"Stephens County, Oklahoma","57,065","± 2,454"
"Stephens County, Texas","44,712","± 8,426"
"Stephenson County, Illinois","57,527","± 2,369"
"Sterling County, Texas","63,558","± 14,142"
"Steuben County, Indiana","68,837","± 3,230"
"Steuben County, New York","62,506","± 1,793"
"Stevens County, Kansas","67,950","± 11,828"
"Stevens County, Minnesota","69,737","± 5,579"
"Stevens County, Washington","62,381","± 3,628"
"Stewart County, Georgia","43,094","± 4,315"
"Stewart County, Tennessee","57,257","± 5,932"
"Stillwater County, Montana","78,380","± 4,212"
"Stoddard County, Missouri","51,703","± 4,047"
"Stokes County, North Carolina","57,539","± 2,462"
"Stone County, Arkansas","37,664","± 8,139"
"Stone County, Mississippi","55,894","± 6,418"
"Stone County, Missouri","58,392","± 2,181"
"Stonewall County, Texas","66,591","± 21,627"
"Storey County, Nevada","86,932","± 20,850"
"Story County, Iowa","66,197","± 2,497"
"Strafford County, New Hampshire","83,212","± 3,473"
"Stutsman County, North Dakota","59,167","± 6,970"
"Sublette County, Wyoming","85,960","± 14,649"
"Suffolk city, Virginia","87,758","± 3,707"
"Suffolk County, Massachusetts","87,669","± 1,916"
"Suffolk County, New York","122,498","± 1,447"
"Sullivan County, Indiana","54,556","± 3,830"
"Sullivan County, Missouri","53,438","± 6,501"
"Sullivan County, New Hampshire","70,788","± 5,056"
"Sullivan County, New York","67,841","± 2,952"
"Sullivan County, Pennsylvania","62,910","± 5,821"
"Sullivan County, Tennessee","54,357","± 2,124"
"Sully County, South Dakota","66,875","± 3,884"
"Summers County, West Virginia","42,991","± 6,897"
"Summit County, Colorado","100,611","± 8,401"
"Summit County, Ohio","68,360",± 856
"Summit County, Utah","126,392","± 8,000"
"Sumner County, Kansas","59,397","± 4,861"
"Sumner County, Tennessee","81,883","± 2,335"
"Sumter County, Alabama","31,726","± 6,535"
"Sumter County, Florida","70,105","± 3,601"
"Sumter County, Georgia","38,899","± 2,499"
"Sumter County, South Carolina","53,970","± 2,035"
"Sunflower County, Mississippi","37,403","± 3,958"
"Surry County, North Carolina","52,743","± 2,438"
"Surry County, Virginia","68,655","± 7,518"
"Susquehanna County, Pennsylvania","63,968","± 2,010"
"Sussex County, Delaware","75,406","± 1,681"
"Sussex County, New Jersey","111,094","± 2,734"
"Sussex County, Virginia","59,195","± 6,893"
"Sutter County, California","72,654","± 3,425"
"Sutton County, Texas","56,778","± 12,912"
"Suwannee County, Florida","49,729","± 5,891"
"Swain County, North Carolina","52,818","± 5,238"
"Sweet Grass County, Montana","64,872","± 4,302"
"Sweetwater County, Wyoming","79,375","± 4,715"
"Swift County, Minnesota","58,362","± 4,767"
"Swisher County, Texas","40,290","± 5,515"
"Switzerland County, Indiana","66,525","± 7,924"
"Talbot County, Georgia","48,065","± 8,340"
"Talbot County, Maryland","81,667","± 4,291"
"Taliaferro County, Georgia","45,881","± 5,287"
"Talladega County, Alabama","52,457","± 2,838"
"Tallahatchie County, Mississippi","35,428","± 4,291"
"Tallapoosa County, Alabama","53,282","± 3,175"
"Tama County, Iowa","65,483","± 3,299"
"Taney County, Missouri","54,467","± 3,157"
"Tangipahoa Parish, Louisiana","55,274","± 2,869"
"Taos County, New Mexico","55,145","± 5,503"
"Tarrant County, Texas","78,872",± 795
"Tate County, Mississippi","61,286","± 5,072"
"Tattnall County, Georgia","51,868","± 4,945"
"Taylor County, Florida","46,239","± 4,776"
"Taylor County, Georgia","40,727","± 7,167"
"Taylor County, Iowa","65,926","± 5,781"
"Taylor County, Kentucky","63,211","± 4,725"
"Taylor County, Texas","61,806","± 2,411"
"Taylor County, West Virginia","52,946","± 6,438"
"Taylor County, Wisconsin","61,360","± 2,157"
"Tazewell County, Illinois","74,606","± 1,890"
"Tazewell County, Virginia","46,508","± 3,300"
"Tehama County, California","59,029","± 4,103"
"Telfair County, Georgia","41,801","± 11,551"
"Teller County, Colorado","69,655","± 8,094"
"Tensas Parish, Louisiana","35,653","± 4,539"
"Terrebonne Parish, Louisiana","63,088","± 3,476"
"Terrell County, Georgia","43,507","± 10,850"
"Terrell County, Texas","52,813","± 11,107"
"Terry County, Texas","42,694","± 4,667"
"Teton County, Idaho","88,906","± 10,259"
"Teton County, Montana","65,224","± 5,858"
"Teton County, Wyoming","108,279","± 7,614"
"Texas County, Missouri","42,870","± 4,897"
"Texas County, Oklahoma","55,682","± 2,561"
"Thayer County, Nebraska","60,305","± 3,480"
"Thomas County, Georgia","55,958","± 3,925"
"Thomas County, Kansas","72,417","± 9,806"
"Thomas County, Nebraska","70,069","± 13,163"
"Throckmorton County, Texas","55,221","± 11,648"
"Thurston County, Nebraska","63,459","± 4,069"
"Thurston County, Washington","88,895","± 2,161"
"Tift County, Georgia","52,561","± 5,143"
"Tillamook County, Oregon","63,098","± 3,910"
"Tillman County, Oklahoma","46,306","± 4,052"
"Tioga County, New York","70,427","± 2,813"
"Tioga County, Pennsylvania","59,707","± 1,927"
"Tippah County, Mississippi","47,968","± 4,519"
"Tippecanoe County, Indiana","55,728","± 1,577"
"Tipton County, Indiana","71,947","± 7,887"
"Tipton County, Tennessee","70,674","± 3,129"
"Tishomingo County, Mississippi","45,545","± 6,623"
"Titus County, Texas","57,634","± 4,679"
"Toa Alta Municipio, Puerto Rico","32,456","± 2,077"
"Toa Baja Municipio, Puerto Rico","28,719","± 1,563"
"Todd County, Kentucky","57,891","± 6,211"
"Todd County, Minnesota","63,216","± 3,456"
"Todd County, South Dakota","33,792","± 8,080"
"Tom Green County, Texas","67,215","± 3,146"
"Tompkins County, New York","69,995","± 2,807"
"Tooele County, Utah","95,545","± 4,368"
"Toole County, Montana","54,040","± 7,973"
"Toombs County, Georgia","47,310","± 5,272"
"Torrance County, New Mexico","50,727","± 7,547"
"Towner County, North Dakota","61,250","± 12,137"
"Towns County, Georgia","55,574","± 3,494"
"Traill County, North Dakota","81,157","± 8,209"
"Transylvania County, North Carolina","62,056","± 4,310"
"Traverse County, Minnesota","63,456","± 6,655"
"Travis County, Texas","92,731","± 1,102"
"Treasure County, Montana","70,096","± 12,422"
"Trego County, Kansas","77,500","± 18,550"
"Trempealeau County, Wisconsin","68,474","± 2,919"
"Treutlen County, Georgia","38,641","± 11,460"
"Trigg County, Kentucky","55,864","± 6,215"
"Trimble County, Kentucky","66,492","± 15,932"
"Trinity County, California","47,317","± 5,890"
"Trinity County, Texas","51,165","± 5,818"
"Tripp County, South Dakota","56,758","± 7,501"
"Troup County, Georgia","53,599","± 1,882"
"Trousdale County, Tennessee","62,018","± 12,026"
"Trujillo Alto Municipio, Puerto Rico","35,821","± 2,196"
"Trumbull County, Ohio","53,537","± 1,930"
"Tucker County, West Virginia","54,053","± 5,147"
"Tulare County, California","64,474","± 1,489"
"Tulsa County, Oklahoma","65,229","± 1,023"
"Tunica County, Mississippi","41,676","± 10,036"
"Tuolumne County, California","70,432","± 4,691"
"Turner County, Georgia","39,666","± 5,926"
"Turner County, South Dakota","72,312","± 3,101"
"Tuscaloosa County, Alabama","61,645","± 2,209"
"Tuscarawas County, Ohio","61,953","± 2,272"
"Tuscola County, Michigan","59,815","± 1,888"
"Twiggs County, Georgia","50,446","± 7,325"
"Twin Falls County, Idaho","61,183","± 3,468"
"Tyler County, Texas","50,898","± 5,263"
"Tyler County, West Virginia","59,167","± 7,629"
"Tyrrell County, North Carolina","55,341","± 11,686"
"Uinta County, Wyoming","78,164","± 6,724"
"Uintah County, Utah","67,983","± 5,086"
"Ulster County, New York","77,197","± 3,493"
"Umatilla County, Oregon","70,322","± 2,599"
"Unicoi County, Tennessee","49,855","± 6,163"
"Union County, Arkansas","49,745","± 5,298"
"Union County, Florida","64,043","± 8,693"
"Union County, Georgia","59,783","± 6,936"
"Union County, Illinois","54,090","± 5,368"
"Union County, Indiana","68,514","± 8,202"
"Union County, Iowa","56,495","± 3,495"
"Union County, Kentucky","58,260","± 3,529"
"Union County, Mississippi","55,970","± 5,249"
"Union County, New Jersey","95,000","± 2,210"
"Union County, New Mexico","41,714","± 7,290"
"Union County, North Carolina","95,533","± 2,425"
"Union County, Ohio","104,496","± 3,057"
"Union County, Oregon","61,946","± 3,800"
"Union County, Pennsylvania","64,914","± 4,753"
"Union County, South Carolina","42,305","± 3,766"
"Union County, South Dakota","82,036","± 6,056"
"Union County, Tennessee","57,094","± 5,698"
"Union Parish, Louisiana","47,068","± 6,133"
"Upshur County, Texas","60,456","± 4,680"
"Upshur County, West Virginia","49,663","± 4,954"
"Upson County, Georgia","48,740","± 5,263"
"Upton County, Texas","55,284","± 12,009"
"Utah County, Utah","91,263",± 992
"Utuado Municipio, Puerto Rico","17,164","± 1,711"
"Uvalde County, Texas","55,000","± 8,404"
"Val Verde County, Texas","57,250","± 4,587"
"Valencia County, New Mexico","56,246","± 2,765"
"Valley County, Idaho","72,878","± 11,145"
"Valley County, Montana","59,725","± 6,340"
"Valley County, Nebraska","62,321","± 8,616"
"Van Buren County, Arkansas","45,768","± 3,226"
"Van Buren County, Iowa","58,417","± 2,717"
"Van Buren County, Michigan","65,531","± 3,396"
"Van Buren County, Tennessee","44,730","± 9,375"
"Van Wert County, Ohio","64,841","± 3,528"
