Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Petersburg Borough, Alaska",4.30%,± 1.8%
"Petersburg city, Virginia",8.30%,± 1.2%
"Petroleum County, Montana",0.30%,± 0.8%
"Pettis County, Missouri",7.50%,± 1.1%
"Phelps County, Missouri",5.60%,± 1%
"Phelps County, Nebraska",6%,± 1.9%
"Philadelphia County, Pennsylvania",8.10%,± 0.3%
"Phillips County, Arkansas",12.20%,± 2.3%
"Phillips County, Colorado",6.50%,± 3.8%
"Phillips County, Kansas",5.80%,± 1.8%
"Phillips County, Montana",5.30%,± 2.9%
"Piatt County, Illinois",4.80%,± 1.3%
"Pickaway County, Ohio",9.80%,± 1.4%
"Pickens County, Alabama",8.60%,± 1.5%
"Pickens County, Georgia",7.40%,± 1.6%
"Pickens County, South Carolina",9.40%,± 1.1%
"Pickett County, Tennessee",12.20%,± 4.5%
"Pierce County, Georgia",7.40%,± 1.8%
"Pierce County, Nebraska",2.80%,± 1.1%
"Pierce County, North Dakota",4.60%,± 1.9%
"Pierce County, Washington",5.10%,± 0.3%
"Pierce County, Wisconsin",3.60%,± 0.6%
"Pike County, Alabama",9%,± 1.5%
"Pike County, Arkansas",4.50%,± 1.2%
"Pike County, Georgia",9.50%,± 1.8%
"Pike County, Illinois",6.80%,± 1.3%
"Pike County, Indiana",6.40%,± 1.7%
"Pike County, Kentucky",11.10%,± 1.2%
"Pike County, Mississippi",12.70%,± 1.9%
"Pike County, Missouri",11.10%,± 1.6%
"Pike County, Ohio",12.10%,± 2.2%
"Pike County, Pennsylvania",5.30%,± 0.8%
"Pima County, Arizona",6.30%,± 0.2%
"Pinal County, Arizona",7.10%,± 0.4%
"Pine County, Minnesota",6.90%,± 0.7%
"Pinellas County, Florida",4.90%,± 0.2%
"Pipestone County, Minnesota",4.60%,± 1.3%
"Piscataquis County, Maine",4.30%,± 0.9%
"Pitkin County, Colorado",1.50%,± 1.2%
"Pitt County, North Carolina",6.20%,± 0.8%
"Pittsburg County, Oklahoma",9.50%,± 0.9%
"Pittsylvania County, Virginia",10.30%,± 1%
"Piute County, Utah",6.50%,± 5.5%
"Placer County, California",3.10%,± 0.3%
"Plaquemines Parish, Louisiana",6.30%,± 1.7%
"Platte County, Missouri",2.60%,± 0.4%
"Platte County, Nebraska",5.20%,± 1.1%
"Platte County, Wyoming",4.30%,± 1.5%
"Pleasants County, West Virginia",9.10%,± 2.6%
"Plumas County, California",3.70%,± 1.2%
"Plymouth County, Iowa",2.90%,± 0.7%
"Plymouth County, Massachusetts",3.70%,± 0.3%
"Pocahontas County, Iowa",7.10%,± 1.9%
"Pocahontas County, West Virginia",13.50%,± 2.8%
"Poinsett County, Arkansas",10%,± 1.5%
"Pointe Coupee Parish, Louisiana",11.30%,± 1.9%
"Polk County, Arkansas",8.70%,± 1.4%
"Polk County, Florida",7.70%,± 0.4%
"Polk County, Georgia",10.60%,± 1.9%
"Polk County, Iowa",3.80%,± 0.3%
"Polk County, Minnesota",4%,± 0.9%
"Polk County, Missouri",7.90%,± 1.3%
"Polk County, Nebraska",6%,± 1.5%
"Polk County, North Carolina",5.10%,± 1.2%
"Polk County, Oregon",5.30%,± 0.7%
"Polk County, Tennessee",8.20%,± 1.7%
"Polk County, Texas",11.80%,± 1.4%
"Polk County, Wisconsin",5.30%,± 0.7%
"Ponce Municipio, Puerto Rico",7.90%,± 0.6%
"Pondera County, Montana",5.20%,± 1.2%
"Pontotoc County, Mississippi",12.10%,± 2.3%
"Pontotoc County, Oklahoma",8.30%,± 0.9%
"Pope County, Arkansas",9.20%,± 1.3%
"Pope County, Illinois",6.50%,± 2.3%
"Pope County, Minnesota",2.70%,± 0.7%
"Poquoson city, Virginia",2.40%,± 1.1%
"Portage County, Ohio",5.30%,± 0.6%
"Portage County, Wisconsin",3.60%,± 0.6%
"Porter County, Indiana",4.10%,± 0.5%
"Portsmouth city, Virginia",8%,± 0.8%
"Posey County, Indiana",4.20%,± 0.9%
"Pottawatomie County, Kansas",3.40%,± 1.1%
"Pottawatomie County, Oklahoma",9.10%,± 0.9%
"Pottawattamie County, Iowa",6.50%,± 0.7%
"Potter County, Pennsylvania",7.10%,± 0.9%
"Potter County, South Dakota",1.40%,± 0.9%
"Potter County, Texas",11.70%,± 0.9%
"Powder River County, Montana",9.80%,± 3.3%
"Powell County, Kentucky",10.20%,± 2.5%
"Powell County, Montana",5.30%,± 1.6%
"Power County, Idaho",7.40%,± 2.7%
"Poweshiek County, Iowa",2.80%,± 0.9%
"Powhatan County, Virginia",6.50%,± 1.3%
"Prairie County, Arkansas",7.90%,± 2.4%
"Prairie County, Montana",9.60%,± 5.4%
"Pratt County, Kansas",5.60%,± 1.6%
"Preble County, Ohio",6.40%,± 0.9%
"Prentiss County, Mississippi",11.80%,± 2%
"Presidio County, Texas",6.70%,± 5.5%
"Presque Isle County, Michigan",5.50%,± 0.9%
"Preston County, West Virginia",8.70%,± 1%
"Price County, Wisconsin",5.70%,± 0.8%
"Prince Edward County, Virginia",6.90%,± 1.7%
"Prince George County, Virginia",7.50%,± 1.4%
"Prince George's County, Maryland",5.80%,± 0.3%
"Prince of Wales-Hyder Census Area, Alaska",6.20%,± 1.1%
"Prince William County, Virginia",4.40%,± 0.3%
"Providence County, Rhode Island",7%,± 0.4%
"Prowers County, Colorado",6.30%,± 1.6%
"Pueblo County, Colorado",6.50%,± 0.6%
"Pulaski County, Arkansas",5.10%,± 0.4%
"Pulaski County, Georgia",6.20%,± 2%
"Pulaski County, Illinois",8.90%,± 3.1%
"Pulaski County, Indiana",8.90%,± 2.4%
"Pulaski County, Kentucky",8.90%,± 1.3%
"Pulaski County, Missouri",3.70%,± 0.9%
"Pulaski County, Virginia",6.30%,± 1%
"Pushmataha County, Oklahoma",11.10%,± 1.6%
"Putnam County, Florida",12.70%,± 1.2%
"Putnam County, Georgia",7.50%,± 1.9%
"Putnam County, Illinois",5.40%,± 1.4%
"Putnam County, Indiana",6.20%,± 1.2%
"Putnam County, Missouri",3.20%,± 1.4%
"Putnam County, New York",3.70%,± 0.8%
"Putnam County, Ohio",3.40%,± 0.8%
"Putnam County, Tennessee",6.20%,± 1.1%
"Putnam County, West Virginia",4.20%,± 0.9%
"Quay County, New Mexico",11.30%,± 2.9%
"Quebradillas Municipio, Puerto Rico",8.90%,± 2.1%
"Queen Anne's County, Maryland",5.10%,± 1%
"Queens County, New York",7%,± 0.2%
"Quitman County, Georgia",14.60%,± 6.1%
"Quitman County, Mississippi",16.60%,± 3%
"Rabun County, Georgia",7.10%,± 1.5%
"Racine County, Wisconsin",5.80%,± 0.5%
"Radford city, Virginia",3.70%,± 1.3%
"Rains County, Texas",6.90%,± 2%
"Raleigh County, West Virginia",10.70%,± 1.4%
"Ralls County, Missouri",5.20%,± 1.5%
"Ramsey County, Minnesota",4%,± 0.3%
"Ramsey County, North Dakota",5.10%,± 2%
"Randall County, Texas",4%,± 0.5%
"Randolph County, Alabama",11.90%,± 2.2%
"Randolph County, Arkansas",7.30%,± 1.6%
"Randolph County, Georgia",11.70%,± 3.7%
"Randolph County, Illinois",10.20%,± 1.3%
"Randolph County, Indiana",7.50%,± 1.3%
"Randolph County, Missouri",7.60%,± 1.3%
"Randolph County, North Carolina",10.20%,± 1%
"Randolph County, West Virginia",7.80%,± 1.3%
"Rankin County, Mississippi",6.60%,± 0.7%
"Ransom County, North Dakota",5.30%,± 1.8%
"Rapides Parish, Louisiana",8.20%,± 0.8%
"Rappahannock County, Virginia",5.80%,± 2.4%
"Ravalli County, Montana",5.20%,± 0.9%
"Rawlins County, Kansas",3.20%,± 1.6%
"Ray County, Missouri",7.50%,± 1.7%
"Reagan County, Texas",10.40%,± 4%
"Real County, Texas",3.80%,± 3.6%
"Red Lake County, Minnesota",3.10%,± 1%
"Red River County, Texas",9.50%,± 2.4%
"Red River Parish, Louisiana",16.50%,± 4.2%
"Red Willow County, Nebraska",5.10%,± 2.2%
"Redwood County, Minnesota",4.40%,± 0.8%
"Reeves County, Texas",15.50%,± 4%
"Refugio County, Texas",10.40%,± 2.9%
"Reno County, Kansas",6.20%,± 1%
"Rensselaer County, New York",4.90%,± 0.5%
"Renville County, Minnesota",6%,± 1%
"Renville County, North Dakota",3.80%,± 1.6%
"Republic County, Kansas",3%,± 1.2%
"Reynolds County, Missouri",15.70%,± 3.2%
"Rhea County, Tennessee",11.90%,± 2.4%
"Rice County, Kansas",5.80%,± 2.3%
"Rice County, Minnesota",4.60%,± 0.7%
"Rich County, Utah",2.30%,± 1.6%
"Richardson County, Nebraska",7%,± 1.7%
"Richland County, Illinois",5.70%,± 1.5%
"Richland County, Montana",3.50%,± 1.3%
"Richland County, North Dakota",4.20%,± 1.1%
"Richland County, Ohio",7.40%,± 0.8%
"Richland County, South Carolina",5.70%,± 0.5%
"Richland County, Wisconsin",4.90%,± 1%
"Richland Parish, Louisiana",14.70%,± 2.1%
"Richmond city, Virginia",6.80%,± 0.6%
"Richmond County, Georgia",9.20%,± 0.7%
"Richmond County, New York",6.10%,± 0.4%
"Richmond County, North Carolina",11.60%,± 1.9%
"Richmond County, Virginia",16.30%,± 4%
"Riley County, Kansas",2.50%,± 0.6%
"Rincón Municipio, Puerto Rico",8.30%,± 1.9%
"Ringgold County, Iowa",4.10%,± 1.2%
"Rio Arriba County, New Mexico",9.20%,± 1.5%
"Rio Blanco County, Colorado",5.80%,± 2.6%
"Rio Grande County, Colorado",4.90%,± 1.7%
"Río Grande Municipio, Puerto Rico",7.80%,± 1%
"Ripley County, Indiana",6.50%,± 1.3%
"Ripley County, Missouri",12.50%,± 1.8%
"Ritchie County, West Virginia",9.30%,± 2.2%
"Riverside County, California",7.90%,± 0.2%
"Roane County, Tennessee",6.70%,± 1.3%
"Roane County, West Virginia",12.60%,± 2.7%
"Roanoke city, Virginia",7.50%,± 0.9%
"Roanoke County, Virginia",4.10%,± 0.5%
"Roberts County, South Dakota",6.60%,± 1.5%
"Roberts County, Texas",8.20%,± 7.7%
"Robertson County, Kentucky",9.20%,± 3.7%
"Robertson County, Tennessee",7.30%,± 1%
"Robertson County, Texas",9.50%,± 2.2%
"Robeson County, North Carolina",14.90%,± 0.7%
"Rock County, Minnesota",3.80%,± 1%
"Rock County, Nebraska",2.90%,± 1.8%
"Rock County, Wisconsin",5.30%,± 0.5%
"Rock Island County, Illinois",6.60%,± 0.5%
"Rockbridge County, Virginia",5.80%,± 1.3%
"Rockcastle County, Kentucky",9.80%,± 1.7%
"Rockdale County, Georgia",6.70%,± 1%
"Rockingham County, New Hampshire",3%,± 0.3%
"Rockingham County, North Carolina",11.30%,± 1.2%
"Rockingham County, Virginia",7.70%,± 0.9%
"Rockland County, New York",6.20%,± 0.5%
"Rockwall County, Texas",3.20%,± 0.6%
"Roger Mills County, Oklahoma",5.60%,± 2.2%
"Rogers County, Oklahoma",5.50%,± 0.5%
"Rolette County, North Dakota",10.90%,± 2.4%
"Rooks County, Kansas",6%,± 1.7%
"Roosevelt County, Montana",5%,± 1.5%
"Roosevelt County, New Mexico",7.60%,± 2.2%
"Roscommon County, Michigan",7%,± 1.1%
"Roseau County, Minnesota",5.20%,± 1%
"Rosebud County, Montana",7.10%,± 2.4%
"Ross County, Ohio",8.30%,± 0.9%
"Routt County, Colorado",2.10%,± 0.8%
"Rowan County, Kentucky",7.60%,± 1.7%
"Rowan County, North Carolina",8.30%,± 1%
"Runnels County, Texas",7.90%,± 2.1%
"Rush County, Indiana",7.40%,± 1.7%
"Rush County, Kansas",7.10%,± 2.5%
"Rusk County, Texas",10.90%,± 1.2%
"Rusk County, Wisconsin",6.60%,± 0.9%
"Russell County, Alabama",9.30%,± 1.3%
"Russell County, Kansas",4.70%,± 2%
"Russell County, Kentucky",9.70%,± 2%
"Russell County, Virginia",8.40%,± 1.6%
"Rutherford County, North Carolina",9.60%,± 1.3%
"Rutherford County, Tennessee",4.50%,± 0.4%
"Rutland County, Vermont",4.60%,± 0.6%
"Sabana Grande Municipio, Puerto Rico",6.10%,± 1.8%
"Sabine County, Texas",8.90%,± 3.1%
"Sabine Parish, Louisiana",10%,± 1.2%
"Sac County, Iowa",3.70%,± 1%
"Sacramento County, California",5.50%,± 0.2%
"Sagadahoc County, Maine",3.90%,± 1.2%
"Saginaw County, Michigan",7.10%,± 0.6%
"Saguache County, Colorado",6%,± 2%
"Salem city, Virginia",4%,± 1.3%
"Salem County, New Jersey",6.60%,± 0.8%
"Salinas Municipio, Puerto Rico",8.30%,± 1.6%
"Saline County, Arkansas",5.50%,± 0.6%
"Saline County, Illinois",7.10%,± 1.6%
"Saline County, Kansas",4.90%,± 0.9%
"Saline County, Missouri",7.20%,± 1.4%
"Saline County, Nebraska",6.10%,± 2%
"Salt Lake County, Utah",4.90%,± 0.2%
"Saluda County, South Carolina",9.50%,± 1.7%
"Sampson County, North Carolina",10.40%,± 1.2%
"San Augustine County, Texas",12.80%,± 2.9%
"San Benito County, California",6.40%,± 1.1%
"San Bernardino County, California",10.10%,± 0.2%
"San Diego County, California",5.30%,± 0.1%
"San Francisco County, California",4.30%,± 0.2%
"San Germán Municipio, Puerto Rico",10.20%,± 1.6%
"San Jacinto County, Texas",8.60%,± 2.2%
"San Joaquin County, California",8.40%,± 0.4%
"San Juan County, Colorado",0%,± 6.6%
"San Juan County, New Mexico",10.70%,± 0.9%
"San Juan County, Utah",6.20%,± 1.4%
"San Juan County, Washington",2.90%,± 0.6%
"San Juan Municipio, Puerto Rico",5.60%,± 0.4%
"San Lorenzo Municipio, Puerto Rico",9%,± 1.4%
"San Luis Obispo County, California",4.60%,± 0.4%
"San Mateo County, California",3.90%,± 0.3%
"San Miguel County, Colorado",1.50%,± 1%
"San Miguel County, New Mexico",9.90%,± 1.9%
"San Patricio County, Texas",9.50%,± 1.2%
"San Saba County, Texas",8%,± 3.2%
"San Sebastián Municipio, Puerto Rico",10%,± 1.7%
"Sanborn County, South Dakota",6%,± 2.6%
"Sanders County, Montana",6.60%,± 1.6%
"Sandoval County, New Mexico",5.50%,± 0.5%
"Sandusky County, Ohio",5.10%,± 0.8%
"Sangamon County, Illinois",5.20%,± 0.5%
"Sanilac County, Michigan",6.10%,± 0.5%
"Sanpete County, Utah",6.40%,± 1.1%
"Santa Barbara County, California",6.60%,± 0.4%
"Santa Clara County, California",4.40%,± 0.1%
"Santa Cruz County, Arizona",12%,± 1.5%
"Santa Cruz County, California",4.10%,± 0.4%
"Santa Fe County, New Mexico",4.90%,± 0.5%
"Santa Isabel Municipio, Puerto Rico",5.80%,± 1.6%
"Santa Rosa County, Florida",5.60%,± 0.8%
"Sarasota County, Florida",4%,± 0.3%
"Saratoga County, New York",4.10%,± 0.4%
"Sargent County, North Dakota",4.10%,± 1.7%
"Sarpy County, Nebraska",2.70%,± 0.3%
"Sauk County, Wisconsin",5.20%,± 0.7%
"Saunders County, Nebraska",3.10%,± 0.7%
"Sawyer County, Wisconsin",5.50%,± 0.9%
"Schenectady County, New York",5.20%,± 0.6%
"Schleicher County, Texas",8.20%,± 3.2%
"Schley County, Georgia",11.40%,± 4.1%
"Schoharie County, New York",6.40%,± 1%
"Schoolcraft County, Michigan",8.10%,± 1.8%
"Schuyler County, Illinois",6.90%,± 1.8%
"Schuyler County, Missouri",5%,± 1.3%
"Schuyler County, New York",5.60%,± 1.2%
"Schuylkill County, Pennsylvania",7.70%,± 0.5%
"Scioto County, Ohio",9.10%,± 1.1%
"Scotland County, Missouri",3.90%,± 2.2%
"Scotland County, North Carolina",14.40%,± 1.7%
"Scott County, Arkansas",10%,± 2.6%
"Scott County, Illinois",5.30%,± 1.6%
"Scott County, Indiana",13%,± 2.4%
"Scott County, Iowa",4.10%,± 0.5%
"Scott County, Kansas",7.90%,± 4.7%
"Scott County, Kentucky",4%,± 0.7%
"Scott County, Minnesota",2.80%,± 0.5%
"Scott County, Mississippi",11.50%,± 1.9%
"Scott County, Missouri",9%,± 1.2%
"Scott County, Tennessee",13.20%,± 2.4%
"Scott County, Virginia",8.90%,± 1.4%
"Scotts Bluff County, Nebraska",6.20%,± 0.8%
"Screven County, Georgia",12.60%,± 2.8%
"Scurry County, Texas",7.70%,± 1.8%
"Searcy County, Arkansas",10.60%,± 2.2%
"Sebastian County, Arkansas",8.50%,± 1%
"Sedgwick County, Colorado",6.70%,± 3.1%
"Sedgwick County, Kansas",6.10%,± 0.4%
"Seminole County, Florida",4%,± 0.3%
"Seminole County, Georgia",9.10%,± 2.4%
"Seminole County, Oklahoma",10.90%,± 1.1%
"Seneca County, New York",10.50%,± 1.1%
"Seneca County, Ohio",5.30%,± 0.8%
"Sequatchie County, Tennessee",11.10%,± 2.4%
"Sequoyah County, Oklahoma",11.50%,± 1.2%
"Sevier County, Arkansas",12.20%,± 3.5%
"Sevier County, Tennessee",8.10%,± 1.1%
"Sevier County, Utah",5.30%,± 0.8%
"Seward County, Kansas",11.60%,± 2.6%
"Seward County, Nebraska",4.30%,± 1.1%
"Shackelford County, Texas",6%,± 2.1%
"Shannon County, Missouri",11.70%,± 3%
"Sharkey County, Mississippi",10.20%,± 3%
"Sharp County, Arkansas",11.40%,± 1.8%
"Shasta County, California",6.10%,± 0.5%
"Shawano County, Wisconsin",5.50%,± 0.7%
"Shawnee County, Kansas",4.50%,± 0.4%
"Sheboygan County, Wisconsin",4.20%,± 0.5%
"Shelby County, Alabama",4.20%,± 0.4%
"Shelby County, Illinois",4.50%,± 1.1%
"Shelby County, Indiana",7.50%,± 1%
"Shelby County, Iowa",4%,± 1.2%
"Shelby County, Kentucky",7.50%,± 1.3%
"Shelby County, Missouri",8.70%,± 2.4%
"Shelby County, Ohio",7.10%,± 1.1%
"Shelby County, Tennessee",6.90%,± 0.3%
"Shelby County, Texas",10.10%,± 1.6%
"Shenandoah County, Virginia",7.50%,± 1.2%
"Sherburne County, Minnesota",4%,± 0.7%
"Sheridan County, Kansas",2.10%,± 1.2%
"Sheridan County, Montana",6.60%,± 2.9%
"Sheridan County, Nebraska",8.40%,± 2.2%
"Sheridan County, North Dakota",6.60%,± 2.1%
"Sheridan County, Wyoming",2.60%,± 1.1%
"Sherman County, Kansas",6.40%,± 3.4%
"Sherman County, Nebraska",6.50%,± 2%
"Sherman County, Oregon",8.60%,± 2.9%
"Sherman County, Texas",14.20%,± 5.5%
"Shiawassee County, Michigan",6.10%,± 0.7%
"Shoshone County, Idaho",9.30%,± 1.9%
"Sibley County, Minnesota",3.90%,± 0.7%
"Sierra County, California",3.60%,± 4.1%
"Sierra County, New Mexico",6.60%,± 1.9%
"Silver Bow County, Montana",4.10%,± 0.9%
"Simpson County, Kentucky",7.40%,± 2.2%
"Simpson County, Mississippi",14.10%,± 2.4%
"Sioux County, Iowa",3.90%,± 1%
"Sioux County, Nebraska",3.80%,± 2.4%
"Sioux County, North Dakota",10.70%,± 2.5%
"Siskiyou County, California",5.80%,± 0.8%
"Sitka City and Borough, Alaska",2.80%,± 1.2%
"Skagit County, Washington",5.60%,± 0.5%
"Skagway Municipality, Alaska",2.10%,± 2.5%
"Skamania County, Washington",5.20%,± 1.4%
"Slope County, North Dakota",6.70%,± 2.7%
"Smith County, Kansas",2.70%,± 1.2%
"Smith County, Mississippi",10.40%,± 2.7%
"Smith County, Tennessee",9.40%,± 1.7%
"Smith County, Texas",6.90%,± 0.7%
"Smyth County, Virginia",10.30%,± 1.4%
"Snohomish County, Washington",4.50%,± 0.2%
"Snyder County, Pennsylvania",8.80%,± 0.9%
"Socorro County, New Mexico",7.10%,± 2.2%
"Solano County, California",5.60%,± 0.3%
"Somerset County, Maine",5.70%,± 0.9%
"Somerset County, Maryland",12.10%,± 1.7%
"Somerset County, New Jersey",3%,± 0.3%
"Somerset County, Pennsylvania",6.50%,± 0.6%
"Somervell County, Texas",4.90%,± 2.1%
"Sonoma County, California",4.90%,± 0.4%
"South Central Connecticut Planning Region, Connecticut",4.70%,± 0.3%
"Southampton County, Virginia",8.90%,± 1.5%
"Southeast Fairbanks Census Area, Alaska",4.20%,± 1.4%
"Southeastern Connecticut Planning Region, Connecticut",4.80%,± 0.4%
"Spalding County, Georgia",12.80%,± 1.5%
"Spartanburg County, South Carolina",7.70%,± 0.5%
"Spencer County, Indiana",5.50%,± 1%
"Spencer County, Kentucky",5.20%,± 1.3%
"Spink County, South Dakota",3.90%,± 1.1%
"Spokane County, Washington",3.90%,± 0.3%
"Spotsylvania County, Virginia",5.70%,± 0.6%
"St. Bernard Parish, Louisiana",13.60%,± 1.7%
"St. Charles County, Missouri",3.30%,± 0.3%
"St. Charles Parish, Louisiana",6.40%,± 1.1%
"St. Clair County, Alabama",8.70%,± 1%
"St. Clair County, Illinois",5.40%,± 0.5%
"St. Clair County, Michigan",6.30%,± 0.6%
"St. Clair County, Missouri",8.40%,± 1.6%
"St. Croix County, Wisconsin",2.90%,± 0.4%
"St. Francis County, Arkansas",10.70%,± 2%
"St. Francois County, Missouri",9.20%,± 1.1%
"St. Helena Parish, Louisiana",14%,± 4.7%
"St. James Parish, Louisiana",8.80%,± 1.8%
"St. John the Baptist Parish, Louisiana",10.50%,± 1.7%
"St. Johns County, Florida",3.20%,± 0.5%
"St. Joseph County, Indiana",6.70%,± 0.5%
"St. Joseph County, Michigan",6.70%,± 0.7%
"St. Landry Parish, Louisiana",13.30%,± 1.4%
"St. Lawrence County, New York",6.70%,± 0.6%
"St. Louis city, Missouri",6.90%,± 0.4%
"St. Louis County, Minnesota",3.70%,± 0.4%
"St. Louis County, Missouri",4%,± 0.2%
"St. Lucie County, Florida",7.10%,± 0.6%
"St. Martin Parish, Louisiana",11.10%,± 1.4%
"St. Mary Parish, Louisiana",13.40%,± 1.4%
"St. Mary's County, Maryland",5.60%,± 0.9%
"St. Tammany Parish, Louisiana",5.70%,± 0.6%
"Stafford County, Kansas",4.60%,± 1.5%
"Stafford County, Virginia",4%,± 0.7%
"Stanislaus County, California",8.80%,± 0.5%
"Stanley County, South Dakota",3.90%,± 2.6%
"Stanly County, North Carolina",9.60%,± 1.2%
"Stanton County, Kansas",7.10%,± 4.1%
"Stanton County, Nebraska",2.90%,± 1.3%
"Stark County, Illinois",5.90%,± 1.5%
"Stark County, North Dakota",5.10%,± 1.3%
"Stark County, Ohio",5.20%,± 0.4%
"Starke County, Indiana",9.20%,± 1.2%
"Starr County, Texas",13.10%,± 1.6%
"Staunton city, Virginia",5.30%,± 1.1%
"Ste. Genevieve County, Missouri",5.90%,± 1.2%
"Stearns County, Minnesota",3.60%,± 0.4%
"Steele County, Minnesota",5.10%,± 1.1%
"Steele County, North Dakota",2.80%,± 1.3%
"Stephens County, Georgia",10.90%,± 2.4%
"Stephens County, Oklahoma",8.20%,± 1%
"Stephens County, Texas",10.10%,± 3.3%
"Stephenson County, Illinois",5.70%,± 0.9%
"Sterling County, Texas",7.60%,± 5.2%
"Steuben County, Indiana",5.40%,± 1.1%
"Steuben County, New York",5.50%,± 0.6%
"Stevens County, Kansas",15.80%,± 4.1%
"Stevens County, Minnesota",2.90%,± 0.9%
"Stevens County, Washington",6.20%,± 1%
"Stewart County, Georgia",18.70%,± 7.2%
"Stewart County, Tennessee",7.20%,± 1.9%
"Stillwater County, Montana",4.80%,± 1.6%
"Stoddard County, Missouri",12.50%,± 1.6%
"Stokes County, North Carolina",8.40%,± 1.7%
"Stone County, Arkansas",9.90%,± 3.4%
"Stone County, Mississippi",10.20%,± 3.1%
"Stone County, Missouri",7.30%,± 1.3%
"Stonewall County, Texas",10.10%,± 3.4%
"Storey County, Nevada",7%,± 3.9%
"Story County, Iowa",2.10%,± 0.5%
"Strafford County, New Hampshire",3.50%,± 0.5%
"Stutsman County, North Dakota",5%,± 1.3%
"Sublette County, Wyoming",3.70%,± 1.5%
"Suffolk city, Virginia",5.50%,± 0.7%
"Suffolk County, Massachusetts",5.30%,± 0.3%
"Suffolk County, New York",4.50%,± 0.2%
"Sullivan County, Indiana",7.90%,± 1.6%
"Sullivan County, Missouri",8.40%,± 2.1%
"Sullivan County, New Hampshire",6.40%,± 1.2%
"Sullivan County, New York",7.90%,± 1%
"Sullivan County, Pennsylvania",8.10%,± 2.4%
"Sullivan County, Tennessee",6.90%,± 0.6%
"Sully County, South Dakota",3.40%,± 1.8%
"Summers County, West Virginia",9.20%,± 2%
"Summit County, Colorado",3.50%,± 1.5%
"Summit County, Ohio",5.10%,± 0.3%
"Summit County, Utah",2.30%,± 0.7%
"Sumner County, Kansas",4.80%,± 0.9%
"Sumner County, Tennessee",5.60%,± 0.6%
"Sumter County, Alabama",8.60%,± 3.4%
"Sumter County, Florida",5.90%,± 0.7%
"Sumter County, Georgia",9.50%,± 1.7%
"Sumter County, South Carolina",7.90%,± 1%
"Sunflower County, Mississippi",16.20%,± 1.8%
"Surry County, North Carolina",11%,± 1.2%
"Surry County, Virginia",9.20%,± 2.8%
"Susquehanna County, Pennsylvania",6.80%,± 0.7%
"Sussex County, Delaware",6.60%,± 0.5%
"Sussex County, New Jersey",3.30%,± 0.4%
"Sussex County, Virginia",14.70%,± 2.5%
"Sutter County, California",10%,± 1.1%
"Sutton County, Texas",9.80%,± 4.4%
"Suwannee County, Florida",9.10%,± 1.8%
"Swain County, North Carolina",10.40%,± 2.1%
"Sweet Grass County, Montana",3.60%,± 1.2%
"Sweetwater County, Wyoming",4.60%,± 1%
"Swift County, Minnesota",3.60%,± 1%
"Swisher County, Texas",8.50%,± 2.6%
"Switzerland County, Indiana",11.10%,± 2.8%
"Talbot County, Georgia",12.30%,± 2.1%
"Talbot County, Maryland",5.50%,± 0.9%
"Taliaferro County, Georgia",7.20%,± 3.2%
"Talladega County, Alabama",12.30%,± 1%
"Tallahatchie County, Mississippi",14.70%,± 3.8%
"Tallapoosa County, Alabama",13%,± 1.7%
"Tama County, Iowa",5.50%,± 1.1%
"Taney County, Missouri",7.60%,± 1.5%
"Tangipahoa Parish, Louisiana",10.50%,± 1.3%
"Taos County, New Mexico",5%,± 1.3%
"Tarrant County, Texas",6.80%,± 0.3%
"Tate County, Mississippi",10.10%,± 1.5%
"Tattnall County, Georgia",12.90%,± 1.7%
"Taylor County, Florida",13.30%,± 2.4%
"Taylor County, Georgia",18.10%,± 3.5%
"Taylor County, Iowa",5.20%,± 1.5%
"Taylor County, Kentucky",7.60%,± 1.9%
"Taylor County, Texas",6.10%,± 0.7%
"Taylor County, West Virginia",10.10%,± 2.9%
"Taylor County, Wisconsin",6.90%,± 0.9%
"Tazewell County, Illinois",4.40%,± 0.5%
"Tazewell County, Virginia",7.80%,± 1.3%
"Tehama County, California",7.50%,± 1.1%
"Telfair County, Georgia",13.80%,± 2.7%
"Teller County, Colorado",2.60%,± 1%
"Tensas Parish, Louisiana",16.60%,± 3.7%
"Terrebonne Parish, Louisiana",10.30%,± 1%
"Terrell County, Georgia",11.40%,± 3.1%
"Terrell County, Texas",4%,± 3.2%
"Terry County, Texas",9.30%,± 3%
"Teton County, Idaho",2.80%,± 1.1%
"Teton County, Montana",4.80%,± 1.3%
"Teton County, Wyoming",1.70%,± 0.8%
"Texas County, Missouri",10.90%,± 1.7%
"Texas County, Oklahoma",8.40%,± 3%
"Thayer County, Nebraska",4.40%,± 1.3%
"Thomas County, Georgia",9.80%,± 1.3%
"Thomas County, Kansas",3.70%,± 1.7%
"Thomas County, Nebraska",5.80%,± 3.6%
"Throckmorton County, Texas",3.60%,± 1.9%
"Thurston County, Nebraska",7%,± 1.4%
"Thurston County, Washington",3.90%,± 0.5%
"Tift County, Georgia",10.70%,± 1.8%
"Tillamook County, Oregon",6.40%,± 1.4%
"Tillman County, Oklahoma",10.90%,± 2.1%
"Tioga County, New York",5.80%,± 0.9%
"Tioga County, Pennsylvania",6.50%,± 0.8%
"Tippah County, Mississippi",13.90%,± 2.6%
