Geography,Total—Civilian employed population 16 years and over—Estimate,MoE
"Sequoyah County, Oklahoma","15,183",± 435
"Sevier County, Arkansas","6,865",± 300
"Sevier County, Tennessee","46,821","± 1,438"
"Sevier County, Utah","9,356",± 270
"Seward County, Kansas","10,717",± 496
"Seward County, Nebraska","9,342",± 291
"Shackelford County, Texas","1,501",± 176
"Shannon County, Missouri","2,689",± 229
"Sharkey County, Mississippi","1,523",± 191
"Sharp County, Arkansas","6,268",± 331
"Shasta County, California","76,314","± 1,385"
"Shawano County, Wisconsin","19,861",± 396
"Shawnee County, Kansas","84,663","± 1,237"
"Sheboygan County, Wisconsin","61,062",± 855
"Shelby County, Alabama","113,542","± 1,447"
"Shelby County, Illinois","10,199",± 269
"Shelby County, Indiana","22,045",± 516
"Shelby County, Iowa","5,964",± 285
"Shelby County, Kentucky","24,238",± 635
"Shelby County, Missouri","2,725",± 126
"Shelby County, Ohio","24,054",± 453
"Shelby County, Tennessee","429,064","± 3,662"
"Shelby County, Texas","10,110",± 415
"Shenandoah County, Virginia","20,670",± 526
"Sherburne County, Minnesota","53,627",± 886
"Sheridan County, Kansas","1,367",± 70
"Sheridan County, Montana","1,786",± 127
"Sheridan County, Nebraska","2,403",± 153
"Sheridan County, North Dakota",629,± 71
"Sheridan County, Wyoming","15,579",± 548
"Sherman County, Kansas","3,053",± 256
"Sherman County, Nebraska","1,488",± 85
"Sherman County, Oregon",811,± 96
"Sherman County, Texas","1,161",± 142
"Shiawassee County, Michigan","31,932",± 723
"Shoshone County, Idaho","5,588",± 306
"Sibley County, Minnesota","7,870",± 185
"Sierra County, California","1,243",± 209
"Sierra County, New Mexico","3,554",± 348
"Silver Bow County, Montana","16,448",± 523
"Simpson County, Kentucky","8,926",± 447
"Simpson County, Mississippi","10,289",± 540
"Sioux County, Iowa","19,081",± 456
"Sioux County, Nebraska",515,± 91
"Sioux County, North Dakota","1,065",± 94
"Siskiyou County, California","16,623",± 551
"Sitka City and Borough, Alaska","4,387",± 179
"Skagit County, Washington","57,758","± 1,048"
"Skagway Municipality, Alaska",777,± 96
"Skamania County, Washington","5,639",± 261
"Slope County, North Dakota",420,± 60
"Smith County, Kansas","1,735",± 98
"Smith County, Mississippi","5,342",± 375
"Smith County, Tennessee","9,192",± 442
"Smith County, Texas","109,280","± 1,733"
"Smyth County, Virginia","11,921",± 484
"Snohomish County, Washington","425,167","± 2,883"
"Snyder County, Pennsylvania","19,430",± 388
"Socorro County, New Mexico","5,119",± 483
"Solano County, California","212,158","± 2,293"
"Somerset County, Maine","22,575",± 606
"Somerset County, Maryland","9,661",± 524
"Somerset County, New Jersey","184,886","± 1,840"
"Somerset County, Pennsylvania","32,749",± 660
"Somervell County, Texas","4,565",± 337
"Sonoma County, California","247,915","± 2,296"
"South Central Connecticut Planning Region, Connecticut","288,553","± 3,339"
"Southampton County, Virginia","7,838",± 310
"Southeast Fairbanks Census Area, Alaska","2,756",± 197
"Southeastern Connecticut Planning Region, Connecticut","136,582","± 1,887"
"Spalding County, Georgia","28,392",± 793
"Spartanburg County, South Carolina","154,712","± 2,079"
"Spencer County, Indiana","9,762",± 317
"Spencer County, Kentucky","9,917",± 509
"Spink County, South Dakota","2,997",± 123
"Spokane County, Washington","249,238","± 2,384"
"Spotsylvania County, Virginia","70,327","± 1,200"
"St. Bernard Parish, Louisiana","18,853",± 662
"St. Charles County, Missouri","217,856","± 1,595"
"St. Charles Parish, Louisiana","24,399",± 810
"St. Clair County, Alabama","41,814","± 1,093"
"St. Clair County, Illinois","120,199","± 1,879"
"St. Clair County, Michigan","73,964",± 962
"St. Clair County, Missouri","3,776",± 201
"St. Croix County, Wisconsin","51,067",± 813
"St. Francis County, Arkansas","7,948",± 452
"St. Francois County, Missouri","26,816",± 876
"St. Helena Parish, Louisiana","3,886",± 466
"St. James Parish, Louisiana","9,015",± 424
"St. John the Baptist Parish, Louisiana","18,090",± 745
"St. Johns County, Florida","129,898","± 1,960"
"St. Joseph County, Indiana","131,170","± 1,658"
"St. Joseph County, Michigan","27,936",± 582
"St. Landry Parish, Louisiana","30,717",± 930
"St. Lawrence County, New York","44,742",± 940
"St. Louis city, Missouri","154,689","± 1,669"
"St. Louis County, Minnesota","96,728","± 1,037"
"St. Louis County, Missouri","499,992","± 3,143"
"St. Lucie County, Florida","145,080","± 2,556"
"St. Martin Parish, Louisiana","21,952",± 719
"St. Mary Parish, Louisiana","19,359",± 727
"St. Mary's County, Maryland","57,306","± 1,158"
"St. Tammany Parish, Louisiana","123,509","± 2,257"
"Stafford County, Kansas","1,971",± 90
"Stafford County, Virginia","76,554","± 1,271"
"Stanislaus County, California","237,110","± 2,301"
"Stanley County, South Dakota","1,714",± 143
"Stanly County, North Carolina","28,739",± 762
"Stanton County, Kansas",994,± 153
"Stanton County, Nebraska","3,111",± 102
"Stark County, Illinois","2,438",± 111
"Stark County, North Dakota","16,757",± 473
"Stark County, Ohio","179,639","± 1,902"
"Starke County, Indiana","9,562",± 413
"Starr County, Texas","24,109",± 755
"Staunton city, Virginia","12,367",± 472
"Ste. Genevieve County, Missouri","8,539",± 376
"Stearns County, Minnesota","84,473","± 1,255"
"Steele County, Minnesota","19,136",± 446
"Steele County, North Dakota",836,± 79
"Stephens County, Georgia","11,303",± 636
"Stephens County, Oklahoma","17,605",± 497
"Stephens County, Texas","3,857",± 353
"Stephenson County, Illinois","20,221",± 424
"Sterling County, Texas",575,± 107
"Steuben County, Indiana","16,567",± 580
"Steuben County, New York","42,149",± 722
"Stevens County, Kansas","2,410",± 170
"Stevens County, Minnesota","5,134",± 180
"Stevens County, Washington","17,962",± 566
"Stewart County, Georgia","1,480",± 282
"Stewart County, Tennessee","5,613",± 407
"Stillwater County, Montana","4,269",± 237
"Stoddard County, Missouri","12,022",± 465
"Stokes County, North Carolina","19,662",± 970
"Stone County, Arkansas","3,907",± 400
"Stone County, Mississippi","6,802",± 705
"Stone County, Missouri","12,003",± 557
"Stonewall County, Texas",667,± 102
"Storey County, Nevada","1,344",± 233
"Story County, Iowa","53,259","± 1,076"
"Strafford County, New Hampshire","71,642","± 1,193"
"Stutsman County, North Dakota","10,800",± 433
"Sublette County, Wyoming","4,489",± 272
"Suffolk city, Virginia","44,358","± 1,087"
"Suffolk County, Massachusetts","434,911","± 3,037"
"Suffolk County, New York","781,818","± 4,653"
"Sullivan County, Indiana","8,938",± 345
"Sullivan County, Missouri","2,636",± 156
"Sullivan County, New Hampshire","20,190",± 772
"Sullivan County, New York","34,474","± 1,073"
"Sullivan County, Pennsylvania","2,548",± 146
"Sullivan County, Tennessee","69,206","± 1,416"
"Sully County, South Dakota",785,± 112
"Summers County, West Virginia","3,543",± 332
"Summit County, Colorado","19,419",± 695
"Summit County, Ohio","270,271","± 2,507"
"Summit County, Utah","22,962",± 537
"Sumner County, Kansas","9,954",± 359
"Sumner County, Tennessee","99,744","± 1,454"
"Sumter County, Alabama","4,299",± 332
"Sumter County, Florida","28,658","± 1,258"
"Sumter County, Georgia","12,148",± 658
"Sumter County, South Carolina","42,030",± 979
"Sunflower County, Mississippi","8,739",± 471
"Surry County, North Carolina","31,768",± 834
"Surry County, Virginia","3,147",± 213
"Susquehanna County, Pennsylvania","16,812",± 392
"Sussex County, Delaware","103,861","± 1,552"
"Sussex County, New Jersey","77,810",± 929
"Sussex County, Virginia","4,382",± 300
"Sutter County, California","42,251","± 1,065"
"Sutton County, Texas","1,430",± 176
"Suwannee County, Florida","17,198",± 874
"Swain County, North Carolina","5,754",± 344
"Sweet Grass County, Montana","1,848",± 106
"Sweetwater County, Wyoming","20,950",± 519
"Swift County, Minnesota","4,658",± 142
"Swisher County, Texas","2,668",± 197
"Switzerland County, Indiana","4,397",± 211
"Talbot County, Georgia","2,455",± 172
"Talbot County, Maryland","17,056",± 605
"Taliaferro County, Georgia",668,± 158
"Talladega County, Alabama","32,093",± 947
"Tallahatchie County, Mississippi","4,468",± 380
"Tallapoosa County, Alabama","15,600",± 781
"Tama County, Iowa","8,165",± 219
"Taney County, Missouri","25,499",± 760
"Tangipahoa Parish, Louisiana","57,432","± 1,571"
"Taos County, New Mexico","14,083",± 938
"Tarrant County, Texas","1,065,717","± 5,384"
"Tate County, Mississippi","11,953",± 648
"Tattnall County, Georgia","7,916",± 542
"Taylor County, Florida","6,747",± 489
"Taylor County, Georgia","3,011",± 331
"Taylor County, Iowa","2,951",± 121
"Taylor County, Kentucky","12,119",± 683
"Taylor County, Texas","66,180","± 1,485"
"Taylor County, West Virginia","6,664",± 463
"Taylor County, Wisconsin","9,903",± 210
"Tazewell County, Illinois","62,163",± 886
"Tazewell County, Virginia","14,328",± 633
"Tehama County, California","25,597",± 937
"Telfair County, Georgia","3,698",± 406
"Teller County, Colorado","11,519",± 499
"Tensas Parish, Louisiana","1,174",± 160
"Terrebonne Parish, Louisiana","47,126","± 1,455"
"Terrell County, Georgia","3,305",± 257
"Terrell County, Texas",364,± 141
"Terry County, Texas","4,992",± 258
"Teton County, Idaho","6,875",± 322
"Teton County, Montana","2,862",± 92
"Teton County, Wyoming","15,156",± 418
"Texas County, Missouri","9,137",± 482
"Texas County, Oklahoma","10,267",± 453
"Thayer County, Nebraska","2,439",± 109
"Thomas County, Georgia","21,032",± 769
"Thomas County, Kansas","4,152",± 194
"Thomas County, Nebraska",352,± 58
"Throckmorton County, Texas",734,± 103
"Thurston County, Nebraska","2,698",± 116
"Thurston County, Washington","134,622","± 1,667"
"Tift County, Georgia","17,809",± 720
"Tillamook County, Oregon","10,896",± 563
"Tillman County, Oklahoma","2,793",± 178
"Tioga County, New York","22,722",± 581
"Tioga County, Pennsylvania","18,529",± 433
"Tippah County, Mississippi","9,229",± 467
"Tippecanoe County, Indiana","91,808","± 1,807"
"Tipton County, Indiana","7,470",± 356
"Tipton County, Tennessee","27,734",± 696
"Tishomingo County, Mississippi","7,514",± 419
"Titus County, Texas","13,364",± 488
"Toa Alta Municipio, Puerto Rico","26,426","± 1,001"
"Toa Baja Municipio, Puerto Rico","29,433",± 874
"Todd County, Kentucky","5,048",± 237
"Todd County, Minnesota","11,299",± 252
"Todd County, South Dakota","2,296",± 202
"Tom Green County, Texas","55,687","± 1,085"
"Tompkins County, New York","49,415",± 973
"Tooele County, Utah","36,843",± 919
"Toole County, Montana","2,128",± 192
"Toombs County, Georgia","10,157",± 613
"Torrance County, New Mexico","5,544",± 421
"Towner County, North Dakota","1,059",± 105
"Towns County, Georgia","4,631",± 350
"Traill County, North Dakota","4,135",± 141
"Transylvania County, North Carolina","14,196",± 567
"Traverse County, Minnesota","1,605",± 96
"Travis County, Texas","736,834","± 4,227"
"Treasure County, Montana",364,± 87
"Trego County, Kansas","1,405",± 105
"Trempealeau County, Wisconsin","15,521",± 277
"Treutlen County, Georgia","2,223",± 278
"Trigg County, Kentucky","5,743",± 379
"Trimble County, Kentucky","3,631",± 282
"Trinity County, California","5,200",± 671
"Trinity County, Texas","4,990",± 348
"Tripp County, South Dakota","2,639",± 138
"Troup County, Georgia","31,000",± 935
"Trousdale County, Tennessee","5,122",± 407
"Trujillo Alto Municipio, Puerto Rico","28,494","± 1,012"
"Trumbull County, Ohio","86,468","± 1,418"
"Tucker County, West Virginia","3,000",± 165
"Tulare County, California","190,883","± 2,488"
"Tulsa County, Oklahoma","323,969","± 1,910"
"Tunica County, Mississippi","4,117",± 374
"Tuolumne County, California","20,829",± 820
"Turner County, Georgia","3,341",± 308
"Turner County, South Dakota","4,460",± 134
"Tuscaloosa County, Alabama","109,994","± 1,558"
"Tuscarawas County, Ohio","43,237",± 875
"Tuscola County, Michigan","22,892",± 570
"Twiggs County, Georgia","2,760",± 233
"Twin Falls County, Idaho","42,256",± 860
"Tyler County, Texas","6,324",± 400
"Tyler County, West Virginia","3,008",± 238
"Tyrrell County, North Carolina","1,180",± 196
"Uinta County, Wyoming","9,562",± 410
"Uintah County, Utah","14,591",± 772
"Ulster County, New York","86,493","± 1,512"
"Umatilla County, Oregon","33,979",± 882
"Unicoi County, Tennessee","7,626",± 446
"Union County, Arkansas","16,232",± 648
"Union County, Florida","4,229",± 285
"Union County, Georgia","9,721",± 547
"Union County, Illinois","6,787",± 348
"Union County, Indiana","3,569",± 194
"Union County, Iowa","5,604",± 326
"Union County, Kentucky","5,686",± 360
"Union County, Mississippi","12,173",± 514
"Union County, New Jersey","292,493","± 2,415"
"Union County, New Mexico","1,358",± 133
"Union County, North Carolina","120,938","± 1,580"
"Union County, Ohio","32,749",± 721
"Union County, Oregon","11,508",± 415
"Union County, Pennsylvania","16,876",± 573
"Union County, South Carolina","10,913",± 559
"Union County, South Dakota","8,507",± 355
"Union County, Tennessee","8,181",± 469
"Union Parish, Louisiana","8,016",± 471
"Upshur County, Texas","17,269",± 604
"Upshur County, West Virginia","9,536",± 449
"Upson County, Georgia","11,347",± 500
"Upton County, Texas","1,360",± 158
"Utah County, Utah","326,244","± 2,055"
"Utuado Municipio, Puerto Rico","6,632",± 558
"Uvalde County, Texas","9,920",± 617
"Val Verde County, Texas","19,782",± 772
"Valencia County, New Mexico","29,129",± 983
"Valley County, Idaho","4,936",± 476
"Valley County, Montana","3,471",± 147
"Valley County, Nebraska","2,062",± 118
"Van Buren County, Arkansas","5,427",± 410
"Van Buren County, Iowa","3,060",± 200
"Van Buren County, Michigan","34,382",± 808
"Van Buren County, Tennessee","2,448",± 228
"Van Wert County, Ohio","14,225",± 380
"Van Zandt County, Texas","25,364",± 771
"Vance County, North Carolina","18,177",± 787
"Vanderburgh County, Indiana","89,329","± 1,237"
"Vega Alta Municipio, Puerto Rico","11,311",± 776
"Vega Baja Municipio, Puerto Rico","16,949",± 774
"Venango County, Pennsylvania","21,733",± 477
"Ventura County, California","409,387","± 2,912"
"Vermilion County, Illinois","30,399",± 639
"Vermilion Parish, Louisiana","23,066",± 876
"Vermillion County, Indiana","6,817",± 341
"Vernon County, Missouri","8,492",± 402
"Vernon County, Wisconsin","13,843",± 280
"Vernon Parish, Louisiana","15,879",± 556
"Victoria County, Texas","41,593","± 1,020"
"Vieques Municipio, Puerto Rico","2,075",± 435
"Vigo County, Indiana","48,800","± 1,149"
"Vilas County, Wisconsin","10,186",± 279
"Villalba Municipio, Puerto Rico","6,700",± 443
"Vinton County, Ohio","5,101",± 421
"Virginia Beach city, Virginia","224,334","± 2,517"
"Volusia County, Florida","244,700","± 2,562"
"Wabash County, Illinois","5,084",± 217
"Wabash County, Indiana","14,417",± 454
"Wabasha County, Minnesota","11,174",± 235
"Wabaunsee County, Kansas","3,297",± 177
"Wadena County, Minnesota","6,245",± 248
"Wagoner County, Oklahoma","38,931",± 648
"Wahkiakum County, Washington","1,554",± 192
"Wake County, North Carolina","601,289","± 3,921"
"Wakulla County, Florida","15,355",± 630
"Waldo County, Maine","18,460",± 608
"Walker County, Alabama","25,764",± 790
"Walker County, Georgia","30,682","± 1,000"
"Walker County, Texas","29,120","± 1,142"
"Walla Walla County, Washington","27,499",± 824
"Wallace County, Kansas",714,± 79
"Waller County, Texas","24,902","± 1,096"
"Wallowa County, Oregon","3,295",± 196
"Walsh County, North Dakota","5,210",± 186
"Walthall County, Mississippi","5,168",± 533
"Walton County, Florida","34,379",± 904
"Walton County, Georgia","46,541","± 1,150"
"Walworth County, South Dakota","2,557",± 177
"Walworth County, Wisconsin","55,626",± 883
"Wapello County, Iowa","16,468",± 502
"Ward County, North Dakota","34,170",± 869
"Ward County, Texas","5,111",± 274
"Ware County, Georgia","13,100",± 659
"Warren County, Georgia","2,020",± 198
"Warren County, Illinois","7,685",± 371
"Warren County, Indiana","4,074",± 188
"Warren County, Iowa","27,607",± 523
"Warren County, Kentucky","68,496","± 1,174"
"Warren County, Mississippi","19,268",± 812
"Warren County, Missouri","17,120",± 581
"Warren County, New Jersey","56,741","± 1,089"
"Warren County, New York","31,884",± 743
"Warren County, North Carolina","7,084",± 377
"Warren County, Ohio","121,923","± 1,809"
"Warren County, Pennsylvania","17,363",± 290
"Warren County, Tennessee","17,684",± 690
"Warren County, Virginia","19,589",± 612
"Warrick County, Indiana","31,541",± 892
"Wasatch County, Utah","17,205",± 532
"Wasco County, Oregon","11,870",± 473
"Waseca County, Minnesota","9,538",± 247
"Washakie County, Wyoming","3,961",± 196
"Washburn County, Wisconsin","7,249",± 186
"Washington County, Alabama","5,598",± 418
"Washington County, Arkansas","120,991","± 2,208"
"Washington County, Colorado","2,284",± 99
"Washington County, Florida","8,671",± 440
"Washington County, Georgia","7,809",± 432
"Washington County, Idaho","3,998",± 221
"Washington County, Illinois","6,942",± 241
"Washington County, Indiana","13,164",± 481
"Washington County, Iowa","11,701",± 355
"Washington County, Kansas","2,600",± 125
"Washington County, Kentucky","5,717",± 274
"Washington County, Maine","12,737",± 294
"Washington County, Maryland","70,953","± 1,198"
"Washington County, Minnesota","141,759","± 1,363"
"Washington County, Mississippi","16,531",± 715
"Washington County, Missouri","9,233",± 460
"Washington County, Nebraska","11,060",± 323
"Washington County, New York","28,617",± 722
"Washington County, North Carolina","3,893",± 366
"Washington County, Ohio","27,028",± 726
"Washington County, Oklahoma","23,038",± 522
"Washington County, Oregon","316,457","± 2,504"
"Washington County, Pennsylvania","102,148","± 1,093"
"Washington County, Rhode Island","66,218","± 1,396"
"Washington County, Tennessee","63,338","± 1,372"
"Washington County, Texas","16,633",± 660
"Washington County, Utah","78,297","± 1,691"
"Washington County, Vermont","31,418",± 736
"Washington County, Virginia","23,968",± 688
"Washington County, Wisconsin","74,576",± 886
"Washington Parish, Louisiana","16,763",± 917
"Washita County, Oklahoma","4,759",± 275
"Washoe County, Nevada","248,193","± 2,101"
"Washtenaw County, Michigan","188,675","± 1,831"
"Watauga County, North Carolina","26,404",± 913
"Watonwan County, Minnesota","5,279",± 199
"Waukesha County, Wisconsin","217,962","± 1,768"
"Waupaca County, Wisconsin","26,151",± 481
"Waushara County, Wisconsin","10,826",± 218
"Wayne County, Georgia","11,345",± 752
"Wayne County, Illinois","7,186",± 309
"Wayne County, Indiana","30,512",± 709
"Wayne County, Iowa","2,859",± 122
"Wayne County, Kentucky","6,899",± 556
"Wayne County, Michigan","760,955","± 4,602"
"Wayne County, Mississippi","7,679",± 519
"Wayne County, Missouri","3,685",± 270
"Wayne County, Nebraska","5,362",± 263
"Wayne County, New York","43,843",± 972
"Wayne County, North Carolina","50,428","± 1,114"
"Wayne County, Ohio","55,098",± 900
"Wayne County, Pennsylvania","21,217",± 564
"Wayne County, Tennessee","6,254",± 363
"Wayne County, Utah","1,274",± 97
"Wayne County, West Virginia","14,240",± 740
"Waynesboro city, Virginia","10,895",± 478
"Weakley County, Tennessee","14,126",± 521
"Webb County, Texas","111,606","± 1,370"
"Weber County, Utah","132,709","± 1,420"
"Webster County, Georgia",993,± 182
"Webster County, Iowa","17,742",± 521
"Webster County, Kentucky","5,348",± 291
"Webster County, Mississippi","4,112",± 321
"Webster County, Missouri","16,184",± 615
"Webster County, Nebraska","1,767",± 69
"Webster County, West Virginia","2,669",± 259
"Webster Parish, Louisiana","12,994",± 662
"Weld County, Colorado","168,820","± 1,809"
"Wells County, Indiana","14,351",± 419
"Wells County, North Dakota","1,938",± 124
"West Baton Rouge Parish, Louisiana","12,560",± 591
"West Carroll Parish, Louisiana","3,629",± 277
"West Feliciana Parish, Louisiana","5,627",± 603
"Westchester County, New York","496,164","± 3,298"
"Western Connecticut Planning Region, Connecticut","322,043","± 3,115"
"Westmoreland County, Pennsylvania","171,612","± 1,733"
"Westmoreland County, Virginia","7,016",± 554
"Weston County, Wyoming","3,035",± 232
"Wetzel County, West Virginia","5,116",± 298
"Wexford County, Michigan","14,075",± 379
"Wharton County, Texas","18,162",± 638
"Whatcom County, Washington","111,457","± 1,267"
"Wheatland County, Montana",827,± 107
"Wheeler County, Georgia","2,763",± 457
"Wheeler County, Nebraska",363,± 64
"Wheeler County, Oregon",493,± 87
"Wheeler County, Texas","2,274",± 162
"White County, Arkansas","32,261","± 1,103"
"White County, Georgia","12,598",± 539
"White County, Illinois","5,962",± 269
"White County, Indiana","11,340",± 401
"White County, Tennessee","11,226",± 474
"White Pine County, Nevada","3,470",± 233
"Whiteside County, Illinois","26,585",± 508
"Whitfield County, Georgia","47,406","± 1,048"
"Whitley County, Indiana","17,167",± 380
"Whitley County, Kentucky","13,246",± 551
"Whitman County, Washington","22,847",± 651
"Wibaux County, Montana",489,± 91
"Wichita County, Kansas",941,± 130
"Wichita County, Texas","57,700","± 1,110"
"Wicomico County, Maryland","50,869","± 1,218"
"Wilbarger County, Texas","5,495",± 381
"Wilcox County, Alabama","3,345",± 312
"Wilcox County, Georgia","2,894",± 244
"Wilkes County, Georgia","3,964",± 357
"Wilkes County, North Carolina","28,568",± 994
"Wilkin County, Minnesota","3,198",± 158
"Wilkinson County, Georgia","3,256",± 234
"Wilkinson County, Mississippi","2,798",± 299
"Will County, Illinois","359,464","± 2,693"
"Willacy County, Texas","8,029",± 505
"Williams County, North Dakota","20,312",± 695
"Williams County, Ohio","17,689",± 482
"Williamsburg city, Virginia","6,417",± 381
"Williamsburg County, South Carolina","12,034",± 529
"Williamson County, Illinois","30,387",± 772
"Williamson County, Tennessee","127,487","± 1,801"
"Williamson County, Texas","325,008","± 2,952"
"Wilson County, Kansas","3,895",± 253
"Wilson County, North Carolina","34,334","± 1,010"
"Wilson County, Tennessee","74,682","± 1,238"
"Wilson County, Texas","23,332",± 585
"Winchester city, Virginia","14,519",± 497
"Windham County, Vermont","23,512",± 602
"Windsor County, Vermont","29,203",± 729
"Winkler County, Texas","3,380",± 230
"Winn Parish, Louisiana","4,857",± 373
"Winnebago County, Illinois","129,952","± 1,612"
"Winnebago County, Iowa","5,495",± 220
"Winnebago County, Wisconsin","90,628",± 928
"Winneshiek County, Iowa","10,955",± 306
"Winona County, Minnesota","27,653",± 574
"Winston County, Alabama","9,773",± 423
"Winston County, Mississippi","6,547",± 397
"Wirt County, West Virginia","2,012",± 179
"Wise County, Texas","34,358",± 803
"Wise County, Virginia","12,651",± 671
"Wolfe County, Kentucky","1,527",± 273
"Wood County, Ohio","68,995","± 1,071"
"Wood County, Texas","17,179",± 649
"Wood County, West Virginia","35,901","± 1,065"
"Wood County, Wisconsin","35,858",± 660
"Woodbury County, Iowa","52,921",± 995
"Woodford County, Illinois","18,599",± 449
"Woodford County, Kentucky","13,606",± 405
"Woodruff County, Arkansas","2,630",± 181
"Woods County, Oklahoma","4,062",± 220
"Woodson County, Kansas","1,330",± 84
"Woodward County, Oklahoma","9,425",± 405
"Worcester County, Maryland","24,644",± 693
"Worcester County, Massachusetts","441,570","± 2,861"
"Worth County, Georgia","8,679",± 468
"Worth County, Iowa","3,994",± 160
"Worth County, Missouri",930,± 58
"Wrangell City and Borough, Alaska",815,± 78
"Wright County, Iowa","5,823",± 215
"Wright County, Minnesota","76,981","± 1,152"
"Wright County, Missouri","6,859",± 489
"Wyandot County, Ohio","10,973",± 336
"Wyandotte County, Kansas","78,590","± 1,198"
"Wyoming County, New York","18,100",± 538
"Wyoming County, Pennsylvania","12,048",± 282
"Wyoming County, West Virginia","6,143",± 510
"Wythe County, Virginia","12,623",± 514
"Yabucoa Municipio, Puerto Rico","8,686",± 532
"Yadkin County, North Carolina","16,900",± 538
"Yakima County, Washington","108,902","± 1,770"
"Yakutat City and Borough, Alaska",322,± 61
"Yalobusha County, Mississippi","4,992",± 378
"Yamhill County, Oregon","49,981","± 1,084"
"Yancey County, North Carolina","7,696",± 434
"Yankton County, South Dakota","11,876",± 379
"Yates County, New York","10,807",± 363
"Yauco Municipio, Puerto Rico","9,880",± 580
"Yavapai County, Arizona","94,954","± 1,963"
"Yazoo County, Mississippi","9,054",± 449
"Yell County, Arkansas","8,930",± 412
"Yellow Medicine County, Minnesota","4,733",± 135
"Yellowstone County, Montana","84,122","± 1,247"
"Yoakum County, Texas","3,287",± 222
"Yolo County, California","102,693","± 1,604"
"York County, Maine","112,736","± 1,213"
"York County, Nebraska","6,948",± 255
"York County, Pennsylvania","230,648","± 2,030"
"York County, South Carolina","141,825","± 1,992"
"York County, Virginia","31,845",± 856
"Young County, Texas","8,217",± 476
"Yuba County, California","31,657","± 1,035"
"Yukon-Koyukuk Census Area, Alaska","2,358",± 112
"Yuma County, Arizona","74,868","± 1,466"
"Yuma County, Colorado","4,857",± 242
"Zapata County, Texas","4,843",± 510
"Zavala County, Texas","3,797",± 334
"Ziebach County, South Dakota",829,± 80
