Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Philadelphia County, Pennsylvania",33.50%,± 0.4%
"Phillips County, Arkansas",15.70%,± 3%
"Phillips County, Colorado",5.20%,± 1.7%
"Phillips County, Kansas",8.90%,± 2.6%
"Phillips County, Montana",4.60%,± 3.1%
"Piatt County, Illinois",6.90%,± 2%
"Pickaway County, Ohio",9.70%,± 1.5%
"Pickens County, Alabama",11.20%,± 2.1%
"Pickens County, Georgia",6.80%,± 1.6%
"Pickens County, South Carolina",16.20%,± 1.4%
"Pickett County, Tennessee",5.80%,± 3.2%
"Pierce County, Georgia",4%,± 2.1%
"Pierce County, Nebraska",3.30%,± 1.2%
"Pierce County, North Dakota",10.20%,± 3.9%
"Pierce County, Washington",23.40%,± 0.5%
"Pierce County, Wisconsin",17.10%,± 1.8%
"Pike County, Alabama",15.70%,± 2.6%
"Pike County, Arkansas",7.30%,± 2.2%
"Pike County, Georgia",4.40%,± 1.7%
"Pike County, Illinois",8.80%,± 2.2%
"Pike County, Indiana",4.70%,± 1.5%
"Pike County, Kentucky",8.30%,± 1.2%
"Pike County, Mississippi",14.70%,± 2.3%
"Pike County, Missouri",11.80%,± 2.6%
"Pike County, Ohio",8.50%,± 1.6%
"Pike County, Pennsylvania",5.50%,± 0.9%
"Pima County, Arizona",22.10%,± 0.5%
"Pinal County, Arizona",5.30%,± 0.6%
"Pine County, Minnesota",8.60%,± 1.2%
"Pinellas County, Florida",32.80%,± 0.5%
"Pipestone County, Minnesota",10.80%,± 2.4%
"Piscataquis County, Maine",10.70%,± 2%
"Pitkin County, Colorado",44.70%,± 5%
"Pitt County, North Carolina",29%,± 1.3%
"Pittsburg County, Oklahoma",9.20%,± 1.1%
"Pittsylvania County, Virginia",3.60%,± 1%
"Piute County, Utah",1.40%,± 2.4%
"Placer County, California",14.60%,± 0.6%
"Plaquemines Parish, Louisiana",8.50%,± 2.6%
"Platte County, Missouri",25.60%,± 1.6%
"Platte County, Nebraska",13.30%,± 2%
"Platte County, Wyoming",7.40%,± 2.9%
"Pleasants County, West Virginia",5.80%,± 2.5%
"Plumas County, California",6.90%,± 2.1%
"Plymouth County, Iowa",12.50%,± 2%
"Plymouth County, Massachusetts",22.50%,± 0.8%
"Pocahontas County, Iowa",6%,± 1.8%
"Pocahontas County, West Virginia",3%,± 1.5%
"Poinsett County, Arkansas",11.80%,± 2.3%
"Pointe Coupee Parish, Louisiana",2.70%,± 1.1%
"Polk County, Arkansas",3.80%,± 1.5%
"Polk County, Florida",14.30%,± 0.6%
"Polk County, Georgia",12.10%,± 2.4%
"Polk County, Iowa",26.20%,± 0.7%
"Polk County, Minnesota",18.70%,± 2.1%
"Polk County, Missouri",11.40%,± 1.8%
"Polk County, Nebraska",5.70%,± 1.7%
"Polk County, North Carolina",9.40%,± 1.7%
"Polk County, Oregon",21.30%,± 1.9%
"Polk County, Tennessee",4%,± 1.9%
"Polk County, Texas",7%,± 1.4%
"Polk County, Wisconsin",10.60%,± 1%
"Ponce Municipio, Puerto Rico",18.50%,± 1%
"Pondera County, Montana",9.90%,± 3.5%
"Pontotoc County, Mississippi",5.40%,± 1.8%
"Pontotoc County, Oklahoma",12.40%,± 1.4%
"Pope County, Arkansas",13.10%,± 1.6%
"Pope County, Illinois",7.40%,± 2.6%
"Pope County, Minnesota",10.30%,± 1.8%
"Poquoson city, Virginia",6.80%,± 2.7%
"Portage County, Ohio",19.50%,± 1%
"Portage County, Wisconsin",23.30%,± 1.3%
"Porter County, Indiana",16%,± 1.1%
"Portsmouth city, Virginia",27.50%,± 1.5%
"Posey County, Indiana",9.60%,± 1.9%
"Pottawatomie County, Kansas",4.70%,± 1.4%
"Pottawatomie County, Oklahoma",9.80%,± 0.9%
"Pottawattamie County, Iowa",17.40%,± 1.1%
"Potter County, Pennsylvania",7.90%,± 1.3%
"Potter County, South Dakota",8%,± 3.7%
"Potter County, Texas",20.30%,± 1.4%
"Powder River County, Montana",3.60%,± 1.9%
"Powell County, Kentucky",10.30%,± 2.7%
"Powell County, Montana",8.60%,± 3.5%
"Power County, Idaho",4.50%,± 2.9%
"Poweshiek County, Iowa",17.50%,± 2.7%
"Powhatan County, Virginia",1.10%,± 0.9%
"Prairie County, Arkansas",7.60%,± 3%
"Prairie County, Montana",1.90%,± 2.8%
"Pratt County, Kansas",8.60%,± 2.7%
"Preble County, Ohio",6.80%,± 1.2%
"Prentiss County, Mississippi",7.60%,± 2.1%
"Presidio County, Texas",17.30%,± 9.3%
"Presque Isle County, Michigan",3.60%,± 1.2%
"Preston County, West Virginia",7.40%,± 1.5%
"Price County, Wisconsin",9.50%,± 1.5%
"Prince Edward County, Virginia",18.20%,± 2.9%
"Prince George County, Virginia",7.50%,± 1.7%
"Prince George's County, Maryland",31.80%,± 0.5%
"Prince of Wales-Hyder Census Area, Alaska",11.70%,± 1.7%
"Prince William County, Virginia",16.90%,± 0.8%
"Providence County, Rhode Island",49.20%,± 0.7%
"Prowers County, Colorado",14.60%,± 4.3%
"Pueblo County, Colorado",15.10%,± 0.9%
"Pulaski County, Arkansas",26.70%,± 0.8%
"Pulaski County, Georgia",13.90%,± 5.9%
"Pulaski County, Illinois",10.70%,± 3%
"Pulaski County, Indiana",6.10%,± 2.6%
"Pulaski County, Kentucky",10.50%,± 1.8%
"Pulaski County, Missouri",15.80%,± 2.6%
"Pulaski County, Virginia",12.80%,± 2.1%
"Pushmataha County, Oklahoma",7.90%,± 1.7%
"Putnam County, Florida",7.90%,± 1%
"Putnam County, Georgia",7.40%,± 2.7%
"Putnam County, Illinois",5.80%,± 1.5%
"Putnam County, Indiana",10.80%,± 1.8%
"Putnam County, Missouri",6.90%,± 2.7%
"Putnam County, New York",13.40%,± 1.4%
"Putnam County, Ohio",6.10%,± 1.2%
"Putnam County, Tennessee",24.90%,± 1.6%
"Putnam County, West Virginia",8.60%,± 1.8%
"Quay County, New Mexico",7.80%,± 3.1%
"Quebradillas Municipio, Puerto Rico",10.80%,± 2.9%
"Queen Anne's County, Maryland",7.70%,± 1.4%
"Queens County, New York",70.30%,± 0.3%
"Quitman County, Georgia",0%,± 4.8%
"Quitman County, Mississippi",12.40%,± 2.8%
"Rabun County, Georgia",6.80%,± 1.5%
"Racine County, Wisconsin",23%,± 0.9%
"Radford city, Virginia",38%,± 4.4%
"Rains County, Texas",4.80%,± 1.8%
"Raleigh County, West Virginia",8.40%,± 1.5%
"Ralls County, Missouri",3.50%,± 1.5%
"Ramsey County, Minnesota",37.30%,± 0.5%
"Ramsey County, North Dakota",27.10%,± 3.7%
"Randall County, Texas",16.80%,± 1.2%
"Randolph County, Alabama",4.20%,± 1.4%
"Randolph County, Arkansas",9.50%,± 2%
"Randolph County, Georgia",34.40%,± 6.4%
"Randolph County, Illinois",11.10%,± 1.7%
"Randolph County, Indiana",8.10%,± 1.9%
"Randolph County, Missouri",11.40%,± 2.5%
"Randolph County, North Carolina",10%,± 1%
"Randolph County, West Virginia",10.80%,± 2%
"Rankin County, Mississippi",11.30%,± 1.3%
"Ransom County, North Dakota",13.90%,± 2.9%
"Rapides Parish, Louisiana",13.90%,± 1.2%
"Rappahannock County, Virginia",1.90%,± 1.6%
"Ravalli County, Montana",10%,± 1.6%
"Rawlins County, Kansas",5.80%,± 2.3%
"Ray County, Missouri",9.20%,± 2.1%
"Reagan County, Texas",6.20%,± 7.5%
"Real County, Texas",1.60%,± 2.3%
"Red Lake County, Minnesota",9.30%,± 2.2%
"Red River County, Texas",5.60%,± 2%
"Red River Parish, Louisiana",6.70%,± 2.7%
"Red Willow County, Nebraska",10.90%,± 3.1%
"Redwood County, Minnesota",9.40%,± 1.7%
"Reeves County, Texas",12.40%,± 4.8%
"Refugio County, Texas",6.60%,± 3.5%
"Reno County, Kansas",12.90%,± 1.6%
"Rensselaer County, New York",35.80%,± 1.2%
"Renville County, Minnesota",10.10%,± 1.7%
"Renville County, North Dakota",6.30%,± 2.3%
"Republic County, Kansas",8.20%,± 2.6%
"Reynolds County, Missouri",4.50%,± 1.7%
"Rhea County, Tennessee",9.20%,± 2%
"Rice County, Kansas",3.80%,± 1.3%
"Rice County, Minnesota",19%,± 1.4%
"Rich County, Utah",4.80%,± 2.6%
"Richardson County, Nebraska",7.10%,± 2.3%
"Richland County, Illinois",8.10%,± 2.1%
"Richland County, Montana",17%,± 3.8%
"Richland County, North Dakota",24%,± 2.3%
"Richland County, Ohio",16.50%,± 1.2%
"Richland County, South Carolina",25.20%,± 0.9%
"Richland County, Wisconsin",12.20%,± 1.8%
"Richland Parish, Louisiana",6%,± 1.9%
"Richmond city, Virginia",44.10%,± 1.2%
"Richmond County, Georgia",25.10%,± 1.5%
"Richmond County, New York",37.60%,± 1%
"Richmond County, North Carolina",12.20%,± 2.1%
"Richmond County, Virginia",12.40%,± 4.2%
"Riley County, Kansas",36.70%,± 2.2%
"Rincón Municipio, Puerto Rico",36.70%,± 5.1%
"Ringgold County, Iowa",6.30%,± 2%
"Rio Arriba County, New Mexico",3.40%,± 1%
"Rio Blanco County, Colorado",9.40%,± 2.6%
"Rio Grande County, Colorado",12.70%,± 4.5%
"Río Grande Municipio, Puerto Rico",4.70%,± 1.2%
"Ripley County, Indiana",11.30%,± 1.8%
"Ripley County, Missouri",4.30%,± 1.2%
"Ritchie County, West Virginia",3%,± 1.6%
"Riverside County, California",16.30%,± 0.3%
"Roane County, Tennessee",9.70%,± 1.7%
"Roane County, West Virginia",4.90%,± 1.6%
"Roanoke city, Virginia",32%,± 1.6%
"Roanoke County, Virginia",18%,± 1.6%
"Roberts County, South Dakota",6.90%,± 1.3%
"Roberts County, Texas",2.20%,± 3.4%
"Robertson County, Kentucky",3.90%,± 2.3%
"Robertson County, Tennessee",8.10%,± 1.2%
"Robertson County, Texas",11.30%,± 2.4%
"Robeson County, North Carolina",9.20%,± 0.6%
"Rock County, Minnesota",9.90%,± 2.2%
"Rock County, Nebraska",2.60%,± 1.8%
"Rock County, Wisconsin",19.30%,± 0.9%
"Rock Island County, Illinois",21.90%,± 1.2%
"Rockbridge County, Virginia",6.70%,± 2.1%
"Rockcastle County, Kentucky",7.60%,± 1.9%
"Rockdale County, Georgia",17.20%,± 1.9%
"Rockingham County, New Hampshire",21.40%,± 0.8%
"Rockingham County, North Carolina",10.50%,± 1.2%
"Rockingham County, Virginia",9%,± 1.2%
"Rockland County, New York",33.30%,± 0.9%
"Rockwall County, Texas",8.80%,± 1.4%
"Roger Mills County, Oklahoma",1.60%,± 1.3%
"Rogers County, Oklahoma",7.80%,± 0.6%
"Rolette County, North Dakota",9.90%,± 2.2%
"Rooks County, Kansas",9.20%,± 2.8%
"Roosevelt County, Montana",6.90%,± 1.7%
"Roosevelt County, New Mexico",10.80%,± 4%
"Roscommon County, Michigan",5%,± 1.2%
"Roseau County, Minnesota",14.20%,± 2%
"Rosebud County, Montana",14.10%,± 3%
"Ross County, Ohio",11.20%,± 1.5%
"Routt County, Colorado",20.10%,± 2.9%
"Rowan County, Kentucky",13.20%,± 2.5%
"Rowan County, North Carolina",11.40%,± 1.1%
"Runnels County, Texas",3.60%,± 2.1%
"Rush County, Indiana",10.60%,± 2.5%
"Rush County, Kansas",2.90%,± 2.4%
"Rusk County, Texas",5.70%,± 1.3%
"Rusk County, Wisconsin",8.40%,± 1.7%
"Russell County, Alabama",17.80%,± 1.8%
"Russell County, Kansas",6.60%,± 3.7%
"Russell County, Kentucky",8%,± 2.7%
"Russell County, Virginia",5.50%,± 1.6%
"Rutherford County, North Carolina",7.70%,± 1.3%
"Rutherford County, Tennessee",21.50%,± 1.1%
"Rutland County, Vermont",22.40%,± 1.5%
"Sabana Grande Municipio, Puerto Rico",6.10%,± 1.7%
"Sabine County, Texas",2.70%,± 1.3%
"Sabine Parish, Louisiana",6.70%,± 1.5%
"Sac County, Iowa",7.70%,± 1.7%
"Sacramento County, California",25.40%,± 0.4%
"Sagadahoc County, Maine",16.40%,± 1.9%
"Saginaw County, Michigan",15.60%,± 0.8%
"Saguache County, Colorado",5.10%,± 2.5%
"Salem city, Virginia",21.90%,± 2.5%
"Salem County, New Jersey",16%,± 1.6%
"Salinas Municipio, Puerto Rico",4.40%,± 1.3%
"Saline County, Arkansas",8.80%,± 1.2%
"Saline County, Illinois",13%,± 2.1%
"Saline County, Kansas",15.90%,± 2%
"Saline County, Missouri",12.40%,± 2.4%
"Saline County, Nebraska",11.20%,± 3.5%
"Salt Lake County, Utah",26.90%,± 0.6%
"Saluda County, South Carolina",3.40%,± 1.8%
"Sampson County, North Carolina",5%,± 0.7%
"San Augustine County, Texas",8.30%,± 2.6%
"San Benito County, California",10.90%,± 1.5%
"San Bernardino County, California",20.80%,± 0.4%
"San Diego County, California",35.30%,± 0.3%
"San Francisco County, California",67.30%,± 0.6%
"San Germán Municipio, Puerto Rico",12.30%,± 2.2%
"San Jacinto County, Texas",2.70%,± 1.1%
"San Joaquin County, California",16.80%,± 0.6%
"San Juan County, Colorado",15.70%,± 7.2%
"San Juan County, New Mexico",10.50%,± 1.3%
"San Juan County, Utah",4.50%,± 1.8%
"San Juan County, Washington",6.70%,± 0.9%
"San Juan Municipio, Puerto Rico",47.50%,± 0.9%
"San Lorenzo Municipio, Puerto Rico",4.70%,± 1.4%
"San Luis Obispo County, California",18.10%,± 0.9%
"San Mateo County, California",33.20%,± 0.5%
"San Miguel County, Colorado",40%,± 3.5%
"San Miguel County, New Mexico",11.90%,± 2.5%
"San Patricio County, Texas",15.60%,± 1.8%
"San Saba County, Texas",3%,± 1.9%
"San Sebastián Municipio, Puerto Rico",8.90%,± 1.9%
"Sanborn County, South Dakota",9.40%,± 3.7%
"Sanders County, Montana",4.70%,± 1.4%
"Sandoval County, New Mexico",5.70%,± 0.7%
"Sandusky County, Ohio",14.10%,± 1.4%
"Sangamon County, Illinois",17%,± 1%
"Sanilac County, Michigan",8.30%,± 1%
"Sanpete County, Utah",7.70%,± 1.7%
"Santa Barbara County, California",30.50%,± 0.8%
"Santa Clara County, California",33.70%,± 0.4%
"Santa Cruz County, Arizona",13.60%,± 2.3%
"Santa Cruz County, California",21%,± 0.9%
"Santa Fe County, New Mexico",14.50%,± 1%
"Santa Isabel Municipio, Puerto Rico",3.40%,± 1.5%
"Santa Rosa County, Florida",8%,± 1.1%
"Sarasota County, Florida",21%,± 0.7%
"Saratoga County, New York",25.30%,± 1%
"Sargent County, North Dakota",16.20%,± 2.4%
"Sarpy County, Nebraska",19.80%,± 0.9%
"Sauk County, Wisconsin",19.30%,± 1.5%
"Saunders County, Nebraska",8.50%,± 1.3%
"Sawyer County, Wisconsin",10%,± 1.8%
"Schenectady County, New York",35.40%,± 1.4%
"Schleicher County, Texas",0.20%,± 0.3%
"Schley County, Georgia",4.70%,± 2.4%
"Schoharie County, New York",15%,± 1.6%
"Schoolcraft County, Michigan",8.70%,± 2.5%
"Schuyler County, Illinois",6%,± 3.5%
"Schuyler County, Missouri",10.30%,± 2.8%
"Schuyler County, New York",11.90%,± 1.9%
"Schuylkill County, Pennsylvania",11.60%,± 0.9%
"Scioto County, Ohio",11.10%,± 1.3%
"Scotland County, Missouri",6.70%,± 3.1%
"Scotland County, North Carolina",14.30%,± 1.7%
"Scott County, Arkansas",7.60%,± 2.5%
"Scott County, Illinois",6.40%,± 2.2%
"Scott County, Indiana",13.80%,± 3.4%
"Scott County, Iowa",22.20%,± 1%
"Scott County, Kansas",7.20%,± 5.3%
"Scott County, Kentucky",15.50%,± 1.4%
"Scott County, Minnesota",11.20%,± 1%
"Scott County, Mississippi",6.70%,± 2.2%
"Scott County, Missouri",11.30%,± 1.9%
"Scott County, Tennessee",6.60%,± 2.4%
"Scott County, Virginia",4.70%,± 1.3%
"Scotts Bluff County, Nebraska",15.40%,± 1.8%
"Screven County, Georgia",4.70%,± 1.8%
"Scurry County, Texas",6.60%,± 2.3%
"Searcy County, Arkansas",6.80%,± 2.3%
"Sebastian County, Arkansas",23%,± 1.5%
"Sedgwick County, Colorado",13.90%,± 4.3%
"Sedgwick County, Kansas",20.90%,± 0.7%
"Seminole County, Florida",26.50%,± 0.8%
"Seminole County, Georgia",5%,± 2.3%
"Seminole County, Oklahoma",7.40%,± 1.1%
"Seneca County, New York",17.70%,± 2.4%
"Seneca County, Ohio",14.30%,± 1.4%
"Sequatchie County, Tennessee",4.70%,± 1.7%
"Sequoyah County, Oklahoma",6.50%,± 0.9%
"Sevier County, Arkansas",5.80%,± 2.7%
"Sevier County, Tennessee",13.10%,± 1.5%
"Sevier County, Utah",9.10%,± 2.1%
"Seward County, Kansas",18.90%,± 3.7%
"Seward County, Nebraska",12.30%,± 1.9%
"Shackelford County, Texas",5.70%,± 3.2%
"Shannon County, Missouri",4%,± 1.7%
"Sharkey County, Mississippi",13.70%,± 4.9%
"Sharp County, Arkansas",5.40%,± 1.4%
"Shasta County, California",16.40%,± 1.1%
"Shawano County, Wisconsin",10.40%,± 1.2%
"Shawnee County, Kansas",17.80%,± 0.9%
"Sheboygan County, Wisconsin",25.20%,± 1.2%
"Shelby County, Alabama",10.20%,± 0.7%
"Shelby County, Illinois",5.50%,± 2%
"Shelby County, Indiana",12.40%,± 1.6%
"Shelby County, Iowa",7.30%,± 1.5%
"Shelby County, Kentucky",13.80%,± 1.8%
"Shelby County, Missouri",9.10%,± 2.6%
"Shelby County, Ohio",14.50%,± 1.6%
"Shelby County, Tennessee",25.20%,± 0.6%
"Shelby County, Texas",5.90%,± 2%
"Shenandoah County, Virginia",12.70%,± 1.8%
"Sherburne County, Minnesota",11.90%,± 1.6%
"Sheridan County, Kansas",4.10%,± 2.2%
"Sheridan County, Montana",7.10%,± 2.4%
"Sheridan County, Nebraska",5.90%,± 2%
"Sheridan County, North Dakota",9.80%,± 4.1%
"Sheridan County, Wyoming",14.60%,± 2.7%
"Sherman County, Kansas",10.30%,± 5%
"Sherman County, Nebraska",4.60%,± 1.7%
"Sherman County, Oregon",4.70%,± 2.1%
"Sherman County, Texas",3.50%,± 4.7%
"Shiawassee County, Michigan",11.60%,± 1.2%
"Shoshone County, Idaho",11%,± 2.1%
"Sibley County, Minnesota",10.60%,± 2%
"Sierra County, California",3%,± 3.5%
"Sierra County, New Mexico",8.40%,± 3.6%
"Silver Bow County, Montana",16.20%,± 2.6%
"Simpson County, Kentucky",13.40%,± 2.6%
"Simpson County, Mississippi",5%,± 1.3%
"Sioux County, Iowa",12.80%,± 1.9%
"Sioux County, Nebraska",4.40%,± 4%
"Sioux County, North Dakota",6.10%,± 3.2%
"Siskiyou County, California",13.80%,± 1.7%
"Sitka City and Borough, Alaska",31.40%,± 3%
"Skagit County, Washington",15.90%,± 1%
"Skagway Municipality, Alaska",22.70%,± 5%
"Skamania County, Washington",7%,± 1.5%
"Slope County, North Dakota",0.30%,± 0.7%
"Smith County, Kansas",5.80%,± 2.8%
"Smith County, Mississippi",3.60%,± 1.8%
"Smith County, Tennessee",6.10%,± 1.5%
"Smith County, Texas",15.70%,± 1.1%
"Smyth County, Virginia",9.70%,± 1.7%
"Snohomish County, Washington",24.90%,± 0.6%
"Snyder County, Pennsylvania",9.40%,± 1.3%
"Socorro County, New Mexico",11.30%,± 3.7%
"Solano County, California",20.90%,± 0.7%
"Somerset County, Maine",10.70%,± 1.1%
"Somerset County, Maryland",19.70%,± 3.2%
"Somerset County, New Jersey",25.60%,± 1.1%
"Somerset County, Pennsylvania",9.30%,± 0.9%
"Somervell County, Texas",4.70%,± 2.1%
"Sonoma County, California",21.10%,± 0.7%
"South Central Connecticut Planning Region, Connecticut",39.30%,± 0.7%
"Southampton County, Virginia",4%,± 1.3%
"Southeast Fairbanks Census Area, Alaska",4.20%,± 1.3%
"Southeastern Connecticut Planning Region, Connecticut",29.80%,± 1%
"Spalding County, Georgia",13.30%,± 2.1%
"Spartanburg County, South Carolina",11.60%,± 0.6%
"Spencer County, Indiana",8.60%,± 1.7%
"Spencer County, Kentucky",4.50%,± 1.3%
"Spink County, South Dakota",10.50%,± 2.9%
"Spokane County, Washington",25.10%,± 0.6%
"Spotsylvania County, Virginia",8.60%,± 0.9%
"St. Bernard Parish, Louisiana",13%,± 1.7%
"St. Charles County, Missouri",13.90%,± 0.6%
"St. Charles Parish, Louisiana",9.60%,± 2%
"St. Clair County, Alabama",5.20%,± 0.9%
"St. Clair County, Illinois",17.70%,± 0.9%
"St. Clair County, Michigan",10.30%,± 0.7%
"St. Clair County, Missouri",6.40%,± 1.4%
"St. Croix County, Wisconsin",14.20%,± 1.5%
"St. Francis County, Arkansas",23.90%,± 3.5%
"St. Francois County, Missouri",18.40%,± 2.1%
"St. Helena Parish, Louisiana",6.10%,± 3.5%
"St. James Parish, Louisiana",6.30%,± 1.7%
"St. John the Baptist Parish, Louisiana",6.60%,± 1.9%
"St. Johns County, Florida",12.40%,± 0.8%
"St. Joseph County, Indiana",19.30%,± 0.9%
"St. Joseph County, Michigan",13.20%,± 1.3%
"St. Landry Parish, Louisiana",10.40%,± 1.2%
"St. Lawrence County, New York",19.40%,± 1.4%
"St. Louis city, Missouri",50%,± 1%
"St. Louis County, Minnesota",20.80%,± 0.8%
"St. Louis County, Missouri",22.20%,± 0.5%
"St. Lucie County, Florida",15.80%,± 0.8%
"St. Martin Parish, Louisiana",4%,± 1.2%
"St. Mary Parish, Louisiana",10.50%,± 1.7%
"St. Mary's County, Maryland",15.20%,± 1.6%
"St. Tammany Parish, Louisiana",11.10%,± 0.9%
"Stafford County, Kansas",2.90%,± 1.2%
"Stafford County, Virginia",8.60%,± 1%
"Stanislaus County, California",15.20%,± 0.6%
"Stanley County, South Dakota",10.50%,± 4.1%
"Stanly County, North Carolina",7.30%,± 1.6%
"Stanton County, Kansas",1%,± 1%
"Stanton County, Nebraska",5.90%,± 2.3%
"Stark County, Illinois",8.10%,± 1.9%
"Stark County, North Dakota",27.50%,± 2.8%
"Stark County, Ohio",18.60%,± 0.7%
"Starke County, Indiana",7.10%,± 1.6%
"Starr County, Texas",9%,± 1.7%
"Staunton city, Virginia",23.30%,± 2.5%
"Ste. Genevieve County, Missouri",8.30%,± 2.3%
"Stearns County, Minnesota",25.10%,± 1.2%
"Steele County, Minnesota",16%,± 1.5%
"Steele County, North Dakota",8%,± 3.7%
"Stephens County, Georgia",11.10%,± 2.5%
"Stephens County, Oklahoma",7%,± 0.8%
"Stephens County, Texas",12.70%,± 4.7%
"Stephenson County, Illinois",17.50%,± 1.8%
"Sterling County, Texas",2%,± 3.2%
"Steuben County, Indiana",8.60%,± 1.5%
"Steuben County, New York",18.50%,± 1.3%
"Stevens County, Kansas",2.60%,± 1.9%
"Stevens County, Minnesota",17.30%,± 2.8%
"Stevens County, Washington",5.10%,± 0.9%
"Stewart County, Georgia",10.60%,± 7%
"Stewart County, Tennessee",4.70%,± 1.5%
"Stillwater County, Montana",4.70%,± 1.6%
"Stoddard County, Missouri",10%,± 1.6%
"Stokes County, North Carolina",5.10%,± 1.3%
"Stone County, Arkansas",4.20%,± 2.1%
"Stone County, Mississippi",4.70%,± 2.1%
"Stone County, Missouri",7.40%,± 1.2%
"Stonewall County, Texas",6.70%,± 5.2%
"Storey County, Nevada",0%,± 2.5%
"Story County, Iowa",36.80%,± 1.5%
"Strafford County, New Hampshire",30.40%,± 1.6%
"Stutsman County, North Dakota",27.40%,± 3.5%
"Sublette County, Wyoming",4.70%,± 2.7%
"Suffolk city, Virginia",16%,± 1.2%
"Suffolk County, Massachusetts",79.10%,± 0.5%
"Suffolk County, New York",13.40%,± 0.4%
"Sullivan County, Indiana",8.40%,± 2.3%
"Sullivan County, Missouri",8.50%,± 2.5%
"Sullivan County, New Hampshire",20.10%,± 2.1%
"Sullivan County, New York",19%,± 1.5%
"Sullivan County, Pennsylvania",6.40%,± 1.7%
"Sullivan County, Tennessee",15.40%,± 1%
"Sully County, South Dakota",2%,± 1.7%
"Summers County, West Virginia",3%,± 1.3%
"Summit County, Colorado",27.90%,± 4.1%
"Summit County, Ohio",21.20%,± 0.6%
"Summit County, Utah",13.50%,± 1.8%
"Sumner County, Kansas",9%,± 2.1%
"Sumner County, Tennessee",16.30%,± 1.2%
"Sumter County, Alabama",10.10%,± 3.2%
"Sumter County, Florida",4.60%,± 1%
"Sumter County, Georgia",21.30%,± 3%
"Sumter County, South Carolina",11.40%,± 1.3%
"Sunflower County, Mississippi",18.10%,± 3.8%
"Surry County, North Carolina",9.70%,± 1.2%
"Surry County, Virginia",5.40%,± 2.1%
"Susquehanna County, Pennsylvania",9.40%,± 1%
"Sussex County, Delaware",8.60%,± 0.8%
"Sussex County, New Jersey",11.50%,± 1.1%
"Sussex County, Virginia",7.50%,± 2.5%
"Sutter County, California",17.90%,± 1.4%
"Sutton County, Texas",18.60%,± 8.1%
"Suwannee County, Florida",4.70%,± 1.6%
"Swain County, North Carolina",6.50%,± 1.7%
"Sweet Grass County, Montana",8.50%,± 3.2%
"Sweetwater County, Wyoming",13.90%,± 2.1%
"Swift County, Minnesota",14.10%,± 2.6%
"Swisher County, Texas",4.40%,± 2.6%
"Switzerland County, Indiana",9.70%,± 2.2%
"Talbot County, Georgia",2.90%,± 1.5%
"Talbot County, Maryland",14.80%,± 1.8%
"Taliaferro County, Georgia",4.80%,± 3.1%
"Talladega County, Alabama",9.60%,± 1.4%
"Tallahatchie County, Mississippi",7%,± 2.9%
"Tallapoosa County, Alabama",8.70%,± 1.6%
"Tama County, Iowa",8.30%,± 1.5%
"Taney County, Missouri",26.10%,± 2%
"Tangipahoa Parish, Louisiana",11.20%,± 1.3%
"Taos County, New Mexico",7.40%,± 2%
"Tarrant County, Texas",26.70%,± 0.4%
"Tate County, Mississippi",6.80%,± 1.7%
"Tattnall County, Georgia",7.10%,± 2.6%
"Taylor County, Florida",4.20%,± 1.9%
"Taylor County, Georgia",8.90%,± 3%
"Taylor County, Iowa",6.70%,± 1.9%
"Taylor County, Kentucky",9.90%,± 2.6%
"Taylor County, Texas",21.40%,± 1.2%
"Taylor County, West Virginia",10.20%,± 4.3%
"Taylor County, Wisconsin",11%,± 1.9%
"Tazewell County, Illinois",13.90%,± 1.1%
"Tazewell County, Virginia",8.90%,± 1.9%
"Tehama County, California",11.80%,± 1.8%
"Telfair County, Georgia",7.90%,± 3.3%
"Teller County, Colorado",7.30%,± 1.5%
"Tensas Parish, Louisiana",5.10%,± 2.3%
"Terrebonne Parish, Louisiana",11.60%,± 1.5%
"Terrell County, Georgia",13.10%,± 4%
"Terrell County, Texas",0%,± 10.8%
"Terry County, Texas",6%,± 2.8%
"Teton County, Idaho",15.90%,± 3.7%
"Teton County, Montana",5.80%,± 2.4%
"Teton County, Wyoming",24.70%,± 3.9%
"Texas County, Missouri",7.90%,± 1.6%
"Texas County, Oklahoma",12.90%,± 3.6%
"Thayer County, Nebraska",5.20%,± 1.5%
"Thomas County, Georgia",13.70%,± 2%
"Thomas County, Kansas",9.50%,± 4.1%
"Thomas County, Nebraska",1.30%,± 1.8%
"Throckmorton County, Texas",9.40%,± 4%
"Thurston County, Nebraska",10.30%,± 2.2%
"Thurston County, Washington",19.40%,± 0.8%
"Tift County, Georgia",14.60%,± 2.3%
"Tillamook County, Oregon",9.60%,± 1.7%
"Tillman County, Oklahoma",7.40%,± 2.7%
"Tioga County, New York",15%,± 1.4%
"Tioga County, Pennsylvania",11.80%,± 1.2%
"Tippah County, Mississippi",5.40%,± 2.3%
"Tippecanoe County, Indiana",33.90%,± 1.2%
"Tipton County, Indiana",6%,± 2.2%
"Tipton County, Tennessee",6.10%,± 1.3%
"Tishomingo County, Mississippi",9.50%,± 2%
"Titus County, Texas",15.80%,± 2.2%
"Toa Alta Municipio, Puerto Rico",5.90%,± 1.4%
"Toa Baja Municipio, Puerto Rico",19.80%,± 1.7%
"Todd County, Kentucky",5.80%,± 2%
