Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Estimate",MoE
"Sioux County, Iowa","7,133",± 473
"Sioux County, Nebraska",183,± 44
"Sioux County, North Dakota",381,± 51
"Siskiyou County, California","5,558",± 486
"Sitka City and Borough, Alaska","1,786",± 199
"Skagit County, Washington","20,778",± 917
"Skagway Municipality, Alaska",219,± 81
"Skamania County, Washington","2,272",± 254
"Slope County, North Dakota",245,± 56
"Smith County, Kansas",682,± 86
"Smith County, Mississippi","1,744",± 310
"Smith County, Tennessee","2,552",± 324
"Smith County, Texas","36,979","± 1,517"
"Smyth County, Virginia","3,139",± 374
"Snohomish County, Washington","184,470","± 3,187"
"Snyder County, Pennsylvania","6,348",± 380
"Socorro County, New Mexico","2,342",± 390
"Solano County, California","73,154","± 1,925"
"Somerset County, Maine","6,627",± 564
"Somerset County, Maryland","2,877",± 360
"Somerset County, New Jersey","104,924","± 1,932"
"Somerset County, Pennsylvania","10,483",± 566
"Somervell County, Texas","1,635",± 304
"Sonoma County, California","102,376","± 2,447"
"South Central Connecticut Planning Region, Connecticut","132,737","± 2,677"
"Southampton County, Virginia","3,096",± 301
"Southeast Fairbanks Census Area, Alaska",782,± 152
"Southeastern Connecticut Planning Region, Connecticut","57,286","± 1,671"
"Spalding County, Georgia","7,934",± 830
"Spartanburg County, South Carolina","49,474","± 1,553"
"Spencer County, Indiana","3,237",± 309
"Spencer County, Kentucky","3,434",± 366
"Spink County, South Dakota","1,185",± 106
"Spokane County, Washington","98,692","± 2,517"
"Spotsylvania County, Virginia","30,315","± 1,269"
"St. Bernard Parish, Louisiana","6,006",± 579
"St. Charles County, Missouri","102,763","± 2,119"
"St. Charles Parish, Louisiana","9,751",± 578
"St. Clair County, Alabama","14,657",± 993
"St. Clair County, Illinois","46,225","± 1,628"
"St. Clair County, Michigan","23,555",± 949
"St. Clair County, Missouri","1,144",± 149
"St. Croix County, Wisconsin","21,512",± 887
"St. Francis County, Arkansas","2,049",± 270
"St. Francois County, Missouri","7,958",± 705
"St. Helena Parish, Louisiana",924,± 270
"St. James Parish, Louisiana","2,910",± 301
"St. John the Baptist Parish, Louisiana","5,442",± 722
"St. Johns County, Florida","63,796","± 2,324"
"St. Joseph County, Indiana","51,563","± 1,394"
"St. Joseph County, Michigan","7,103",± 455
"St. Landry Parish, Louisiana","8,006",± 724
"St. Lawrence County, New York","16,326",± 722
"St. Louis city, Missouri","71,994","± 1,768"
"St. Louis County, Minnesota","37,173","± 1,243"
"St. Louis County, Missouri","244,289","± 3,206"
"St. Lucie County, Florida","47,035","± 2,192"
"St. Martin Parish, Louisiana","5,791",± 549
"St. Mary Parish, Louisiana","5,054",± 544
"St. Mary's County, Maryland","28,594","± 1,350"
"St. Tammany Parish, Louisiana","54,188","± 2,054"
"Stafford County, Kansas",700,± 92
"Stafford County, Virginia","37,529","± 1,220"
"Stanislaus County, California","69,838","± 1,984"
"Stanley County, South Dakota",657,± 98
"Stanly County, North Carolina","8,621",± 588
"Stanton County, Kansas",291,± 95
"Stanton County, Nebraska","1,061",± 183
"Stark County, Illinois",737,± 103
"Stark County, North Dakota","5,613",± 475
"Stark County, Ohio","62,767","± 1,423"
"Starke County, Indiana","2,791",± 349
"Starr County, Texas","6,045",± 559
"Staunton city, Virginia","4,531",± 398
"Ste. Genevieve County, Missouri","2,354",± 318
"Stearns County, Minnesota","30,563","± 1,196"
"Steele County, Minnesota","6,940",± 495
"Steele County, North Dakota",404,± 73
"Stephens County, Georgia","2,908",± 452
"Stephens County, Oklahoma","5,540",± 428
"Stephens County, Texas","1,314",± 277
"Stephenson County, Illinois","6,641",± 470
"Sterling County, Texas",191,± 74
"Steuben County, Indiana","4,766",± 486
"Steuben County, New York","16,516",± 629
"Stevens County, Kansas",503,± 108
"Stevens County, Minnesota","1,739",± 137
"Stevens County, Washington","5,673",± 506
"Stewart County, Georgia",316,± 120
"Stewart County, Tennessee","1,838",± 308
"Stillwater County, Montana","1,258",± 148
"Stoddard County, Missouri","3,662",± 322
"Stokes County, North Carolina","5,971",± 747
"Stone County, Arkansas","1,103",± 226
"Stone County, Mississippi","2,103",± 435
"Stone County, Missouri","3,785",± 389
"Stonewall County, Texas",128,± 40
"Storey County, Nevada",556,± 128
"Story County, Iowa","24,707",± 963
"Strafford County, New Hampshire","30,569","± 1,373"
"Stutsman County, North Dakota","3,848",± 367
"Sublette County, Wyoming","1,463",± 304
"Suffolk city, Virginia","18,354",± 778
"Suffolk County, Massachusetts","225,486","± 2,984"
"Suffolk County, New York","338,925","± 4,741"
"Sullivan County, Indiana","2,790",± 327
"Sullivan County, Missouri",603,± 91
"Sullivan County, New Hampshire","7,645",± 607
"Sullivan County, New York","12,456",± 698
"Sullivan County, Pennsylvania",749,± 84
"Sullivan County, Tennessee","25,485","± 1,175"
"Sully County, South Dakota",380,± 66
"Summers County, West Virginia","1,214",± 219
"Summit County, Colorado","7,764",± 715
"Summit County, Ohio","109,601","± 2,328"
"Summit County, Utah","11,503",± 627
"Sumner County, Kansas","3,132",± 275
"Sumner County, Tennessee","39,442","± 1,379"
"Sumter County, Alabama","1,089",± 182
"Sumter County, Florida","9,560",± 839
"Sumter County, Georgia","4,260",± 606
"Sumter County, South Carolina","13,455","± 1,011"
"Sunflower County, Mississippi","2,855",± 345
"Surry County, North Carolina","9,535",± 592
"Surry County, Virginia",944,± 195
"Susquehanna County, Pennsylvania","5,514",± 324
"Sussex County, Delaware","36,217","± 1,296"
"Sussex County, New Jersey","34,203",± 894
"Sussex County, Virginia","1,234",± 188
"Sutter County, California","12,438",± 967
"Sutton County, Texas",442,± 122
"Suwannee County, Florida","4,925",± 790
"Swain County, North Carolina","1,731",± 257
"Sweet Grass County, Montana",619,± 88
"Sweetwater County, Wyoming","6,452",± 626
"Swift County, Minnesota","1,798",± 174
"Swisher County, Texas","1,035",± 189
"Switzerland County, Indiana","1,024",± 172
"Talbot County, Georgia",817,± 168
"Talbot County, Maryland","7,484",± 564
"Taliaferro County, Georgia",133,± 39
"Talladega County, Alabama","8,929",± 663
"Tallahatchie County, Mississippi","1,285",± 252
"Tallapoosa County, Alabama","4,000",± 529
"Tama County, Iowa","2,289",± 200
"Taney County, Missouri","8,352",± 582
"Tangipahoa Parish, Louisiana","19,411","± 1,214"
"Taos County, New Mexico","5,411",± 646
"Tarrant County, Texas","412,834","± 5,372"
"Tate County, Mississippi","3,517",± 484
"Tattnall County, Georgia","2,524",± 351
"Taylor County, Florida","2,327",± 394
"Taylor County, Georgia",839,± 184
"Taylor County, Iowa",915,± 112
"Taylor County, Kentucky","3,672",± 512
"Taylor County, Texas","23,794","± 1,379"
"Taylor County, West Virginia","1,958",± 318
"Taylor County, Wisconsin","2,891",± 213
"Tazewell County, Illinois","24,203",± 870
"Tazewell County, Virginia","4,370",± 546
"Tehama County, California","6,679",± 689
"Telfair County, Georgia",941,± 265
"Teller County, Colorado","5,602",± 471
"Tensas Parish, Louisiana",285,± 70
"Terrebonne Parish, Louisiana","15,189",± 970
"Terrell County, Georgia",728,± 156
"Terrell County, Texas",120,± 55
"Terry County, Texas","1,214",± 319
"Teton County, Idaho","2,974",± 381
"Teton County, Montana","1,146",± 125
"Teton County, Wyoming","6,993",± 576
"Texas County, Missouri","2,743",± 333
"Texas County, Oklahoma","2,670",± 365
"Thayer County, Nebraska",817,± 93
"Thomas County, Georgia","7,304",± 548
"Thomas County, Kansas","1,470",± 209
"Thomas County, Nebraska",147,± 33
"Throckmorton County, Texas",261,± 69
"Thurston County, Nebraska",988,± 93
"Thurston County, Washington","57,729","± 1,833"
"Tift County, Georgia","5,968",± 626
"Tillamook County, Oregon","3,657",± 425
"Tillman County, Oklahoma",784,± 132
"Tioga County, New York","8,506",± 533
"Tioga County, Pennsylvania","5,835",± 361
"Tippah County, Mississippi","2,341",± 368
"Tippecanoe County, Indiana","38,999","± 1,427"
"Tipton County, Indiana","2,460",± 295
"Tipton County, Tennessee","9,062",± 725
"Tishomingo County, Mississippi","2,369",± 329
"Titus County, Texas","3,365",± 405
"Toa Alta Municipio, Puerto Rico","8,548",± 704
"Toa Baja Municipio, Puerto Rico","8,031",± 670
"Todd County, Kentucky","1,600",± 218
"Todd County, Minnesota","3,369",± 194
"Todd County, South Dakota",982,± 124
"Tom Green County, Texas","18,612","± 1,003"
"Tompkins County, New York","28,822","± 1,044"
"Tooele County, Utah","12,480",± 838
"Toole County, Montana",861,± 171
"Toombs County, Georgia","3,318",± 462
"Torrance County, New Mexico","1,451",± 328
"Towner County, North Dakota",449,± 87
"Towns County, Georgia","1,501",± 219
"Traill County, North Dakota","1,777",± 140
"Transylvania County, North Carolina","5,301",± 538
"Traverse County, Minnesota",661,± 64
"Travis County, Texas","400,572","± 4,838"
"Treasure County, Montana",163,± 53
"Trego County, Kansas",372,± 75
"Trempealeau County, Wisconsin","4,817",± 269
"Treutlen County, Georgia",786,± 248
"Trigg County, Kentucky","1,814",± 305
"Trimble County, Kentucky",911,± 226
"Trinity County, California","1,871",± 500
"Trinity County, Texas","1,749",± 284
"Tripp County, South Dakota","1,025",± 150
"Troup County, Georgia","9,008",± 855
"Trousdale County, Tennessee","1,223",± 323
"Trujillo Alto Municipio, Puerto Rico","10,837",± 990
"Trumbull County, Ohio","26,243","± 1,325"
"Tucker County, West Virginia",955,± 160
"Tulare County, California","50,802","± 2,095"
"Tulsa County, Oklahoma","128,168","± 1,744"
"Tunica County, Mississippi",731,± 228
"Tuolumne County, California","7,737",± 657
"Turner County, Georgia",795,± 198
"Turner County, South Dakota","1,611",± 153
"Tuscaloosa County, Alabama","41,084","± 1,516"
"Tuscarawas County, Ohio","12,867",± 825
"Tuscola County, Michigan","6,110",± 381
"Twiggs County, Georgia",565,± 185
"Twin Falls County, Idaho","13,987",± 994
"Tyler County, Texas","1,901",± 269
"Tyler County, West Virginia",892,± 171
"Tyrrell County, North Carolina",365,± 166
"Uinta County, Wyoming","2,982",± 393
"Uintah County, Utah","4,043",± 415
"Ulster County, New York","36,395","± 1,295"
"Umatilla County, Oregon","9,868",± 775
"Unicoi County, Tennessee","2,410",± 311
"Union County, Arkansas","5,201",± 541
"Union County, Florida","1,244",± 210
"Union County, Georgia","3,534",± 525
"Union County, Illinois","2,044",± 284
"Union County, Indiana","1,183",± 244
"Union County, Iowa","1,694",± 235
"Union County, Kentucky","1,443",± 194
"Union County, Mississippi","3,593",± 460
"Union County, New Jersey","116,708","± 2,371"
"Union County, New Mexico",471,± 129
"Union County, North Carolina","54,421","± 1,673"
"Union County, Ohio","15,282",± 862
"Union County, Oregon","3,591",± 287
"Union County, Pennsylvania","6,997",± 460
"Union County, South Carolina","2,645",± 359
"Union County, South Dakota","3,560",± 394
"Union County, Tennessee","2,218",± 409
"Union Parish, Louisiana","2,358",± 355
"Upshur County, Texas","5,251",± 557
"Upshur County, West Virginia","2,903",± 353
"Upson County, Georgia","3,264",± 481
"Upton County, Texas",444,± 132
"Utah County, Utah","144,265","± 2,010"
"Utuado Municipio, Puerto Rico","2,039",± 307
"Uvalde County, Texas","2,872",± 534
"Val Verde County, Texas","5,136",± 658
"Valencia County, New Mexico","10,059",± 822
"Valley County, Idaho","1,601",± 404
"Valley County, Montana","1,053",± 143
"Valley County, Nebraska",804,± 101
"Van Buren County, Arkansas","1,412",± 217
"Van Buren County, Iowa",919,± 143
"Van Buren County, Michigan","10,737",± 636
"Van Buren County, Tennessee",826,± 198
"Van Wert County, Ohio","4,647",± 413
"Van Zandt County, Texas","7,912",± 588
"Vance County, North Carolina","5,442",± 509
"Vanderburgh County, Indiana","30,343","± 1,090"
"Vega Alta Municipio, Puerto Rico","3,396",± 453
"Vega Baja Municipio, Puerto Rico","5,060",± 548
"Venango County, Pennsylvania","6,448",± 385
"Ventura County, California","161,660","± 2,829"
"Vermilion County, Illinois","8,534",± 618
"Vermilion Parish, Louisiana","7,808",± 730
"Vermillion County, Indiana","1,975",± 255
"Vernon County, Missouri","3,205",± 383
"Vernon County, Wisconsin","4,693",± 261
"Vernon Parish, Louisiana","4,936",± 391
"Victoria County, Texas","12,656",± 826
"Vieques Municipio, Puerto Rico",508,± 268
"Vigo County, Indiana","17,090",± 974
"Vilas County, Wisconsin","3,494",± 284
"Villalba Municipio, Puerto Rico","1,995",± 338
"Vinton County, Ohio","1,746",± 262
"Virginia Beach city, Virginia","101,233","± 2,313"
"Volusia County, Florida","86,996","± 2,443"
"Wabash County, Illinois","1,374",± 214
"Wabash County, Indiana","4,081",± 474
"Wabasha County, Minnesota","4,395",± 238
"Wabaunsee County, Kansas","1,208",± 168
"Wadena County, Minnesota","1,784",± 222
"Wagoner County, Oklahoma","14,715",± 591
"Wahkiakum County, Washington",403,± 108
"Wake County, North Carolina","334,932","± 3,856"
"Wakulla County, Florida","5,896",± 641
"Waldo County, Maine","7,455",± 465
"Walker County, Alabama","7,186",± 669
"Walker County, Georgia","9,436","± 1,044"
"Walker County, Texas","7,594",± 973
"Walla Walla County, Washington","9,870",± 646
"Wallace County, Kansas",309,± 52
"Waller County, Texas","8,875",± 831
"Wallowa County, Oregon","1,364",± 162
"Walsh County, North Dakota","1,927",± 173
"Walthall County, Mississippi","1,768",± 343
"Walton County, Florida","12,332",± 838
"Walton County, Georgia","15,947","± 1,053"
"Walworth County, South Dakota","1,195",± 172
"Walworth County, Wisconsin","18,679",± 785
"Wapello County, Iowa","4,559",± 434
"Ward County, North Dakota","12,479",± 780
"Ward County, Texas","1,383",± 283
"Ware County, Georgia","3,902",± 527
"Warren County, Georgia",478,± 114
"Warren County, Illinois","2,313",± 258
"Warren County, Indiana","1,163",± 177
"Warren County, Iowa","10,875",± 645
"Warren County, Kentucky","23,858","± 1,055"
"Warren County, Mississippi","6,700",± 667
"Warren County, Missouri","5,661",± 625
"Warren County, New Jersey","23,120",± 910
"Warren County, New York","13,104",± 760
"Warren County, North Carolina","2,046",± 236
"Warren County, Ohio","61,936","± 2,033"
"Warren County, Pennsylvania","5,291",± 357
"Warren County, Tennessee","4,753",± 432
"Warren County, Virginia","7,168",± 533
"Warrick County, Indiana","14,132",± 735
"Wasatch County, Utah","7,532",± 547
"Wasco County, Oregon","4,374",± 426
"Waseca County, Minnesota","3,129",± 245
"Washakie County, Wyoming","1,380",± 173
"Washburn County, Wisconsin","2,175",± 162
"Washington County, Alabama","1,786",± 277
"Washington County, Arkansas","50,048","± 1,758"
"Washington County, Colorado",970,± 101
"Washington County, Florida","2,266",± 315
"Washington County, Georgia","2,376",± 299
"Washington County, Idaho","1,222",± 227
"Washington County, Illinois","2,431",± 210
"Washington County, Indiana","3,466",± 406
"Washington County, Iowa","4,040",± 362
"Washington County, Kansas",997,± 112
"Washington County, Kentucky","1,920",± 323
"Washington County, Maine","4,138",± 298
"Washington County, Maryland","26,356","± 1,478"
"Washington County, Minnesota","71,322","± 1,601"
"Washington County, Mississippi","5,018",± 536
"Washington County, Missouri","2,439",± 427
"Washington County, Nebraska","4,752",± 376
"Washington County, New York","9,422",± 630
"Washington County, North Carolina","1,021",± 178
"Washington County, Ohio","9,011",± 633
"Washington County, Oklahoma","9,159",± 520
"Washington County, Oregon","155,157","± 2,862"
"Washington County, Pennsylvania","40,823","± 1,093"
"Washington County, Rhode Island","32,039","± 1,313"
"Washington County, Tennessee","26,390","± 1,280"
"Washington County, Texas","6,071",± 594
"Washington County, Utah","28,649","± 1,260"
"Washington County, Vermont","15,276",± 660
"Washington County, Virginia","8,600",± 618
"Washington County, Wisconsin","30,784","± 1,039"
"Washington Parish, Louisiana","4,630",± 589
"Washita County, Oklahoma","1,599",± 237
"Washoe County, Nevada","89,626","± 2,183"
"Washtenaw County, Michigan","106,668","± 1,862"
"Watauga County, North Carolina","10,403",± 776
"Watonwan County, Minnesota","1,711",± 138
"Waukesha County, Wisconsin","107,983","± 1,904"
"Waupaca County, Wisconsin","7,383",± 428
"Waushara County, Wisconsin","2,747",± 205
"Wayne County, Georgia","3,128",± 431
"Wayne County, Illinois","2,089",± 255
"Wayne County, Indiana","9,475",± 707
"Wayne County, Iowa",851,± 99
"Wayne County, Kentucky","1,601",± 298
"Wayne County, Michigan","272,803","± 3,980"
"Wayne County, Mississippi","2,370",± 369
"Wayne County, Missouri",997,± 185
"Wayne County, Nebraska","1,855",± 256
"Wayne County, New York","16,112",± 720
"Wayne County, North Carolina","15,724",± 885
"Wayne County, Ohio","17,605",± 923
"Wayne County, Pennsylvania","6,381",± 453
"Wayne County, Tennessee","2,032",± 330
"Wayne County, Utah",522,± 133
"Wayne County, West Virginia","5,253",± 651
"Waynesboro city, Virginia","4,140",± 544
"Weakley County, Tennessee","4,882",± 461
"Webb County, Texas","29,026","± 1,487"
"Weber County, Utah","47,436","± 1,591"
"Webster County, Georgia",284,± 78
"Webster County, Iowa","5,335",± 391
"Webster County, Kentucky","1,253",± 216
"Webster County, Mississippi","1,211",± 222
"Webster County, Missouri","4,786",± 456
"Webster County, Nebraska",647,± 85
"Webster County, West Virginia",627,± 128
"Webster Parish, Louisiana","4,007",± 433
"Weld County, Colorado","63,233","± 1,846"
"Wells County, Indiana","4,772",± 426
"Wells County, North Dakota",819,± 96
"West Baton Rouge Parish, Louisiana","4,726",± 527
"West Carroll Parish, Louisiana","1,302",± 202
"West Feliciana Parish, Louisiana","2,292",± 570
"Westchester County, New York","259,955","± 3,794"
"Western Connecticut Planning Region, Connecticut","162,541","± 2,768"
"Westmoreland County, Pennsylvania","67,245","± 1,747"
"Westmoreland County, Virginia","2,339",± 466
"Weston County, Wyoming",981,± 183
"Wetzel County, West Virginia","1,321",± 210
"Wexford County, Michigan","4,353",± 358
"Wharton County, Texas","4,920",± 478
"Whatcom County, Washington","44,609","± 1,626"
"Wheatland County, Montana",330,± 77
"Wheeler County, Georgia",370,± 147
"Wheeler County, Nebraska",167,± 44
"Wheeler County, Oregon",194,± 58
"Wheeler County, Texas",606,± 98
"White County, Arkansas","10,837",± 886
"White County, Georgia","4,203",± 605
"White County, Illinois","1,762",± 205
"White County, Indiana","3,217",± 354
"White County, Tennessee","3,146",± 421
"White Pine County, Nevada",961,± 234
"Whiteside County, Illinois","8,124",± 586
"Whitfield County, Georgia","12,636","± 1,030"
"Whitley County, Indiana","5,219",± 381
"Whitley County, Kentucky","4,312",± 465
"Whitman County, Washington","11,936",± 626
"Wibaux County, Montana",205,± 49
"Wichita County, Kansas",441,± 116
"Wichita County, Texas","19,164",± 958
"Wicomico County, Maryland","17,655",± 991
"Wilbarger County, Texas","1,424",± 261
"Wilcox County, Alabama",809,± 158
"Wilcox County, Georgia",820,± 138
"Wilkes County, Georgia",998,± 209
"Wilkes County, North Carolina","8,077",± 730
"Wilkin County, Minnesota","1,123",± 133
"Wilkinson County, Georgia",728,± 130
"Wilkinson County, Mississippi",581,± 207
"Will County, Illinois","140,787","± 2,529"
"Willacy County, Texas","1,631",± 307
"Williams County, North Dakota","5,871",± 748
"Williams County, Ohio","4,871",± 482
"Williamsburg city, Virginia","2,650",± 334
"Williamsburg County, South Carolina","3,161",± 369
"Williamson County, Illinois","11,591",± 728
"Williamson County, Tennessee","73,194","± 1,879"
"Williamson County, Texas","164,001","± 3,018"
"Wilson County, Kansas","1,478",± 181
"Wilson County, North Carolina","12,051",± 865
"Wilson County, Tennessee","31,181","± 1,049"
"Wilson County, Texas","8,579",± 627
"Winchester city, Virginia","5,909",± 678
"Windham County, Vermont","9,979",± 506
"Windsor County, Vermont","13,116",± 790
"Winkler County, Texas",706,± 168
"Winn Parish, Louisiana","1,506",± 273
"Winnebago County, Illinois","42,334","± 1,506"
"Winnebago County, Iowa","1,809",± 252
"Winnebago County, Wisconsin","30,601","± 1,076"
"Winneshiek County, Iowa","4,124",± 351
"Winona County, Minnesota","9,992",± 617
"Winston County, Alabama","2,688",± 328
"Winston County, Mississippi","1,669",± 262
"Wirt County, West Virginia",593,± 170
"Wise County, Texas","10,876",± 794
"Wise County, Virginia","4,440",± 516
"Wolfe County, Kentucky",344,± 120
"Wood County, Ohio","27,071","± 1,102"
"Wood County, Texas","5,440",± 524
"Wood County, West Virginia","12,522",± 764
"Wood County, Wisconsin","11,410",± 624
"Woodbury County, Iowa","16,755",± 819
"Woodford County, Illinois","8,328",± 586
"Woodford County, Kentucky","5,795",± 442
"Woodruff County, Arkansas",839,± 159
"Woods County, Oklahoma","1,279",± 188
"Woodson County, Kansas",448,± 78
"Woodward County, Oklahoma","2,793",± 388
"Worcester County, Maryland","9,773",± 657
"Worcester County, Massachusetts","200,578","± 3,285"
"Worth County, Georgia","2,270",± 324
"Worth County, Iowa","1,335",± 155
"Worth County, Missouri",180,± 46
"Wrangell City and Borough, Alaska",297,± 58
"Wright County, Iowa","2,087",± 208
"Wright County, Minnesota","32,090","± 1,222"
"Wright County, Missouri","1,935",± 313
"Wyandot County, Ohio","3,643",± 360
"Wyandotte County, Kansas","21,313","± 1,047"
"Wyoming County, New York","5,770",± 418
"Wyoming County, Pennsylvania","3,661",± 225
"Wyoming County, West Virginia","1,874",± 446
"Wythe County, Virginia","3,959",± 437
"Yabucoa Municipio, Puerto Rico","1,797",± 324
"Yadkin County, North Carolina","5,567",± 496
"Yakima County, Washington","30,465","± 1,284"
"Yakutat City and Borough, Alaska",92,± 36
"Yalobusha County, Mississippi","1,300",± 282
"Yamhill County, Oregon","17,329","± 1,071"
"Yancey County, North Carolina","2,324",± 345
"Yankton County, South Dakota","4,278",± 384
"Yates County, New York","3,433",± 292
"Yauco Municipio, Puerto Rico","3,344",± 414
"Yavapai County, Arizona","32,071","± 1,477"
"Yazoo County, Mississippi","2,294",± 405
"Yell County, Arkansas","2,054",± 310
"Yellow Medicine County, Minnesota","1,573",± 133
"Yellowstone County, Montana","33,036","± 1,215"
"Yoakum County, Texas",980,± 245
"Yolo County, California","47,532","± 1,346"
"York County, Maine","43,955","± 1,555"
"York County, Nebraska","2,507",± 237
"York County, Pennsylvania","84,303","± 1,812"
"York County, South Carolina","60,223","± 1,721"
"York County, Virginia","17,323",± 928
"Young County, Texas","2,253",± 405
"Yuba County, California","9,843",± 733
"Yukon-Koyukuk Census Area, Alaska",806,± 158
"Yuma County, Arizona","20,278","± 1,271"
"Yuma County, Colorado","1,792",± 216
"Zapata County, Texas","1,118",± 285
"Zavala County, Texas","1,108",± 347
"Ziebach County, South Dakota",442,± 64
