Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Perry County, Pennsylvania",7%,± 0.6%
"Perry County, Tennessee",10.20%,± 2.9%
"Pershing County, Nevada",9.40%,± 3.3%
"Person County, North Carolina",10.20%,± 1.7%
"Petersburg Borough, Alaska",10.40%,± 2.7%
"Petersburg city, Virginia",13.80%,± 1.5%
"Petroleum County, Montana",1.60%,± 2.1%
"Pettis County, Missouri",9.10%,± 0.9%
"Phelps County, Missouri",7.90%,± 1.2%
"Phelps County, Nebraska",8.40%,± 2.3%
"Philadelphia County, Pennsylvania",9.40%,± 0.2%
"Phillips County, Arkansas",14.30%,± 1.7%
"Phillips County, Colorado",7.90%,± 2.1%
"Phillips County, Kansas",9.40%,± 1.7%
"Phillips County, Montana",9.90%,± 3.2%
"Piatt County, Illinois",6.80%,± 1.1%
"Pickaway County, Ohio",8.70%,± 1.1%
"Pickens County, Alabama",14.60%,± 1.8%
"Pickens County, Georgia",9.90%,± 1.7%
"Pickens County, South Carolina",8.10%,± 0.7%
"Pickett County, Tennessee",14.50%,± 3.7%
"Pierce County, Georgia",7.50%,± 1.5%
"Pierce County, Nebraska",4.50%,± 0.9%
"Pierce County, North Dakota",3.50%,± 1.3%
"Pierce County, Washington",6.50%,± 0.2%
"Pierce County, Wisconsin",4.70%,± 0.6%
"Pike County, Alabama",8.10%,± 0.9%
"Pike County, Arkansas",11.50%,± 1.8%
"Pike County, Georgia",5.60%,± 1.2%
"Pike County, Illinois",9.70%,± 1.2%
"Pike County, Indiana",9.70%,± 1.6%
"Pike County, Kentucky",17.80%,± 1.2%
"Pike County, Mississippi",9.70%,± 1.2%
"Pike County, Missouri",8.70%,± 1.6%
"Pike County, Ohio",14.60%,± 1.8%
"Pike County, Pennsylvania",9.10%,± 1.1%
"Pima County, Arizona",7.60%,± 0.2%
"Pinal County, Arizona",8.40%,± 0.4%
"Pine County, Minnesota",8.70%,± 0.7%
"Pinellas County, Florida",8.60%,± 0.3%
"Pipestone County, Minnesota",6.70%,± 1.3%
"Piscataquis County, Maine",9.70%,± 1.1%
"Pitkin County, Colorado",2.10%,± 1.1%
"Pitt County, North Carolina",7.60%,± 0.5%
"Pittsburg County, Oklahoma",13.50%,± 0.9%
"Pittsylvania County, Virginia",12%,± 1.2%
"Piute County, Utah",12.20%,± 3.7%
"Placer County, California",5.40%,± 0.3%
"Plaquemines Parish, Louisiana",7.90%,± 1.6%
"Platte County, Missouri",5.70%,± 0.5%
"Platte County, Nebraska",5.20%,± 0.9%
"Platte County, Wyoming",8.70%,± 2%
"Pleasants County, West Virginia",10.50%,± 1.9%
"Plumas County, California",11.70%,± 1.8%
"Plymouth County, Iowa",6%,± 1%
"Plymouth County, Massachusetts",5.20%,± 0.3%
"Pocahontas County, Iowa",7.90%,± 1.4%
"Pocahontas County, West Virginia",16.60%,± 2.6%
"Poinsett County, Arkansas",14%,± 1.5%
"Pointe Coupee Parish, Louisiana",13.90%,± 2%
"Polk County, Arkansas",12.70%,± 1.6%
"Polk County, Florida",8%,± 0.3%
"Polk County, Georgia",9.20%,± 1.3%
"Polk County, Iowa",4.90%,± 0.2%
"Polk County, Minnesota",7.10%,± 0.9%
"Polk County, Missouri",9.20%,± 1.2%
"Polk County, Nebraska",6.20%,± 1.1%
"Polk County, North Carolina",9.40%,± 1.5%
"Polk County, Oregon",7.10%,± 0.7%
"Polk County, Tennessee",14.20%,± 2.2%
"Polk County, Texas",12.20%,± 1.1%
"Polk County, Wisconsin",6.90%,± 0.6%
"Ponce Municipio, Puerto Rico",15.60%,± 0.7%
"Pondera County, Montana",7.40%,± 1.6%
"Pontotoc County, Mississippi",11.80%,± 1.4%
"Pontotoc County, Oklahoma",8.60%,± 0.8%
"Pope County, Arkansas",10.60%,± 1.2%
"Pope County, Illinois",12.50%,± 2.9%
"Pope County, Minnesota",6.30%,± 0.9%
"Poquoson city, Virginia",6.10%,± 1.8%
"Portage County, Ohio",6.50%,± 0.5%
"Portage County, Wisconsin",5%,± 0.4%
"Porter County, Indiana",6%,± 0.5%
"Portsmouth city, Virginia",8.40%,± 0.8%
"Posey County, Indiana",5.80%,± 0.9%
"Pottawatomie County, Kansas",5.10%,± 0.9%
"Pottawatomie County, Oklahoma",11%,± 0.7%
"Pottawattamie County, Iowa",8.30%,± 0.7%
"Potter County, Pennsylvania",9.20%,± 0.9%
"Potter County, South Dakota",5.50%,± 1.6%
"Potter County, Texas",7.40%,± 0.5%
"Powder River County, Montana",6.80%,± 2.2%
"Powell County, Kentucky",11.60%,± 1.9%
"Powell County, Montana",11.40%,± 3.1%
"Power County, Idaho",5.60%,± 1.9%
"Poweshiek County, Iowa",6.70%,± 1.4%
"Powhatan County, Virginia",5.30%,± 1.2%
"Prairie County, Arkansas",15.30%,± 2.2%
"Prairie County, Montana",8.90%,± 3.9%
"Pratt County, Kansas",7.20%,± 1.9%
"Preble County, Ohio",8.10%,± 0.7%
"Prentiss County, Mississippi",11.30%,± 1.8%
"Presidio County, Texas",10.10%,± 4.3%
"Presque Isle County, Michigan",9.50%,± 0.9%
"Preston County, West Virginia",9.70%,± 1%
"Price County, Wisconsin",8.70%,± 1%
"Prince Edward County, Virginia",8.10%,± 1.6%
"Prince George County, Virginia",6.90%,± 1.1%
"Prince George's County, Maryland",5.70%,± 0.2%
"Prince of Wales-Hyder Census Area, Alaska",9.80%,± 1.1%
"Prince William County, Virginia",3.90%,± 0.2%
"Providence County, Rhode Island",7%,± 0.3%
"Prowers County, Colorado",9.60%,± 1.9%
"Pueblo County, Colorado",10.20%,± 0.7%
"Pulaski County, Arkansas",8.40%,± 0.4%
"Pulaski County, Georgia",10.30%,± 2.8%
"Pulaski County, Illinois",17.20%,± 3.5%
"Pulaski County, Indiana",9.10%,± 1.3%
"Pulaski County, Kentucky",12.40%,± 1.1%
"Pulaski County, Missouri",8.20%,± 1.1%
"Pulaski County, Virginia",11.80%,± 1.3%
"Pushmataha County, Oklahoma",17%,± 1.7%
"Putnam County, Florida",11.10%,± 1.3%
"Putnam County, Georgia",9.60%,± 1.5%
"Putnam County, Illinois",9.20%,± 2.2%
"Putnam County, Indiana",7.10%,± 1%
"Putnam County, Missouri",10.30%,± 2.9%
"Putnam County, New York",5.10%,± 0.6%
"Putnam County, Ohio",5.10%,± 0.6%
"Putnam County, Tennessee",7.20%,± 0.7%
"Putnam County, West Virginia",6.70%,± 0.9%
"Quay County, New Mexico",13.40%,± 2.4%
"Quebradillas Municipio, Puerto Rico",12.80%,± 2.4%
"Queen Anne's County, Maryland",5.10%,± 0.7%
"Queens County, New York",6.30%,± 0.1%
"Quitman County, Georgia",15%,± 5.1%
"Quitman County, Mississippi",10.90%,± 2.1%
"Rabun County, Georgia",13%,± 2%
"Racine County, Wisconsin",5.70%,± 0.4%
"Radford city, Virginia",5.20%,± 1.1%
"Rains County, Texas",10.80%,± 2%
"Raleigh County, West Virginia",16%,± 1.4%
"Ralls County, Missouri",10%,± 2%
"Ramsey County, Minnesota",5.30%,± 0.2%
"Ramsey County, North Dakota",6.90%,± 1.9%
"Randall County, Texas",5.40%,± 0.4%
"Randolph County, Alabama",12%,± 1.5%
"Randolph County, Arkansas",13%,± 1.9%
"Randolph County, Georgia",10.20%,± 3.5%
"Randolph County, Illinois",9.90%,± 1.1%
"Randolph County, Indiana",12.60%,± 1.3%
"Randolph County, Missouri",10.30%,± 1.3%
"Randolph County, North Carolina",9%,± 0.7%
"Randolph County, West Virginia",9.50%,± 1.5%
"Rankin County, Mississippi",7.50%,± 0.6%
"Ransom County, North Dakota",7.60%,± 1.6%
"Rapides Parish, Louisiana",10.60%,± 0.7%
"Rappahannock County, Virginia",5.10%,± 1.9%
"Ravalli County, Montana",8.60%,± 1.1%
"Rawlins County, Kansas",9%,± 1.9%
"Ray County, Missouri",8.10%,± 1.2%
"Reagan County, Texas",1.10%,± 0.9%
"Real County, Texas",19.70%,± 5.9%
"Red Lake County, Minnesota",7.60%,± 1.4%
"Red River County, Texas",10.60%,± 1.9%
"Red River Parish, Louisiana",10.80%,± 2.4%
"Red Willow County, Nebraska",7.40%,± 1.8%
"Redwood County, Minnesota",6%,± 0.8%
"Reeves County, Texas",5.20%,± 1.8%
"Refugio County, Texas",17.60%,± 3.1%
"Reno County, Kansas",8.40%,± 0.7%
"Rensselaer County, New York",7.70%,± 0.6%
"Renville County, Minnesota",6.30%,± 0.9%
"Renville County, North Dakota",5.30%,± 1.5%
"Republic County, Kansas",9.80%,± 2.1%
"Reynolds County, Missouri",19.40%,± 2.9%
"Rhea County, Tennessee",11.50%,± 1.3%
"Rice County, Kansas",8.70%,± 1.5%
"Rice County, Minnesota",4.30%,± 0.6%
"Rich County, Utah",4.70%,± 2.2%
"Richardson County, Nebraska",9.40%,± 2.3%
"Richland County, Illinois",8.40%,± 1.3%
"Richland County, Montana",7.10%,± 1.5%
"Richland County, North Dakota",6.70%,± 1%
"Richland County, Ohio",8.20%,± 0.6%
"Richland County, South Carolina",6.80%,± 0.3%
"Richland County, Wisconsin",7.20%,± 0.8%
"Richland Parish, Louisiana",9.90%,± 1.5%
"Richmond city, Virginia",7.30%,± 0.5%
"Richmond County, Georgia",10.80%,± 0.7%
"Richmond County, New York",6.50%,± 0.3%
"Richmond County, North Carolina",9.60%,± 1.4%
"Richmond County, Virginia",9.10%,± 2.6%
"Riley County, Kansas",4%,± 0.7%
"Rincón Municipio, Puerto Rico",17.10%,± 2%
"Ringgold County, Iowa",8.70%,± 1.7%
"Rio Arriba County, New Mexico",8.60%,± 1.1%
"Rio Blanco County, Colorado",6.80%,± 2%
"Rio Grande County, Colorado",7.20%,± 2%
"Río Grande Municipio, Puerto Rico",14.80%,± 1.2%
"Ripley County, Indiana",6.70%,± 0.9%
"Ripley County, Missouri",14.50%,± 2%
"Ritchie County, West Virginia",14.90%,± 3.1%
"Riverside County, California",6.30%,± 0.1%
"Roane County, Tennessee",11.40%,± 1.3%
"Roane County, West Virginia",12.50%,± 2.1%
"Roanoke city, Virginia",7.30%,± 0.7%
"Roanoke County, Virginia",5.40%,± 0.6%
"Roberts County, South Dakota",6%,± 0.8%
"Roberts County, Texas",5.20%,± 3.6%
"Robertson County, Kentucky",9.40%,± 2.9%
"Robertson County, Tennessee",7.20%,± 0.8%
"Robertson County, Texas",9.40%,± 1.6%
"Robeson County, North Carolina",11.20%,± 0.5%
"Rock County, Minnesota",5.70%,± 1.1%
"Rock County, Nebraska",5.10%,± 1.7%
"Rock County, Wisconsin",6.60%,± 0.5%
"Rock Island County, Illinois",7.10%,± 0.5%
"Rockbridge County, Virginia",7.70%,± 1.4%
"Rockcastle County, Kentucky",13.60%,± 1.8%
"Rockdale County, Georgia",6.40%,± 0.7%
"Rockingham County, New Hampshire",5.20%,± 0.4%
"Rockingham County, North Carolina",10.30%,± 1%
"Rockingham County, Virginia",6.30%,± 0.7%
"Rockland County, New York",4.60%,± 0.3%
"Rockwall County, Texas",3.80%,± 0.5%
"Roger Mills County, Oklahoma",10.70%,± 2.2%
"Rogers County, Oklahoma",8.90%,± 0.5%
"Rolette County, North Dakota",9.10%,± 1.6%
"Rooks County, Kansas",11.70%,± 2.1%
"Roosevelt County, Montana",8.80%,± 1.6%
"Roosevelt County, New Mexico",8.50%,± 1.8%
"Roscommon County, Michigan",14.20%,± 1.5%
"Roseau County, Minnesota",5.10%,± 0.7%
"Rosebud County, Montana",8.50%,± 1.8%
"Ross County, Ohio",9.80%,± 0.8%
"Routt County, Colorado",2.10%,± 0.6%
"Rowan County, Kentucky",9.20%,± 1.4%
"Rowan County, North Carolina",9%,± 0.6%
"Runnels County, Texas",11%,± 1.9%
"Rush County, Indiana",9.20%,± 1.4%
"Rush County, Kansas",7.60%,± 2%
"Rusk County, Texas",8.60%,± 1%
"Rusk County, Wisconsin",8.30%,± 1%
"Russell County, Alabama",12.10%,± 1.1%
"Russell County, Kansas",10.80%,± 3%
"Russell County, Kentucky",12.90%,± 1.9%
"Russell County, Virginia",17.80%,± 2%
"Rutherford County, North Carolina",11.90%,± 1.2%
"Rutherford County, Tennessee",5.40%,± 0.4%
"Rutland County, Vermont",7.30%,± 0.8%
"Sabana Grande Municipio, Puerto Rico",18.10%,± 1.9%
"Sabine County, Texas",15.60%,± 2.9%
"Sabine Parish, Louisiana",11.70%,± 1.2%
"Sac County, Iowa",5%,± 0.9%
"Sacramento County, California",6.50%,± 0.2%
"Sagadahoc County, Maine",6.10%,± 1%
"Saginaw County, Michigan",9.80%,± 0.6%
"Saguache County, Colorado",8.20%,± 2.4%
"Salem city, Virginia",5.70%,± 1%
"Salem County, New Jersey",8.30%,± 0.7%
"Salinas Municipio, Puerto Rico",7.30%,± 1.1%
"Saline County, Arkansas",8.60%,± 0.8%
"Saline County, Illinois",14.10%,± 1.7%
"Saline County, Kansas",7.30%,± 0.9%
"Saline County, Missouri",9.70%,± 1%
"Saline County, Nebraska",6.20%,± 1.3%
"Salt Lake County, Utah",4.30%,± 0.2%
"Saluda County, South Carolina",9.90%,± 1.5%
"Sampson County, North Carolina",8.90%,± 0.9%
"San Augustine County, Texas",11.50%,± 2.6%
"San Benito County, California",5%,± 0.7%
"San Bernardino County, California",6.10%,± 0.2%
"San Diego County, California",5.40%,± 0.1%
"San Francisco County, California",5.70%,± 0.2%
"San Germán Municipio, Puerto Rico",5.50%,± 1.1%
"San Jacinto County, Texas",11.10%,± 1.7%
"San Joaquin County, California",6.60%,± 0.3%
"San Juan County, Colorado",4.90%,± 4.1%
"San Juan County, New Mexico",7.70%,± 0.5%
"San Juan County, Utah",11.90%,± 1.6%
"San Juan County, Washington",5.20%,± 0.6%
"San Juan Municipio, Puerto Rico",12.80%,± 0.5%
"San Lorenzo Municipio, Puerto Rico",4.90%,± 1%
"San Luis Obispo County, California",5.80%,± 0.3%
"San Mateo County, California",4.40%,± 0.2%
"San Miguel County, Colorado",1.70%,± 0.7%
"San Miguel County, New Mexico",12.20%,± 1.9%
"San Patricio County, Texas",11.90%,± 1.1%
"San Saba County, Texas",7.90%,± 2%
"San Sebastián Municipio, Puerto Rico",16.60%,± 1.5%
"Sanborn County, South Dakota",6%,± 1.8%
"Sanders County, Montana",9.50%,± 1.9%
"Sandoval County, New Mexico",7%,± 0.6%
"Sandusky County, Ohio",8.30%,± 0.8%
"Sangamon County, Illinois",7.20%,± 0.4%
"Sanilac County, Michigan",9.70%,± 0.7%
"Sanpete County, Utah",5.80%,± 0.7%
"Santa Barbara County, California",5.30%,± 0.3%
"Santa Clara County, California",4.50%,± 0.1%
"Santa Cruz County, Arizona",5.60%,± 0.7%
"Santa Cruz County, California",4.90%,± 0.4%
"Santa Fe County, New Mexico",6.80%,± 0.5%
"Santa Isabel Municipio, Puerto Rico",6.70%,± 1.5%
"Santa Rosa County, Florida",7.90%,± 0.6%
"Sarasota County, Florida",7.90%,± 0.4%
"Saratoga County, New York",5.20%,± 0.3%
"Sargent County, North Dakota",6.40%,± 1.4%
"Sarpy County, Nebraska",4.80%,± 0.4%
"Sauk County, Wisconsin",6.40%,± 0.6%
"Saunders County, Nebraska",5.10%,± 0.9%
"Sawyer County, Wisconsin",7.40%,± 1.2%
"Schenectady County, New York",6.30%,± 0.5%
"Schleicher County, Texas",8.50%,± 4.2%
"Schley County, Georgia",6.90%,± 2.3%
"Schoharie County, New York",8.40%,± 0.9%
"Schoolcraft County, Michigan",10.30%,± 1.9%
"Schuyler County, Illinois",10.70%,± 2.4%
"Schuyler County, Missouri",14%,± 3%
"Schuyler County, New York",7.70%,± 1.1%
"Schuylkill County, Pennsylvania",9.10%,± 0.5%
"Scioto County, Ohio",13.50%,± 1%
"Scotland County, Missouri",7%,± 2%
"Scotland County, North Carolina",11.60%,± 1.2%
"Scott County, Arkansas",10.70%,± 1.9%
"Scott County, Illinois",9.50%,± 1.7%
"Scott County, Indiana",12.30%,± 1.7%
"Scott County, Iowa",5.50%,± 0.4%
"Scott County, Kansas",5.50%,± 2.6%
"Scott County, Kentucky",6.50%,± 0.7%
"Scott County, Minnesota",3.30%,± 0.3%
"Scott County, Mississippi",11.90%,± 1.8%
"Scott County, Missouri",9.80%,± 1%
"Scott County, Tennessee",14.70%,± 1.9%
"Scott County, Virginia",14.50%,± 1.5%
"Scotts Bluff County, Nebraska",8.10%,± 1%
"Screven County, Georgia",8.80%,± 1.5%
"Scurry County, Texas",7%,± 1.3%
"Searcy County, Arkansas",15.20%,± 2.4%
"Sebastian County, Arkansas",11.60%,± 0.8%
"Sedgwick County, Colorado",10.40%,± 2.3%
"Sedgwick County, Kansas",7.10%,± 0.3%
"Seminole County, Florida",5.90%,± 0.3%
"Seminole County, Georgia",11.60%,± 2.8%
"Seminole County, Oklahoma",14%,± 1%
"Seneca County, New York",8.80%,± 1.2%
"Seneca County, Ohio",7.20%,± 0.8%
"Sequatchie County, Tennessee",11.20%,± 1.9%
"Sequoyah County, Oklahoma",14.50%,± 1%
"Sevier County, Arkansas",8.10%,± 1.8%
"Sevier County, Tennessee",9.50%,± 1%
"Sevier County, Utah",6.30%,± 0.9%
"Seward County, Kansas",5.90%,± 1.7%
"Seward County, Nebraska",5.60%,± 0.9%
"Shackelford County, Texas",7.10%,± 2.2%
"Shannon County, Missouri",10.30%,± 2.2%
"Sharkey County, Mississippi",12.10%,± 3.1%
"Sharp County, Arkansas",15.10%,± 2.1%
"Shasta County, California",9.60%,± 0.6%
"Shawano County, Wisconsin",8.50%,± 0.7%
"Shawnee County, Kansas",6.50%,± 0.5%
"Sheboygan County, Wisconsin",4.50%,± 0.5%
"Shelby County, Alabama",6%,± 0.5%
"Shelby County, Illinois",8.10%,± 1.1%
"Shelby County, Indiana",8.30%,± 1%
"Shelby County, Iowa",3.60%,± 0.8%
"Shelby County, Kentucky",6.50%,± 0.9%
"Shelby County, Missouri",7.90%,± 1.8%
"Shelby County, Ohio",8.10%,± 1%
"Shelby County, Tennessee",7.10%,± 0.3%
"Shelby County, Texas",9.30%,± 1.2%
"Shenandoah County, Virginia",9.20%,± 1.2%
"Sherburne County, Minnesota",3.70%,± 0.5%
"Sheridan County, Kansas",7.10%,± 2.3%
"Sheridan County, Montana",10.30%,± 2.6%
"Sheridan County, Nebraska",11.10%,± 2%
"Sheridan County, North Dakota",4.70%,± 1.5%
"Sheridan County, Wyoming",5.20%,± 1.1%
"Sherman County, Kansas",8.70%,± 2.5%
"Sherman County, Nebraska",9.70%,± 2%
"Sherman County, Oregon",14%,± 3.4%
"Sherman County, Texas",10.80%,± 2.7%
"Shiawassee County, Michigan",7.40%,± 0.7%
"Shoshone County, Idaho",15.30%,± 2%
"Sibley County, Minnesota",6.60%,± 1%
"Sierra County, California",9.80%,± 5%
"Sierra County, New Mexico",17.50%,± 2.7%
"Silver Bow County, Montana",8.20%,± 1.1%
"Simpson County, Kentucky",8.40%,± 1.3%
"Simpson County, Mississippi",12%,± 1.6%
"Sioux County, Iowa",4.10%,± 0.7%
"Sioux County, Nebraska",9.10%,± 2.6%
"Sioux County, North Dakota",10.20%,± 1.6%
"Siskiyou County, California",9%,± 0.8%
"Sitka City and Borough, Alaska",5.30%,± 0.9%
"Skagit County, Washington",6.70%,± 0.5%
"Skagway Municipality, Alaska",3.80%,± 1.6%
"Skamania County, Washington",6.20%,± 1.4%
"Slope County, North Dakota",8.10%,± 3.2%
"Smith County, Kansas",11%,± 2.4%
"Smith County, Mississippi",14.10%,± 2.5%
"Smith County, Tennessee",9.60%,± 1.4%
"Smith County, Texas",6.40%,± 0.5%
"Smyth County, Virginia",12.10%,± 1.4%
"Snohomish County, Washington",5.90%,± 0.2%
"Snyder County, Pennsylvania",7.30%,± 0.8%
"Socorro County, New Mexico",15.70%,± 2.1%
"Solano County, California",6.50%,± 0.3%
"Somerset County, Maine",8.20%,± 0.8%
"Somerset County, Maryland",7.90%,± 1.2%
"Somerset County, New Jersey",4.20%,± 0.3%
"Somerset County, Pennsylvania",8.40%,± 0.5%
"Somervell County, Texas",5.70%,± 1.7%
"Sonoma County, California",5.60%,± 0.3%
"South Central Connecticut Planning Region, Connecticut",5.70%,± 0.3%
"Southampton County, Virginia",10.10%,± 1.4%
"Southeast Fairbanks Census Area, Alaska",10.20%,± 1.9%
"Southeastern Connecticut Planning Region, Connecticut",6.50%,± 0.4%
"Spalding County, Georgia",8.90%,± 1.1%
"Spartanburg County, South Carolina",8%,± 0.5%
"Spencer County, Indiana",7.10%,± 1%
"Spencer County, Kentucky",7.20%,± 1.5%
"Spink County, South Dakota",5.90%,± 1.4%
"Spokane County, Washington",7.40%,± 0.3%
"Spotsylvania County, Virginia",5.10%,± 0.5%
"St. Bernard Parish, Louisiana",9.80%,± 1%
"St. Charles County, Missouri",5.20%,± 0.3%
"St. Charles Parish, Louisiana",6.80%,± 0.9%
"St. Clair County, Alabama",7.80%,± 0.8%
"St. Clair County, Illinois",8.40%,± 0.5%
"St. Clair County, Michigan",7.80%,± 0.5%
"St. Clair County, Missouri",12.80%,± 1.9%
"St. Croix County, Wisconsin",3.80%,± 0.5%
"St. Francis County, Arkansas",13.80%,± 1.7%
"St. Francois County, Missouri",11.30%,± 0.9%
"St. Helena Parish, Louisiana",13.90%,± 2.5%
"St. James Parish, Louisiana",8.10%,± 1.3%
"St. John the Baptist Parish, Louisiana",8.40%,± 1.4%
"St. Johns County, Florida",4.90%,± 0.4%
"St. Joseph County, Indiana",7%,± 0.4%
"St. Joseph County, Michigan",9%,± 0.8%
"St. Landry Parish, Louisiana",8.50%,± 0.9%
"St. Lawrence County, New York",9.10%,± 0.7%
"St. Louis city, Missouri",9.20%,± 0.5%
"St. Louis County, Minnesota",6.40%,± 0.4%
"St. Louis County, Missouri",6.30%,± 0.2%
"St. Lucie County, Florida",8.90%,± 0.6%
"St. Martin Parish, Louisiana",9.60%,± 1.3%
"St. Mary Parish, Louisiana",8.40%,± 0.9%
"St. Mary's County, Maryland",5.60%,± 0.6%
"St. Tammany Parish, Louisiana",8.10%,± 0.6%
"Stafford County, Kansas",7.50%,± 1.7%
"Stafford County, Virginia",4.20%,± 0.4%
"Stanislaus County, California",6.70%,± 0.3%
"Stanley County, South Dakota",4.70%,± 2.3%
"Stanly County, North Carolina",10.40%,± 1.1%
"Stanton County, Kansas",6.60%,± 3.4%
"Stanton County, Nebraska",5.90%,± 1.7%
"Stark County, Illinois",7.60%,± 1.5%
"Stark County, North Dakota",4.20%,± 0.8%
"Stark County, Ohio",7.10%,± 0.3%
"Starke County, Indiana",10.60%,± 1.5%
"Starr County, Texas",7.80%,± 0.8%
"Staunton city, Virginia",8%,± 1.3%
"Ste. Genevieve County, Missouri",9.10%,± 1.8%
"Stearns County, Minnesota",4.70%,± 0.4%
"Steele County, Minnesota",4.50%,± 0.6%
"Steele County, North Dakota",3%,± 1.8%
"Stephens County, Georgia",10.10%,± 1.5%
"Stephens County, Oklahoma",13%,± 1%
"Stephens County, Texas",9.90%,± 2%
"Stephenson County, Illinois",8.60%,± 1%
"Sterling County, Texas",4.90%,± 3.8%
"Steuben County, Indiana",6.40%,± 0.9%
"Steuben County, New York",7.50%,± 0.5%
"Stevens County, Kansas",7.20%,± 2.2%
"Stevens County, Minnesota",5.40%,± 1%
"Stevens County, Washington",10.30%,± 1.1%
"Stewart County, Georgia",11.10%,± 3.2%
"Stewart County, Tennessee",11.80%,± 2%
"Stillwater County, Montana",6.80%,± 1.2%
"Stoddard County, Missouri",12.30%,± 1.5%
"Stokes County, North Carolina",12.50%,± 1.5%
"Stone County, Arkansas",18.20%,± 2.8%
"Stone County, Mississippi",12.90%,± 2.1%
"Stone County, Missouri",9.40%,± 1.2%
"Stonewall County, Texas",9.50%,± 5.2%
"Storey County, Nevada",12.20%,± 5.7%
"Story County, Iowa",3.30%,± 0.4%
"Strafford County, New Hampshire",6.20%,± 0.6%
"Stutsman County, North Dakota",7.70%,± 1.7%
"Sublette County, Wyoming",7.80%,± 2.4%
"Suffolk city, Virginia",6.30%,± 0.6%
"Suffolk County, Massachusetts",6.70%,± 0.2%
"Suffolk County, New York",5.10%,± 0.2%
"Sullivan County, Indiana",9.50%,± 1.7%
"Sullivan County, Missouri",7.70%,± 1.9%
"Sullivan County, New Hampshire",7%,± 1.2%
"Sullivan County, New York",9.40%,± 0.7%
"Sullivan County, Pennsylvania",8.60%,± 1.8%
"Sullivan County, Tennessee",10.10%,± 0.6%
"Sully County, South Dakota",4%,± 1.8%
"Summers County, West Virginia",19.60%,± 3.1%
"Summit County, Colorado",1.90%,± 0.9%
"Summit County, Ohio",7.10%,± 0.3%
"Summit County, Utah",2.40%,± 0.5%
"Sumner County, Kansas",7.60%,± 1.1%
"Sumner County, Tennessee",7%,± 0.5%
"Sumter County, Alabama",15.40%,± 2.8%
"Sumter County, Florida",9.80%,± 1%
"Sumter County, Georgia",7.30%,± 1.2%
"Sumter County, South Carolina",8.50%,± 0.8%
"Sunflower County, Mississippi",9.50%,± 1.6%
"Surry County, North Carolina",11.10%,± 0.7%
"Surry County, Virginia",8.50%,± 1.7%
"Susquehanna County, Pennsylvania",7.40%,± 0.6%
"Sussex County, Delaware",7.90%,± 0.4%
"Sussex County, New Jersey",5.60%,± 0.5%
"Sussex County, Virginia",9.90%,± 2.3%
"Sutter County, California",7.40%,± 0.5%
"Sutton County, Texas",2%,± 1.3%
"Suwannee County, Florida",12.90%,± 1.8%
"Swain County, North Carolina",8.20%,± 1.5%
"Sweet Grass County, Montana",9.10%,± 2.8%
"Sweetwater County, Wyoming",6.90%,± 1%
"Swift County, Minnesota",9%,± 1.4%
"Swisher County, Texas",9.60%,± 2.4%
"Switzerland County, Indiana",10.40%,± 2.2%
"Talbot County, Georgia",14.20%,± 2.4%
"Talbot County, Maryland",7.90%,± 0.9%
"Taliaferro County, Georgia",16.10%,± 5%
"Talladega County, Alabama",12.60%,± 0.9%
"Tallahatchie County, Mississippi",11.10%,± 1.7%
"Tallapoosa County, Alabama",13.10%,± 1.3%
"Tama County, Iowa",4.70%,± 0.8%
"Taney County, Missouri",8.60%,± 1%
"Tangipahoa Parish, Louisiana",10.10%,± 0.9%
"Taos County, New Mexico",9.80%,± 1.5%
"Tarrant County, Texas",5%,± 0.1%
"Tate County, Mississippi",8.50%,± 1.4%
"Tattnall County, Georgia",10.80%,± 1.8%
"Taylor County, Florida",12.90%,± 2.6%
"Taylor County, Georgia",8.70%,± 1.7%
"Taylor County, Iowa",6.10%,± 1.3%
"Taylor County, Kentucky",11.90%,± 1.5%
"Taylor County, Texas",7.60%,± 0.6%
"Taylor County, West Virginia",12.70%,± 2%
"Taylor County, Wisconsin",5.50%,± 0.7%
"Tazewell County, Illinois",6.40%,± 0.4%
"Tazewell County, Virginia",12.30%,± 1.1%
"Tehama County, California",9%,± 1.2%
"Telfair County, Georgia",7.10%,± 2.3%
"Teller County, Colorado",6.20%,± 1.1%
"Tensas Parish, Louisiana",10.70%,± 2.7%
"Terrebonne Parish, Louisiana",9.10%,± 0.8%
"Terrell County, Georgia",9.20%,± 2.1%
"Terrell County, Texas",10.50%,± 5.7%
"Terry County, Texas",8.70%,± 1.8%
"Teton County, Idaho",2%,± 1.1%
"Teton County, Montana",4.80%,± 1.5%
"Teton County, Wyoming",1.90%,± 0.8%
"Texas County, Missouri",12.30%,± 1.5%
"Texas County, Oklahoma",6.40%,± 1.6%
"Thayer County, Nebraska",7%,± 1.4%
"Thomas County, Georgia",9.90%,± 1.1%
"Thomas County, Kansas",7.80%,± 2.6%
"Thomas County, Nebraska",4.20%,± 2.4%
"Throckmorton County, Texas",8.30%,± 2.4%
"Thurston County, Nebraska",6.30%,± 0.9%
"Thurston County, Washington",7.10%,± 0.4%
"Tift County, Georgia",5.10%,± 1%
"Tillamook County, Oregon",9.90%,± 1.6%
