Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Philadelphia County, Pennsylvania",8.60%,± 0.4%
"Phillips County, Arkansas",13.30%,± 4%
"Phillips County, Colorado",1.40%,± 1.1%
"Phillips County, Kansas",4%,± 1.7%
"Phillips County, Montana",3.40%,± 2.6%
"Piatt County, Illinois",4.70%,± 1.4%
"Pickaway County, Ohio",4.10%,± 1.1%
"Pickens County, Alabama",5.30%,± 1.6%
"Pickens County, Georgia",4.50%,± 2%
"Pickens County, South Carolina",4.20%,± 0.7%
"Pickett County, Tennessee",4.50%,± 3.7%
"Pierce County, Georgia",2.30%,± 1.2%
"Pierce County, Nebraska",2.40%,± 1.2%
"Pierce County, North Dakota",1%,± 0.7%
"Pierce County, Washington",5%,± 0.3%
"Pierce County, Wisconsin",2.90%,± 0.6%
"Pike County, Alabama",4.90%,± 1.8%
"Pike County, Arkansas",3.10%,± 1.2%
"Pike County, Georgia",4.50%,± 1.8%
"Pike County, Illinois",4.70%,± 1.7%
"Pike County, Indiana",3.60%,± 1.4%
"Pike County, Kentucky",7.30%,± 1.4%
"Pike County, Mississippi",7.20%,± 2%
"Pike County, Missouri",4.80%,± 1.7%
"Pike County, Ohio",5.20%,± 1.8%
"Pike County, Pennsylvania",8.50%,± 1.4%
"Pima County, Arizona",5.90%,± 0.3%
"Pinal County, Arizona",6.40%,± 0.6%
"Pine County, Minnesota",5.80%,± 0.9%
"Pinellas County, Florida",4.60%,± 0.3%
"Pipestone County, Minnesota",2.90%,± 1.4%
"Piscataquis County, Maine",4.90%,± 1.2%
"Pitkin County, Colorado",2.10%,± 1.3%
"Pitt County, North Carolina",7.50%,± 0.9%
"Pittsburg County, Oklahoma",6.30%,± 1%
"Pittsylvania County, Virginia",5.40%,± 1.1%
"Piute County, Utah",9.10%,± 8.2%
"Placer County, California",4.30%,± 0.4%
"Plaquemines Parish, Louisiana",4.40%,± 1.7%
"Platte County, Missouri",3.60%,± 0.6%
"Platte County, Nebraska",1.90%,± 0.6%
"Platte County, Wyoming",4%,± 2.3%
"Pleasants County, West Virginia",7.20%,± 3.2%
"Plumas County, California",8%,± 2.4%
"Plymouth County, Iowa",2.10%,± 0.6%
"Plymouth County, Massachusetts",5.20%,± 0.4%
"Pocahontas County, Iowa",6.30%,± 1.9%
"Pocahontas County, West Virginia",8%,± 4.2%
"Poinsett County, Arkansas",5.10%,± 1.2%
"Pointe Coupee Parish, Louisiana",7.40%,± 3.2%
"Polk County, Arkansas",9%,± 2%
"Polk County, Florida",4.60%,± 0.4%
"Polk County, Georgia",4.80%,± 1.4%
"Polk County, Iowa",4.50%,± 0.4%
"Polk County, Minnesota",3.40%,± 1.1%
"Polk County, Missouri",3.60%,± 1.2%
"Polk County, Nebraska",1.90%,± 0.9%
"Polk County, North Carolina",4.30%,± 1.2%
"Polk County, Oregon",5.30%,± 0.9%
"Polk County, Tennessee",7.80%,± 2.3%
"Polk County, Texas",9.30%,± 2%
"Polk County, Wisconsin",4.20%,± 0.6%
"Ponce Municipio, Puerto Rico",12.70%,± 1.4%
"Pondera County, Montana",6.40%,± 2.3%
"Pontotoc County, Mississippi",2.90%,± 1.2%
"Pontotoc County, Oklahoma",4.30%,± 1%
"Pope County, Arkansas",4.80%,± 1%
"Pope County, Illinois",9.10%,± 4.8%
"Pope County, Minnesota",1%,± 0.3%
"Poquoson city, Virginia",1.40%,± 1.2%
"Portage County, Ohio",5.60%,± 0.7%
"Portage County, Wisconsin",3.30%,± 0.7%
"Porter County, Indiana",4.20%,± 0.8%
"Portsmouth city, Virginia",6.60%,± 0.9%
"Posey County, Indiana",2.80%,± 0.9%
"Pottawatomie County, Kansas",1.90%,± 0.8%
"Pottawatomie County, Oklahoma",5.80%,± 0.7%
"Pottawattamie County, Iowa",3.60%,± 0.5%
"Potter County, Pennsylvania",4.80%,± 0.8%
"Potter County, South Dakota",2.80%,± 2.3%
"Potter County, Texas",3.70%,± 0.7%
"Powder River County, Montana",1%,± 1.2%
"Powell County, Kentucky",7.10%,± 3%
"Powell County, Montana",4.80%,± 2.7%
"Power County, Idaho",7.50%,± 3.1%
"Poweshiek County, Iowa",4.60%,± 1.6%
"Powhatan County, Virginia",2.60%,± 1.2%
"Prairie County, Arkansas",4.10%,± 1.9%
"Prairie County, Montana",2.90%,± 3.1%
"Pratt County, Kansas",3.60%,± 1.8%
"Preble County, Ohio",3.40%,± 0.9%
"Prentiss County, Mississippi",5%,± 1.7%
"Presidio County, Texas",12.30%,± 11.5%
"Presque Isle County, Michigan",6.40%,± 1.2%
"Preston County, West Virginia",7.20%,± 1.8%
"Price County, Wisconsin",2.70%,± 0.6%
"Prince Edward County, Virginia",2.40%,± 1.2%
"Prince George County, Virginia",7.50%,± 2.4%
"Prince George's County, Maryland",6.70%,± 0.3%
"Prince of Wales-Hyder Census Area, Alaska",7.50%,± 1.6%
"Prince William County, Virginia",4.70%,± 0.5%
"Providence County, Rhode Island",6.30%,± 0.4%
"Prowers County, Colorado",4.40%,± 1.5%
"Pueblo County, Colorado",5.90%,± 0.6%
"Pulaski County, Arkansas",5.20%,± 0.5%
"Pulaski County, Georgia",3.90%,± 2.2%
"Pulaski County, Illinois",4.20%,± 2.5%
"Pulaski County, Indiana",3.80%,± 1.7%
"Pulaski County, Kentucky",4.90%,± 1%
"Pulaski County, Missouri",4.70%,± 1.8%
"Pulaski County, Virginia",3.30%,± 0.9%
"Pushmataha County, Oklahoma",9%,± 2.1%
"Putnam County, Florida",8.90%,± 1.6%
"Putnam County, Georgia",3.20%,± 1.6%
"Putnam County, Illinois",3.20%,± 1.2%
"Putnam County, Indiana",2.80%,± 1.2%
"Putnam County, Missouri",4%,± 2.8%
"Putnam County, New York",4.40%,± 0.8%
"Putnam County, Ohio",2.20%,± 0.7%
"Putnam County, Tennessee",4.50%,± 1%
"Putnam County, West Virginia",3.80%,± 1%
"Quay County, New Mexico",4.80%,± 3.6%
"Quebradillas Municipio, Puerto Rico",5.70%,± 2.8%
"Queen Anne's County, Maryland",3.60%,± 0.8%
"Queens County, New York",7%,± 0.2%
"Quitman County, Georgia",23.50%,± 23.1%
"Quitman County, Mississippi",12.20%,± 4%
"Rabun County, Georgia",2.60%,± 1.2%
"Racine County, Wisconsin",4.40%,± 0.6%
"Radford city, Virginia",7.20%,± 3.2%
"Rains County, Texas",2.30%,± 1.1%
"Raleigh County, West Virginia",7.10%,± 1.8%
"Ralls County, Missouri",5.30%,± 2.6%
"Ramsey County, Minnesota",4.70%,± 0.3%
"Ramsey County, North Dakota",0.80%,± 1%
"Randall County, Texas",2.80%,± 0.6%
"Randolph County, Alabama",3.20%,± 1.1%
"Randolph County, Arkansas",7.50%,± 2.3%
"Randolph County, Georgia",7.50%,± 3.9%
"Randolph County, Illinois",5.20%,± 1.2%
"Randolph County, Indiana",5.60%,± 1.5%
"Randolph County, Missouri",5.30%,± 1.6%
"Randolph County, North Carolina",3.90%,± 0.6%
"Randolph County, West Virginia",7.30%,± 2.6%
"Rankin County, Mississippi",4.40%,± 0.8%
"Ransom County, North Dakota",2.90%,± 1.5%
"Rapides Parish, Louisiana",5.70%,± 0.9%
"Rappahannock County, Virginia",6.50%,± 2.9%
"Ravalli County, Montana",4.40%,± 1.2%
"Rawlins County, Kansas",1%,± 1.1%
"Ray County, Missouri",3.10%,± 1.2%
"Reagan County, Texas",8.70%,± 3.9%
"Real County, Texas",1.60%,± 2.1%
"Red Lake County, Minnesota",1.50%,± 0.8%
"Red River County, Texas",3.80%,± 2.5%
"Red River Parish, Louisiana",3.30%,± 1.9%
"Red Willow County, Nebraska",2.30%,± 1.6%
"Redwood County, Minnesota",1.70%,± 0.5%
"Reeves County, Texas",7%,± 4.4%
"Refugio County, Texas",5.60%,± 2.9%
"Reno County, Kansas",4.20%,± 0.8%
"Rensselaer County, New York",5.60%,± 0.7%
"Renville County, Minnesota",3.10%,± 0.8%
"Renville County, North Dakota",2.30%,± 2.1%
"Republic County, Kansas",0.60%,± 0.6%
"Reynolds County, Missouri",10%,± 3.9%
"Rhea County, Tennessee",7.90%,± 2.2%
"Rice County, Kansas",3.60%,± 2%
"Rice County, Minnesota",5.30%,± 1.2%
"Rich County, Utah",2.60%,± 2.3%
"Richardson County, Nebraska",4.70%,± 2.4%
"Richland County, Illinois",4.20%,± 1.7%
"Richland County, Montana",4.90%,± 1.5%
"Richland County, North Dakota",2.50%,± 0.9%
"Richland County, Ohio",4.80%,± 0.8%
"Richland County, South Carolina",6.80%,± 0.7%
"Richland County, Wisconsin",2.60%,± 0.7%
"Richland Parish, Louisiana",6.80%,± 2.2%
"Richmond city, Virginia",6.10%,± 0.7%
"Richmond County, Georgia",8.30%,± 1.1%
"Richmond County, New York",5.40%,± 0.4%
"Richmond County, North Carolina",9.60%,± 2.5%
"Richmond County, Virginia",4%,± 3%
"Riley County, Kansas",5.10%,± 1.1%
"Rincón Municipio, Puerto Rico",6.20%,± 2.3%
"Ringgold County, Iowa",1.70%,± 1.2%
"Rio Arriba County, New Mexico",6%,± 1.6%
"Rio Blanco County, Colorado",6.10%,± 3%
"Rio Grande County, Colorado",6%,± 2.9%
"Río Grande Municipio, Puerto Rico",17.60%,± 2.7%
"Ripley County, Indiana",3.30%,± 0.9%
"Ripley County, Missouri",3.60%,± 1.6%
"Ritchie County, West Virginia",3.60%,± 1.6%
"Riverside County, California",6.70%,± 0.2%
"Roane County, Tennessee",4.90%,± 1.3%
"Roane County, West Virginia",11.70%,± 3.4%
"Roanoke city, Virginia",6.60%,± 1.1%
"Roanoke County, Virginia",2.60%,± 0.6%
"Roberts County, South Dakota",5.20%,± 1.6%
"Roberts County, Texas",0.50%,± 0.8%
"Robertson County, Kentucky",7%,± 3.8%
"Robertson County, Tennessee",3.80%,± 0.9%
"Robertson County, Texas",8.70%,± 3.1%
"Robeson County, North Carolina",6.40%,± 1%
"Rock County, Minnesota",2.80%,± 1.2%
"Rock County, Nebraska",1.20%,± 1.3%
"Rock County, Wisconsin",3.90%,± 0.5%
"Rock Island County, Illinois",6.20%,± 0.9%
"Rockbridge County, Virginia",3.90%,± 1.5%
"Rockcastle County, Kentucky",6.60%,± 2%
"Rockdale County, Georgia",6%,± 1.1%
"Rockingham County, New Hampshire",3.40%,± 0.4%
"Rockingham County, North Carolina",6.50%,± 1.1%
"Rockingham County, Virginia",2.80%,± 0.7%
"Rockland County, New York",6.20%,± 0.5%
"Rockwall County, Texas",3.90%,± 0.7%
"Roger Mills County, Oklahoma",4.70%,± 2%
"Rogers County, Oklahoma",4.70%,± 0.7%
"Rolette County, North Dakota",6.40%,± 1.9%
"Rooks County, Kansas",1.80%,± 1.1%
"Roosevelt County, Montana",8.60%,± 2.5%
"Roosevelt County, New Mexico",6.60%,± 2.1%
"Roscommon County, Michigan",5.70%,± 1.2%
"Roseau County, Minnesota",4.30%,± 1.1%
"Rosebud County, Montana",9.20%,± 2.6%
"Ross County, Ohio",5.70%,± 1.1%
"Routt County, Colorado",2.90%,± 1.1%
"Rowan County, Kentucky",4.60%,± 1.8%
"Rowan County, North Carolina",6.30%,± 0.8%
"Runnels County, Texas",3%,± 1.5%
"Rush County, Indiana",6.30%,± 1.8%
"Rush County, Kansas",4.40%,± 2.7%
"Rusk County, Texas",5.50%,± 1.2%
"Rusk County, Wisconsin",4.70%,± 1.5%
"Russell County, Alabama",6.50%,± 1.7%
"Russell County, Kansas",3.90%,± 2.3%
"Russell County, Kentucky",6.10%,± 2%
"Russell County, Virginia",5.90%,± 1.8%
"Rutherford County, North Carolina",6%,± 1.2%
"Rutherford County, Tennessee",3.90%,± 0.5%
"Rutland County, Vermont",4.30%,± 0.9%
"Sabana Grande Municipio, Puerto Rico",11.50%,± 3.4%
"Sabine County, Texas",8.40%,± 3.8%
"Sabine Parish, Louisiana",7.50%,± 1.8%
"Sac County, Iowa",3.20%,± 1.3%
"Sacramento County, California",6.30%,± 0.3%
"Sagadahoc County, Maine",4.40%,± 1.5%
"Saginaw County, Michigan",6.60%,± 0.8%
"Saguache County, Colorado",10%,± 3.6%
"Salem city, Virginia",3.50%,± 1.3%
"Salem County, New Jersey",8%,± 1.1%
"Salinas Municipio, Puerto Rico",6%,± 2.6%
"Saline County, Arkansas",3.80%,± 0.8%
"Saline County, Illinois",5.90%,± 1.4%
"Saline County, Kansas",3.60%,± 1.1%
"Saline County, Missouri",2.70%,± 1.1%
"Saline County, Nebraska",2.10%,± 1.2%
"Salt Lake County, Utah",3.60%,± 0.2%
"Saluda County, South Carolina",3.30%,± 1.2%
"Sampson County, North Carolina",5.70%,± 1.2%
"San Augustine County, Texas",10.30%,± 5.2%
"San Benito County, California",6.20%,± 1.3%
"San Bernardino County, California",7.20%,± 0.3%
"San Diego County, California",6.30%,± 0.2%
"San Francisco County, California",5.40%,± 0.3%
"San Germán Municipio, Puerto Rico",6.50%,± 2.1%
"San Jacinto County, Texas",7.10%,± 2.2%
"San Joaquin County, California",7.20%,± 0.5%
"San Juan County, Colorado",7.30%,± 6.3%
"San Juan County, New Mexico",8.90%,± 1.2%
"San Juan County, Utah",12.10%,± 2.2%
"San Juan County, Washington",3.20%,± 0.8%
"San Juan Municipio, Puerto Rico",15.70%,± 0.8%
"San Lorenzo Municipio, Puerto Rico",8.30%,± 3%
"San Luis Obispo County, California",5%,± 0.5%
"San Mateo County, California",4.50%,± 0.3%
"San Miguel County, Colorado",3.70%,± 1.5%
"San Miguel County, New Mexico",6.90%,± 2%
"San Patricio County, Texas",4.40%,± 1%
"San Saba County, Texas",3.80%,± 2.6%
"San Sebastián Municipio, Puerto Rico",14.90%,± 3.1%
"Sanborn County, South Dakota",1.10%,± 1.1%
"Sanders County, Montana",5.20%,± 1.7%
"Sandoval County, New Mexico",5.90%,± 0.7%
"Sandusky County, Ohio",4.80%,± 0.9%
"Sangamon County, Illinois",5.20%,± 0.5%
"Sanilac County, Michigan",6.50%,± 0.8%
"Sanpete County, Utah",4.60%,± 1.7%
"Santa Barbara County, California",6%,± 0.5%
"Santa Clara County, California",4.40%,± 0.2%
"Santa Cruz County, Arizona",9.80%,± 2%
"Santa Cruz County, California",5.90%,± 0.6%
"Santa Fe County, New Mexico",5.40%,± 0.7%
"Santa Isabel Municipio, Puerto Rico",8.60%,± 2.5%
"Santa Rosa County, Florida",4.70%,± 0.8%
"Sarasota County, Florida",3.40%,± 0.4%
"Saratoga County, New York",3.50%,± 0.5%
"Sargent County, North Dakota",1.50%,± 0.8%
"Sarpy County, Nebraska",2.60%,± 0.4%
"Sauk County, Wisconsin",2.80%,± 0.6%
"Saunders County, Nebraska",2.40%,± 0.8%
"Sawyer County, Wisconsin",6.50%,± 1.4%
"Schenectady County, New York",6%,± 0.8%
"Schleicher County, Texas",6.90%,± 6%
"Schley County, Georgia",3.50%,± 2.1%
"Schoharie County, New York",5.30%,± 1.1%
"Schoolcraft County, Michigan",7.90%,± 2.4%
"Schuyler County, Illinois",6.70%,± 3.2%
"Schuyler County, Missouri",2.30%,± 1.3%
"Schuyler County, New York",5.70%,± 1.6%
"Schuylkill County, Pennsylvania",5.30%,± 0.6%
"Scioto County, Ohio",7.50%,± 1.4%
"Scotland County, Missouri",1.20%,± 1.4%
"Scotland County, North Carolina",10.80%,± 1.9%
"Scott County, Arkansas",5.70%,± 2.5%
"Scott County, Illinois",2.90%,± 1.4%
"Scott County, Indiana",4.80%,± 2%
"Scott County, Iowa",4%,± 0.6%
"Scott County, Kansas",2.30%,± 3.7%
"Scott County, Kentucky",3.70%,± 1.1%
"Scott County, Minnesota",3.20%,± 0.5%
"Scott County, Mississippi",6%,± 2.4%
"Scott County, Missouri",2.90%,± 0.8%
"Scott County, Tennessee",9.60%,± 2.3%
"Scott County, Virginia",3.40%,± 1.4%
"Scotts Bluff County, Nebraska",3.50%,± 1%
"Screven County, Georgia",7.20%,± 3%
"Scurry County, Texas",2.20%,± 1.6%
"Searcy County, Arkansas",5.20%,± 2.3%
"Sebastian County, Arkansas",5.20%,± 0.8%
"Sedgwick County, Colorado",3.30%,± 1.5%
"Sedgwick County, Kansas",5.30%,± 0.3%
"Seminole County, Florida",4.30%,± 0.4%
"Seminole County, Georgia",5.80%,± 2.8%
"Seminole County, Oklahoma",7.20%,± 1%
"Seneca County, New York",4.50%,± 0.9%
"Seneca County, Ohio",4.20%,± 0.8%
"Sequatchie County, Tennessee",3.30%,± 1.6%
"Sequoyah County, Oklahoma",5.20%,± 0.8%
"Sevier County, Arkansas",4.60%,± 1.4%
"Sevier County, Tennessee",3.50%,± 0.9%
"Sevier County, Utah",4.90%,± 1.6%
"Seward County, Kansas",2.70%,± 1.4%
"Seward County, Nebraska",2.20%,± 0.8%
"Shackelford County, Texas",7.20%,± 5.2%
"Shannon County, Missouri",2.70%,± 1.7%
"Sharkey County, Mississippi",12.80%,± 6.1%
"Sharp County, Arkansas",6.20%,± 2.4%
"Shasta County, California",6.60%,± 0.8%
"Shawano County, Wisconsin",2.90%,± 0.6%
"Shawnee County, Kansas",4.20%,± 0.6%
"Sheboygan County, Wisconsin",2.80%,± 0.6%
"Shelby County, Alabama",3.10%,± 0.4%
"Shelby County, Illinois",4%,± 1%
"Shelby County, Indiana",3.30%,± 0.9%
"Shelby County, Iowa",2.50%,± 1.2%
"Shelby County, Kentucky",3.30%,± 0.9%
"Shelby County, Missouri",1.10%,± 0.7%
"Shelby County, Ohio",4.90%,± 1.2%
"Shelby County, Tennessee",7.30%,± 0.4%
"Shelby County, Texas",4%,± 1.4%
"Shenandoah County, Virginia",4.20%,± 1%
"Sherburne County, Minnesota",3%,± 0.6%
"Sheridan County, Kansas",0.40%,± 0.7%
"Sheridan County, Montana",1.50%,± 1.2%
"Sheridan County, Nebraska",2.20%,± 1.4%
"Sheridan County, North Dakota",0.80%,± 0.7%
"Sheridan County, Wyoming",3%,± 1.1%
"Sherman County, Kansas",2.40%,± 1.8%
"Sherman County, Nebraska",4.20%,± 2.3%
"Sherman County, Oregon",2.20%,± 1.3%
"Sherman County, Texas",1.50%,± 2.3%
"Shiawassee County, Michigan",4.10%,± 0.6%
"Shoshone County, Idaho",5%,± 1.5%
"Sibley County, Minnesota",3.20%,± 0.9%
"Sierra County, California",5.60%,± 6.5%
"Sierra County, New Mexico",4.70%,± 4.1%
"Silver Bow County, Montana",4.60%,± 1.5%
"Simpson County, Kentucky",3.50%,± 1.4%
"Simpson County, Mississippi",6%,± 2.1%
"Sioux County, Iowa",2.30%,± 0.9%
"Sioux County, Nebraska",3.90%,± 4.1%
"Sioux County, North Dakota",20.70%,± 4.7%
"Siskiyou County, California",7.40%,± 1.2%
"Sitka City and Borough, Alaska",5%,± 1.7%
"Skagit County, Washington",5.10%,± 0.7%
"Skagway Municipality, Alaska",11%,± 6%
"Skamania County, Washington",5.20%,± 1.7%
"Slope County, North Dakota",4.50%,± 3.4%
"Smith County, Kansas",2.10%,± 1.3%
"Smith County, Mississippi",3.50%,± 1.7%
"Smith County, Tennessee",3.50%,± 1.5%
"Smith County, Texas",4.70%,± 0.6%
"Smyth County, Virginia",3.30%,± 1%
"Snohomish County, Washington",4.40%,± 0.3%
"Snyder County, Pennsylvania",2.20%,± 0.5%
"Socorro County, New Mexico",4.40%,± 2.6%
"Solano County, California",5.90%,± 0.5%
"Somerset County, Maine",4.20%,± 0.9%
"Somerset County, Maryland",7%,± 2.6%
"Somerset County, New Jersey",5%,± 0.5%
"Somerset County, Pennsylvania",5.20%,± 0.8%
"Somervell County, Texas",3.90%,± 2.7%
"Sonoma County, California",5.20%,± 0.5%
"South Central Connecticut Planning Region, Connecticut",6.10%,± 0.5%
"Southampton County, Virginia",5.50%,± 1.6%
"Southeast Fairbanks Census Area, Alaska",6.60%,± 2.6%
"Southeastern Connecticut Planning Region, Connecticut",5.30%,± 0.5%
"Spalding County, Georgia",5.60%,± 1.3%
"Spartanburg County, South Carolina",4.70%,± 0.6%
"Spencer County, Indiana",3.30%,± 1.1%
"Spencer County, Kentucky",6.20%,± 2.2%
"Spink County, South Dakota",1.60%,± 1.2%
"Spokane County, Washington",5.80%,± 0.4%
"Spotsylvania County, Virginia",5.60%,± 0.8%
"St. Bernard Parish, Louisiana",8%,± 1.6%
"St. Charles County, Missouri",3.10%,± 0.3%
"St. Charles Parish, Louisiana",6.70%,± 1.6%
"St. Clair County, Alabama",4.30%,± 0.8%
"St. Clair County, Illinois",5.70%,± 0.7%
"St. Clair County, Michigan",6.70%,± 0.7%
"St. Clair County, Missouri",2.50%,± 1.3%
"St. Croix County, Wisconsin",2.20%,± 0.5%
"St. Francis County, Arkansas",6.60%,± 1.7%
"St. Francois County, Missouri",4.80%,± 1%
"St. Helena Parish, Louisiana",21.50%,± 6.7%
"St. James Parish, Louisiana",3.60%,± 1.5%
"St. John the Baptist Parish, Louisiana",9.30%,± 2.3%
"St. Johns County, Florida",4.40%,± 0.6%
"St. Joseph County, Indiana",4.80%,± 0.6%
"St. Joseph County, Michigan",5.30%,± 1%
"St. Landry Parish, Louisiana",6.90%,± 1.1%
"St. Lawrence County, New York",6.30%,± 0.8%
"St. Louis city, Missouri",5.40%,± 0.5%
"St. Louis County, Minnesota",4.60%,± 0.4%
"St. Louis County, Missouri",4.30%,± 0.3%
"St. Lucie County, Florida",6%,± 0.8%
"St. Martin Parish, Louisiana",6.20%,± 1.4%
"St. Mary Parish, Louisiana",5.90%,± 1.3%
"St. Mary's County, Maryland",3.70%,± 0.7%
"St. Tammany Parish, Louisiana",5.20%,± 0.6%
"Stafford County, Kansas",3.50%,± 2.1%
"Stafford County, Virginia",3.90%,± 0.6%
"Stanislaus County, California",8.20%,± 0.5%
"Stanley County, South Dakota",0.20%,± 0.5%
"Stanly County, North Carolina",4.30%,± 1.1%
"Stanton County, Kansas",3%,± 3.5%
"Stanton County, Nebraska",0.70%,± 0.7%
"Stark County, Illinois",3.30%,± 1.4%
"Stark County, North Dakota",2.90%,± 0.9%
"Stark County, Ohio",4.30%,± 0.4%
"Starke County, Indiana",4%,± 1.1%
"Starr County, Texas",11.50%,± 2.2%
"Staunton city, Virginia",5.10%,± 1.8%
"Ste. Genevieve County, Missouri",4.80%,± 2.2%
"Stearns County, Minnesota",4.40%,± 0.8%
"Steele County, Minnesota",3.40%,± 0.9%
"Steele County, North Dakota",2.20%,± 1.5%
"Stephens County, Georgia",5.80%,± 1.7%
"Stephens County, Oklahoma",4.90%,± 0.9%
"Stephens County, Texas",8.60%,± 4.3%
"Stephenson County, Illinois",5.30%,± 1.2%
"Sterling County, Texas",0%,± 8.3%
"Steuben County, Indiana",7.10%,± 1.8%
"Steuben County, New York",6.30%,± 0.7%
"Stevens County, Kansas",1.90%,± 1.7%
"Stevens County, Minnesota",1.40%,± 0.5%
"Stevens County, Washington",5.30%,± 1.1%
"Stewart County, Georgia",5.10%,± 3.1%
"Stewart County, Tennessee",3.80%,± 2.2%
"Stillwater County, Montana",2.60%,± 1.2%
"Stoddard County, Missouri",4.30%,± 1.2%
"Stokes County, North Carolina",5.30%,± 1.5%
"Stone County, Arkansas",5.40%,± 2.1%
"Stone County, Mississippi",8.10%,± 3.7%
"Stone County, Missouri",8.40%,± 2.4%
"Stonewall County, Texas",1.80%,± 2.1%
"Storey County, Nevada",7%,± 5.9%
"Story County, Iowa",5.60%,± 1.3%
"Strafford County, New Hampshire",3.70%,± 0.6%
"Stutsman County, North Dakota",4.70%,± 1.9%
"Sublette County, Wyoming",3.90%,± 2.7%
"Suffolk city, Virginia",6.30%,± 1.1%
"Suffolk County, Massachusetts",6.70%,± 0.3%
"Suffolk County, New York",4.80%,± 0.2%
"Sullivan County, Indiana",5%,± 1.6%
"Sullivan County, Missouri",2.40%,± 1.2%
"Sullivan County, New Hampshire",2.90%,± 0.9%
"Sullivan County, New York",7.20%,± 1.3%
"Sullivan County, Pennsylvania",5.50%,± 1.9%
"Sullivan County, Tennessee",6.20%,± 0.8%
"Sully County, South Dakota",0%,± 3.1%
"Summers County, West Virginia",7.60%,± 3%
"Summit County, Colorado",3.70%,± 1.6%
"Summit County, Ohio",5.30%,± 0.4%
"Summit County, Utah",2.30%,± 0.6%
"Sumner County, Kansas",5.20%,± 1.6%
"Sumner County, Tennessee",3.50%,± 0.7%
"Sumter County, Alabama",8.20%,± 3.9%
"Sumter County, Florida",5.10%,± 1.2%
"Sumter County, Georgia",6.50%,± 2.3%
"Sumter County, South Carolina",7.20%,± 1.2%
"Sunflower County, Mississippi",11.10%,± 2.5%
"Surry County, North Carolina",4.90%,± 1%
"Surry County, Virginia",6%,± 2.7%
"Susquehanna County, Pennsylvania",5.80%,± 0.9%
"Sussex County, Delaware",5%,± 0.6%
"Sussex County, New Jersey",5.50%,± 0.5%
"Sussex County, Virginia",5%,± 2.4%
"Sutter County, California",7.60%,± 1.2%
"Sutton County, Texas",4.70%,± 3.5%
"Suwannee County, Florida",5.50%,± 1.6%
"Swain County, North Carolina",7.50%,± 2.7%
"Sweet Grass County, Montana",2.10%,± 1.5%
"Sweetwater County, Wyoming",5.70%,± 1.3%
"Swift County, Minnesota",3.70%,± 1.1%
"Swisher County, Texas",5.20%,± 4.1%
"Switzerland County, Indiana",4.40%,± 2.1%
"Talbot County, Georgia",4.30%,± 2.1%
"Talbot County, Maryland",3.20%,± 0.9%
"Taliaferro County, Georgia",4%,± 3.4%
"Talladega County, Alabama",8.40%,± 1.2%
"Tallahatchie County, Mississippi",11%,± 3.7%
"Tallapoosa County, Alabama",10.40%,± 2.4%
"Tama County, Iowa",4.50%,± 1.1%
"Taney County, Missouri",5.10%,± 1.1%
"Tangipahoa Parish, Louisiana",5.60%,± 1%
"Taos County, New Mexico",5.90%,± 1.9%
"Tarrant County, Texas",4.90%,± 0.3%
"Tate County, Mississippi",7.20%,± 2%
"Tattnall County, Georgia",8%,± 3.2%
"Taylor County, Florida",5.80%,± 2.3%
"Taylor County, Georgia",6.60%,± 3.3%
"Taylor County, Iowa",3.20%,± 1.5%
"Taylor County, Kentucky",4.90%,± 1.4%
"Taylor County, Texas",2.40%,± 0.5%
"Taylor County, West Virginia",9.30%,± 3.2%
"Taylor County, Wisconsin",3.20%,± 0.9%
"Tazewell County, Illinois",3.90%,± 0.6%
"Tazewell County, Virginia",5.70%,± 1.6%
"Tehama County, California",7.40%,± 1.8%
"Telfair County, Georgia",2.10%,± 1.5%
"Teller County, Colorado",3.80%,± 1.5%
"Tensas Parish, Louisiana",12.40%,± 5.2%
"Terrebonne Parish, Louisiana",5.90%,± 1.1%
"Terrell County, Georgia",8.70%,± 3.4%
"Terrell County, Texas",0%,± 12.8%
"Terry County, Texas",4.80%,± 2.3%
"Teton County, Idaho",1.60%,± 1.3%
"Teton County, Montana",2.10%,± 1.3%
"Teton County, Wyoming",2.10%,± 1.4%
"Texas County, Missouri",6%,± 2%
"Texas County, Oklahoma",2.70%,± 1.1%
"Thayer County, Nebraska",3.20%,± 1.2%
"Thomas County, Georgia",6.20%,± 1.2%
"Thomas County, Kansas",0.60%,± 0.8%
"Thomas County, Nebraska",0.80%,± 1.1%
"Throckmorton County, Texas",2.50%,± 3.7%
"Thurston County, Nebraska",10%,± 2.2%
"Thurston County, Washington",5.50%,± 0.5%
"Tift County, Georgia",2.90%,± 1.1%
"Tillamook County, Oregon",5.20%,± 1.4%
"Tillman County, Oklahoma",5.90%,± 2.4%
"Tioga County, New York",5.60%,± 1.1%
"Tioga County, Pennsylvania",4.50%,± 0.7%
"Tippah County, Mississippi",6%,± 2%
"Tippecanoe County, Indiana",3.60%,± 0.5%
"Tipton County, Indiana",3.80%,± 1.7%
"Tipton County, Tennessee",5.40%,± 1%
"Tishomingo County, Mississippi",3.50%,± 1.5%
"Titus County, Texas",4%,± 1.1%
"Toa Alta Municipio, Puerto Rico",8.60%,± 1.7%
"Toa Baja Municipio, Puerto Rico",11.30%,± 1.4%
