Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Petroleum County, Montana",4.20%,± 5.6%
"Pettis County, Missouri",24%,± 2.2%
"Phelps County, Missouri",15.30%,± 2.4%
"Phelps County, Nebraska",15.50%,± 2.9%
"Philadelphia County, Pennsylvania",11.50%,± 0.3%
"Phillips County, Arkansas",22.30%,± 3.7%
"Phillips County, Colorado",9.90%,± 4.4%
"Phillips County, Kansas",14.80%,± 3.2%
"Phillips County, Montana",9.70%,± 4.1%
"Piatt County, Illinois",13%,± 2.3%
"Pickaway County, Ohio",17.20%,± 1.8%
"Pickens County, Alabama",25%,± 3.8%
"Pickens County, Georgia",18.20%,± 3.2%
"Pickens County, South Carolina",14.90%,± 1%
"Pickett County, Tennessee",16.30%,± 5.8%
"Pierce County, Georgia",19.80%,± 3.4%
"Pierce County, Nebraska",15.40%,± 2.8%
"Pierce County, North Dakota",9.40%,± 3.1%
"Pierce County, Washington",14.90%,± 0.5%
"Pierce County, Wisconsin",17.80%,± 1.4%
"Pike County, Alabama",18.10%,± 2.7%
"Pike County, Arkansas",22.70%,± 4.2%
"Pike County, Georgia",12.80%,± 2.3%
"Pike County, Illinois",19.20%,± 2.5%
"Pike County, Indiana",32%,± 3.7%
"Pike County, Kentucky",13.70%,± 2.2%
"Pike County, Mississippi",27.20%,± 3.8%
"Pike County, Missouri",19.10%,± 3.6%
"Pike County, Ohio",23.40%,± 3.8%
"Pike County, Pennsylvania",13.80%,± 1.3%
"Pima County, Arizona",9.30%,± 0.4%
"Pinal County, Arizona",13.90%,± 0.9%
"Pine County, Minnesota",17.20%,± 1.2%
"Pinellas County, Florida",9.10%,± 0.4%
"Pipestone County, Minnesota",17%,± 2.5%
"Piscataquis County, Maine",20%,± 2.9%
"Pitkin County, Colorado",6.60%,± 2.7%
"Pitt County, North Carolina",13.70%,± 1.4%
"Pittsburg County, Oklahoma",15.50%,± 1.6%
"Pittsylvania County, Virginia",20.60%,± 1.9%
"Piute County, Utah",9.70%,± 4.6%
"Placer County, California",7.10%,± 0.4%
"Plaquemines Parish, Louisiana",13.40%,± 2.7%
"Platte County, Missouri",13%,± 1.2%
"Platte County, Nebraska",24.50%,± 2.6%
"Platte County, Wyoming",15.20%,± 5.3%
"Pleasants County, West Virginia",25.40%,± 4.4%
"Plumas County, California",12.80%,± 3.6%
"Plymouth County, Iowa",20.60%,± 2.1%
"Plymouth County, Massachusetts",9.70%,± 0.5%
"Pocahontas County, Iowa",22.60%,± 2.9%
"Pocahontas County, West Virginia",19.10%,± 3.9%
"Poinsett County, Arkansas",26.60%,± 3.4%
"Pointe Coupee Parish, Louisiana",18%,± 3.2%
"Polk County, Arkansas",17.70%,± 3%
"Polk County, Florida",14.80%,± 0.7%
"Polk County, Georgia",25.40%,± 2.5%
"Polk County, Iowa",12.50%,± 0.5%
"Polk County, Minnesota",14.20%,± 1.6%
"Polk County, Missouri",16.70%,± 1.8%
"Polk County, Nebraska",17%,± 3.2%
"Polk County, North Carolina",12.80%,± 2.5%
"Polk County, Oregon",11.90%,± 1.6%
"Polk County, Tennessee",20.70%,± 3.6%
"Polk County, Texas",18%,± 2.6%
"Polk County, Wisconsin",24.40%,± 1.3%
"Ponce Municipio, Puerto Rico",10.60%,± 1.5%
"Pondera County, Montana",11.10%,± 2.7%
"Pontotoc County, Mississippi",27.60%,± 3.1%
"Pontotoc County, Oklahoma",13.10%,± 1.3%
"Pope County, Arkansas",21.40%,± 2.2%
"Pope County, Illinois",16.40%,± 5.5%
"Pope County, Minnesota",16.60%,± 2%
"Poquoson city, Virginia",10.40%,± 3.2%
"Portage County, Ohio",17.10%,± 1.1%
"Portage County, Wisconsin",17.40%,± 1.2%
"Porter County, Indiana",15.90%,± 1.1%
"Portsmouth city, Virginia",15.90%,± 1.5%
"Posey County, Indiana",18%,± 2.4%
"Pottawatomie County, Kansas",13.90%,± 2.1%
"Pottawatomie County, Oklahoma",15%,± 0.9%
"Pottawattamie County, Iowa",16.70%,± 1.4%
"Potter County, Pennsylvania",20.90%,± 2%
"Potter County, South Dakota",10.30%,± 3.7%
"Potter County, Texas",18.40%,± 1.3%
"Powder River County, Montana",8.60%,± 3.9%
"Powell County, Kentucky",24.90%,± 4.5%
"Powell County, Montana",10.60%,± 3.6%
"Power County, Idaho",12.70%,± 3.9%
"Poweshiek County, Iowa",18.10%,± 2.6%
"Powhatan County, Virginia",8%,± 1.6%
"Prairie County, Arkansas",17.70%,± 3.2%
"Prairie County, Montana",15.90%,± 7%
"Pratt County, Kansas",13.80%,± 3.3%
"Preble County, Ohio",21.40%,± 1.7%
"Prentiss County, Mississippi",30%,± 4.3%
"Presidio County, Texas",6.80%,± 6.1%
"Presque Isle County, Michigan",15.20%,± 2%
"Preston County, West Virginia",17.10%,± 2.1%
"Price County, Wisconsin",29.10%,± 2.1%
"Prince Edward County, Virginia",13.30%,± 3.6%
"Prince George County, Virginia",13.30%,± 2.7%
"Prince George's County, Maryland",9.60%,± 0.4%
"Prince of Wales-Hyder Census Area, Alaska",15%,± 2.8%
"Prince William County, Virginia",8.50%,± 0.6%
"Providence County, Rhode Island",14.10%,± 0.6%
"Prowers County, Colorado",16.30%,± 3.1%
"Pueblo County, Colorado",14.20%,± 1.1%
"Pulaski County, Arkansas",11.70%,± 0.7%
"Pulaski County, Georgia",19.60%,± 5.6%
"Pulaski County, Illinois",17%,± 4.5%
"Pulaski County, Indiana",25.90%,± 3.4%
"Pulaski County, Kentucky",16.70%,± 1.8%
"Pulaski County, Missouri",15%,± 2.8%
"Pulaski County, Virginia",20.10%,± 2.5%
"Pushmataha County, Oklahoma",15.20%,± 2.9%
"Putnam County, Florida",16.60%,± 2%
"Putnam County, Georgia",21.70%,± 4.9%
"Putnam County, Illinois",22.50%,± 3.4%
"Putnam County, Indiana",24%,± 2.9%
"Putnam County, Missouri",19.70%,± 6.6%
"Putnam County, New York",7.30%,± 1%
"Putnam County, Ohio",22.60%,± 2%
"Putnam County, Tennessee",18.50%,± 1.8%
"Putnam County, West Virginia",12.90%,± 2.3%
"Quay County, New Mexico",10.10%,± 3.8%
"Quebradillas Municipio, Puerto Rico",17.30%,± 5.6%
"Queen Anne's County, Maryland",8.50%,± 1.3%
"Queens County, New York",11.40%,± 0.3%
"Quitman County, Georgia",23.20%,± 9.1%
"Quitman County, Mississippi",23.10%,± 5%
"Rabun County, Georgia",11.60%,± 2.2%
"Racine County, Wisconsin",21.30%,± 1.3%
"Radford city, Virginia",12.70%,± 3.1%
"Rains County, Texas",15.20%,± 3.5%
"Raleigh County, West Virginia",10.60%,± 1.7%
"Ralls County, Missouri",22.30%,± 3.9%
"Ramsey County, Minnesota",12.70%,± 0.5%
"Ramsey County, North Dakota",11.30%,± 3.5%
"Randall County, Texas",12.10%,± 1%
"Randolph County, Alabama",27.30%,± 3.7%
"Randolph County, Arkansas",23.20%,± 3.8%
"Randolph County, Georgia",20.20%,± 7.3%
"Randolph County, Illinois",20.10%,± 2%
"Randolph County, Indiana",24%,± 2.2%
"Randolph County, Missouri",28.30%,± 3.3%
"Randolph County, North Carolina",24.50%,± 1.4%
"Randolph County, West Virginia",17.60%,± 4.3%
"Rankin County, Mississippi",10.50%,± 1.1%
"Ransom County, North Dakota",25.90%,± 3.7%
"Rapides Parish, Louisiana",12.70%,± 1.3%
"Rappahannock County, Virginia",8%,± 3.5%
"Ravalli County, Montana",13.10%,± 2%
"Rawlins County, Kansas",13.50%,± 4.5%
"Ray County, Missouri",25%,± 2.8%
"Reagan County, Texas",21.50%,± 7.4%
"Real County, Texas",10.10%,± 8.7%
"Red Lake County, Minnesota",20.20%,± 3.2%
"Red River County, Texas",18.80%,± 4.3%
"Red River Parish, Louisiana",19.10%,± 6.2%
"Red Willow County, Nebraska",17.80%,± 4%
"Redwood County, Minnesota",15.10%,± 1.5%
"Reeves County, Texas",19.30%,± 6.1%
"Refugio County, Texas",14.70%,± 4.6%
"Reno County, Kansas",19.90%,± 1.9%
"Rensselaer County, New York",10.60%,± 1%
"Renville County, Minnesota",20%,± 1.7%
"Renville County, North Dakota",16.80%,± 4.9%
"Republic County, Kansas",15.30%,± 3.5%
"Reynolds County, Missouri",22.10%,± 4.8%
"Rhea County, Tennessee",28.50%,± 3.6%
"Rice County, Kansas",21.70%,± 3.4%
"Rice County, Minnesota",16.40%,± 1.5%
"Rich County, Utah",12.20%,± 7.1%
"Richardson County, Nebraska",13.90%,± 3.7%
"Richland County, Illinois",23.80%,± 3.3%
"Richland County, Montana",18.40%,± 2.7%
"Richland County, North Dakota",18.80%,± 2.1%
"Richland County, Ohio",22.60%,± 1.5%
"Richland County, South Carolina",12%,± 0.8%
"Richland County, Wisconsin",27.10%,± 1.9%
"Richland Parish, Louisiana",10%,± 2.2%
"Richmond city, Virginia",10.30%,± 0.7%
"Richmond County, Georgia",17.70%,± 1.3%
"Richmond County, New York",8.90%,± 0.5%
"Richmond County, North Carolina",20.80%,± 2.5%
"Richmond County, Virginia",16.90%,± 6.6%
"Riley County, Kansas",8.80%,± 1.3%
"Rincón Municipio, Puerto Rico",10.60%,± 4.1%
"Ringgold County, Iowa",14.20%,± 3.1%
"Rio Arriba County, New Mexico",8.60%,± 1.8%
"Rio Blanco County, Colorado",12%,± 3.8%
"Rio Grande County, Colorado",10.70%,± 3.6%
"Río Grande Municipio, Puerto Rico",13.70%,± 1.9%
"Ripley County, Indiana",24.40%,± 2.6%
"Ripley County, Missouri",22.80%,± 3.6%
"Ritchie County, West Virginia",23.70%,± 4.2%
"Riverside County, California",15%,± 0.4%
"Roane County, Tennessee",16%,± 2.2%
"Roane County, West Virginia",19.90%,± 4.7%
"Roanoke city, Virginia",15.30%,± 1.4%
"Roanoke County, Virginia",13.10%,± 1.3%
"Roberts County, South Dakota",13.70%,± 2.3%
"Roberts County, Texas",16.30%,± 7.3%
"Robertson County, Kentucky",16.80%,± 5.7%
"Robertson County, Tennessee",17%,± 1.7%
"Robertson County, Texas",15.50%,± 3.6%
"Robeson County, North Carolina",20.90%,± 1.2%
"Rock County, Minnesota",14.50%,± 2.3%
"Rock County, Nebraska",5.60%,± 2.3%
"Rock County, Wisconsin",21.90%,± 1.1%
"Rock Island County, Illinois",20.40%,± 1.1%
"Rockbridge County, Virginia",16.10%,± 3%
"Rockcastle County, Kentucky",23.50%,± 4.3%
"Rockdale County, Georgia",19.50%,± 2.1%
"Rockingham County, New Hampshire",10.10%,± 0.6%
"Rockingham County, North Carolina",20.80%,± 1.5%
"Rockingham County, Virginia",18.10%,± 1.4%
"Rockland County, New York",8.30%,± 0.6%
"Rockwall County, Texas",8.40%,± 1.1%
"Roger Mills County, Oklahoma",17.20%,± 4.7%
"Rogers County, Oklahoma",15.30%,± 1.1%
"Rolette County, North Dakota",11.20%,± 1.9%
"Rooks County, Kansas",9.60%,± 2%
"Roosevelt County, Montana",11.80%,± 2.5%
"Roosevelt County, New Mexico",21.10%,± 3.6%
"Roscommon County, Michigan",14%,± 2%
"Roseau County, Minnesota",31.60%,± 2.6%
"Rosebud County, Montana",12.90%,± 3.1%
"Ross County, Ohio",21.60%,± 1.9%
"Routt County, Colorado",6.90%,± 1.5%
"Rowan County, Kentucky",17.40%,± 3.2%
"Rowan County, North Carolina",20.70%,± 1.5%
"Runnels County, Texas",17.40%,± 3.6%
"Rush County, Indiana",26.60%,± 3.2%
"Rush County, Kansas",17.80%,± 4.5%
"Rusk County, Texas",20.70%,± 2.5%
"Rusk County, Wisconsin",27.50%,± 2.2%
"Russell County, Alabama",21.50%,± 3.2%
"Russell County, Kansas",17.80%,± 3.9%
"Russell County, Kentucky",20.90%,± 3.4%
"Russell County, Virginia",17.60%,± 3.3%
"Rutherford County, North Carolina",21.20%,± 2.3%
"Rutherford County, Tennessee",18%,± 0.8%
"Rutland County, Vermont",14%,± 1.4%
"Sabana Grande Municipio, Puerto Rico",14.60%,± 4.1%
"Sabine County, Texas",15.60%,± 3.7%
"Sabine Parish, Louisiana",19.30%,± 2.9%
"Sac County, Iowa",20.30%,± 2.7%
"Sacramento County, California",11.40%,± 0.3%
"Sagadahoc County, Maine",9.50%,± 1.4%
"Saginaw County, Michigan",17.20%,± 1%
"Saguache County, Colorado",9.30%,± 3.1%
"Salem city, Virginia",13.40%,± 2.6%
"Salem County, New Jersey",17%,± 1.4%
"Salinas Municipio, Puerto Rico",18.20%,± 3.6%
"Saline County, Arkansas",12%,± 1.3%
"Saline County, Illinois",12.90%,± 2.4%
"Saline County, Kansas",17.70%,± 1.5%
"Saline County, Missouri",20.30%,± 2.9%
"Saline County, Nebraska",24.90%,± 4.4%
"Salt Lake County, Utah",12.90%,± 0.4%
"Saluda County, South Carolina",23.70%,± 2.9%
"Sampson County, North Carolina",20.30%,± 2.2%
"San Augustine County, Texas",24%,± 4.8%
"San Benito County, California",14.70%,± 1.5%
"San Bernardino County, California",19.80%,± 0.4%
"San Diego County, California",9.80%,± 0.3%
"San Francisco County, California",5.60%,± 0.3%
"San Germán Municipio, Puerto Rico",15.30%,± 3.9%
"San Jacinto County, Texas",20.10%,± 3%
"San Joaquin County, California",18.70%,± 0.6%
"San Juan County, Colorado",2.60%,± 3%
"San Juan County, New Mexico",13.70%,± 1.3%
"San Juan County, Utah",14.30%,± 3.6%
"San Juan County, Washington",8%,± 1.1%
"San Juan Municipio, Puerto Rico",6.40%,± 0.4%
"San Lorenzo Municipio, Puerto Rico",17.50%,± 4%
"San Luis Obispo County, California",9.20%,± 0.8%
"San Mateo County, California",7.90%,± 0.4%
"San Miguel County, Colorado",6.80%,± 1.9%
"San Miguel County, New Mexico",9.80%,± 2.9%
"San Patricio County, Texas",16.90%,± 1.9%
"San Saba County, Texas",17.20%,± 5.6%
"San Sebastián Municipio, Puerto Rico",10.10%,± 2.8%
"Sanborn County, South Dakota",13.10%,± 4%
"Sanders County, Montana",16.80%,± 3.8%
"Sandoval County, New Mexico",8.80%,± 1%
"Sandusky County, Ohio",28.90%,± 2%
"Sangamon County, Illinois",10.30%,± 0.8%
"Sanilac County, Michigan",21.30%,± 1.6%
"Sanpete County, Utah",14.70%,± 2%
"Santa Barbara County, California",9.60%,± 0.6%
"Santa Clara County, California",7.70%,± 0.2%
"Santa Cruz County, Arizona",16.70%,± 2.3%
"Santa Cruz County, California",8.90%,± 0.7%
"Santa Fe County, New Mexico",6.70%,± 0.8%
"Santa Isabel Municipio, Puerto Rico",17.20%,± 4%
"Santa Rosa County, Florida",9.90%,± 0.9%
"Sarasota County, Florida",8.90%,± 0.6%
"Saratoga County, New York",9.20%,± 0.7%
"Sargent County, North Dakota",29%,± 2.9%
"Sarpy County, Nebraska",10.20%,± 0.8%
"Sauk County, Wisconsin",17.50%,± 1.5%
"Saunders County, Nebraska",14.20%,± 1.7%
"Sawyer County, Wisconsin",16.80%,± 2.2%
"Schenectady County, New York",10.70%,± 0.9%
"Schleicher County, Texas",17.30%,± 7.5%
"Schley County, Georgia",14.50%,± 6.9%
"Schoharie County, New York",13.50%,± 1.4%
"Schoolcraft County, Michigan",16.70%,± 2.9%
"Schuyler County, Illinois",18.80%,± 4.4%
"Schuyler County, Missouri",21.60%,± 6.2%
"Schuyler County, New York",14.90%,± 2.3%
"Schuylkill County, Pennsylvania",24.10%,± 1.3%
"Scioto County, Ohio",17.90%,± 2%
"Scotland County, Missouri",19.30%,± 5.6%
"Scotland County, North Carolina",28.20%,± 2.6%
"Scott County, Arkansas",27.20%,± 4.8%
"Scott County, Illinois",18.60%,± 3.8%
"Scott County, Indiana",34.80%,± 4.6%
"Scott County, Iowa",15.60%,± 1%
"Scott County, Kansas",14.10%,± 6%
"Scott County, Kentucky",23.70%,± 2%
"Scott County, Minnesota",13.40%,± 1%
"Scott County, Mississippi",25.70%,± 3.9%
"Scott County, Missouri",19.80%,± 2.3%
"Scott County, Tennessee",29.50%,± 3.4%
"Scott County, Virginia",19.30%,± 2.6%
"Scotts Bluff County, Nebraska",15.50%,± 2.1%
"Screven County, Georgia",18.50%,± 4.7%
"Scurry County, Texas",14.60%,± 3.9%
"Searcy County, Arkansas",21.40%,± 4.3%
"Sebastian County, Arkansas",20.20%,± 1.5%
"Sedgwick County, Colorado",10%,± 4%
"Sedgwick County, Kansas",15.70%,± 0.5%
"Seminole County, Florida",8.20%,± 0.5%
"Seminole County, Georgia",17.90%,± 4.6%
"Seminole County, Oklahoma",19%,± 1.7%
"Seneca County, New York",13.70%,± 1.5%
"Seneca County, Ohio",28.40%,± 2%
"Sequatchie County, Tennessee",19%,± 4.4%
"Sequoyah County, Oklahoma",17.10%,± 1.4%
"Sevier County, Arkansas",32.50%,± 4.3%
"Sevier County, Tennessee",12.70%,± 1.5%
"Sevier County, Utah",14%,± 1.8%
"Seward County, Kansas",28.80%,± 3.6%
"Seward County, Nebraska",15.40%,± 2.3%
"Shackelford County, Texas",9.90%,± 4.4%
"Shannon County, Missouri",18.50%,± 4.5%
"Sharkey County, Mississippi",20.30%,± 4.9%
"Sharp County, Arkansas",17.90%,± 3.1%
"Shasta County, California",10.40%,± 0.9%
"Shawano County, Wisconsin",21.20%,± 1.4%
"Shawnee County, Kansas",13.90%,± 1.1%
"Sheboygan County, Wisconsin",24.70%,± 1.4%
"Shelby County, Alabama",10%,± 0.8%
"Shelby County, Illinois",19.10%,± 2.7%
"Shelby County, Indiana",21.40%,± 2.1%
"Shelby County, Iowa",19.60%,± 2.8%
"Shelby County, Kentucky",20.50%,± 2.1%
"Shelby County, Missouri",18.30%,± 2.9%
"Shelby County, Ohio",29.40%,± 2.4%
"Shelby County, Tennessee",18.60%,± 0.6%
"Shelby County, Texas",21.40%,± 3.6%
"Shenandoah County, Virginia",17.80%,± 2.2%
"Sherburne County, Minnesota",18.30%,± 1.5%
"Sheridan County, Kansas",10.70%,± 3.3%
"Sheridan County, Montana",6.90%,± 2.3%
"Sheridan County, Nebraska",11.70%,± 2.3%
"Sheridan County, North Dakota",7.90%,± 2.9%
"Sheridan County, Wyoming",10.90%,± 2.1%
"Sherman County, Kansas",15.50%,± 5.1%
"Sherman County, Nebraska",14.40%,± 2.9%
"Sherman County, Oregon",16.40%,± 3.4%
"Sherman County, Texas",15%,± 7.4%
"Shiawassee County, Michigan",19.90%,± 1.4%
"Shoshone County, Idaho",13.20%,± 2.3%
"Sibley County, Minnesota",21.70%,± 1.9%
"Sierra County, California",9.30%,± 5.6%
"Sierra County, New Mexico",9%,± 4.2%
"Silver Bow County, Montana",11.40%,± 2%
"Simpson County, Kentucky",29.10%,± 4.6%
"Simpson County, Mississippi",14.40%,± 2.4%
"Sioux County, Iowa",16.10%,± 1.5%
"Sioux County, Nebraska",18.30%,± 7.4%
"Sioux County, North Dakota",9.20%,± 3.5%
"Siskiyou County, California",11.40%,± 1.6%
"Sitka City and Borough, Alaska",9.70%,± 2.3%
"Skagit County, Washington",15.20%,± 1%
"Skagway Municipality, Alaska",12.40%,± 9.5%
"Skamania County, Washington",14.70%,± 3.3%
"Slope County, North Dakota",10.70%,± 4.7%
"Smith County, Kansas",13.70%,± 3.9%
"Smith County, Mississippi",26.30%,± 4.4%
"Smith County, Tennessee",22.90%,± 3%
"Smith County, Texas",16.20%,± 1.3%
"Smyth County, Virginia",28.30%,± 3%
"Snohomish County, Washington",11.60%,± 0.4%
"Snyder County, Pennsylvania",21.60%,± 1.9%
"Socorro County, New Mexico",10.70%,± 4.1%
"Solano County, California",13.70%,± 0.6%
"Somerset County, Maine",16.90%,± 1.8%
"Somerset County, Maryland",14.20%,± 3.1%
"Somerset County, New Jersey",8.50%,± 0.5%
"Somerset County, Pennsylvania",17.80%,± 1.2%
"Somervell County, Texas",13.60%,± 4.4%
"Sonoma County, California",9.70%,± 0.5%
"South Central Connecticut Planning Region, Connecticut",10.70%,± 0.5%
"Southampton County, Virginia",15.30%,± 2.6%
"Southeast Fairbanks Census Area, Alaska",15%,± 3.5%
"Southeastern Connecticut Planning Region, Connecticut",10.50%,± 0.8%
"Spalding County, Georgia",25%,± 2.6%
"Spartanburg County, South Carolina",21.30%,± 0.9%
"Spencer County, Indiana",23.30%,± 2.5%
"Spencer County, Kentucky",17.40%,± 3.3%
"Spink County, South Dakota",10.20%,± 1.8%
"Spokane County, Washington",12.20%,± 0.5%
"Spotsylvania County, Virginia",10.70%,± 1%
"St. Bernard Parish, Louisiana",13.20%,± 1.9%
"St. Charles County, Missouri",10.30%,± 0.6%
"St. Charles Parish, Louisiana",15.50%,± 2.2%
"St. Clair County, Alabama",15.50%,± 1.9%
"St. Clair County, Illinois",14.60%,± 1%
"St. Clair County, Michigan",19.40%,± 1%
"St. Clair County, Missouri",16.70%,± 2.9%
"St. Croix County, Wisconsin",15.30%,± 1.2%
"St. Francis County, Arkansas",20.30%,± 3.5%
"St. Francois County, Missouri",18.20%,± 2.3%
"St. Helena Parish, Louisiana",18.10%,± 6.6%
"St. James Parish, Louisiana",21.50%,± 2.9%
"St. John the Baptist Parish, Louisiana",16.80%,± 2.2%
"St. Johns County, Florida",7.20%,± 1%
"St. Joseph County, Indiana",17.10%,± 0.8%
"St. Joseph County, Michigan",33%,± 1.5%
"St. Landry Parish, Louisiana",17.20%,± 2.4%
"St. Lawrence County, New York",13.20%,± 1.1%
"St. Louis city, Missouri",11.20%,± 0.7%
"St. Louis County, Minnesota",12.40%,± 0.7%
"St. Louis County, Missouri",10.60%,± 0.4%
"St. Lucie County, Florida",12.30%,± 1.2%
"St. Martin Parish, Louisiana",17.30%,± 2.1%
"St. Mary Parish, Louisiana",19%,± 2.3%
"St. Mary's County, Maryland",9.40%,± 1.3%
"St. Tammany Parish, Louisiana",9.30%,± 0.9%
"Stafford County, Kansas",14.10%,± 2.8%
"Stafford County, Virginia",7.80%,± 0.8%
"Stanislaus County, California",18.90%,± 0.7%
"Stanley County, South Dakota",15.50%,± 5.1%
"Stanly County, North Carolina",19.30%,± 1.6%
"Stanton County, Kansas",10.40%,± 4.9%
"Stanton County, Nebraska",20.10%,± 3.7%
"Stark County, Illinois",17.10%,± 3.3%
"Stark County, North Dakota",17.10%,± 2.3%
"Stark County, Ohio",18.60%,± 0.7%
"Starke County, Indiana",26.10%,± 3.1%
"Starr County, Texas",16%,± 2%
"Staunton city, Virginia",14.60%,± 2.4%
"Ste. Genevieve County, Missouri",16.40%,± 3.1%
"Stearns County, Minnesota",16.60%,± 0.8%
"Steele County, Minnesota",20.70%,± 1.9%
"Steele County, North Dakota",14.70%,± 4.6%
"Stephens County, Georgia",27%,± 3.6%
"Stephens County, Oklahoma",18.80%,± 1.8%
"Stephens County, Texas",17.90%,± 4.9%
"Stephenson County, Illinois",20.80%,± 2%
"Sterling County, Texas",18.60%,± 6.9%
"Steuben County, Indiana",27.60%,± 2.8%
"Steuben County, New York",15.30%,± 1%
"Stevens County, Kansas",19.90%,± 5.7%
"Stevens County, Minnesota",14.50%,± 2.3%
"Stevens County, Washington",14.70%,± 1.9%
"Stewart County, Georgia",30.70%,± 12.5%
"Stewart County, Tennessee",14.90%,± 3.9%
"Stillwater County, Montana",13.70%,± 2.9%
"Stoddard County, Missouri",20.30%,± 2.6%
"Stokes County, North Carolina",19.90%,± 2.7%
"Stone County, Arkansas",15.70%,± 4.2%
"Stone County, Mississippi",17%,± 4.5%
"Stone County, Missouri",15.40%,± 2.5%
"Stonewall County, Texas",25.50%,± 7.7%
"Storey County, Nevada",15.30%,± 8.4%
"Story County, Iowa",10.40%,± 1.2%
"Strafford County, New Hampshire",12.60%,± 1.1%
"Stutsman County, North Dakota",11.20%,± 2.1%
"Sublette County, Wyoming",12.20%,± 3.9%
"Suffolk city, Virginia",14.10%,± 1.3%
"Suffolk County, Massachusetts",7.40%,± 0.4%
"Suffolk County, New York",9.30%,± 0.2%
"Sullivan County, Indiana",20.90%,± 2.9%
"Sullivan County, Missouri",32.10%,± 3.7%
"Sullivan County, New Hampshire",18.40%,± 2.1%
"Sullivan County, New York",11.90%,± 1.5%
"Sullivan County, Pennsylvania",17.70%,± 2.9%
"Sullivan County, Tennessee",15.50%,± 1.2%
"Sully County, South Dakota",9.20%,± 3.3%
"Summers County, West Virginia",10.90%,± 4%
"Summit County, Colorado",8.50%,± 2.6%
"Summit County, Ohio",14.60%,± 0.6%
"Summit County, Utah",6.30%,± 1.1%
"Sumner County, Kansas",19%,± 1.8%
"Sumner County, Tennessee",14.50%,± 0.9%
"Sumter County, Alabama",19.40%,± 4.4%
"Sumter County, Florida",11.20%,± 1.7%
"Sumter County, Georgia",20.10%,± 3.4%
"Sumter County, South Carolina",18.60%,± 1.6%
"Sunflower County, Mississippi",16.90%,± 3%
"Surry County, North Carolina",20.40%,± 1.8%
"Surry County, Virginia",18.50%,± 4.1%
"Susquehanna County, Pennsylvania",18.80%,± 1.5%
"Sussex County, Delaware",11.80%,± 0.9%
"Sussex County, New Jersey",9.90%,± 0.7%
"Sussex County, Virginia",23.60%,± 3.6%
"Sutter County, California",14.80%,± 1.5%
"Sutton County, Texas",11.30%,± 5.9%
"Suwannee County, Florida",16.40%,± 2.5%
"Swain County, North Carolina",8.40%,± 3%
"Sweet Grass County, Montana",12.90%,± 3.5%
"Sweetwater County, Wyoming",13.90%,± 1.9%
"Swift County, Minnesota",16.50%,± 2.1%
"Swisher County, Texas",10.20%,± 3.6%
"Switzerland County, Indiana",23.40%,± 3.6%
"Talbot County, Georgia",23.60%,± 5.4%
"Talbot County, Maryland",8.80%,± 1.8%
"Taliaferro County, Georgia",28.40%,± 9.7%
"Talladega County, Alabama",25.10%,± 2.1%
"Tallahatchie County, Mississippi",29.20%,± 5.9%
"Tallapoosa County, Alabama",21.90%,± 3%
"Tama County, Iowa",22.10%,± 2.2%
"Taney County, Missouri",12.30%,± 1.8%
"Tangipahoa Parish, Louisiana",16.90%,± 2.2%
"Taos County, New Mexico",5.80%,± 2%
"Tarrant County, Texas",15.20%,± 0.3%
"Tate County, Mississippi",18.90%,± 3.6%
"Tattnall County, Georgia",17.60%,± 3.9%
"Taylor County, Florida",13.10%,± 3.4%
"Taylor County, Georgia",22.90%,± 5.5%
"Taylor County, Iowa",23.20%,± 3.3%
"Taylor County, Kentucky",22.20%,± 3.4%
"Taylor County, Texas",11.90%,± 1.1%
"Taylor County, West Virginia",14.90%,± 3.8%
"Taylor County, Wisconsin",29%,± 2%
"Tazewell County, Illinois",14.30%,± 0.8%
"Tazewell County, Virginia",16.90%,± 2.4%
"Tehama County, California",16.60%,± 2.3%
"Telfair County, Georgia",25.30%,± 7%
"Teller County, Colorado",10.80%,± 3%
"Tensas Parish, Louisiana",8.90%,± 3.8%
"Terrebonne Parish, Louisiana",15.70%,± 1.6%
"Terrell County, Georgia",23%,± 6%
"Terrell County, Texas",19.50%,± 11.8%
"Terry County, Texas",14.80%,± 4.6%
"Teton County, Idaho",6.60%,± 2.3%
"Teton County, Montana",10%,± 2.1%
"Teton County, Wyoming",6.40%,± 1.8%
"Texas County, Missouri",19.90%,± 2.8%
"Texas County, Oklahoma",18.20%,± 4.2%
"Thayer County, Nebraska",15.80%,± 2.6%
"Thomas County, Georgia",15%,± 2.4%
"Thomas County, Kansas",11.10%,± 3.7%
"Thomas County, Nebraska",6%,± 3.1%
"Throckmorton County, Texas",16.20%,± 4.8%
"Thurston County, Nebraska",16.20%,± 2.3%
"Thurston County, Washington",10.90%,± 0.8%
"Tift County, Georgia",17.40%,± 2.8%
"Tillamook County, Oregon",12.10%,± 2%
"Tillman County, Oklahoma",23.30%,± 4.5%
"Tioga County, New York",15.50%,± 1.7%
"Tioga County, Pennsylvania",21.10%,± 1.4%
"Tippah County, Mississippi",35.50%,± 4.5%
"Tippecanoe County, Indiana",17.20%,± 1.3%
"Tipton County, Indiana",24.30%,± 3.8%
"Tipton County, Tennessee",16.70%,± 1.9%
