Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Petersburg city, Virginia",31.20%,± 9.6%
"Petroleum County, Montana",21.40%,± 19.4%
"Pettis County, Missouri",23.20%,± 4.5%
"Phelps County, Missouri",19.40%,± 5.7%
"Phelps County, Nebraska",25.70%,± 8.7%
"Philadelphia County, Pennsylvania",23.70%,± 1.1%
"Phillips County, Arkansas",15.50%,± 6.9%
"Phillips County, Colorado",13.70%,± 8.5%
"Phillips County, Kansas",23%,± 7.9%
"Phillips County, Montana",14.60%,± 8.4%
"Piatt County, Illinois",26.80%,± 8.7%
"Pickaway County, Ohio",15.50%,± 3.6%
"Pickens County, Alabama",20.80%,± 7.2%
"Pickens County, Georgia",20.40%,± 7.4%
"Pickens County, South Carolina",21.10%,± 3.3%
"Pickett County, Tennessee",53.60%,± 17.6%
"Pierce County, Georgia",24.40%,± 8.7%
"Pierce County, Nebraska",19.40%,± 4.2%
"Pierce County, North Dakota",8%,± 5.9%
"Pierce County, Washington",23.90%,± 1.1%
"Pierce County, Wisconsin",23.80%,± 3.6%
"Pike County, Alabama",23.70%,± 6.2%
"Pike County, Arkansas",15.80%,± 6.6%
"Pike County, Georgia",19.40%,± 4.5%
"Pike County, Illinois",18.20%,± 5.8%
"Pike County, Indiana",20.70%,± 7.2%
"Pike County, Kentucky",23.80%,± 3.9%
"Pike County, Mississippi",20.60%,± 6.6%
"Pike County, Missouri",31.10%,± 7.8%
"Pike County, Ohio",21.50%,± 4.9%
"Pike County, Pennsylvania",15.20%,± 3.4%
"Pima County, Arizona",21.60%,± 1%
"Pinal County, Arizona",17.20%,± 1.7%
"Pine County, Minnesota",15.20%,± 2.7%
"Pinellas County, Florida",22.20%,± 1.4%
"Pipestone County, Minnesota",31.50%,± 6%
"Piscataquis County, Maine",18.60%,± 5.5%
"Pitkin County, Colorado",27.10%,± 10.2%
"Pitt County, North Carolina",21.50%,± 2.8%
"Pittsburg County, Oklahoma",16.90%,± 2.5%
"Pittsylvania County, Virginia",23.70%,± 4.2%
"Piute County, Utah",11.40%,± 13.4%
"Placer County, California",19.10%,± 1.8%
"Plaquemines Parish, Louisiana",19.20%,± 6%
"Platte County, Missouri",20.50%,± 2.7%
"Platte County, Nebraska",19.10%,± 4.2%
"Platte County, Wyoming",28.30%,± 13.8%
"Pleasants County, West Virginia",14.80%,± 7.2%
"Plumas County, California",12.90%,± 5.4%
"Plymouth County, Iowa",22.20%,± 4.8%
"Plymouth County, Massachusetts",20.60%,± 1.6%
"Pocahontas County, Iowa",23.40%,± 6.8%
"Pocahontas County, West Virginia",31.50%,± 10.3%
"Poinsett County, Arkansas",19.30%,± 4.7%
"Pointe Coupee Parish, Louisiana",13.10%,± 5.4%
"Polk County, Arkansas",20%,± 6.3%
"Polk County, Florida",18%,± 1.5%
"Polk County, Georgia",19.40%,± 4.8%
"Polk County, Iowa",21.50%,± 1.4%
"Polk County, Minnesota",28.60%,± 4.5%
"Polk County, Missouri",20.90%,± 4.9%
"Polk County, Nebraska",24%,± 7.6%
"Polk County, North Carolina",23.60%,± 7.2%
"Polk County, Oregon",25.20%,± 4.1%
"Polk County, Tennessee",23%,± 6.7%
"Polk County, Texas",17.40%,± 4.6%
"Polk County, Wisconsin",18.80%,± 2.2%
"Ponce Municipio, Puerto Rico",17%,± 2.5%
"Pondera County, Montana",22.60%,± 6.2%
"Pontotoc County, Mississippi",23.40%,± 5.5%
"Pontotoc County, Oklahoma",21.40%,± 3.8%
"Pope County, Arkansas",18.90%,± 3.7%
"Pope County, Illinois",21.60%,± 11.3%
"Pope County, Minnesota",23.10%,± 3.5%
"Poquoson city, Virginia",15.80%,± 6.6%
"Portage County, Ohio",22%,± 2.7%
"Portage County, Wisconsin",24.80%,± 3.1%
"Porter County, Indiana",18.90%,± 2.2%
"Portsmouth city, Virginia",26.70%,± 4.3%
"Posey County, Indiana",21.40%,± 5.9%
"Pottawatomie County, Kansas",23.20%,± 4.3%
"Pottawatomie County, Oklahoma",15%,± 2%
"Pottawattamie County, Iowa",20%,± 3.2%
"Potter County, Pennsylvania",18.40%,± 3.2%
"Potter County, South Dakota",19%,± 10.1%
"Potter County, Texas",20%,± 2.9%
"Powder River County, Montana",28.80%,± 14.1%
"Powell County, Kentucky",31.60%,± 10.7%
"Powell County, Montana",24.80%,± 13.8%
"Power County, Idaho",9.40%,± 6.3%
"Poweshiek County, Iowa",14.80%,± 4.9%
"Powhatan County, Virginia",13.60%,± 5%
"Prairie County, Arkansas",20.30%,± 7.5%
"Prairie County, Montana",10.20%,± 12.1%
"Pratt County, Kansas",22.10%,± 8.1%
"Preble County, Ohio",18.20%,± 3.4%
"Prentiss County, Mississippi",24%,± 6.3%
"Presidio County, Texas",17.10%,± 26.5%
"Presque Isle County, Michigan",22.60%,± 6.4%
"Preston County, West Virginia",19.40%,± 4.8%
"Price County, Wisconsin",20%,± 3.7%
"Prince Edward County, Virginia",20.10%,± 8.7%
"Prince George County, Virginia",19.70%,± 4.8%
"Prince George's County, Maryland",21.90%,± 1.3%
"Prince of Wales-Hyder Census Area, Alaska",17%,± 5.3%
"Prince William County, Virginia",19.70%,± 1.3%
"Providence County, Rhode Island",21.60%,± 1.5%
"Prowers County, Colorado",26.10%,± 10.5%
"Pueblo County, Colorado",19.70%,± 2.7%
"Pulaski County, Arkansas",20.50%,± 2%
"Pulaski County, Georgia",29.60%,± 12.8%
"Pulaski County, Illinois",21%,± 10.9%
"Pulaski County, Indiana",14.60%,± 5.4%
"Pulaski County, Kentucky",22.30%,± 3.7%
"Pulaski County, Missouri",28.50%,± 6.3%
"Pulaski County, Virginia",22.50%,± 6.2%
"Pushmataha County, Oklahoma",15.70%,± 4.3%
"Putnam County, Florida",22.50%,± 4.6%
"Putnam County, Georgia",7.80%,± 5.5%
"Putnam County, Illinois",20.20%,± 5.2%
"Putnam County, Indiana",15.40%,± 4.4%
"Putnam County, Missouri",17.30%,± 11.6%
"Putnam County, New York",21.90%,± 3.3%
"Putnam County, Ohio",25.30%,± 3.1%
"Putnam County, Tennessee",21.60%,± 3.5%
"Putnam County, West Virginia",21.40%,± 4.3%
"Quay County, New Mexico",23.40%,± 12.3%
"Quebradillas Municipio, Puerto Rico",15.20%,± 7.5%
"Queen Anne's County, Maryland",19.80%,± 3.4%
"Queens County, New York",23%,± 0.8%
"Quitman County, Georgia",12.10%,± 20.8%
"Quitman County, Mississippi",27%,± 10.1%
"Rabun County, Georgia",15.10%,± 6.8%
"Racine County, Wisconsin",18%,± 2%
"Radford city, Virginia",14.90%,± 7.8%
"Rains County, Texas",18.70%,± 8.4%
"Raleigh County, West Virginia",17.70%,± 3.6%
"Ralls County, Missouri",22.50%,± 6.2%
"Ramsey County, Minnesota",23.40%,± 1.6%
"Ramsey County, North Dakota",19.10%,± 7.8%
"Randall County, Texas",18.60%,± 2.2%
"Randolph County, Alabama",24%,± 6.8%
"Randolph County, Arkansas",21.90%,± 6.7%
"Randolph County, Georgia",10.90%,± 11.8%
"Randolph County, Illinois",20.60%,± 4.4%
"Randolph County, Indiana",19.60%,± 4.4%
"Randolph County, Missouri",24.20%,± 6%
"Randolph County, North Carolina",15.80%,± 2.4%
"Randolph County, West Virginia",22.30%,± 5.4%
"Rankin County, Mississippi",18.10%,± 2.9%
"Ransom County, North Dakota",14.90%,± 5.7%
"Rapides Parish, Louisiana",19.80%,± 3.2%
"Rappahannock County, Virginia",11.40%,± 10%
"Ravalli County, Montana",28.90%,± 6.3%
"Rawlins County, Kansas",18.10%,± 9.1%
"Ray County, Missouri",20.10%,± 4.6%
"Reagan County, Texas",10.80%,± 8.5%
"Real County, Texas",41.30%,± 27.5%
"Red Lake County, Minnesota",15.60%,± 6%
"Red River County, Texas",8.30%,± 4.1%
"Red River Parish, Louisiana",18.10%,± 8.8%
"Red Willow County, Nebraska",28.90%,± 10.7%
"Redwood County, Minnesota",18%,± 2.5%
"Reeves County, Texas",9.60%,± 8.8%
"Refugio County, Texas",9.90%,± 8.3%
"Reno County, Kansas",22.50%,± 3.5%
"Rensselaer County, New York",19.60%,± 2.6%
"Renville County, Minnesota",17.10%,± 3.1%
"Renville County, North Dakota",11.10%,± 6.3%
"Republic County, Kansas",22.20%,± 7.4%
"Reynolds County, Missouri",17.40%,± 10.3%
"Rhea County, Tennessee",18.80%,± 5.6%
"Rice County, Kansas",24.60%,± 8.5%
"Rice County, Minnesota",17.50%,± 2.7%
"Rich County, Utah",5.30%,± 3.9%
"Richardson County, Nebraska",23.50%,± 9.5%
"Richland County, Illinois",27.10%,± 5.2%
"Richland County, Montana",18.80%,± 6.7%
"Richland County, North Dakota",25.40%,± 5.1%
"Richland County, Ohio",24.40%,± 3.3%
"Richland County, South Carolina",22.80%,± 1.8%
"Richland County, Wisconsin",18%,± 4.8%
"Richland Parish, Louisiana",18.30%,± 6.2%
"Richmond city, Virginia",28.50%,± 3%
"Richmond County, Georgia",20.30%,± 2.8%
"Richmond County, New York",19.60%,± 1.4%
"Richmond County, North Carolina",18.30%,± 5.6%
"Richmond County, Virginia",27.60%,± 13.4%
"Riley County, Kansas",31.80%,± 4.7%
"Rincón Municipio, Puerto Rico",18.20%,± 8.3%
"Ringgold County, Iowa",24.40%,± 7.4%
"Rio Arriba County, New Mexico",12.20%,± 4.1%
"Rio Blanco County, Colorado",29.30%,± 9.2%
"Rio Grande County, Colorado",10.10%,± 7.2%
"Río Grande Municipio, Puerto Rico",20.20%,± 4.4%
"Ripley County, Indiana",29.10%,± 7.5%
"Ripley County, Missouri",21%,± 8.8%
"Ritchie County, West Virginia",23.70%,± 8.8%
"Riverside County, California",16.70%,± 0.6%
"Roane County, Tennessee",26.70%,± 4.8%
"Roane County, West Virginia",8.10%,± 6.2%
"Roanoke city, Virginia",24.80%,± 4.4%
"Roanoke County, Virginia",22.30%,± 2.5%
"Roberts County, South Dakota",20.20%,± 4.9%
"Roberts County, Texas",1.30%,± 2.3%
"Robertson County, Kentucky",2.90%,± 4.4%
"Robertson County, Tennessee",18.70%,± 3.4%
"Robertson County, Texas",17.20%,± 5.9%
"Robeson County, North Carolina",18.80%,± 2.1%
"Rock County, Minnesota",14.90%,± 4.8%
"Rock County, Nebraska",19.50%,± 9.4%
"Rock County, Wisconsin",20.30%,± 1.9%
"Rock Island County, Illinois",19.50%,± 2.4%
"Rockbridge County, Virginia",21.60%,± 7.9%
"Rockcastle County, Kentucky",18.20%,± 6.4%
"Rockdale County, Georgia",13.40%,± 4.5%
"Rockingham County, New Hampshire",22.60%,± 1.9%
"Rockingham County, North Carolina",19%,± 3.5%
"Rockingham County, Virginia",22.50%,± 2.9%
"Rockland County, New York",17.30%,± 1.8%
"Rockwall County, Texas",17.20%,± 2.8%
"Roger Mills County, Oklahoma",11.10%,± 5.1%
"Rogers County, Oklahoma",20.40%,± 1.8%
"Rolette County, North Dakota",9.90%,± 4%
"Rooks County, Kansas",16.10%,± 6%
"Roosevelt County, Montana",15.40%,± 5.2%
"Roosevelt County, New Mexico",9.20%,± 5.5%
"Roscommon County, Michigan",16.40%,± 5.2%
"Roseau County, Minnesota",25%,± 5.7%
"Rosebud County, Montana",15.40%,± 6.6%
"Ross County, Ohio",22.90%,± 3.7%
"Routt County, Colorado",17.10%,± 4.6%
"Rowan County, Kentucky",22.70%,± 6.5%
"Rowan County, North Carolina",16%,± 3.1%
"Runnels County, Texas",19.30%,± 6.9%
"Rush County, Indiana",18%,± 5.1%
"Rush County, Kansas",22.90%,± 10.8%
"Rusk County, Texas",13%,± 3.4%
"Rusk County, Wisconsin",22.80%,± 5.6%
"Russell County, Alabama",21.60%,± 5%
"Russell County, Kansas",24.80%,± 8%
"Russell County, Kentucky",15.70%,± 7.4%
"Russell County, Virginia",19.10%,± 5.5%
"Rutherford County, North Carolina",17.10%,± 3.6%
"Rutherford County, Tennessee",21.50%,± 1.9%
"Rutland County, Vermont",21.90%,± 3.6%
"Sabana Grande Municipio, Puerto Rico",8.80%,± 6.2%
"Sabine County, Texas",8.40%,± 6.4%
"Sabine Parish, Louisiana",19.20%,± 5.2%
"Sac County, Iowa",20.80%,± 5.1%
"Sacramento County, California",19.40%,± 0.7%
"Sagadahoc County, Maine",34.30%,± 5.6%
"Saginaw County, Michigan",21%,± 2.7%
"Saguache County, Colorado",20.60%,± 10.4%
"Salem city, Virginia",21.50%,± 7%
"Salem County, New Jersey",17.70%,± 3.6%
"Salinas Municipio, Puerto Rico",18.70%,± 6.7%
"Saline County, Arkansas",25.20%,± 2.7%
"Saline County, Illinois",23.70%,± 5.5%
"Saline County, Kansas",20.30%,± 4.4%
"Saline County, Missouri",26.20%,± 7.6%
"Saline County, Nebraska",19.90%,± 5.6%
"Salt Lake County, Utah",19.90%,± 0.9%
"Saluda County, South Carolina",17.70%,± 5.3%
"Sampson County, North Carolina",19.70%,± 4.4%
"San Augustine County, Texas",7.90%,± 5.2%
"San Benito County, California",22.50%,± 4.3%
"San Bernardino County, California",16.60%,± 0.6%
"San Diego County, California",23%,± 0.6%
"San Francisco County, California",30%,± 1.4%
"San Germán Municipio, Puerto Rico",15%,± 5.6%
"San Jacinto County, Texas",12.40%,± 4.9%
"San Joaquin County, California",16%,± 1%
"San Juan County, Colorado",9.10%,± 18%
"San Juan County, New Mexico",17.30%,± 2.7%
"San Juan County, Utah",13.80%,± 4.5%
"San Juan County, Washington",25.10%,± 4.8%
"San Juan Municipio, Puerto Rico",19.30%,± 1.7%
"San Lorenzo Municipio, Puerto Rico",15.90%,± 5.1%
"San Luis Obispo County, California",21.70%,± 2.2%
"San Mateo County, California",25.20%,± 1.1%
"San Miguel County, Colorado",13.80%,± 5.4%
"San Miguel County, New Mexico",20.60%,± 9.5%
"San Patricio County, Texas",16.20%,± 3.8%
"San Saba County, Texas",16.60%,± 9.5%
"San Sebastián Municipio, Puerto Rico",14.90%,± 4.8%
"Sanborn County, South Dakota",17.20%,± 7.7%
"Sanders County, Montana",34.30%,± 8.7%
"Sandoval County, New Mexico",15.30%,± 2.6%
"Sandusky County, Ohio",19.80%,± 3.1%
"Sangamon County, Illinois",19.50%,± 2.3%
"Sanilac County, Michigan",21.70%,± 2.9%
"Sanpete County, Utah",13.90%,± 3.8%
"Santa Barbara County, California",20.40%,± 1.8%
"Santa Clara County, California",23%,± 0.7%
"Santa Cruz County, Arizona",19.40%,± 3.3%
"Santa Cruz County, California",19.60%,± 2%
"Santa Fe County, New Mexico",20.30%,± 2.7%
"Santa Isabel Municipio, Puerto Rico",16.40%,± 7.3%
"Santa Rosa County, Florida",21.30%,± 2.9%
"Sarasota County, Florida",21.30%,± 2.8%
"Saratoga County, New York",22.50%,± 2.2%
"Sargent County, North Dakota",23.80%,± 6.9%
"Sarpy County, Nebraska",20.90%,± 1.9%
"Sauk County, Wisconsin",22.90%,± 2.8%
"Saunders County, Nebraska",21.10%,± 4.5%
"Sawyer County, Wisconsin",27.30%,± 5.5%
"Schenectady County, New York",24.10%,± 2.6%
"Schleicher County, Texas",25.50%,± 17.4%
"Schley County, Georgia",21.80%,± 8.9%
"Schoharie County, New York",22.30%,± 4.2%
"Schoolcraft County, Michigan",16.90%,± 5.3%
"Schuyler County, Illinois",13.30%,± 7.9%
"Schuyler County, Missouri",20.20%,± 8.3%
"Schuyler County, New York",14.20%,± 4.7%
"Schuylkill County, Pennsylvania",20.60%,± 2.4%
"Scioto County, Ohio",20.60%,± 4.2%
"Scotland County, Missouri",13.90%,± 7.5%
"Scotland County, North Carolina",17.70%,± 3.3%
"Scott County, Arkansas",25.80%,± 9%
"Scott County, Illinois",14.10%,± 6.9%
"Scott County, Indiana",22.10%,± 8.1%
"Scott County, Iowa",20.60%,± 2%
"Scott County, Kansas",40%,± 13%
"Scott County, Kentucky",20.20%,± 2.8%
"Scott County, Minnesota",22.40%,± 2.5%
"Scott County, Mississippi",17.20%,± 6.7%
"Scott County, Missouri",27.60%,± 5.1%
"Scott County, Tennessee",18.40%,± 6.4%
"Scott County, Virginia",13.20%,± 4.3%
"Scotts Bluff County, Nebraska",23.40%,± 4.5%
"Screven County, Georgia",30.60%,± 9.5%
"Scurry County, Texas",20.10%,± 8.2%
"Searcy County, Arkansas",21.40%,± 11.1%
"Sebastian County, Arkansas",24.40%,± 3.1%
"Sedgwick County, Colorado",24.90%,± 12.5%
"Sedgwick County, Kansas",19.50%,± 1.5%
"Seminole County, Florida",20.50%,± 1.7%
"Seminole County, Georgia",8.50%,± 5.9%
"Seminole County, Oklahoma",18.90%,± 3.4%
"Seneca County, New York",21.30%,± 4.7%
"Seneca County, Ohio",17.50%,± 3.5%
"Sequatchie County, Tennessee",14.10%,± 6.4%
"Sequoyah County, Oklahoma",20.50%,± 3%
"Sevier County, Arkansas",14.20%,± 9.8%
"Sevier County, Tennessee",16.20%,± 3%
"Sevier County, Utah",24.30%,± 5%
"Seward County, Kansas",21.30%,± 5.4%
"Seward County, Nebraska",17.90%,± 3.9%
"Shackelford County, Texas",21.70%,± 12.9%
"Shannon County, Missouri",15.20%,± 6.5%
"Sharkey County, Mississippi",22.20%,± 13.5%
"Sharp County, Arkansas",16.20%,± 6.4%
"Shasta County, California",17.90%,± 2.5%
"Shawano County, Wisconsin",17.40%,± 2.8%
"Shawnee County, Kansas",19.90%,± 2.3%
"Sheboygan County, Wisconsin",18.60%,± 2.4%
"Shelby County, Alabama",19%,± 2.1%
"Shelby County, Illinois",17.30%,± 4.1%
"Shelby County, Indiana",18.70%,± 3.3%
"Shelby County, Iowa",20.90%,± 5.5%
"Shelby County, Kentucky",21.80%,± 5.1%
"Shelby County, Missouri",21.70%,± 5.6%
"Shelby County, Ohio",21.20%,± 3.4%
"Shelby County, Tennessee",20.70%,± 1.3%
"Shelby County, Texas",19%,± 5%
"Shenandoah County, Virginia",21.50%,± 5.7%
"Sherburne County, Minnesota",17.20%,± 2.6%
"Sheridan County, Kansas",17.70%,± 9%
"Sheridan County, Montana",20.50%,± 7.8%
"Sheridan County, Nebraska",19.50%,± 7.5%
"Sheridan County, North Dakota",29.90%,± 16.9%
"Sheridan County, Wyoming",25.70%,± 6.2%
"Sherman County, Kansas",14.80%,± 9.9%
"Sherman County, Nebraska",24%,± 8.1%
"Sherman County, Oregon",10.90%,± 7.7%
"Sherman County, Texas",12.70%,± 8.2%
"Shiawassee County, Michigan",20.30%,± 2.8%
"Shoshone County, Idaho",25.20%,± 7.4%
"Sibley County, Minnesota",19.50%,± 3.5%
"Sierra County, California",0%,± 26.5%
"Sierra County, New Mexico",24.90%,± 17.8%
"Silver Bow County, Montana",18.50%,± 5.2%
"Simpson County, Kentucky",20.90%,± 7.5%
"Simpson County, Mississippi",22.80%,± 6.4%
"Sioux County, Iowa",23.40%,± 3.9%
"Sioux County, Nebraska",27.60%,± 18.4%
"Sioux County, North Dakota",17.40%,± 8.5%
"Siskiyou County, California",14.70%,± 3%
"Sitka City and Borough, Alaska",25%,± 7.7%
"Skagit County, Washington",23.20%,± 2.9%
"Skagway Municipality, Alaska",27.30%,± 10.6%
"Skamania County, Washington",28.60%,± 8.5%
"Slope County, North Dakota",4.80%,± 5.7%
"Smith County, Kansas",20.10%,± 7%
"Smith County, Mississippi",22.10%,± 6.7%
"Smith County, Tennessee",27.40%,± 5%
"Smith County, Texas",19.10%,± 2.4%
"Smyth County, Virginia",14.90%,± 4%
"Snohomish County, Washington",23.20%,± 1.1%
"Snyder County, Pennsylvania",24.10%,± 4.7%
"Socorro County, New Mexico",18.60%,± 9.8%
"Solano County, California",20.30%,± 1.5%
"Somerset County, Maine",23.30%,± 5.3%
"Somerset County, Maryland",18.50%,± 6.2%
"Somerset County, New Jersey",19.20%,± 1.5%
"Somerset County, Pennsylvania",23.30%,± 3.4%
"Somervell County, Texas",20%,± 12.9%
"Sonoma County, California",19.70%,± 1.5%
"South Central Connecticut Planning Region, Connecticut",19.90%,± 1.6%
"Southampton County, Virginia",17.30%,± 5.6%
"Southeast Fairbanks Census Area, Alaska",22.10%,± 8.2%
"Southeastern Connecticut Planning Region, Connecticut",22.90%,± 2.1%
"Spalding County, Georgia",22.40%,± 4.3%
"Spartanburg County, South Carolina",23.50%,± 2.4%
"Spencer County, Indiana",14.70%,± 4.3%
"Spencer County, Kentucky",22.40%,± 6.4%
"Spink County, South Dakota",20.50%,± 6.4%
"Spokane County, Washington",21.80%,± 1.4%
"Spotsylvania County, Virginia",20.80%,± 2.9%
"St. Bernard Parish, Louisiana",16.10%,± 3.6%
"St. Charles County, Missouri",19.40%,± 1.2%
"St. Charles Parish, Louisiana",19.10%,± 4.4%
"St. Clair County, Alabama",21.60%,± 4.3%
"St. Clair County, Illinois",19.30%,± 2%
"St. Clair County, Michigan",16.90%,± 2.1%
"St. Clair County, Missouri",25.30%,± 7.9%
"St. Croix County, Wisconsin",22.30%,± 2.7%
"St. Francis County, Arkansas",13.20%,± 5.9%
"St. Francois County, Missouri",22%,± 4.1%
"St. Helena Parish, Louisiana",18.30%,± 10.7%
"St. James Parish, Louisiana",18.40%,± 5.5%
"St. John the Baptist Parish, Louisiana",18.40%,± 6.3%
"St. Johns County, Florida",18.40%,± 2.4%
"St. Joseph County, Indiana",23.30%,± 2%
"St. Joseph County, Michigan",21.10%,± 4%
"St. Landry Parish, Louisiana",20.70%,± 3.9%
"St. Lawrence County, New York",20.80%,± 2.8%
"St. Louis city, Missouri",27.40%,± 2.4%
"St. Louis County, Minnesota",22.50%,± 2%
"St. Louis County, Missouri",23.30%,± 1.2%
"St. Lucie County, Florida",20.80%,± 2.6%
"St. Martin Parish, Louisiana",16.20%,± 3.7%
"St. Mary Parish, Louisiana",19.40%,± 4.7%
"St. Mary's County, Maryland",19.60%,± 3.3%
"St. Tammany Parish, Louisiana",16.90%,± 1.7%
"Stafford County, Kansas",23.70%,± 7.9%
"Stafford County, Virginia",18.70%,± 2.4%
"Stanislaus County, California",18.50%,± 1.4%
"Stanley County, South Dakota",12.80%,± 13.4%
"Stanly County, North Carolina",26.10%,± 3.5%
"Stanton County, Kansas",18.20%,± 20%
"Stanton County, Nebraska",25.20%,± 8.4%
"Stark County, Illinois",17.10%,± 6.8%
"Stark County, North Dakota",23.70%,± 5.3%
"Stark County, Ohio",20.60%,± 1.5%
"Starke County, Indiana",24.60%,± 6.8%
"Starr County, Texas",14.20%,± 3.8%
"Staunton city, Virginia",23.50%,± 6.5%
"Ste. Genevieve County, Missouri",16.60%,± 7.1%
"Stearns County, Minnesota",22.50%,± 2.3%
"Steele County, Minnesota",15.70%,± 3.7%
"Steele County, North Dakota",17.80%,± 8.3%
"Stephens County, Georgia",24.10%,± 8.4%
"Stephens County, Oklahoma",21.50%,± 3.5%
"Stephens County, Texas",26.20%,± 12.6%
"Stephenson County, Illinois",22.10%,± 3.7%
"Sterling County, Texas",26.90%,± 18.1%
"Steuben County, Indiana",19.30%,± 4.2%
"Steuben County, New York",20.70%,± 2.5%
"Stevens County, Kansas",13.30%,± 8.9%
"Stevens County, Minnesota",30.80%,± 5.9%
"Stevens County, Washington",15.90%,± 3.6%
"Stewart County, Georgia",4.70%,± 7.3%
"Stewart County, Tennessee",22.40%,± 8%
"Stillwater County, Montana",13.20%,± 5%
"Stoddard County, Missouri",26.90%,± 6%
"Stokes County, North Carolina",18%,± 5.1%
"Stone County, Arkansas",26.10%,± 11.3%
"Stone County, Mississippi",23%,± 9.8%
"Stone County, Missouri",19.40%,± 5.5%
"Stonewall County, Texas",26.80%,± 16.8%
"Storey County, Nevada",17.10%,± 15.7%
"Story County, Iowa",21.80%,± 3.4%
"Strafford County, New Hampshire",28.90%,± 3.6%
"Stutsman County, North Dakota",23.70%,± 6.5%
"Sublette County, Wyoming",40.60%,± 10.5%
"Suffolk city, Virginia",18.70%,± 3.2%
"Suffolk County, Massachusetts",27.50%,± 1.5%
"Suffolk County, New York",19.40%,± 0.8%
"Sullivan County, Indiana",20.70%,± 5%
"Sullivan County, Missouri",13%,± 6.7%
"Sullivan County, New Hampshire",24.40%,± 6%
"Sullivan County, New York",23.50%,± 3.6%
"Sullivan County, Pennsylvania",17.10%,± 4.9%
"Sullivan County, Tennessee",22.30%,± 2.4%
"Sully County, South Dakota",7.60%,± 7.2%
"Summers County, West Virginia",6.80%,± 5%
"Summit County, Colorado",20.10%,± 8.3%
"Summit County, Ohio",23.30%,± 1.2%
"Summit County, Utah",13.30%,± 3%
"Sumner County, Kansas",18.50%,± 4.9%
"Sumner County, Tennessee",20.80%,± 2%
"Sumter County, Alabama",11.60%,± 7.9%
"Sumter County, Florida",18.10%,± 5.3%
"Sumter County, Georgia",26.80%,± 8.8%
"Sumter County, South Carolina",30.50%,± 4.4%
"Sunflower County, Mississippi",15.10%,± 4.5%
"Surry County, North Carolina",22.20%,± 2.8%
"Surry County, Virginia",31.20%,± 12.5%
"Susquehanna County, Pennsylvania",18.70%,± 3.2%
"Sussex County, Delaware",17.70%,± 2.3%
"Sussex County, New Jersey",20.70%,± 2.2%
"Sussex County, Virginia",15.10%,± 6.6%
"Sutter County, California",24.50%,± 4.2%
"Sutton County, Texas",13.40%,± 10.2%
"Suwannee County, Florida",10.90%,± 4.7%
"Swain County, North Carolina",15.10%,± 6.2%
"Sweet Grass County, Montana",14.70%,± 7.2%
"Sweetwater County, Wyoming",17.20%,± 4.4%
"Swift County, Minnesota",23.40%,± 7.6%
"Swisher County, Texas",14.10%,± 8.5%
"Switzerland County, Indiana",16.10%,± 7%
"Talbot County, Georgia",30.20%,± 14%
"Talbot County, Maryland",18%,± 5%
"Taliaferro County, Georgia",31.70%,± 35.6%
"Talladega County, Alabama",24.80%,± 3.8%
"Tallahatchie County, Mississippi",13.20%,± 7.5%
"Tallapoosa County, Alabama",20.80%,± 5.5%
"Tama County, Iowa",19.40%,± 3.6%
"Taney County, Missouri",18.70%,± 4.8%
"Tangipahoa Parish, Louisiana",17%,± 3.5%
"Taos County, New Mexico",15.90%,± 7.8%
"Tarrant County, Texas",21%,± 0.7%
"Tate County, Mississippi",17.90%,± 5%
"Tattnall County, Georgia",16.80%,± 6.2%
"Taylor County, Florida",23.80%,± 10.8%
"Taylor County, Georgia",18%,± 7%
"Taylor County, Iowa",23.30%,± 4.8%
"Taylor County, Kentucky",24%,± 6.9%
"Taylor County, Texas",23.10%,± 2.8%
"Taylor County, West Virginia",13.60%,± 6.9%
"Taylor County, Wisconsin",17.60%,± 3.2%
"Tazewell County, Illinois",19.40%,± 2.2%
"Tazewell County, Virginia",21.60%,± 5.9%
"Tehama County, California",17.30%,± 4.3%
"Telfair County, Georgia",18.10%,± 10.7%
"Teller County, Colorado",25.50%,± 7.4%
"Tensas Parish, Louisiana",10%,± 8.5%
"Terrebonne Parish, Louisiana",23.60%,± 3.9%
"Terrell County, Georgia",19%,± 9.7%
"Terrell County, Texas",25.90%,± 33%
"Terry County, Texas",28%,± 10.8%
"Teton County, Idaho",35.10%,± 9.5%
"Teton County, Montana",19.10%,± 7.4%
"Teton County, Wyoming",26.90%,± 8.8%
"Texas County, Missouri",20.50%,± 5.3%
"Texas County, Oklahoma",14%,± 5.1%
"Thayer County, Nebraska",19.10%,± 6.3%
"Thomas County, Georgia",20.10%,± 4.9%
"Thomas County, Kansas",20.40%,± 8.5%
"Thomas County, Nebraska",35.30%,± 17.9%
"Throckmorton County, Texas",37.40%,± 21.8%
"Thurston County, Nebraska",15.40%,± 3.9%
"Thurston County, Washington",22.50%,± 1.9%
"Tift County, Georgia",22.30%,± 5.5%
"Tillamook County, Oregon",21.10%,± 6.4%
"Tillman County, Oklahoma",15.50%,± 8%
"Tioga County, New York",23.30%,± 4.5%
"Tioga County, Pennsylvania",15.50%,± 2.6%
"Tippah County, Mississippi",17.30%,± 7.4%
"Tippecanoe County, Indiana",23.10%,± 2.5%
"Tipton County, Indiana",30.50%,± 7.6%
