Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Phelps County, Nebraska",13.50%,± 3.1%
"Philadelphia County, Pennsylvania",16.90%,± 0.3%
"Phillips County, Arkansas",22.50%,± 2.1%
"Phillips County, Colorado",13.30%,± 2.9%
"Phillips County, Kansas",17.80%,± 2.1%
"Phillips County, Montana",15.60%,± 4.2%
"Piatt County, Illinois",12.30%,± 1.3%
"Pickaway County, Ohio",15.60%,± 1.3%
"Pickens County, Alabama",24.10%,± 2.3%
"Pickens County, Georgia",18.70%,± 2.2%
"Pickens County, South Carolina",15%,± 1%
"Pickett County, Tennessee",26.70%,± 4.8%
"Pierce County, Georgia",13.20%,± 1.8%
"Pierce County, Nebraska",11.80%,± 1.8%
"Pierce County, North Dakota",9.80%,± 2.2%
"Pierce County, Washington",13.30%,± 0.3%
"Pierce County, Wisconsin",10.50%,± 0.9%
"Pike County, Alabama",15.10%,± 1.3%
"Pike County, Arkansas",24%,± 2.3%
"Pike County, Georgia",11.60%,± 1.2%
"Pike County, Illinois",17.40%,± 1.6%
"Pike County, Indiana",14.70%,± 1.8%
"Pike County, Kentucky",29%,± 1.5%
"Pike County, Mississippi",18.90%,± 1.8%
"Pike County, Missouri",16.40%,± 1.9%
"Pike County, Ohio",25%,± 2%
"Pike County, Pennsylvania",16.80%,± 1.2%
"Pima County, Arizona",15%,± 0.3%
"Pinal County, Arizona",16.10%,± 0.6%
"Pine County, Minnesota",18.30%,± 1%
"Pinellas County, Florida",15.50%,± 0.4%
"Pipestone County, Minnesota",13.40%,± 2.1%
"Piscataquis County, Maine",23.40%,± 2%
"Pitkin County, Colorado",8.90%,± 2.7%
"Pitt County, North Carolina",14.80%,± 0.7%
"Pittsburg County, Oklahoma",23.10%,± 1.1%
"Pittsylvania County, Virginia",20.10%,± 1.4%
"Piute County, Utah",21.10%,± 3.4%
"Placer County, California",11.20%,± 0.4%
"Plaquemines Parish, Louisiana",14.80%,± 1.8%
"Platte County, Missouri",12.60%,± 1%
"Platte County, Nebraska",11.70%,± 1%
"Platte County, Wyoming",18.60%,± 2.4%
"Pleasants County, West Virginia",18.40%,± 2.4%
"Plumas County, California",18.20%,± 2.2%
"Plymouth County, Iowa",12.10%,± 1.3%
"Plymouth County, Massachusetts",11.20%,± 0.4%
"Pocahontas County, Iowa",14.80%,± 1.9%
"Pocahontas County, West Virginia",24%,± 3.2%
"Poinsett County, Arkansas",23.60%,± 1.8%
"Pointe Coupee Parish, Louisiana",25.70%,± 2.7%
"Polk County, Arkansas",21.90%,± 2.1%
"Polk County, Florida",14.10%,± 0.3%
"Polk County, Georgia",16.90%,± 1.9%
"Polk County, Iowa",11.10%,± 0.4%
"Polk County, Minnesota",12.70%,± 1.1%
"Polk County, Missouri",16.10%,± 1.4%
"Polk County, Nebraska",11.90%,± 1.3%
"Polk County, North Carolina",18.10%,± 1.9%
"Polk County, Oregon",15.90%,± 1.2%
"Polk County, Tennessee",21.80%,± 2.5%
"Polk County, Texas",24.20%,± 1.5%
"Polk County, Wisconsin",14.20%,± 0.8%
"Ponce Municipio, Puerto Rico",23.60%,± 0.9%
"Pondera County, Montana",18.40%,± 2.5%
"Pontotoc County, Mississippi",18.50%,± 1.8%
"Pontotoc County, Oklahoma",15.80%,± 1%
"Pope County, Arkansas",18.90%,± 1.3%
"Pope County, Illinois",19.90%,± 3.5%
"Pope County, Minnesota",13.30%,± 1.1%
"Poquoson city, Virginia",12.90%,± 2.3%
"Portage County, Ohio",12.90%,± 0.7%
"Portage County, Wisconsin",10.80%,± 0.7%
"Porter County, Indiana",11.40%,± 0.7%
"Portsmouth city, Virginia",14.80%,± 1.1%
"Posey County, Indiana",12.10%,± 1.3%
"Pottawatomie County, Kansas",11.70%,± 1.4%
"Pottawatomie County, Oklahoma",18.90%,± 0.9%
"Pottawattamie County, Iowa",15.20%,± 0.8%
"Potter County, Pennsylvania",18.30%,± 1.1%
"Potter County, South Dakota",10.80%,± 2.2%
"Potter County, Texas",13.20%,± 0.7%
"Powder River County, Montana",17.50%,± 3.5%
"Powell County, Kentucky",22.80%,± 2.7%
"Powell County, Montana",21.50%,± 3.2%
"Power County, Idaho",12%,± 2.8%
"Poweshiek County, Iowa",12.60%,± 1.6%
"Powhatan County, Virginia",11.70%,± 1.6%
"Prairie County, Arkansas",23.30%,± 2.6%
"Prairie County, Montana",18.40%,± 4.6%
"Pratt County, Kansas",13.20%,± 2.3%
"Preble County, Ohio",15%,± 1.1%
"Prentiss County, Mississippi",18%,± 2%
"Presidio County, Texas",15.20%,± 4.9%
"Presque Isle County, Michigan",18.50%,± 1.2%
"Preston County, West Virginia",17.90%,± 1.5%
"Price County, Wisconsin",17.10%,± 1.2%
"Prince Edward County, Virginia",15.30%,± 2.1%
"Prince George County, Virginia",12.70%,± 1.4%
"Prince George's County, Maryland",9.90%,± 0.3%
"Prince of Wales-Hyder Census Area, Alaska",21.30%,± 1.6%
"Prince William County, Virginia",8.20%,± 0.4%
"Providence County, Rhode Island",14.20%,± 0.4%
"Prowers County, Colorado",17.50%,± 2.4%
"Pueblo County, Colorado",18.50%,± 0.8%
"Pulaski County, Arkansas",15.60%,± 0.6%
"Pulaski County, Georgia",19.50%,± 3.5%
"Pulaski County, Illinois",24.60%,± 3.5%
"Pulaski County, Indiana",17.60%,± 1.8%
"Pulaski County, Kentucky",20%,± 1.2%
"Pulaski County, Missouri",16.80%,± 1.4%
"Pulaski County, Virginia",19.80%,± 1.9%
"Pushmataha County, Oklahoma",30.10%,± 2.1%
"Putnam County, Florida",18.40%,± 1.5%
"Putnam County, Georgia",20.50%,± 2.7%
"Putnam County, Illinois",16.30%,± 2.5%
"Putnam County, Indiana",14.40%,± 1.6%
"Putnam County, Missouri",15.20%,± 3.4%
"Putnam County, New York",10.20%,± 0.8%
"Putnam County, Ohio",9.50%,± 0.8%
"Putnam County, Tennessee",13.90%,± 1.2%
"Putnam County, West Virginia",11.80%,± 1.1%
"Quay County, New Mexico",24.60%,± 3.6%
"Quebradillas Municipio, Puerto Rico",24.40%,± 2.8%
"Queen Anne's County, Maryland",10.10%,± 1.1%
"Queens County, New York",9.90%,± 0.2%
"Quitman County, Georgia",26.70%,± 6%
"Quitman County, Mississippi",17%,± 3%
"Rabun County, Georgia",20.40%,± 2.4%
"Racine County, Wisconsin",12.90%,± 0.7%
"Radford city, Virginia",11.50%,± 1.9%
"Rains County, Texas",20.20%,± 2.7%
"Raleigh County, West Virginia",24.40%,± 1.9%
"Ralls County, Missouri",16.60%,± 2.4%
"Ramsey County, Minnesota",12%,± 0.3%
"Ramsey County, North Dakota",17.40%,± 2.7%
"Randall County, Texas",10.60%,± 0.6%
"Randolph County, Alabama",19%,± 1.9%
"Randolph County, Arkansas",22.30%,± 2.5%
"Randolph County, Georgia",17.10%,± 4.3%
"Randolph County, Illinois",19.90%,± 1.5%
"Randolph County, Indiana",20.60%,± 1.4%
"Randolph County, Missouri",18.20%,± 1.6%
"Randolph County, North Carolina",17.20%,± 0.9%
"Randolph County, West Virginia",15.30%,± 1.7%
"Rankin County, Mississippi",13.80%,± 1.2%
"Ransom County, North Dakota",12.60%,± 1.9%
"Rapides Parish, Louisiana",17.80%,± 0.9%
"Rappahannock County, Virginia",13.70%,± 2.9%
"Ravalli County, Montana",18.60%,± 1.6%
"Rawlins County, Kansas",22.90%,± 4%
"Ray County, Missouri",14%,± 1.5%
"Reagan County, Texas",5.10%,± 2.1%
"Real County, Texas",30.50%,± 7.1%
"Red Lake County, Minnesota",13.20%,± 1.6%
"Red River County, Texas",16.80%,± 2.3%
"Red River Parish, Louisiana",20.50%,± 3.4%
"Red Willow County, Nebraska",16.30%,± 2.7%
"Redwood County, Minnesota",11.30%,± 0.9%
"Reeves County, Texas",11%,± 2.8%
"Refugio County, Texas",23.70%,± 3.3%
"Reno County, Kansas",16.10%,± 1.2%
"Rensselaer County, New York",14.50%,± 0.8%
"Renville County, Minnesota",12.50%,± 1%
"Renville County, North Dakota",10.20%,± 2.4%
"Republic County, Kansas",15.50%,± 2.4%
"Reynolds County, Missouri",31.40%,± 3.4%
"Rhea County, Tennessee",21.50%,± 1.9%
"Rice County, Kansas",15.30%,± 1.8%
"Rice County, Minnesota",9.60%,± 0.8%
"Rich County, Utah",15.10%,± 3.9%
"Richardson County, Nebraska",16.70%,± 2.4%
"Richland County, Illinois",17.70%,± 2.1%
"Richland County, Montana",13.20%,± 2.2%
"Richland County, North Dakota",12.10%,± 1.2%
"Richland County, Ohio",16%,± 0.8%
"Richland County, South Carolina",13.90%,± 0.5%
"Richland County, Wisconsin",14.20%,± 1.3%
"Richland Parish, Louisiana",14.90%,± 1.8%
"Richmond city, Virginia",14.30%,± 0.7%
"Richmond County, Georgia",18.30%,± 1%
"Richmond County, New York",10.30%,± 0.4%
"Richmond County, North Carolina",16.20%,± 1.8%
"Richmond County, Virginia",16.40%,± 3.2%
"Riley County, Kansas",12.70%,± 1.3%
"Rincón Municipio, Puerto Rico",30.30%,± 3.2%
"Ringgold County, Iowa",15.10%,± 2.3%
"Rio Arriba County, New Mexico",15.80%,± 1.7%
"Rio Blanco County, Colorado",16.50%,± 2.7%
"Rio Grande County, Colorado",17%,± 2.7%
"Río Grande Municipio, Puerto Rico",23.10%,± 1.4%
"Ripley County, Indiana",13.70%,± 1.4%
"Ripley County, Missouri",23.90%,± 2.6%
"Ritchie County, West Virginia",28.60%,± 3.7%
"Riverside County, California",11.60%,± 0.2%
"Roane County, Tennessee",18.60%,± 1.6%
"Roane County, West Virginia",23.20%,± 2.9%
"Roanoke city, Virginia",12.40%,± 0.8%
"Roanoke County, Virginia",12.40%,± 0.9%
"Roberts County, South Dakota",9.90%,± 1%
"Roberts County, Texas",12%,± 6.5%
"Robertson County, Kentucky",16.60%,± 5.3%
"Robertson County, Tennessee",13.80%,± 1.1%
"Robertson County, Texas",18.70%,± 2.3%
"Robeson County, North Carolina",17%,± 0.6%
"Rock County, Minnesota",11.80%,± 1.3%
"Rock County, Nebraska",11.80%,± 3.3%
"Rock County, Wisconsin",13.20%,± 0.7%
"Rock Island County, Illinois",14.10%,± 0.7%
"Rockbridge County, Virginia",17.80%,± 2.3%
"Rockcastle County, Kentucky",22.20%,± 2.2%
"Rockdale County, Georgia",12.40%,± 1%
"Rockingham County, New Hampshire",10.90%,± 0.4%
"Rockingham County, North Carolina",17.60%,± 1%
"Rockingham County, Virginia",12.60%,± 0.9%
"Rockland County, New York",9%,± 0.5%
"Rockwall County, Texas",7.70%,± 0.7%
"Roger Mills County, Oklahoma",18.80%,± 2.7%
"Rogers County, Oklahoma",16.60%,± 0.8%
"Rolette County, North Dakota",17.20%,± 2.3%
"Rooks County, Kansas",18.50%,± 2.5%
"Roosevelt County, Montana",13.80%,± 2.1%
"Roosevelt County, New Mexico",19.60%,± 2.9%
"Roscommon County, Michigan",24%,± 1.7%
"Roseau County, Minnesota",10.90%,± 1%
"Rosebud County, Montana",17.90%,± 2.4%
"Ross County, Ohio",18.70%,± 1.1%
"Routt County, Colorado",6.80%,± 1.2%
"Rowan County, Kentucky",16.20%,± 2.1%
"Rowan County, North Carolina",15.50%,± 0.9%
"Runnels County, Texas",19%,± 2.3%
"Rush County, Indiana",16.80%,± 1.7%
"Rush County, Kansas",14.80%,± 2.8%
"Rusk County, Texas",15.40%,± 1.3%
"Rusk County, Wisconsin",16.70%,± 1.2%
"Russell County, Alabama",21%,± 1.4%
"Russell County, Kansas",16.70%,± 3%
"Russell County, Kentucky",21.50%,± 2.4%
"Russell County, Virginia",31.70%,± 2.3%
"Rutherford County, North Carolina",21.20%,± 1.4%
"Rutherford County, Tennessee",11.10%,± 0.7%
"Rutland County, Vermont",16.10%,± 1.1%
"Sabana Grande Municipio, Puerto Rico",31%,± 2.6%
"Sabine County, Texas",26.30%,± 2.7%
"Sabine Parish, Louisiana",21.30%,± 1.5%
"Sac County, Iowa",11%,± 1.2%
"Sacramento County, California",12.30%,± 0.2%
"Sagadahoc County, Maine",12.10%,± 1.2%
"Saginaw County, Michigan",17.70%,± 0.6%
"Saguache County, Colorado",15.30%,± 2.6%
"Salem city, Virginia",11.40%,± 1.7%
"Salem County, New Jersey",15.90%,± 0.9%
"Salinas Municipio, Puerto Rico",28.20%,± 2.3%
"Saline County, Arkansas",15.80%,± 1%
"Saline County, Illinois",23.80%,± 2%
"Saline County, Kansas",16.10%,± 1.1%
"Saline County, Missouri",17.20%,± 1.8%
"Saline County, Nebraska",12.30%,± 2.1%
"Salt Lake County, Utah",9.90%,± 0.3%
"Saluda County, South Carolina",16.10%,± 1.7%
"Sampson County, North Carolina",14.10%,± 0.9%
"San Augustine County, Texas",24.70%,± 4.3%
"San Benito County, California",10.70%,± 1%
"San Bernardino County, California",11.40%,± 0.2%
"San Diego County, California",10.40%,± 0.1%
"San Francisco County, California",10.80%,± 0.3%
"San Germán Municipio, Puerto Rico",10.50%,± 1.4%
"San Jacinto County, Texas",21.80%,± 2.5%
"San Joaquin County, California",12.20%,± 0.3%
"San Juan County, Colorado",6.20%,± 4.2%
"San Juan County, New Mexico",15.60%,± 0.8%
"San Juan County, Utah",22%,± 2.3%
"San Juan County, Washington",11.70%,± 0.9%
"San Juan Municipio, Puerto Rico",20.70%,± 0.6%
"San Lorenzo Municipio, Puerto Rico",14.10%,± 1.4%
"San Luis Obispo County, California",13%,± 0.4%
"San Mateo County, California",8.70%,± 0.2%
"San Miguel County, Colorado",5.30%,± 1.4%
"San Miguel County, New Mexico",23.50%,± 2.4%
"San Patricio County, Texas",19.10%,± 1.2%
"San Saba County, Texas",19%,± 2.9%
"San Sebastián Municipio, Puerto Rico",27.20%,± 2%
"Sanborn County, South Dakota",12.30%,± 2.2%
"Sanders County, Montana",21.50%,± 2.6%
"Sandoval County, New Mexico",14.10%,± 0.8%
"Sandusky County, Ohio",15.90%,± 1.1%
"Sangamon County, Illinois",13.20%,± 0.6%
"Sanilac County, Michigan",17.90%,± 1%
"Sanpete County, Utah",11.70%,± 1.1%
"Santa Barbara County, California",10.90%,± 0.3%
"Santa Clara County, California",8.60%,± 0.2%
"Santa Cruz County, Arizona",12.90%,± 1.2%
"Santa Cruz County, California",11.70%,± 0.6%
"Santa Fe County, New Mexico",14%,± 0.7%
"Santa Isabel Municipio, Puerto Rico",30.20%,± 3.1%
"Santa Rosa County, Florida",15%,± 0.8%
"Sarasota County, Florida",15.10%,± 0.5%
"Saratoga County, New York",11.30%,± 0.5%
"Sargent County, North Dakota",12.90%,± 1.8%
"Sarpy County, Nebraska",9.90%,± 0.5%
"Sauk County, Wisconsin",12.90%,± 0.8%
"Saunders County, Nebraska",12.40%,± 1.4%
"Sawyer County, Wisconsin",15.40%,± 1.3%
"Schenectady County, New York",12.70%,± 0.6%
"Schleicher County, Texas",12.70%,± 4.7%
"Schley County, Georgia",16%,± 4%
"Schoharie County, New York",16.80%,± 1.4%
"Schoolcraft County, Michigan",21.10%,± 2%
"Schuyler County, Illinois",20.60%,± 3.4%
"Schuyler County, Missouri",19.80%,± 3.2%
"Schuyler County, New York",15.30%,± 1.3%
"Schuylkill County, Pennsylvania",17.50%,± 0.8%
"Scioto County, Ohio",23.20%,± 1.4%
"Scotland County, Missouri",14.90%,± 3.6%
"Scotland County, North Carolina",16.70%,± 1.4%
"Scott County, Arkansas",20.30%,± 3%
"Scott County, Illinois",15.80%,± 2%
"Scott County, Indiana",22.80%,± 2.4%
"Scott County, Iowa",11.80%,± 0.6%
"Scott County, Kansas",12.90%,± 4.1%
"Scott County, Kentucky",13.50%,± 1.3%
"Scott County, Minnesota",8.10%,± 0.6%
"Scott County, Mississippi",19.60%,± 2.3%
"Scott County, Missouri",18.30%,± 1.3%
"Scott County, Tennessee",26.70%,± 2.4%
"Scott County, Virginia",29.30%,± 2.3%
"Scotts Bluff County, Nebraska",15.50%,± 1.3%
"Screven County, Georgia",15.40%,± 2.2%
"Scurry County, Texas",15.40%,± 2.2%
"Searcy County, Arkansas",26.50%,± 3.6%
"Sebastian County, Arkansas",20.90%,± 1.1%
"Sedgwick County, Colorado",19.30%,± 3.8%
"Sedgwick County, Kansas",14.60%,± 0.4%
"Seminole County, Florida",11.30%,± 0.4%
"Seminole County, Georgia",20.70%,± 2.7%
"Seminole County, Oklahoma",23.80%,± 1.2%
"Seneca County, New York",17.10%,± 1.5%
"Seneca County, Ohio",14.40%,± 1.1%
"Sequatchie County, Tennessee",21.40%,± 3.1%
"Sequoyah County, Oklahoma",23.60%,± 1.2%
"Sevier County, Arkansas",14%,± 2.1%
"Sevier County, Tennessee",17.40%,± 1.3%
"Sevier County, Utah",14.70%,± 1.6%
"Seward County, Kansas",8.30%,± 1.5%
"Seward County, Nebraska",11.70%,± 1.2%
"Shackelford County, Texas",17.60%,± 3.4%
"Shannon County, Missouri",21.10%,± 2.9%
"Sharkey County, Mississippi",21.60%,± 4.3%
"Sharp County, Arkansas",24.30%,± 2.4%
"Shasta County, California",18.10%,± 0.7%
"Shawano County, Wisconsin",14.90%,± 0.8%
"Shawnee County, Kansas",13.70%,± 0.8%
"Sheboygan County, Wisconsin",10.70%,± 0.7%
"Shelby County, Alabama",12%,± 0.6%
"Shelby County, Illinois",15.10%,± 1.4%
"Shelby County, Indiana",14.80%,± 1.2%
"Shelby County, Iowa",10.10%,± 1.7%
"Shelby County, Kentucky",12.10%,± 1%
"Shelby County, Missouri",14.70%,± 2.4%
"Shelby County, Ohio",13.50%,± 1.1%
"Shelby County, Tennessee",12.70%,± 0.3%
"Shelby County, Texas",15.40%,± 1.5%
"Shenandoah County, Virginia",16.80%,± 1.5%
"Sherburne County, Minnesota",9.50%,± 0.9%
"Sheridan County, Kansas",14.10%,± 2.6%
"Sheridan County, Montana",17.40%,± 2.6%
"Sheridan County, Nebraska",18.10%,± 2%
"Sheridan County, North Dakota",12%,± 2.3%
"Sheridan County, Wyoming",11.80%,± 1.4%
"Sherman County, Kansas",18.10%,± 3.8%
"Sherman County, Nebraska",15.90%,± 2.6%
"Sherman County, Oregon",23.80%,± 3.9%
"Sherman County, Texas",18.90%,± 3.4%
"Shiawassee County, Michigan",15.60%,± 1.1%
"Shoshone County, Idaho",25.40%,± 2.1%
"Sibley County, Minnesota",12.50%,± 1.3%
"Sierra County, California",14.80%,± 5.4%
"Sierra County, New Mexico",30.40%,± 4%
"Silver Bow County, Montana",19.40%,± 1.7%
"Simpson County, Kentucky",14.30%,± 1.9%
"Simpson County, Mississippi",20%,± 2.1%
"Sioux County, Iowa",9.50%,± 1%
"Sioux County, Nebraska",13.90%,± 3.7%
"Sioux County, North Dakota",16.20%,± 2.1%
"Siskiyou County, California",18%,± 1.2%
"Sitka City and Borough, Alaska",14.20%,± 1.6%
"Skagit County, Washington",14.50%,± 0.7%
"Skagway Municipality, Alaska",14.30%,± 4.3%
"Skamania County, Washington",12.80%,± 2%
"Slope County, North Dakota",17.90%,± 3.5%
"Smith County, Kansas",18.10%,± 2.6%
"Smith County, Mississippi",20.50%,± 3.2%
"Smith County, Tennessee",17%,± 1.9%
"Smith County, Texas",12.40%,± 0.7%
"Smyth County, Virginia",22.50%,± 2.2%
"Snohomish County, Washington",11.70%,± 0.4%
"Snyder County, Pennsylvania",14.90%,± 1.1%
"Socorro County, New Mexico",24%,± 3.3%
"Solano County, California",12.40%,± 0.4%
"Somerset County, Maine",19.20%,± 1.3%
"Somerset County, Maryland",16.10%,± 2.2%
"Somerset County, New Jersey",8.20%,± 0.3%
"Somerset County, Pennsylvania",16.90%,± 0.9%
"Somervell County, Texas",11.70%,± 2.8%
"Sonoma County, California",11.80%,± 0.4%
"South Central Connecticut Planning Region, Connecticut",11.30%,± 0.4%
"Southampton County, Virginia",18%,± 2%
"Southeast Fairbanks Census Area, Alaska",19.10%,± 2.3%
"Southeastern Connecticut Planning Region, Connecticut",13.50%,± 0.6%
"Spalding County, Georgia",14.20%,± 1.2%
"Spartanburg County, South Carolina",15.10%,± 0.5%
"Spencer County, Indiana",13.40%,± 1.3%
"Spencer County, Kentucky",13.70%,± 1.9%
"Spink County, South Dakota",11.20%,± 1.5%
"Spokane County, Washington",15.50%,± 0.5%
"Spotsylvania County, Virginia",10.70%,± 0.6%
"St. Bernard Parish, Louisiana",18.90%,± 1.4%
"St. Charles County, Missouri",10.90%,± 0.4%
"St. Charles Parish, Louisiana",15.50%,± 1.5%
"St. Clair County, Alabama",16.30%,± 1.4%
"St. Clair County, Illinois",15%,± 0.6%
"St. Clair County, Michigan",16.70%,± 0.7%
"St. Clair County, Missouri",23.60%,± 2.4%
"St. Croix County, Wisconsin",9.80%,± 0.7%
"St. Francis County, Arkansas",20.90%,± 1.8%
"St. Francois County, Missouri",21.20%,± 1.3%
"St. Helena Parish, Louisiana",26.70%,± 3.8%
"St. James Parish, Louisiana",12.90%,± 1.7%
"St. John the Baptist Parish, Louisiana",16%,± 2.1%
"St. Johns County, Florida",10.50%,± 0.8%
"St. Joseph County, Indiana",13.40%,± 0.6%
"St. Joseph County, Michigan",16.80%,± 0.9%
"St. Landry Parish, Louisiana",13.80%,± 1.1%
"St. Lawrence County, New York",17.20%,± 0.8%
"St. Louis city, Missouri",15.60%,± 0.6%
"St. Louis County, Minnesota",14.70%,± 0.6%
"St. Louis County, Missouri",11.80%,± 0.3%
"St. Lucie County, Florida",15.20%,± 0.8%
"St. Martin Parish, Louisiana",15.90%,± 1.6%
"St. Mary Parish, Louisiana",17.80%,± 1.4%
"St. Mary's County, Maryland",11.30%,± 0.8%
"St. Tammany Parish, Louisiana",16.30%,± 0.8%
"Stafford County, Kansas",15.40%,± 2%
"Stafford County, Virginia",8.60%,± 0.6%
"Stanislaus County, California",12.70%,± 0.4%
"Stanley County, South Dakota",13.70%,± 3%
"Stanly County, North Carolina",17.10%,± 1.5%
"Stanton County, Kansas",12%,± 4%
"Stanton County, Nebraska",11.40%,± 2%
"Stark County, Illinois",14.70%,± 1.9%
"Stark County, North Dakota",10.20%,± 1.4%
"Stark County, Ohio",14%,± 0.5%
"Starke County, Indiana",18.50%,± 2%
"Starr County, Texas",15.50%,± 1%
"Staunton city, Virginia",15.10%,± 1.8%
"Ste. Genevieve County, Missouri",16.60%,± 2.1%
"Stearns County, Minnesota",11.20%,± 0.6%
"Steele County, Minnesota",11%,± 1.1%
"Steele County, North Dakota",8.70%,± 2.1%
"Stephens County, Georgia",17.90%,± 2%
"Stephens County, Oklahoma",21.60%,± 1.4%
"Stephens County, Texas",18%,± 2.7%
"Stephenson County, Illinois",16.40%,± 1.4%
"Sterling County, Texas",8%,± 4.3%
"Steuben County, Indiana",14%,± 1.4%
"Steuben County, New York",15%,± 0.7%
"Stevens County, Kansas",12.30%,± 3%
"Stevens County, Minnesota",11.30%,± 1.6%
"Stevens County, Washington",18.90%,± 1.2%
"Stewart County, Georgia",24.10%,± 6.3%
"Stewart County, Tennessee",18.40%,± 2.2%
"Stillwater County, Montana",17.10%,± 1.7%
"Stoddard County, Missouri",21.60%,± 1.9%
"Stokes County, North Carolina",19.80%,± 1.9%
"Stone County, Arkansas",27.90%,± 2.9%
"Stone County, Mississippi",21.90%,± 2.6%
"Stone County, Missouri",19.30%,± 1.9%
"Stonewall County, Texas",14.50%,± 5.8%
"Storey County, Nevada",22.90%,± 5.6%
"Story County, Iowa",8.80%,± 0.7%
"Strafford County, New Hampshire",13.20%,± 0.8%
"Stutsman County, North Dakota",18%,± 2.2%
"Sublette County, Wyoming",15%,± 3.2%
"Suffolk city, Virginia",12.60%,± 0.8%
"Suffolk County, Massachusetts",12.20%,± 0.4%
"Suffolk County, New York",9.90%,± 0.2%
"Sullivan County, Indiana",17.60%,± 1.9%
"Sullivan County, Missouri",11.60%,± 2.1%
"Sullivan County, New Hampshire",14.60%,± 1.6%
"Sullivan County, New York",15.90%,± 0.9%
"Sullivan County, Pennsylvania",15.80%,± 2%
"Sullivan County, Tennessee",18.80%,± 0.8%
"Sully County, South Dakota",9.90%,± 2.9%
"Summers County, West Virginia",30.40%,± 3.3%
"Summit County, Colorado",6.20%,± 1.3%
"Summit County, Ohio",13.40%,± 0.4%
"Summit County, Utah",5.90%,± 0.8%
"Sumner County, Kansas",16.60%,± 1.7%
"Sumner County, Tennessee",12.90%,± 0.6%
"Sumter County, Alabama",20.30%,± 3.4%
"Sumter County, Florida",18.50%,± 1.3%
"Sumter County, Georgia",13.40%,± 1.7%
"Sumter County, South Carolina",15.20%,± 1%
"Sunflower County, Mississippi",14.70%,± 1.9%
"Surry County, North Carolina",19%,± 1.2%
"Surry County, Virginia",17.20%,± 2.7%
"Susquehanna County, Pennsylvania",16.10%,± 0.9%
"Sussex County, Delaware",14.50%,± 0.6%
"Sussex County, New Jersey",11.20%,± 0.7%
"Sussex County, Virginia",17.40%,± 2.6%
"Sutter County, California",13.80%,± 0.8%
"Sutton County, Texas",6.40%,± 2.7%
"Suwannee County, Florida",20.60%,± 1.9%
"Swain County, North Carolina",17.90%,± 2%
"Sweet Grass County, Montana",14.40%,± 3.2%
"Sweetwater County, Wyoming",16%,± 1.4%
"Swift County, Minnesota",16.60%,± 1.7%
"Swisher County, Texas",16.10%,± 3%
"Switzerland County, Indiana",20.90%,± 2.8%
"Talbot County, Georgia",23.30%,± 2.8%
"Talbot County, Maryland",16.70%,± 1.4%
"Taliaferro County, Georgia",22.60%,± 5.1%
"Talladega County, Alabama",21.50%,± 1.3%
"Tallahatchie County, Mississippi",16.40%,± 2.7%
"Tallapoosa County, Alabama",20.80%,± 1.5%
"Tama County, Iowa",9.80%,± 1%
"Taney County, Missouri",17.10%,± 1.3%
"Tangipahoa Parish, Louisiana",20.20%,± 1.3%
"Taos County, New Mexico",19.10%,± 2.2%
"Tarrant County, Texas",9.80%,± 0.2%
"Tate County, Mississippi",15.50%,± 2.2%
"Tattnall County, Georgia",18%,± 2.1%
"Taylor County, Florida",20.80%,± 2.9%
"Taylor County, Georgia",19.60%,± 3.2%
"Taylor County, Iowa",12.80%,± 1.6%
"Taylor County, Kentucky",20.80%,± 2.5%
"Taylor County, Texas",14.70%,± 0.7%
"Taylor County, West Virginia",20.30%,± 2.7%
"Taylor County, Wisconsin",11.70%,± 1%
"Tazewell County, Illinois",12.40%,± 0.7%
"Tazewell County, Virginia",19.10%,± 1.4%
"Tehama County, California",18.70%,± 1.7%
"Telfair County, Georgia",23.40%,± 5.5%
"Teller County, Colorado",13.80%,± 1.6%
"Tensas Parish, Louisiana",17.60%,± 3.4%
"Terrebonne Parish, Louisiana",16.90%,± 1.3%
"Terrell County, Georgia",15.10%,± 2.1%
"Terrell County, Texas",26.70%,± 8.9%
"Terry County, Texas",14%,± 2.5%
"Teton County, Idaho",5.60%,± 1.7%
"Teton County, Montana",12.70%,± 1.5%
"Teton County, Wyoming",5.70%,± 1.3%
"Texas County, Missouri",24.90%,± 2.1%
"Texas County, Oklahoma",12%,± 2%
"Thayer County, Nebraska",12.40%,± 1.6%
"Thomas County, Georgia",18.30%,± 1.6%
"Thomas County, Kansas",15.20%,± 2.7%
"Thomas County, Nebraska",13.30%,± 4.4%
"Throckmorton County, Texas",14.90%,± 3.5%
"Thurston County, Nebraska",12.20%,± 1.4%
"Thurston County, Washington",14.40%,± 0.6%
"Tift County, Georgia",10.80%,± 1.3%
"Tillamook County, Oregon",21.40%,± 2%
"Tillman County, Oklahoma",24.80%,± 2.4%
"Tioga County, New York",14.70%,± 1.3%
"Tioga County, Pennsylvania",18.30%,± 1.1%
"Tippah County, Mississippi",20.90%,± 2.4%
"Tippecanoe County, Indiana",9.40%,± 0.6%
"Tipton County, Indiana",13.60%,± 2.2%
"Tipton County, Tennessee",17.80%,± 1%
"Tishomingo County, Mississippi",21.90%,± 2.2%
"Titus County, Texas",13%,± 1.3%
"Toa Alta Municipio, Puerto Rico",15.10%,± 1.2%
