Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Petersburg Borough, Alaska",26.20%,± 4.5%
"Petersburg city, Virginia",20.90%,± 2.3%
"Petroleum County, Montana",22.20%,± 10.4%
"Pettis County, Missouri",32.50%,± 1.9%
"Phelps County, Missouri",29.30%,± 2.3%
"Phelps County, Nebraska",29.70%,± 2.7%
"Philadelphia County, Pennsylvania",26.90%,± 0.6%
"Phillips County, Arkansas",26.70%,± 3.6%
"Phillips County, Colorado",28.80%,± 5.5%
"Phillips County, Kansas",24%,± 3.7%
"Phillips County, Montana",26.60%,± 5.1%
"Piatt County, Illinois",26.80%,± 2.5%
"Pickaway County, Ohio",33.90%,± 2%
"Pickens County, Alabama",25%,± 2.7%
"Pickens County, Georgia",28.20%,± 3.1%
"Pickens County, South Carolina",26.60%,± 1.5%
"Pickett County, Tennessee",17.70%,± 3.6%
"Pierce County, Georgia",31.40%,± 3.7%
"Pierce County, Nebraska",29.10%,± 2.8%
"Pierce County, North Dakota",23.70%,± 4.4%
"Pierce County, Washington",33.10%,± 0.5%
"Pierce County, Wisconsin",27.60%,± 1.6%
"Pike County, Alabama",24.20%,± 2.1%
"Pike County, Arkansas",29.80%,± 2.7%
"Pike County, Georgia",35.10%,± 2.5%
"Pike County, Illinois",27.10%,± 2.2%
"Pike County, Indiana",24.40%,± 3.1%
"Pike County, Kentucky",27.10%,± 1.6%
"Pike County, Mississippi",27.20%,± 2.6%
"Pike County, Missouri",31.40%,± 3.2%
"Pike County, Ohio",34.20%,± 2.6%
"Pike County, Pennsylvania",26%,± 1.5%
"Pima County, Arizona",27.10%,± 0.4%
"Pinal County, Arizona",32.80%,± 1%
"Pine County, Minnesota",24.70%,± 1.4%
"Pinellas County, Florida",19.60%,± 0.4%
"Pipestone County, Minnesota",29%,± 2.4%
"Piscataquis County, Maine",22.60%,± 2.4%
"Pitkin County, Colorado",20.90%,± 3.6%
"Pitt County, North Carolina",28.10%,± 1.1%
"Pittsburg County, Oklahoma",29.10%,± 1.6%
"Pittsylvania County, Virginia",26.40%,± 1.5%
"Piute County, Utah",20.60%,± 5.2%
"Placer County, California",31.70%,± 0.7%
"Plaquemines Parish, Louisiana",38.10%,± 3.5%
"Platte County, Missouri",33.80%,± 1.4%
"Platte County, Nebraska",31.50%,± 2%
"Platte County, Wyoming",23.60%,± 4%
"Pleasants County, West Virginia",28.60%,± 3.4%
"Plumas County, California",22.20%,± 2.7%
"Plymouth County, Iowa",31.90%,± 2.1%
"Plymouth County, Massachusetts",31.30%,± 0.7%
"Pocahontas County, Iowa",21%,± 2.1%
"Pocahontas County, West Virginia",17%,± 3%
"Poinsett County, Arkansas",34%,± 2.3%
"Pointe Coupee Parish, Louisiana",20.80%,± 3.1%
"Polk County, Arkansas",25.80%,± 2.8%
"Polk County, Florida",30.60%,± 0.7%
"Polk County, Georgia",38.40%,± 2.6%
"Polk County, Iowa",31.90%,± 0.8%
"Polk County, Minnesota",30.70%,± 2%
"Polk County, Missouri",33.80%,± 2.2%
"Polk County, Nebraska",29.10%,± 2.9%
"Polk County, North Carolina",19.20%,± 2.6%
"Polk County, Oregon",31.40%,± 1.7%
"Polk County, Tennessee",26.50%,± 2.8%
"Polk County, Texas",30.10%,± 2.2%
"Polk County, Wisconsin",25%,± 1.1%
"Ponce Municipio, Puerto Rico",25%,± 1%
"Pondera County, Montana",28.30%,± 3.3%
"Pontotoc County, Mississippi",38.60%,± 2.9%
"Pontotoc County, Oklahoma",31.20%,± 1.7%
"Pope County, Arkansas",31.90%,± 2.2%
"Pope County, Illinois",21.30%,± 4.9%
"Pope County, Minnesota",25%,± 1.2%
"Poquoson city, Virginia",39.10%,± 4.2%
"Portage County, Ohio",26.30%,± 1%
"Portage County, Wisconsin",24.20%,± 1.1%
"Porter County, Indiana",31.20%,± 1%
"Portsmouth city, Virginia",30.60%,± 1.7%
"Posey County, Indiana",29.60%,± 2.1%
"Pottawatomie County, Kansas",39.20%,± 3.1%
"Pottawatomie County, Oklahoma",31.50%,± 1.2%
"Pottawattamie County, Iowa",28%,± 1%
"Potter County, Pennsylvania",23.90%,± 1.4%
"Potter County, South Dakota",25%,± 4.5%
"Potter County, Texas",34.70%,± 1.6%
"Powder River County, Montana",25.90%,± 7%
"Powell County, Kentucky",34.90%,± 4.7%
"Powell County, Montana",19.20%,± 4.7%
"Power County, Idaho",31.30%,± 3.7%
"Poweshiek County, Iowa",22.90%,± 2%
"Powhatan County, Virginia",30.50%,± 2.4%
"Prairie County, Arkansas",25.60%,± 4%
"Prairie County, Montana",29.10%,± 6.9%
"Pratt County, Kansas",28.50%,± 2.8%
"Preble County, Ohio",31%,± 1.6%
"Prentiss County, Mississippi",33.20%,± 3.1%
"Presidio County, Texas",16.20%,± 7.1%
"Presque Isle County, Michigan",18.80%,± 1.5%
"Preston County, West Virginia",27.50%,± 1.8%
"Price County, Wisconsin",19.40%,± 1%
"Prince Edward County, Virginia",28.90%,± 3.5%
"Prince George County, Virginia",37.60%,± 3%
"Prince George's County, Maryland",31.20%,± 0.6%
"Prince of Wales-Hyder Census Area, Alaska",32.60%,± 2.8%
"Prince William County, Virginia",42.60%,± 0.8%
"Providence County, Rhode Island",28.80%,± 0.6%
"Prowers County, Colorado",35.10%,± 3.8%
"Pueblo County, Colorado",29.30%,± 1.1%
"Pulaski County, Arkansas",27.50%,± 0.8%
"Pulaski County, Georgia",28.70%,± 5.4%
"Pulaski County, Illinois",23.50%,± 3.7%
"Pulaski County, Indiana",25.30%,± 2.7%
"Pulaski County, Kentucky",31.20%,± 1.8%
"Pulaski County, Missouri",37.90%,± 3.2%
"Pulaski County, Virginia",26.40%,± 2.5%
"Pushmataha County, Oklahoma",28.70%,± 2.1%
"Putnam County, Florida",24.40%,± 1.7%
"Putnam County, Georgia",22.50%,± 3%
"Putnam County, Illinois",27.30%,± 3.3%
"Putnam County, Indiana",29.50%,± 2.3%
"Putnam County, Missouri",18.30%,± 5.2%
"Putnam County, New York",32.30%,± 1.4%
"Putnam County, Ohio",32.60%,± 1.4%
"Putnam County, Tennessee",27.30%,± 1.8%
"Putnam County, West Virginia",32.10%,± 2.4%
"Quay County, New Mexico",18.80%,± 3.9%
"Quebradillas Municipio, Puerto Rico",26.40%,± 3.7%
"Queen Anne's County, Maryland",30.50%,± 1.7%
"Queens County, New York",29%,± 0.4%
"Quitman County, Georgia",9.90%,± 3.3%
"Quitman County, Mississippi",27.10%,± 4%
"Rabun County, Georgia",19.70%,± 2.4%
"Racine County, Wisconsin",29.50%,± 0.9%
"Radford city, Virginia",22.40%,± 3.4%
"Rains County, Texas",26.10%,± 5%
"Raleigh County, West Virginia",29%,± 1.9%
"Ralls County, Missouri",27.90%,± 3.2%
"Ramsey County, Minnesota",27.90%,± 0.6%
"Ramsey County, North Dakota",24%,± 2.3%
"Randall County, Texas",32.80%,± 1.4%
"Randolph County, Alabama",28.30%,± 2.2%
"Randolph County, Arkansas",32.40%,± 3.1%
"Randolph County, Georgia",32.90%,± 7.5%
"Randolph County, Illinois",27.60%,± 1.8%
"Randolph County, Indiana",28.80%,± 2.3%
"Randolph County, Missouri",29.70%,± 2.2%
"Randolph County, North Carolina",29.80%,± 1.3%
"Randolph County, West Virginia",23.40%,± 2.8%
"Rankin County, Mississippi",33.30%,± 1.6%
"Ransom County, North Dakota",26.70%,± 2.8%
"Rapides Parish, Louisiana",33.80%,± 1.5%
"Rappahannock County, Virginia",19.80%,± 5%
"Ravalli County, Montana",23.70%,± 1.8%
"Rawlins County, Kansas",30.10%,± 5.5%
"Ray County, Missouri",31%,± 2.4%
"Reagan County, Texas",48.30%,± 8.4%
"Real County, Texas",12.90%,± 5.3%
"Red Lake County, Minnesota",26.20%,± 3.1%
"Red River County, Texas",25.50%,± 3.3%
"Red River Parish, Louisiana",30.90%,± 5.5%
"Red Willow County, Nebraska",22.60%,± 3.7%
"Redwood County, Minnesota",26.80%,± 1.5%
"Reeves County, Texas",37.70%,± 7.7%
"Refugio County, Texas",23.40%,± 4.5%
"Reno County, Kansas",27.80%,± 1.5%
"Rensselaer County, New York",25.80%,± 1.1%
"Renville County, Minnesota",26.20%,± 1.9%
"Renville County, North Dakota",25.30%,± 4.6%
"Republic County, Kansas",22.60%,± 3.1%
"Reynolds County, Missouri",20.90%,± 3.7%
"Rhea County, Tennessee",29.80%,± 1.9%
"Rice County, Kansas",31%,± 3.1%
"Rice County, Minnesota",30.60%,± 1.7%
"Rich County, Utah",37.30%,± 6.6%
"Richardson County, Nebraska",25.60%,± 3.2%
"Richland County, Illinois",30.30%,± 2.5%
"Richland County, Montana",24.50%,± 3.1%
"Richland County, North Dakota",25.90%,± 1.9%
"Richland County, Ohio",25.20%,± 1.2%
"Richland County, South Carolina",29.60%,± 1%
"Richland County, Wisconsin",24%,± 1.8%
"Richland Parish, Louisiana",37.60%,± 3.1%
"Richmond city, Virginia",19.80%,± 0.9%
"Richmond County, Georgia",27.80%,± 1.6%
"Richmond County, New York",33.20%,± 0.7%
"Richmond County, North Carolina",31.50%,± 2.5%
"Richmond County, Virginia",24.60%,± 5%
"Riley County, Kansas",25.10%,± 1.7%
"Rincón Municipio, Puerto Rico",22.90%,± 3.8%
"Ringgold County, Iowa",29.40%,± 2.8%
"Rio Arriba County, New Mexico",26.30%,± 2.6%
"Rio Blanco County, Colorado",33.90%,± 5.9%
"Rio Grande County, Colorado",27.30%,± 4.5%
"Río Grande Municipio, Puerto Rico",25.90%,± 2.2%
"Ripley County, Indiana",28.60%,± 1.9%
"Ripley County, Missouri",28.20%,± 3.8%
"Ritchie County, West Virginia",26.30%,± 3.5%
"Riverside County, California",37.60%,± 0.4%
"Roane County, Tennessee",27.60%,± 1.9%
"Roane County, West Virginia",20.10%,± 3.3%
"Roanoke city, Virginia",23.60%,± 1.5%
"Roanoke County, Virginia",27.70%,± 1.6%
"Roberts County, South Dakota",32.60%,± 2.4%
"Roberts County, Texas",23.40%,± 10.3%
"Robertson County, Kentucky",42.70%,± 8.2%
"Robertson County, Tennessee",34.10%,± 1.9%
"Robertson County, Texas",28.40%,± 2.8%
"Robeson County, North Carolina",31.50%,± 1.1%
"Rock County, Minnesota",29.90%,± 1.9%
"Rock County, Nebraska",28.60%,± 6%
"Rock County, Wisconsin",28.40%,± 0.8%
"Rock Island County, Illinois",27%,± 1.1%
"Rockbridge County, Virginia",20.20%,± 2.2%
"Rockcastle County, Kentucky",34.70%,± 3%
"Rockdale County, Georgia",34.20%,± 2.1%
"Rockingham County, New Hampshire",28.50%,± 0.7%
"Rockingham County, North Carolina",28.30%,± 1.5%
"Rockingham County, Virginia",30.40%,± 1.5%
"Rockland County, New York",38.70%,± 0.9%
"Rockwall County, Texas",44.50%,± 1.9%
"Roger Mills County, Oklahoma",28.30%,± 3.5%
"Rogers County, Oklahoma",34.20%,± 0.9%
"Rolette County, North Dakota",48.40%,± 3.7%
"Rooks County, Kansas",30.60%,± 3.6%
"Roosevelt County, Montana",34.20%,± 3.6%
"Roosevelt County, New Mexico",29.10%,± 3.7%
"Roscommon County, Michigan",15.50%,± 1.4%
"Roseau County, Minnesota",28.50%,± 2%
"Rosebud County, Montana",32%,± 4%
"Ross County, Ohio",29.30%,± 1.7%
"Routt County, Colorado",26.70%,± 2.7%
"Rowan County, Kentucky",33%,± 3.4%
"Rowan County, North Carolina",30%,± 1.4%
"Runnels County, Texas",30.10%,± 3.2%
"Rush County, Indiana",29%,± 2.4%
"Rush County, Kansas",18.30%,± 3.6%
"Rusk County, Texas",34.70%,± 2.3%
"Rusk County, Wisconsin",21.90%,± 1.8%
"Russell County, Alabama",30.40%,± 2.2%
"Russell County, Kansas",22.80%,± 3.3%
"Russell County, Kentucky",30.20%,± 2.8%
"Russell County, Virginia",22.70%,± 2.3%
"Rutherford County, North Carolina",26.60%,± 1.6%
"Rutherford County, Tennessee",36.10%,± 1.1%
"Rutland County, Vermont",20.30%,± 1.4%
"Sabana Grande Municipio, Puerto Rico",19.30%,± 3%
"Sabine County, Texas",22.70%,± 3.5%
"Sabine Parish, Louisiana",30.60%,± 2.3%
"Sac County, Iowa",24.80%,± 2.2%
"Sacramento County, California",33.50%,± 0.4%
"Sagadahoc County, Maine",25.70%,± 2%
"Saginaw County, Michigan",27.10%,± 0.9%
"Saguache County, Colorado",29.70%,± 5.5%
"Salem city, Virginia",28.40%,± 2.5%
"Salem County, New Jersey",28%,± 1.5%
"Salinas Municipio, Puerto Rico",27.20%,± 2.8%
"Saline County, Arkansas",34.30%,± 1.5%
"Saline County, Illinois",29.30%,± 2.5%
"Saline County, Kansas",27.50%,± 1.9%
"Saline County, Missouri",27%,± 2.5%
"Saline County, Nebraska",39.60%,± 3.8%
"Salt Lake County, Utah",35.20%,± 0.5%
"Saluda County, South Carolina",31.70%,± 2.9%
"Sampson County, North Carolina",31.30%,± 1.8%
"San Augustine County, Texas",32.30%,± 5.1%
"San Benito County, California",42.90%,± 1.9%
"San Bernardino County, California",40.60%,± 0.4%
"San Diego County, California",31.70%,± 0.3%
"San Francisco County, California",18.40%,± 0.4%
"San Germán Municipio, Puerto Rico",20.30%,± 2.5%
"San Jacinto County, Texas",28.60%,± 3.6%
"San Joaquin County, California",41.70%,± 0.7%
"San Juan County, Colorado",14.50%,± 9.2%
"San Juan County, New Mexico",35%,± 1.6%
"San Juan County, Utah",32.30%,± 3.4%
"San Juan County, Washington",18.30%,± 1.4%
"San Juan Municipio, Puerto Rico",21.40%,± 0.8%
"San Lorenzo Municipio, Puerto Rico",27.50%,± 2.9%
"San Luis Obispo County, California",24.30%,± 0.7%
"San Mateo County, California",31.50%,± 0.6%
"San Miguel County, Colorado",23.90%,± 3.2%
"San Miguel County, New Mexico",24.90%,± 2.8%
"San Patricio County, Texas",37.60%,± 2.1%
"San Saba County, Texas",25.40%,± 5%
"San Sebastián Municipio, Puerto Rico",23.30%,± 2.5%
"Sanborn County, South Dakota",27.50%,± 3.8%
"Sanders County, Montana",18.70%,± 2.3%
"Sandoval County, New Mexico",31.60%,± 1.1%
"Sandusky County, Ohio",28.30%,± 1.5%
"Sangamon County, Illinois",26.70%,± 0.8%
"Sanilac County, Michigan",26.90%,± 1%
"Sanpete County, Utah",38.20%,± 2.3%
"Santa Barbara County, California",31.80%,± 0.7%
"Santa Clara County, California",34.60%,± 0.4%
"Santa Cruz County, Arizona",36.20%,± 2.3%
"Santa Cruz County, California",27.50%,± 1%
"Santa Fe County, New Mexico",22.20%,± 1.2%
"Santa Isabel Municipio, Puerto Rico",29.70%,± 3.7%
"Santa Rosa County, Florida",33.60%,± 1.5%
"Sarasota County, Florida",16.90%,± 0.6%
"Saratoga County, New York",27.70%,± 0.9%
"Sargent County, North Dakota",21.20%,± 2.6%
"Sarpy County, Nebraska",37.70%,± 1%
"Sauk County, Wisconsin",27.60%,± 1.2%
"Saunders County, Nebraska",32.70%,± 1.7%
"Sawyer County, Wisconsin",21.10%,± 2.1%
"Schenectady County, New York",26%,± 1.1%
"Schleicher County, Texas",32.60%,± 8.1%
"Schley County, Georgia",36.50%,± 6.4%
"Schoharie County, New York",24.70%,± 1.4%
"Schoolcraft County, Michigan",18.60%,± 3.4%
"Schuyler County, Illinois",25.20%,± 3.5%
"Schuyler County, Missouri",26.60%,± 4.1%
"Schuyler County, New York",26.10%,± 2.5%
"Schuylkill County, Pennsylvania",25.80%,± 0.9%
"Scioto County, Ohio",29.50%,± 1.5%
"Scotland County, Missouri",29.20%,± 4.6%
"Scotland County, North Carolina",29.50%,± 1.5%
"Scott County, Arkansas",27.30%,± 4.3%
"Scott County, Illinois",30.20%,± 3.3%
"Scott County, Indiana",30.80%,± 2.9%
"Scott County, Iowa",29.40%,± 1%
"Scott County, Kansas",28.70%,± 6.2%
"Scott County, Kentucky",37.20%,± 1.7%
"Scott County, Minnesota",41.60%,± 1.4%
"Scott County, Mississippi",39.70%,± 3.5%
"Scott County, Missouri",30.70%,± 2%
"Scott County, Tennessee",35.50%,± 3.2%
"Scott County, Virginia",22.20%,± 2%
"Scotts Bluff County, Nebraska",30.80%,± 1.7%
"Screven County, Georgia",26.50%,± 3.3%
"Scurry County, Texas",33.20%,± 3.5%
"Searcy County, Arkansas",22.70%,± 4.4%
"Sebastian County, Arkansas",32.40%,± 1.5%
"Sedgwick County, Colorado",23.70%,± 4.4%
"Sedgwick County, Kansas",31.20%,± 0.7%
"Seminole County, Florida",31.10%,± 0.8%
"Seminole County, Georgia",26%,± 3.4%
"Seminole County, Oklahoma",34.60%,± 1.8%
"Seneca County, New York",23.80%,± 1.6%
"Seneca County, Ohio",29.80%,± 1.9%
"Sequatchie County, Tennessee",29.90%,± 3%
"Sequoyah County, Oklahoma",31.10%,± 1.6%
"Sevier County, Arkansas",37.40%,± 4.5%
"Sevier County, Tennessee",28.50%,± 2%
"Sevier County, Utah",38.50%,± 2.2%
"Seward County, Kansas",39.30%,± 3.8%
"Seward County, Nebraska",31.80%,± 2.2%
"Shackelford County, Texas",28.70%,± 5.5%
"Shannon County, Missouri",25.20%,± 3%
"Sharkey County, Mississippi",37.80%,± 7.2%
"Sharp County, Arkansas",29.20%,± 2.7%
"Shasta County, California",27.70%,± 1.1%
"Shawano County, Wisconsin",25.50%,± 1.3%
"Shawnee County, Kansas",28.30%,± 1.1%
"Sheboygan County, Wisconsin",25.40%,± 1.1%
"Shelby County, Alabama",33.40%,± 1%
"Shelby County, Illinois",25.40%,± 1.9%
"Shelby County, Indiana",30.10%,± 2.1%
"Shelby County, Iowa",26.60%,± 2.5%
"Shelby County, Kentucky",33.70%,± 2.2%
"Shelby County, Missouri",28%,± 3.8%
"Shelby County, Ohio",31.80%,± 1.7%
"Shelby County, Tennessee",30.50%,± 0.5%
"Shelby County, Texas",34.50%,± 2.8%
"Shenandoah County, Virginia",25.20%,± 1.6%
"Sherburne County, Minnesota",37.50%,± 1.5%
"Sheridan County, Kansas",18.30%,± 3.8%
"Sheridan County, Montana",21.90%,± 3%
"Sheridan County, Nebraska",28%,± 3.4%
"Sheridan County, North Dakota",16.30%,± 3.4%
"Sheridan County, Wyoming",22%,± 2.1%
"Sherman County, Kansas",26.50%,± 6.3%
"Sherman County, Nebraska",20.40%,± 3%
"Sherman County, Oregon",22.70%,± 4.5%
"Sherman County, Texas",39.50%,± 7.8%
"Shiawassee County, Michigan",27.30%,± 1.1%
"Shoshone County, Idaho",20.30%,± 2.3%
"Sibley County, Minnesota",25.10%,± 1.7%
"Sierra County, California",11.70%,± 5.8%
"Sierra County, New Mexico",15.60%,± 4%
"Silver Bow County, Montana",23.20%,± 2.2%
"Simpson County, Kentucky",29.80%,± 3.3%
"Simpson County, Mississippi",34.60%,± 3.3%
"Sioux County, Iowa",33.90%,± 2.1%
"Sioux County, Nebraska",27.80%,± 7.9%
"Sioux County, North Dakota",48.60%,± 4.9%
"Siskiyou County, California",23.10%,± 1.7%
"Sitka City and Borough, Alaska",28.30%,± 2.8%
"Skagit County, Washington",30.10%,± 0.9%
"Skagway Municipality, Alaska",17.60%,± 6%
"Skamania County, Washington",23.70%,± 2.6%
"Slope County, North Dakota",25.10%,± 7.1%
"Smith County, Kansas",23.50%,± 2.1%
"Smith County, Mississippi",28.30%,± 3.7%
"Smith County, Tennessee",31.30%,± 2.7%
"Smith County, Texas",34%,± 1.3%
"Smyth County, Virginia",26.70%,± 2.1%
"Snohomish County, Washington",33.40%,± 0.5%
"Snyder County, Pennsylvania",27.80%,± 1.4%
"Socorro County, New Mexico",25.70%,± 4.4%
"Solano County, California",33.10%,± 1%
"Somerset County, Maine",23%,± 1.5%
"Somerset County, Maryland",31.20%,± 3.6%
"Somerset County, New Jersey",32.80%,± 0.8%
"Somerset County, Pennsylvania",25.40%,± 0.9%
"Somervell County, Texas",37.20%,± 7%
"Sonoma County, California",27.70%,± 0.5%
"South Central Connecticut Planning Region, Connecticut",26.70%,± 0.6%
"Southampton County, Virginia",27.20%,± 2.9%
"Southeast Fairbanks Census Area, Alaska",32.60%,± 4%
"Southeastern Connecticut Planning Region, Connecticut",26.40%,± 0.8%
"Spalding County, Georgia",30.80%,± 2.2%
"Spartanburg County, South Carolina",32.90%,± 0.9%
"Spencer County, Indiana",27.30%,± 1.8%
"Spencer County, Kentucky",38.40%,± 2.8%
"Spink County, South Dakota",25%,± 3.1%
"Spokane County, Washington",29.10%,± 0.6%
"Spotsylvania County, Virginia",36.50%,± 1.4%
"St. Bernard Parish, Louisiana",36.40%,± 2.5%
"St. Charles County, Missouri",32.50%,± 0.6%
"St. Charles Parish, Louisiana",35%,± 2.6%
"St. Clair County, Alabama",34.20%,± 1.7%
"St. Clair County, Illinois",30.10%,± 1.1%
"St. Clair County, Michigan",27.40%,± 0.9%
"St. Clair County, Missouri",25.70%,± 3%
"St. Croix County, Wisconsin",34.20%,± 1.5%
"St. Francis County, Arkansas",32.20%,± 2.8%
"St. Francois County, Missouri",31.40%,± 1.9%
"St. Helena Parish, Louisiana",27%,± 5.3%
"St. James Parish, Louisiana",33.50%,± 3.2%
"St. John the Baptist Parish, Louisiana",32.20%,± 2.7%
"St. Johns County, Florida",33.40%,± 1.1%
"St. Joseph County, Indiana",28.40%,± 0.9%
"St. Joseph County, Michigan",29.20%,± 1.3%
"St. Landry Parish, Louisiana",33.60%,± 1.8%
"St. Lawrence County, New York",27%,± 1.1%
"St. Louis city, Missouri",20.30%,± 0.7%
"St. Louis County, Minnesota",23.40%,± 0.6%
"St. Louis County, Missouri",28.50%,± 0.5%
"St. Lucie County, Florida",26.80%,± 1.4%
"St. Martin Parish, Louisiana",32.10%,± 1.9%
"St. Mary Parish, Louisiana",29.70%,± 2.3%
"St. Mary's County, Maryland",36.50%,± 1.9%
"St. Tammany Parish, Louisiana",34%,± 1.1%
"Stafford County, Kansas",29.10%,± 3.2%
"Stafford County, Virginia",43.10%,± 1.3%
"Stanislaus County, California",39.40%,± 0.7%
"Stanley County, South Dakota",23.20%,± 4.2%
"Stanly County, North Carolina",30%,± 1.7%
"Stanton County, Kansas",19.70%,± 6.9%
"Stanton County, Nebraska",29.10%,± 3.2%
"Stark County, Illinois",23.60%,± 2.3%
"Stark County, North Dakota",32.10%,± 2.1%
"Stark County, Ohio",27.20%,± 0.7%
"Starke County, Indiana",30.70%,± 2.4%
"Starr County, Texas",47.40%,± 2.6%
"Staunton city, Virginia",25.50%,± 2.8%
"Ste. Genevieve County, Missouri",27.50%,± 2.8%
"Stearns County, Minnesota",29.70%,± 0.9%
"Steele County, Minnesota",30.40%,± 1.8%
"Steele County, North Dakota",21.90%,± 4.6%
"Stephens County, Georgia",27.50%,± 2.7%
"Stephens County, Oklahoma",30.50%,± 1.5%
"Stephens County, Texas",27.60%,± 3.7%
"Stephenson County, Illinois",25.10%,± 2%
"Sterling County, Texas",51%,± 11.1%
"Steuben County, Indiana",24.50%,± 1.5%
"Steuben County, New York",27.10%,± 1%
"Stevens County, Kansas",37%,± 6.4%
"Stevens County, Minnesota",27.90%,± 3%
"Stevens County, Washington",23.70%,± 1.5%
"Stewart County, Georgia",25.20%,± 7.4%
"Stewart County, Tennessee",22.60%,± 3.1%
"Stillwater County, Montana",23.70%,± 2.2%
"Stoddard County, Missouri",30.60%,± 2%
"Stokes County, North Carolina",26.30%,± 2%
"Stone County, Arkansas",27.40%,± 4.2%
"Stone County, Mississippi",34%,± 4.5%
"Stone County, Missouri",19.30%,± 1.9%
"Stonewall County, Texas",38%,± 9.4%
"Storey County, Nevada",18.10%,± 6.2%
"Story County, Iowa",21.60%,± 1.1%
"Strafford County, New Hampshire",27.20%,± 1.2%
"Stutsman County, North Dakota",18%,± 2.4%
"Sublette County, Wyoming",29.60%,± 4.9%
"Suffolk city, Virginia",32.80%,± 1.6%
"Suffolk County, Massachusetts",22.10%,± 0.5%
"Suffolk County, New York",31.50%,± 0.5%
"Sullivan County, Indiana",35.20%,± 2.6%
"Sullivan County, Missouri",25.40%,± 2.9%
"Sullivan County, New Hampshire",21.90%,± 1.9%
"Sullivan County, New York",28.40%,± 1.6%
"Sullivan County, Pennsylvania",18.80%,± 1.8%
"Sullivan County, Tennessee",26.60%,± 1.1%
"Sully County, South Dakota",14.20%,± 4.4%
"Summers County, West Virginia",20%,± 3.5%
"Summit County, Colorado",20%,± 3.8%
"Summit County, Ohio",27.20%,± 0.6%
"Summit County, Utah",32.90%,± 2%
"Sumner County, Kansas",30.10%,± 2.3%
"Sumner County, Tennessee",34.20%,± 1.2%
"Sumter County, Alabama",24%,± 4.2%
"Sumter County, Florida",7.30%,± 0.8%
"Sumter County, Georgia",25.40%,± 3.8%
"Sumter County, South Carolina",29.40%,± 1.8%
"Sunflower County, Mississippi",34.80%,± 2.4%
"Surry County, North Carolina",28.90%,± 1.5%
"Surry County, Virginia",26.40%,± 4.4%
"Susquehanna County, Pennsylvania",22.60%,± 1.1%
"Sussex County, Delaware",23%,± 0.9%
"Sussex County, New Jersey",29%,± 1%
"Sussex County, Virginia",23.30%,± 3.5%
"Sutter County, California",37.10%,± 1.6%
"Sutton County, Texas",46.30%,± 9.7%
"Suwannee County, Florida",26%,± 2.6%
"Swain County, North Carolina",28.90%,± 3.4%
"Sweet Grass County, Montana",27.20%,± 4.2%
"Sweetwater County, Wyoming",34.30%,± 2.3%
"Swift County, Minnesota",28.60%,± 1.9%
"Swisher County, Texas",30.30%,± 4.7%
"Switzerland County, Indiana",29.70%,± 3.6%
"Talbot County, Georgia",18.40%,± 3.8%
"Talbot County, Maryland",23.20%,± 1.9%
"Taliaferro County, Georgia",26.10%,± 11.5%
"Talladega County, Alabama",31.10%,± 2%
"Tallahatchie County, Mississippi",34.10%,± 4.7%
"Tallapoosa County, Alabama",26.90%,± 2.6%
"Tama County, Iowa",30.90%,± 2.2%
"Taney County, Missouri",26.30%,± 2.1%
"Tangipahoa Parish, Louisiana",32.80%,± 1.8%
"Taos County, New Mexico",18.30%,± 2.9%
"Tarrant County, Texas",35.70%,± 0.5%
"Tate County, Mississippi",38.80%,± 3.1%
"Tattnall County, Georgia",38.90%,± 3.6%
"Taylor County, Florida",25.40%,± 3.2%
"Taylor County, Georgia",28%,± 4%
"Taylor County, Iowa",25.60%,± 2%
"Taylor County, Kentucky",27.80%,± 3.2%
"Taylor County, Texas",32.80%,± 1.2%
"Taylor County, West Virginia",24.90%,± 3%
"Taylor County, Wisconsin",26%,± 1.5%
"Tazewell County, Illinois",27.80%,± 0.9%
"Tazewell County, Virginia",27.30%,± 2.4%
"Tehama County, California",32.60%,± 1.9%
"Telfair County, Georgia",27.50%,± 5.8%
"Teller County, Colorado",18.40%,± 2.4%
"Tensas Parish, Louisiana",17.60%,± 4.4%
"Terrebonne Parish, Louisiana",34.40%,± 1.9%
"Terrell County, Georgia",32.30%,± 4.3%
"Terrell County, Texas",7.60%,± 4.7%
"Terry County, Texas",33.50%,± 5.2%
"Teton County, Idaho",33.80%,± 5.1%
"Teton County, Montana",28.30%,± 3%
"Teton County, Wyoming",29.50%,± 3.5%
"Texas County, Missouri",27.70%,± 2.6%
"Texas County, Oklahoma",37.60%,± 4.7%
"Thayer County, Nebraska",25%,± 2.4%
"Thomas County, Georgia",33.10%,± 2%
"Thomas County, Kansas",26.50%,± 4.5%
"Thomas County, Nebraska",11.10%,± 4.6%
"Throckmorton County, Texas",20.90%,± 5.8%
"Thurston County, Nebraska",44.30%,± 3.2%
"Thurston County, Washington",29.60%,± 0.9%
"Tift County, Georgia",34.20%,± 2.6%
"Tillamook County, Oregon",22.60%,± 2.4%
"Tillman County, Oklahoma",31.90%,± 3.4%
"Tioga County, New York",26.10%,± 1.6%
"Tioga County, Pennsylvania",25.80%,± 1.2%
"Tippah County, Mississippi",31.10%,± 3.5%
"Tippecanoe County, Indiana",26.40%,± 1.2%
