Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Phelps County, Missouri",17.70%,± 2.2%
"Phelps County, Nebraska",14.50%,± 3.7%
"Philadelphia County, Pennsylvania",22.70%,± 0.7%
"Phillips County, Arkansas",30.50%,± 3.4%
"Phillips County, Colorado",13.90%,± 4.8%
"Phillips County, Kansas",16.40%,± 4.6%
"Phillips County, Montana",6.90%,± 1.8%
"Piatt County, Illinois",7.20%,± 1.8%
"Pickaway County, Ohio",12.50%,± 1.6%
"Pickens County, Alabama",22.30%,± 3.6%
"Pickens County, Georgia",13.50%,± 2.3%
"Pickens County, South Carolina",16.90%,± 1.4%
"Pickett County, Tennessee",21%,± 6.6%
"Pierce County, Georgia",15.30%,± 2.9%
"Pierce County, Nebraska",7.90%,± 2.3%
"Pierce County, North Dakota",11.20%,± 3.7%
"Pierce County, Washington",8.70%,± 0.4%
"Pierce County, Wisconsin",9.80%,± 1.2%
"Pike County, Alabama",23.60%,± 2.6%
"Pike County, Arkansas",17.50%,± 3.2%
"Pike County, Georgia",8.10%,± 2.3%
"Pike County, Illinois",13.50%,± 2.2%
"Pike County, Indiana",11%,± 2.6%
"Pike County, Kentucky",23.90%,± 2.3%
"Pike County, Mississippi",30.70%,± 3.6%
"Pike County, Missouri",15.80%,± 3.8%
"Pike County, Ohio",19.80%,± 3.2%
"Pike County, Pennsylvania",10%,± 1.5%
"Pima County, Arizona",14.90%,± 0.5%
"Pinal County, Arizona",11.30%,± 0.7%
"Pine County, Minnesota",10.60%,± 1.1%
"Pinellas County, Florida",11.50%,± 0.4%
"Pipestone County, Minnesota",13%,± 2.6%
"Piscataquis County, Maine",15%,± 1.9%
"Pitkin County, Colorado",6.70%,± 2.2%
"Pitt County, North Carolina",20%,± 1.3%
"Pittsburg County, Oklahoma",19%,± 1.7%
"Pittsylvania County, Virginia",16.40%,± 1.8%
"Piute County, Utah",20.90%,± 7.5%
"Placer County, California",6.80%,± 0.5%
"Plaquemines Parish, Louisiana",14.70%,± 2.9%
"Platte County, Missouri",7%,± 1%
"Platte County, Nebraska",8.20%,± 1.7%
"Platte County, Wyoming",12%,± 4.5%
"Pleasants County, West Virginia",7.70%,± 2.6%
"Plumas County, California",10.90%,± 2.5%
"Plymouth County, Iowa",5.70%,± 1.3%
"Plymouth County, Massachusetts",6.70%,± 0.4%
"Pocahontas County, Iowa",9.10%,± 2.7%
"Pocahontas County, West Virginia",20.30%,± 4.5%
"Poinsett County, Arkansas",21%,± 2.3%
"Pointe Coupee Parish, Louisiana",19.10%,± 3.2%
"Polk County, Arkansas",17.80%,± 3%
"Polk County, Florida",14.80%,± 0.6%
"Polk County, Georgia",17.20%,± 2.5%
"Polk County, Iowa",10.30%,± 0.6%
"Polk County, Minnesota",11.60%,± 1.5%
"Polk County, Missouri",17.20%,± 2.3%
"Polk County, Nebraska",7.70%,± 2.2%
"Polk County, North Carolina",11%,± 2.2%
"Polk County, Oregon",11.90%,± 1.6%
"Polk County, Tennessee",12.90%,± 2.2%
"Polk County, Texas",16.40%,± 2%
"Polk County, Wisconsin",8.30%,± 0.8%
"Ponce Municipio, Puerto Rico",50.40%,± 1.7%
"Pondera County, Montana",21.60%,± 3.7%
"Pontotoc County, Mississippi",16.70%,± 2.6%
"Pontotoc County, Oklahoma",13.30%,± 1.2%
"Pope County, Arkansas",17.90%,± 1.7%
"Pope County, Illinois",18.70%,± 4.6%
"Pope County, Minnesota",9.60%,± 1.8%
"Poquoson city, Virginia",4.50%,± 2.3%
"Portage County, Ohio",11.30%,± 0.9%
"Portage County, Wisconsin",10.40%,± 0.9%
"Porter County, Indiana",9.30%,± 0.9%
"Portsmouth city, Virginia",17.40%,± 1.9%
"Posey County, Indiana",10%,± 2.5%
"Pottawatomie County, Kansas",7.20%,± 2%
"Pottawatomie County, Oklahoma",15.80%,± 1.2%
"Pottawattamie County, Iowa",11.30%,± 1.1%
"Potter County, Pennsylvania",12.20%,± 1.5%
"Potter County, South Dakota",7%,± 3.8%
"Potter County, Texas",20.70%,± 1.8%
"Powder River County, Montana",12.70%,± 3.8%
"Powell County, Kentucky",21.10%,± 4.1%
"Powell County, Montana",5.20%,± 2.2%
"Power County, Idaho",11.10%,± 4.4%
"Poweshiek County, Iowa",10.80%,± 2.1%
"Powhatan County, Virginia",4.50%,± 1.5%
"Prairie County, Arkansas",10%,± 3.1%
"Prairie County, Montana",22.30%,± 7.6%
"Pratt County, Kansas",11.60%,± 2.9%
"Preble County, Ohio",10.30%,± 1.4%
"Prentiss County, Mississippi",16.30%,± 2.8%
"Presidio County, Texas",40%,± 13.2%
"Presque Isle County, Michigan",12.70%,± 2%
"Preston County, West Virginia",13.80%,± 2.4%
"Price County, Wisconsin",13.60%,± 1.7%
"Prince Edward County, Virginia",18.10%,± 2.9%
"Prince George County, Virginia",8.30%,± 1.8%
"Prince George's County, Maryland",9.60%,± 0.4%
"Prince of Wales-Hyder Census Area, Alaska",15.30%,± 2.8%
"Prince William County, Virginia",6%,± 0.6%
"Providence County, Rhode Island",13.60%,± 0.6%
"Prowers County, Colorado",17.60%,± 4.8%
"Pueblo County, Colorado",16.60%,± 1.1%
"Pulaski County, Arkansas",16.60%,± 1.1%
"Pulaski County, Georgia",18.90%,± 5.2%
"Pulaski County, Illinois",25%,± 4.1%
"Pulaski County, Indiana",12.80%,± 2.3%
"Pulaski County, Kentucky",21.40%,± 1.7%
"Pulaski County, Missouri",14.50%,± 2.3%
"Pulaski County, Virginia",13.10%,± 1.9%
"Pushmataha County, Oklahoma",21.70%,± 2.7%
"Putnam County, Florida",22.80%,± 2.2%
"Putnam County, Georgia",16%,± 3.5%
"Putnam County, Illinois",8.80%,± 1.9%
"Putnam County, Indiana",8.90%,± 1.5%
"Putnam County, Missouri",12.30%,± 5.6%
"Putnam County, New York",6.30%,± 0.8%
"Putnam County, Ohio",6.60%,± 1.3%
"Putnam County, Tennessee",16.30%,± 1.5%
"Putnam County, West Virginia",10.90%,± 2.2%
"Quay County, New Mexico",24.90%,± 5.1%
"Quebradillas Municipio, Puerto Rico",46.10%,± 5%
"Queen Anne's County, Maryland",6.90%,± 1.2%
"Queens County, New York",11.70%,± 0.3%
"Quitman County, Georgia",15.30%,± 7.1%
"Quitman County, Mississippi",30.20%,± 4.7%
"Rabun County, Georgia",14.50%,± 3.2%
"Racine County, Wisconsin",11.30%,± 0.9%
"Radford city, Virginia",33.80%,± 4.6%
"Rains County, Texas",11%,± 2.8%
"Raleigh County, West Virginia",22%,± 2.7%
"Ralls County, Missouri",12.30%,± 2.6%
"Ramsey County, Minnesota",12.90%,± 0.6%
"Ramsey County, North Dakota",15.80%,± 3.8%
"Randall County, Texas",9.40%,± 1.3%
"Randolph County, Alabama",19.90%,± 2.7%
"Randolph County, Arkansas",19.20%,± 3.2%
"Randolph County, Georgia",28.10%,± 6.7%
"Randolph County, Illinois",12.50%,± 1.8%
"Randolph County, Indiana",13%,± 1.8%
"Randolph County, Missouri",17.20%,± 2.9%
"Randolph County, North Carolina",14.70%,± 1.2%
"Randolph County, West Virginia",15.50%,± 2.3%
"Rankin County, Mississippi",9.50%,± 1.4%
"Ransom County, North Dakota",9.90%,± 3.7%
"Rapides Parish, Louisiana",18.30%,± 1.7%
"Rappahannock County, Virginia",7.60%,± 3.2%
"Ravalli County, Montana",9.80%,± 1.6%
"Rawlins County, Kansas",10.90%,± 3.7%
"Ray County, Missouri",12.20%,± 1.9%
"Reagan County, Texas",7.20%,± 4.5%
"Real County, Texas",24.50%,± 10.3%
"Red Lake County, Minnesota",9.30%,± 1.8%
"Red River County, Texas",20.20%,± 3.2%
"Red River Parish, Louisiana",24.80%,± 4.8%
"Red Willow County, Nebraska",12.20%,± 4.2%
"Redwood County, Minnesota",10.10%,± 1.3%
"Reeves County, Texas",21%,± 5.2%
"Refugio County, Texas",16.30%,± 4.2%
"Reno County, Kansas",12.30%,± 1.5%
"Rensselaer County, New York",11.50%,± 0.9%
"Renville County, Minnesota",10.40%,± 1.5%
"Renville County, North Dakota",6.40%,± 2.5%
"Republic County, Kansas",10.10%,± 2.6%
"Reynolds County, Missouri",18.10%,± 3.1%
"Rhea County, Tennessee",15.70%,± 2.6%
"Rice County, Kansas",9.80%,± 2.5%
"Rice County, Minnesota",9.20%,± 1.5%
"Rich County, Utah",8%,± 4.6%
"Richardson County, Nebraska",10.90%,± 2.9%
"Richland County, Illinois",13.70%,± 2.4%
"Richland County, Montana",8.30%,± 2.2%
"Richland County, North Dakota",11.20%,± 2%
"Richland County, Ohio",13.90%,± 1.2%
"Richland County, South Carolina",16.80%,± 0.9%
"Richland County, Wisconsin",14.50%,± 1.8%
"Richland Parish, Louisiana",24%,± 3.1%
"Richmond city, Virginia",19.50%,± 1.1%
"Richmond County, Georgia",20.70%,± 1.5%
"Richmond County, New York",10.40%,± 0.6%
"Richmond County, North Carolina",23%,± 3.1%
"Richmond County, Virginia",7.50%,± 3%
"Riley County, Kansas",22.70%,± 1.7%
"Rincón Municipio, Puerto Rico",41.30%,± 5.2%
"Ringgold County, Iowa",8.20%,± 2.9%
"Rio Arriba County, New Mexico",21.80%,± 3.3%
"Rio Blanco County, Colorado",12.90%,± 5.1%
"Rio Grande County, Colorado",10.30%,± 2.9%
"Río Grande Municipio, Puerto Rico",36.20%,± 3.2%
"Ripley County, Indiana",9.60%,± 1.8%
"Ripley County, Missouri",20.60%,± 3.6%
"Ritchie County, West Virginia",20.30%,± 3.5%
"Riverside County, California",11.40%,± 0.3%
"Roane County, Tennessee",12.20%,± 1.9%
"Roane County, West Virginia",21.10%,± 4%
"Roanoke city, Virginia",19.10%,± 1.6%
"Roanoke County, Virginia",7.10%,± 1.1%
"Roberts County, South Dakota",20.80%,± 3.7%
"Roberts County, Texas",14.70%,± 10.6%
"Robertson County, Kentucky",22%,± 6.5%
"Robertson County, Tennessee",10.30%,± 1.3%
"Robertson County, Texas",14.20%,± 2.8%
"Robeson County, North Carolina",27.10%,± 1.3%
"Rock County, Minnesota",8.80%,± 1.7%
"Rock County, Nebraska",9.10%,± 4.4%
"Rock County, Wisconsin",9.90%,± 0.8%
"Rock Island County, Illinois",15.20%,± 1.1%
"Rockbridge County, Virginia",8.90%,± 2.4%
"Rockcastle County, Kentucky",23.60%,± 3.7%
"Rockdale County, Georgia",11.40%,± 1.8%
"Rockingham County, New Hampshire",4.80%,± 0.5%
"Rockingham County, North Carolina",18.80%,± 1.6%
"Rockingham County, Virginia",8.80%,± 1.2%
"Rockland County, New York",15.10%,± 0.9%
"Rockwall County, Texas",4.20%,± 0.8%
"Roger Mills County, Oklahoma",13.60%,± 3.5%
"Rogers County, Oklahoma",9.50%,± 0.8%
"Rolette County, North Dakota",24.90%,± 4%
"Rooks County, Kansas",4.60%,± 1.1%
"Roosevelt County, Montana",31.50%,± 3.7%
"Roosevelt County, New Mexico",20.60%,± 4.6%
"Roscommon County, Michigan",16.20%,± 1.8%
"Roseau County, Minnesota",10.40%,± 1.9%
"Rosebud County, Montana",20.40%,± 4.9%
"Ross County, Ohio",16.10%,± 1.7%
"Routt County, Colorado",8%,± 1.6%
"Rowan County, Kentucky",24.60%,± 3.8%
"Rowan County, North Carolina",16.40%,± 1.5%
"Runnels County, Texas",11.90%,± 3.1%
"Rush County, Indiana",11.70%,± 2.6%
"Rush County, Kansas",12.80%,± 3.3%
"Rusk County, Texas",13.40%,± 2.3%
"Rusk County, Wisconsin",11.40%,± 1.6%
"Russell County, Alabama",22%,± 3.1%
"Russell County, Kansas",17.50%,± 3.6%
"Russell County, Kentucky",21.60%,± 3.2%
"Russell County, Virginia",19.30%,± 2.5%
"Rutherford County, North Carolina",18.40%,± 1.9%
"Rutherford County, Tennessee",9.80%,± 0.8%
"Rutland County, Vermont",11.40%,± 1.3%
"Sabana Grande Municipio, Puerto Rico",46%,± 5%
"Sabine County, Texas",17.30%,± 3.7%
"Sabine Parish, Louisiana",23.90%,± 2.3%
"Sac County, Iowa",8.70%,± 1.9%
"Sacramento County, California",13.10%,± 0.5%
"Sagadahoc County, Maine",10.90%,± 2.2%
"Saginaw County, Michigan",18.20%,± 1.2%
"Saguache County, Colorado",17.50%,± 5.5%
"Salem city, Virginia",9.60%,± 2.1%
"Salem County, New Jersey",13%,± 1.6%
"Salinas Municipio, Puerto Rico",50.50%,± 4%
"Saline County, Arkansas",9.50%,± 1%
"Saline County, Illinois",18%,± 2.1%
"Saline County, Kansas",12%,± 1.8%
"Saline County, Missouri",13%,± 2.2%
"Saline County, Nebraska",11.30%,± 2.5%
"Salt Lake County, Utah",8.10%,± 0.4%
"Saluda County, South Carolina",17.90%,± 3%
"Sampson County, North Carolina",22.30%,± 2.4%
"San Augustine County, Texas",27.30%,± 5.5%
"San Benito County, California",7.50%,± 1.5%
"San Bernardino County, California",13.80%,± 0.4%
"San Diego County, California",10.60%,± 0.3%
"San Francisco County, California",10.50%,± 0.4%
"San Germán Municipio, Puerto Rico",49.80%,± 4%
"San Jacinto County, Texas",17.40%,± 3.9%
"San Joaquin County, California",12.90%,± 0.5%
"San Juan County, Colorado",19.10%,± 12.5%
"San Juan County, New Mexico",24.50%,± 1.9%
"San Juan County, Utah",20.70%,± 2.6%
"San Juan County, Washington",11%,± 1.1%
"San Juan Municipio, Puerto Rico",39.50%,± 1%
"San Lorenzo Municipio, Puerto Rico",45.30%,± 4.2%
"San Luis Obispo County, California",12.60%,± 0.8%
"San Mateo County, California",6.40%,± 0.3%
"San Miguel County, Colorado",8.50%,± 2.2%
"San Miguel County, New Mexico",23.50%,± 3.7%
"San Patricio County, Texas",15.80%,± 2.2%
"San Saba County, Texas",14.30%,± 3.8%
"San Sebastián Municipio, Puerto Rico",52.40%,± 4.3%
"Sanborn County, South Dakota",8.70%,± 2.3%
"Sanders County, Montana",16.30%,± 2.8%
"Sandoval County, New Mexico",10.10%,± 0.9%
"Sandusky County, Ohio",13%,± 1.8%
"Sangamon County, Illinois",12.90%,± 0.8%
"Sanilac County, Michigan",15%,± 1.5%
"Sanpete County, Utah",14.80%,± 2.7%
"Santa Barbara County, California",13.50%,± 0.7%
"Santa Clara County, California",6.90%,± 0.3%
"Santa Cruz County, Arizona",20.20%,± 2.9%
"Santa Cruz County, California",11.40%,± 0.9%
"Santa Fe County, New Mexico",12.30%,± 0.9%
"Santa Isabel Municipio, Puerto Rico",46.40%,± 4.8%
"Santa Rosa County, Florida",8.90%,± 1.1%
"Sarasota County, Florida",8.10%,± 0.5%
"Saratoga County, New York",6.60%,± 0.7%
"Sargent County, North Dakota",6.20%,± 1.7%
"Sarpy County, Nebraska",5.50%,± 0.6%
"Sauk County, Wisconsin",8.60%,± 0.9%
"Saunders County, Nebraska",6.70%,± 1.7%
"Sawyer County, Wisconsin",13.20%,± 1.9%
"Schenectady County, New York",11.60%,± 1.1%
"Schleicher County, Texas",14.50%,± 6.9%
"Schley County, Georgia",15.90%,± 4.4%
"Schoharie County, New York",10.10%,± 1.3%
"Schoolcraft County, Michigan",16%,± 2.7%
"Schuyler County, Illinois",19.50%,± 4.1%
"Schuyler County, Missouri",10.20%,± 2.4%
"Schuyler County, New York",15.80%,± 2.5%
"Schuylkill County, Pennsylvania",12.30%,± 1%
"Scioto County, Ohio",23.80%,± 2.4%
"Scotland County, Missouri",7.40%,± 2.9%
"Scotland County, North Carolina",26.10%,± 2.2%
"Scott County, Arkansas",17.10%,± 3.7%
"Scott County, Illinois",11%,± 3.3%
"Scott County, Indiana",15.80%,± 3.3%
"Scott County, Iowa",11.90%,± 0.9%
"Scott County, Kansas",7.60%,± 3.7%
"Scott County, Kentucky",9.30%,± 1.6%
"Scott County, Minnesota",5%,± 0.9%
"Scott County, Mississippi",21.90%,± 3.9%
"Scott County, Missouri",15.60%,± 1.8%
"Scott County, Tennessee",25.70%,± 3.5%
"Scott County, Virginia",17%,± 2.5%
"Scotts Bluff County, Nebraska",12.50%,± 2%
"Screven County, Georgia",18.40%,± 3.4%
"Scurry County, Texas",11.80%,± 3.8%
"Searcy County, Arkansas",26.60%,± 5.3%
"Sebastian County, Arkansas",16.50%,± 1.4%
"Sedgwick County, Colorado",16.10%,± 4.6%
"Sedgwick County, Kansas",13.70%,± 0.8%
"Seminole County, Florida",9.60%,± 0.6%
"Seminole County, Georgia",21%,± 4.3%
"Seminole County, Oklahoma",22.60%,± 1.9%
"Seneca County, New York",13.10%,± 1.9%
"Seneca County, Ohio",11.60%,± 1.3%
"Sequatchie County, Tennessee",22.30%,± 3.7%
"Sequoyah County, Oklahoma",19.50%,± 1.7%
"Sevier County, Arkansas",20.10%,± 4.2%
"Sevier County, Tennessee",13.30%,± 1.5%
"Sevier County, Utah",11.70%,± 2.1%
"Seward County, Kansas",13.60%,± 2.8%
"Seward County, Nebraska",6.80%,± 1.3%
"Shackelford County, Texas",11.30%,± 5.1%
"Shannon County, Missouri",14.70%,± 3.9%
"Sharkey County, Mississippi",26.90%,± 7.1%
"Sharp County, Arkansas",15.90%,± 2.9%
"Shasta County, California",13.30%,± 1%
"Shawano County, Wisconsin",10.10%,± 1%
"Shawnee County, Kansas",12.90%,± 1%
"Sheboygan County, Wisconsin",7.70%,± 0.9%
"Shelby County, Alabama",6.90%,± 0.6%
"Shelby County, Illinois",10.30%,± 2.1%
"Shelby County, Indiana",12.90%,± 2.1%
"Shelby County, Iowa",8.80%,± 2.4%
"Shelby County, Kentucky",7.90%,± 1.6%
"Shelby County, Missouri",14.90%,± 3.3%
"Shelby County, Ohio",10.90%,± 1.8%
"Shelby County, Tennessee",18.10%,± 0.6%
"Shelby County, Texas",23.30%,± 3.4%
"Shenandoah County, Virginia",12.60%,± 1.9%
"Sherburne County, Minnesota",5.80%,± 1.1%
"Sheridan County, Kansas",7.70%,± 2.5%
"Sheridan County, Montana",9.80%,± 2.7%
"Sheridan County, Nebraska",10.80%,± 2%
"Sheridan County, North Dakota",6.90%,± 3.1%
"Sheridan County, Wyoming",8.70%,± 1.4%
"Sherman County, Kansas",10.50%,± 4.2%
"Sherman County, Nebraska",10.90%,± 3.1%
"Sherman County, Oregon",15.50%,± 4.2%
"Sherman County, Texas",8.30%,± 4.6%
"Shiawassee County, Michigan",11%,± 1.4%
"Shoshone County, Idaho",16%,± 2.5%
"Sibley County, Minnesota",8.60%,± 1.7%
"Sierra County, California",12.60%,± 6.5%
"Sierra County, New Mexico",25.20%,± 6.6%
"Silver Bow County, Montana",15.90%,± 2.5%
"Simpson County, Kentucky",14.20%,± 3%
"Simpson County, Mississippi",17.10%,± 3.3%
"Sioux County, Iowa",6.10%,± 1.2%
"Sioux County, Nebraska",17.40%,± 6.8%
"Sioux County, North Dakota",39.70%,± 5.3%
"Siskiyou County, California",16.70%,± 1.5%
"Sitka City and Borough, Alaska",6.90%,± 1.9%
"Skagit County, Washington",12%,± 1.2%
"Skagway Municipality, Alaska",6.20%,± 4.3%
"Skamania County, Washington",8.60%,± 1.8%
"Slope County, North Dakota",4.70%,± 2.5%
"Smith County, Kansas",7.30%,± 1.7%
"Smith County, Mississippi",18.20%,± 3.8%
"Smith County, Tennessee",14.90%,± 3.1%
"Smith County, Texas",12.60%,± 1.1%
"Smyth County, Virginia",18.80%,± 2.4%
"Snohomish County, Washington",7.60%,± 0.4%
"Snyder County, Pennsylvania",8.40%,± 1.1%
"Socorro County, New Mexico",30.50%,± 4.5%
"Solano County, California",9%,± 0.6%
"Somerset County, Maine",16.80%,± 1.9%
"Somerset County, Maryland",19.80%,± 3.5%
"Somerset County, New Jersey",5.30%,± 0.5%
"Somerset County, Pennsylvania",10.80%,± 1%
"Somervell County, Texas",7.30%,± 2.4%
"Sonoma County, California",8.90%,± 0.6%
"South Central Connecticut Planning Region, Connecticut",11.80%,± 0.5%
"Southampton County, Virginia",8.40%,± 1.9%
"Southeast Fairbanks Census Area, Alaska",13.20%,± 3.6%
"Southeastern Connecticut Planning Region, Connecticut",9.90%,± 0.8%
"Spalding County, Georgia",18.80%,± 2.6%
"Spartanburg County, South Carolina",14.40%,± 0.9%
"Spencer County, Indiana",7.20%,± 1.7%
"Spencer County, Kentucky",8.30%,± 2.3%
"Spink County, South Dakota",10.60%,± 2.3%
"Spokane County, Washington",12.30%,± 0.7%
"Spotsylvania County, Virginia",7.40%,± 1%
"St. Bernard Parish, Louisiana",22.50%,± 2.5%
"St. Charles County, Missouri",4.50%,± 0.4%
"St. Charles Parish, Louisiana",10.20%,± 2%
"St. Clair County, Alabama",10.90%,± 1.6%
"St. Clair County, Illinois",13.80%,± 1%
"St. Clair County, Michigan",11.90%,± 0.9%
"St. Clair County, Missouri",15.70%,± 2.9%
"St. Croix County, Wisconsin",5.90%,± 0.9%
"St. Francis County, Arkansas",28.10%,± 4.2%
"St. Francois County, Missouri",17.60%,± 2.3%
"St. Helena Parish, Louisiana",27.50%,± 5.8%
"St. James Parish, Louisiana",11.50%,± 2.9%
"St. John the Baptist Parish, Louisiana",14.10%,± 2.3%
"St. Johns County, Florida",6.80%,± 0.8%
"St. Joseph County, Indiana",14.40%,± 0.9%
"St. Joseph County, Michigan",12.90%,± 1.6%
"St. Landry Parish, Louisiana",27.50%,± 2.1%
"St. Lawrence County, New York",17%,± 1.7%
"St. Louis city, Missouri",20.20%,± 1.1%
"St. Louis County, Minnesota",13.70%,± 0.6%
"St. Louis County, Missouri",9.60%,± 0.4%
"St. Lucie County, Florida",12.50%,± 1.1%
"St. Martin Parish, Louisiana",17.60%,± 2.1%
"St. Mary Parish, Louisiana",21.90%,± 2.3%
"St. Mary's County, Maryland",7.60%,± 1.2%
"St. Tammany Parish, Louisiana",11.70%,± 0.8%
"Stafford County, Kansas",11.10%,± 3%
"Stafford County, Virginia",5.40%,± 0.9%
"Stanislaus County, California",13.70%,± 0.7%
"Stanley County, South Dakota",3.20%,± 2.4%
"Stanly County, North Carolina",13.80%,± 1.8%
"Stanton County, Kansas",13.20%,± 11.5%
"Stanton County, Nebraska",7%,± 2.8%
"Stark County, Illinois",12.50%,± 3.2%
"Stark County, North Dakota",10.10%,± 1.7%
"Stark County, Ohio",13.20%,± 0.7%
"Starke County, Indiana",13.60%,± 2.4%
"Starr County, Texas",33.50%,± 3.4%
"Staunton city, Virginia",11.40%,± 1.8%
"Ste. Genevieve County, Missouri",9.20%,± 2.2%
"Stearns County, Minnesota",12.70%,± 1.3%
"Steele County, Minnesota",8.50%,± 1.3%
"Steele County, North Dakota",13%,± 4.5%
"Stephens County, Georgia",12.80%,± 2.4%
"Stephens County, Oklahoma",16.90%,± 1.3%
"Stephens County, Texas",16.70%,± 4.2%
"Stephenson County, Illinois",13.30%,± 1.6%
"Sterling County, Texas",1.80%,± 1.9%
"Steuben County, Indiana",9.30%,± 1.9%
"Steuben County, New York",13.40%,± 1%
"Stevens County, Kansas",15.80%,± 6.2%
"Stevens County, Minnesota",11.70%,± 2.1%
"Stevens County, Washington",13.30%,± 1.7%
"Stewart County, Georgia",21.90%,± 10.1%
"Stewart County, Tennessee",11.50%,± 3.5%
"Stillwater County, Montana",8%,± 1.9%
"Stoddard County, Missouri",16.50%,± 2.5%
"Stokes County, North Carolina",12%,± 1.9%
"Stone County, Arkansas",21.20%,± 3.4%
"Stone County, Mississippi",20.80%,± 5.1%
"Stone County, Missouri",14.10%,± 2.4%
"Stonewall County, Texas",7.10%,± 4.3%
"Storey County, Nevada",9.10%,± 4.8%
"Story County, Iowa",19.60%,± 1.3%
"Strafford County, New Hampshire",9.10%,± 1%
"Stutsman County, North Dakota",13.10%,± 3%
"Sublette County, Wyoming",8.10%,± 4%
"Suffolk city, Virginia",9.40%,± 1.2%
"Suffolk County, Massachusetts",17%,± 0.6%
"Suffolk County, New York",6.50%,± 0.3%
"Sullivan County, Indiana",12.20%,± 2.9%
"Sullivan County, Missouri",15.10%,± 3.4%
"Sullivan County, New Hampshire",11.70%,± 2%
"Sullivan County, New York",14.80%,± 1.4%
"Sullivan County, Pennsylvania",12.20%,± 2.7%
"Sullivan County, Tennessee",15.20%,± 1.4%
"Sully County, South Dakota",8.50%,± 3.2%
"Summers County, West Virginia",21.20%,± 3.9%
"Summit County, Colorado",7.40%,± 2.1%
"Summit County, Ohio",12.40%,± 0.6%
"Summit County, Utah",5.20%,± 1.1%
"Sumner County, Kansas",11.60%,± 1.9%
"Sumner County, Tennessee",9.40%,± 0.9%
"Sumter County, Alabama",30.40%,± 4.2%
"Sumter County, Florida",9.30%,± 1.1%
"Sumter County, Georgia",24.20%,± 3.6%
"Sumter County, South Carolina",16.40%,± 1.5%
"Sunflower County, Mississippi",28.70%,± 3%
"Surry County, North Carolina",17.90%,± 1.8%
"Surry County, Virginia",13.30%,± 4.2%
"Susquehanna County, Pennsylvania",11.20%,± 1%
"Sussex County, Delaware",11.60%,± 0.9%
"Sussex County, New Jersey",5.50%,± 0.7%
"Sussex County, Virginia",12.70%,± 2.7%
"Sutter County, California",13.30%,± 1.6%
"Sutton County, Texas",16.60%,± 7.8%
"Suwannee County, Florida",14.40%,± 2.5%
"Swain County, North Carolina",19.80%,± 3.6%
"Sweet Grass County, Montana",6%,± 2.3%
"Sweetwater County, Wyoming",11.70%,± 1.9%
"Swift County, Minnesota",10.70%,± 1.5%
"Swisher County, Texas",29.50%,± 7.3%
"Switzerland County, Indiana",16.60%,± 4.6%
"Talbot County, Georgia",18.40%,± 4%
"Talbot County, Maryland",9.30%,± 1.5%
"Taliaferro County, Georgia",18.90%,± 7.5%
"Talladega County, Alabama",18.70%,± 1.8%
"Tallahatchie County, Mississippi",25.70%,± 5.7%
"Tallapoosa County, Alabama",16.80%,± 2.1%
"Tama County, Iowa",15.20%,± 1.9%
"Taney County, Missouri",16.40%,± 2%
"Tangipahoa Parish, Louisiana",19.20%,± 1.8%
"Taos County, New Mexico",14.90%,± 2%
"Tarrant County, Texas",11%,± 0.4%
"Tate County, Mississippi",16.70%,± 3.1%
"Tattnall County, Georgia",20.10%,± 3.9%
"Taylor County, Florida",15.10%,± 4.2%
"Taylor County, Georgia",29%,± 6.1%
"Taylor County, Iowa",8.50%,± 1.9%
"Taylor County, Kentucky",14.30%,± 3.5%
"Taylor County, Texas",14.60%,± 1.1%
"Taylor County, West Virginia",16.90%,± 4.1%
"Taylor County, Wisconsin",8.80%,± 1.2%
"Tazewell County, Illinois",8.70%,± 0.9%
"Tazewell County, Virginia",18.10%,± 2.2%
"Tehama County, California",16.20%,± 2.1%
"Telfair County, Georgia",31.30%,± 6.3%
"Teller County, Colorado",7%,± 1.9%
"Tensas Parish, Louisiana",35.10%,± 5.8%
"Terrebonne Parish, Louisiana",16.40%,± 1.7%
"Terrell County, Georgia",29.80%,± 4.5%
"Terrell County, Texas",6.40%,± 5.4%
"Terry County, Texas",22.40%,± 4.8%
"Teton County, Idaho",10%,± 3.3%
"Teton County, Montana",14.40%,± 4.5%
"Teton County, Wyoming",6.90%,± 2.2%
"Texas County, Missouri",20%,± 2.8%
"Texas County, Oklahoma",20.50%,± 4.5%
"Thayer County, Nebraska",9.70%,± 2%
"Thomas County, Georgia",18.70%,± 2.3%
"Thomas County, Kansas",6.60%,± 2.6%
"Thomas County, Nebraska",6.60%,± 3.9%
"Throckmorton County, Texas",14%,± 4.8%
"Thurston County, Nebraska",19%,± 3%
"Thurston County, Washington",9.30%,± 0.7%
"Tift County, Georgia",21%,± 3.1%
"Tillamook County, Oregon",12.50%,± 2%
"Tillman County, Oklahoma",16.90%,± 3.1%
"Tioga County, New York",10.20%,± 1.4%
"Tioga County, Pennsylvania",12.20%,± 1.1%
"Tippah County, Mississippi",18.90%,± 3.8%
"Tippecanoe County, Indiana",19.10%,± 1.3%
"Tipton County, Indiana",12.10%,± 2.8%
"Tipton County, Tennessee",10.80%,± 1.6%
"Tishomingo County, Mississippi",19.20%,± 3.5%
"Titus County, Texas",18.30%,± 2.3%
